map_0698#18	赤ん坊から　キャンディを　奪うようなもの。
map_0702#20	つまり　あんたには　ハッピーエンドなんて　ないってことだ。
map_0702#21	カードを　切り直して　それで　なんとかするんだな。
map_0702#23	ティタニア: ああ　ああ　わかったよ。
map_0702#24	ティタニア: バッジを　受け取れ。
map_0702#25	特別だなんて　思うなよ。
map_0702#26	\PNは　ごうきんバッジを　受け取った!
map_0702#27	ティタニア: そのバッジが　あれば　レベル90までの　ポケモンが　言うことを　聞くように　なる。
map_0702#28	たぶんな。
map_0702#29	これも　やるよ。
map_0702#30	一応な。
map_0702#31	???: 実に　退屈な見世物ね。
map_0702#32	ティタニア: なぜ――
map_0702#33	なんで　生きてるんだ?
map_0702#34	お前は　今　生きてちゃ　いけないはずだ!
map_0702#35	リン: これで　わかりましたか?
map_0702#36	鋼で　私が　血を流すことは　ありません。
map_0702#37	あなたの輝く鎧など　新世界の硫黄の吐息の前では　ただの　アルミホイル同然です。
map_0702#38	でも　そんなことは　どうでも　いいのです。
map_0702#39	重要なのは\PNが　そのサファイアのブレスレットを　持って　立ち去ることです。
map_0702#40	ティタニア: なんで\PNに　それを　持たせる必要が　ある?
map_0702#41	ティタニア: お前ら　二人で　組んでるのか?
map_0702#42	リン: 違いますか?
map_0702#43	ティタニア: 意味が　わからねぇ。嘘を　つくな。
map_0702#44	リン: 好きなように　信じればいいでしょう。
map_0702#45	どのみち　あなたは　いつも　そうしてきたんですから。
map_0702#46	\PNが　ブレスレットを　持ち続ける限り　あなたの友人は　命を　保つでしょう。
map_0702#47	ティタニア: 彼女に　指一本　触れるな。
map_0702#48	一度　殺した　もう千回でも　殺してやる。
map_0702#49	リン: どうぞ。
map_0702#50	ルールは　わかっているはずです。
map_0702#51	彼女が　死ぬ理由に　なるのは　あなた自身かもしれませんよ。
map_0702#52	でも　もしかしたら　それを　望んでいるのかも　しれませんね。
map_0702#53	ティタニア: バカを　言うな。
map_0702#54	誰だって　自分の手を　血で　汚したくは　ない。
map_0702#55	それに　今　彼女を　狙ったところで　得るものなんて　ないはずだが　それでも……
map_0702#56	あたしは　彼女の元へ　行く。
map_0702#57	何が　起きてるのか　わかるまでは　お前も　連れて行くぞ。
map_0702#58	だが　この世の　あらゆる神聖なものに　誓って言っておく
map_0702#59	もし　あたしたちを　裏切ったら\PN　次に　あたしの刃が　突き刺さるのは　お前の背中だ。
map_0702#60	行くぞ。
map_0702#61	ティタニア: どうした?　興奮しすぎて　漏らしたか?
map_0702#62	冗談だ。わざわざ　答えなくて　いいぞ。
map_0702#63	ティタニア: また　これを　やるのか?
map_0702#64	ティタニア: あの女は　死んだが　いい気分は　しないな……
map_0702#65	あのガキは　あいつらの側だったのかも　しれないが　なんで　あんな――
map_0702#66	きっと　あの女が　何か　やったに違いない。
map_0702#67	全部　あの女の　せいだ。
map_0702#68	時々　忘れられるエイミーは　運がいいと　思うことが　あるよ。
map_0702#69	でも　ジムバトルに　来たんだろ?
map_0702#70	今から　やるのか?
map_0702#71	ティタニア: こういう再戦って　意味がないんだよな。
map_0702#72	あんたは　どうせ　負け続けるだけだ。
map_0702#73	さっさと　済ませちまおう。
map_0702#74	ティタニア: そうだな……
map_0702#75	よし　これは　ごうきんバッジと　サファイアのブレスレットを　賭けた　6対6の　シングルバトルだ。
map_0702#76	さっきの　あれこれの後で　負ける気分には　全然　なれないんでな。
map_0702#77	あたしたちは　ハッピーエンドに　いるわけじゃない。
map_0702#78	そんなもの　最初から　ないんだ。
map_0702#79	だから　あたしは　戦い続けなきゃ　ならない。
map_0702#81	ティタニア: 今日は　あたしの日じゃ　なかったな。
map_0702#82	ティタニア: さっき　あたしの命を　救ってくれたんだから……
map_0702#83	感謝する。
map_0702#84	だから　あんたは　あたしに　あのガキを　殺させたんだな。
map_0702#85	ティタニア: 皮肉な話だ。
map_0702#86	あんたを　信じられるかって　聞いたのに　結局　あたしの方が　あんたを　信じられなかったってわけだ。
map_0702#87	それでも　信じるしか　ないんだが。
map_0702#88	\PN　よく　覚えとけ:
map_0702#89	あたしたちを　裏切ったり　アマリアに　何か　あったりしたら
map_0702#90	次に　あたしの刃が　突き刺さるのは　お前の背中だ。
map_0702#91	ティタニア: あたしは　下に　いる　あのガキの　始末を　つけてくる。
map_0702#92	あいつに　起きたことは　あたしの責任だ。
map_0702#93	それが　終わったら　エイミーの家で　会おう。
map_0702#94	先に　行っててくれ。
map_0702#95	ティタニア: それで　構わない。
map_0702#96	あんなくだらないこと　あったんだ　休憩でも　欲しいところだ。
map_0702#97	底の方に　かすかな光が　見える。
map_0702#98	飛び降りますか?
map_0702#99	いいでしょう?
map_0702#100	はい
map_0702#101	いいえ
map_0703#0	タカ: 本当は　来てほしくなかったんです。
map_0703#1	タカ: \PN　僕は……
map_0703#2	タカ: すみません。
map_0703#3	僕は――　ここで　あなたを　止めなきゃ　いけません。
map_0703#4	そうしないと……
map_0703#5	僕が　ここに　いる意味なんて　ないって　言われちゃいますよね?
map_0703#6	エースは　水処理センター以来　行方不明です。
map_0703#7	他のみんなも　きっと　もう――
map_0703#8	それとも　彼女は　もう……
map_0703#9	……どこかから　僕らを　見てるのかも。
map_0703#10	タカ: 僕には――　もう　選択肢が　ないんです。
map_0703#11	そもそも　あったこと　なんて　なかったのかも。
map_0703#13	タカ: ……彼らに　逆らうんじゃなくて。
map_0703#14	だから　これで　終わりです。
map_0703#15	タカ: たぶん　これが　最後に　僕の相手を　することに　なると思います。
map_0703#16	タカ: すみません。
map_0703#17	タカ: ……でも　あなたには　できます。
map_0703#18	あなたは　ずっと　僕らに　立ち向かってきました。
map_0703#19	そして　いつも　勝ってきました。
map_0703#20	これからも　そう　し続けるんですよね?
map_0703#21	タカ: ええ。あなたは　いつも　そうですね。
map_0703#22	他のことを　考えたことなんて　あったんですか?
map_0703#23	僕には　なかったと　思います。
map_0703#24	何も　変わらないと　思ってたのに　あなたは　ここに　いる。
map_0703#25	あなたが　船を　揺らして　僕は　そこから　落っこちちゃったんです。
map_0703#26	ザブン。
map_0703#27	タカ: それって　謙遜ですか?　それとも　ただの　冗談?
map_0703#28	だんだん　僕みたいな　言い方に　なってきてますよ。
map_0703#29	僕らって　案外　そんなに　違わないのかも。
map_0703#30	もしかしたら……
map_0703#31	もしかしたら　僕も　あなたみたいに　なれるかも。
map_0703#32	でも　それで　僕は　どうなるんでしょう?
map_0703#33	また　失敗して　戻ったら　次の　チャンスは　ないでしょうね。
map_0703#34	それに　あなたは……
map_0703#35	……これからも　戦い続けるんでしょうね。
map_0703#36	タカ: 一緒に　行っても　いいですか?
map_0703#37	タカ: 本当に?
map_0703#38	タカ: わかりました　計画は　こうです:
map_0703#39	僕には　まったく　見当も　つきません。
map_0703#40	だから　とりあえず　あなたに　ついていきます　いいですか?
map_0703#41	邪魔に　ならないように　気をつけます。
map_0703#42	それと　その　ここに　送られる前に　基地から　回復アイテムを　いくつか　くすねてきたんです……
map_0703#43	だから　必要なときは　いつでも　ポケモンを　回復させますね　いいですか?
map_0703#44	どこか　安全な隠れ場所が　見つかったら　しばらく　そこで　息を　潜めてようと思います。
map_0703#45	あの女の人の　目に　留まらなくなるくらいの間は。
map_0703#46	その後は……　一緒に　メテオ団を　倒しましょう。
map_0703#47	\PNに　ついていきます。
map_0703#48	タカ: ですよね　僕は　ただの　邪魔に　なりますよね。
map_0703#49	わかってます。
map_0703#50	じゃあ　これで　お別れですね。
map_0703#51	またね\PN。
map_0703#52	タカ: ようこそ　我が家へ。
map_0703#53	どうにか　灼熱の砂だまりに　溶けずに　済みました　正直　これまでで　一番の　勝利かも　しれません。
map_0703#54	さて　どこへでも　行きましょうか。
map_0703#55	コリン・ルージュ: あはは……
map_0703#56	こんな場所まで　私に　追いついてきたのか。
map_0703#57	我が麗しの淑女よ　この疲れた心が　振り絞れる限りの　誠意を　込めて　君に　謝らなければ　ならない。
map_0703#58	私は　君のような　美しい女性の願いに　これほど　鈍いと　知られては　いないのだが
map_0703#59	それでも　今なお　これほど　遠くまで　私を　追いかけてくるとは……
map_0703#60	ダーリン　頼んでくれさえすれば　私自身が　君を　さらっていったのに。
map_0703#61	ああ　だが　それが　この駆け引きと　いうものだろう?
map_0703#62	ダンスは　一方向にだけ　動くものではない　心もまた　そうであるべきだ。
map_0703#63	私もまた　この黄金の乾いた景色に　息を　奪われているわけではなく
map_0703#64	君の情熱の熱に　息を　奪われているのだ　この灼けつくような光景など　星に対する蝋燭の炎に　過ぎない。
map_0703#65	よろしい　我が甘き超新星よ――
map_0703#66	もう　君を　拒みはしない。
map_0703#67	この私の　すべてを　君に　あげよう　私の宝についても　同じことが　言えるが……
map_0703#68	ああ　だが　それは　不可能なんだ
map_0703#69	私の一番の宝物は――　君　自身　なのだから。
map_0703#70	とはいえ!
map_0703#71	こんな場所では　私たちの最も劇的な出会いには　ふさわしくない!
map_0703#72	君の粘り強さには　得点を　あげよう
map_0703#73	だが　残念ながら　私から　得られるのは　それだけだ。
map_0703#74	私が　盗んだものを　返すことは　できない――
map_0703#75	あまりにも　重要すぎるのでね。
map_0703#76	その理由が　知りたいなら
map_0703#77	列車よりも　なお　壊れているものと言えば　私たちの人生くらいしか　ない場所で　会おう。
map_0703#78	今度は　トリックなしだ。
map_0703#79	逃げも　しない。
map_0703#80	君に　見せたいものが　あるんだ。
map_0703#81	私に　できる唯一の方法で　君を　待つとしよう:
map_0703#82	息を　潜めて――　心は　辛抱強く。
map_0703#83	それでは　また。
map_0703#84	タカ: えっと。
map_0703#85	何です?
map_0703#86	タカ: 新しいテレビドラマを　見始めたと思ったら　うっかり　最終回から　見ちゃった気分です。
map_0703#87	つまり　その　あの人のこと　知ってるんですか?
map_0703#88	看板には　到着時刻の一覧が　印刷されている。
map_0703#89	街へ　戻る乗り物を　待ちますか?
map_0703#90	タカ: あの　今　街に　向かうのは　あんまり　いい考えじゃ　ないと思います。
map_0703#91	他のメテオ団の連中に　狙われてるなら　むしろ　ここで　運を　試したほうが　ましです。
map_0703#92	本当に　行くんですか?
map_0703#93	タカ: わかりました。やるべきことを　やってきてください。
map_0703#94	僕は　ここで　精一杯　砂丘の物真似でも　してますね。
map_0703#95	タカ: これって　誰かが　うっかり　全部　ここに　落としてったとか　そんな感じですか?
map_0703#96	タカ: え?　あそこの砂の下にも　一つ　埋まってたんですか?
map_0703#97	タカ: これって　ベリルワードの上から　誰かが　落としたんでしょうか?
map_0703#98	着けてみたい　ところですけど　もう　自分のスカーフが　あるので。
map_0703#99	ちなみに　自分のために　言っときますけど　砂漠では　絶対　スカーフを　着けない方が　いいですよ。
map_0703#100	タカ: つまり　見つけた　がらくたは　何でも　拾っちゃうんですか?
map_0703#101	まあ　僕も　その一つとして　ここに　いるんでしょうけど　ははは。
map_0703#102	タカ: そもそも　なんで　ポケモンって　こういうディスクから　わざを　覚えられるんでしょうね?
map_0703#103	それより　大事なのは　僕にも　できるのかってことですけど。
map_0703#104	あ、でも　このわざは　やめときます。エネルギー　使いすぎです。
map_0703#105	タカ: このポケモンたちが　かわいそうです。
map_0703#106	きっと　そのうち　砂が　ちゃんと　埋めてくれるんでしょうね。
map_0703#107	たぶん　僕にも　それくらいしか　望めないんでしょう。
map_0703#108	タカ: これって　岩の一部だったんですか?　それとも　たまたま　ここに　あっただけですか?
map_0703#109	タカ: え、ちょっと待って　何ですか?
map_0703#110	えっと　あれって　ただの　蜃気楼だったんですか?
map_0703#111	そうだとしたら　あんなに　近づいて　触れるはず　ないですよね?
map_0703#112	僕……　混乱してます。
map_0703#113	タカ: これには　慣れられそうに　ないです。
map_0703#114	タカ: 正直　それって　僕の人生そのものの比喩ですね。
map_0703#115	おや　あんたも　バッジを　求めて　ここに　来たのか?
map_0703#116	エレボス: よくやった! お前なら　うまく　やれるだろうよ。
map_0703#117	もう　次のリーダーを　探してるところだ。あとは　この見捨てられた砂漠から　出るだけなんだが。出口は　どっちだったか?
map_0703#118	柱に　書かれた文字は　薄れすぎて　読めない。
map_0703#119	タカ: わかります。
