map_0778#25	そろそろこのやり方も味気なくなってきたころね。
map_0778#52	ナンバー3：はぁ？どこ行くつもりだよ。\tts[ナンバー3：どこに行くつもりだ。]
map_0778#53	テラ: おい、あんた。\tts[テラ: おい、あんた。]
map_0778#54	テラ: あんた、いや、なにやってんだよ。\tts[テラ: あんた、いや、何やってるんだよ。]
map_0778#55	おい、おい！！シャベル持ったイカレ女！！！！！！！\tts[おい、おい！！シャベルを持ったイカれた女！！！！！！！]
map_0778#56	やめろって。
map_0778#57	フロリニア: そのままお待ちを。
map_0778#58	テラ: 待たねーよ。\tts[テラ: 待たない。]
map_0778#59	自分のケツだって抑えてやんねーっつーの。\tts[自分の尻だって抑えてやらないっていうのに。]
map_0778#60	ラアアアアウウウワアアアアッ！！！！！！！！！！！！！
map_0778#61	フロリニア: 端末にアクセスした。
map_0778#62	テラ: よし分かった、あんた。
map_0778#63	どうやってゴミ箱から出てきたか知らねーけど、すぐ戻してやるからな、聞こえたか？\tts[どうやってごみ箱から出てきたか知らないけど、すぐ戻してやるから、聞こえたか。]
map_0778#64	プレスト・コンプレート、テメェはデリート完了だ！！\tts[プレスト・コンプレート、あんたは削除完了だ！！]
map_0778#65	テラ: 今の変だったな。\tts[テラ: 今のは変だったな。]
map_0778#66	ともかく、ようこそ、グランド・トーナメント・オブ・ブーティの勝者は――\tts[ともかく、ようこそ、お宝グランドトーナメントの勝者は――]
map_0778#67	テラ: <b>おいこら。</b>\tts[テラ: おいこら。]
map_0778#68	大人しくしてろって言ったよな、ドリトス野郎。\tts[大人しくしていろと言っただろう、ドリトス野郎。]
map_0778#69	テラ: フン。\tts[テラ: フン。]
map_0778#70	テラ: はぁ？\tts[テラ: はぁ？]
map_0778#71	フロリニア: 説明させてもらう。
map_0778#72	テラ: 正直たのむわ。\tts[テラ: 正直、頼むわ。]
map_0778#73	フロリニア: まず、\PNのために状況を要約する。
map_0778#74	この建物は、デジタル建築における最初期の構造実験のひとつに数えられる。
map_0778#75	従来の建築がキャンバスに絵を描く行為だとすれば、デジタル建築はホワイトボードに書く行為に近い。
map_0778#76	最先端の三次元ホログラムが、この建物の内部すべてを構成している。
map_0778#77	そして触覚は、局所的な気圧の高精度な変化によって生成・維持される。
map_0778#78	こうして建物は、東洋建築における障子の概念にも似て、思いのままに改築・再構成できる。
map_0778#79	このようにして、主催者は参加者ごとに視覚情報をカスタマイズし、大人数であっても正しい経路を確保できる。
map_0778#80	あるいは、たとえば出入り口を自在に作り出したり消したりすることもできる。
map_0778#81	視覚データの制御と高強度の気圧操作を組み合わせれば、先の人物が「デリート」と呼んでいた現象を再現するのにも十分だった。
map_0778#82	実際には、対象者に危害は及ばない。ただし、動作と発話の能力はデジタル制御によって直接妨げられる。
map_0778#83	その上で、視覚データを任意に表示させることで、望みの効果を演出できる。
map_0778#84	テラ: はいはい、仕組みは分かったけどよ、それでどうやって回避すんだよ、あぁ？パンクのくせに？！！！\tts[テラ: はいはい、仕組みは分かったけれど、それでどうやってかいくぐるんだ、パンクのくせに？！！！]
map_0778#85	フロリニア: 空気とデータの流れは最終的にデジタル制御されている以上、一般的なコンピュータと同様の方法で干渉することができる。
map_0778#86	前回の試合終了後にこの話者が語りかけたとおり、緊急端末を通じて、あるアプリケーションにアクセスできるようになった。
map_0778#87	それは何者かの意図によるものと推測される。
map_0778#88	数回の試行の末、システムにプログラムをインストールすることに成功した。
map_0778#89	このプログラムの機能は、一定時間の経過後、わたしに施された疑似デリートの兆候をすべて解除することにある。
map_0778#90	つまり、どれだけ気圧をかけようと、「デリート」しようと、そのたびに自動で元に戻る、ということだ。
map_0778#91	これで説明として十分であれば幸いだ。
map_0778#92	テラ: ……わろた。\tts[テラ: ……笑える。]
map_0778#93	あんたは賢そうにベラベラ喋ってっけどよ、大事なとこ見落としてんぜ、お嬢さん。\tts[あんたは賢そうに喋っているけれど、大事なところを見落としているぞ、お嬢さん。]
map_0778#94	そのプログラムがあるって分かった以上、アタシが自分で見つけ出してやるだけだぜ。\tts[そのプログラムがあると分かった以上、アタシが自分で見つけ出すだけだ。]
map_0778#95	で、それをデリートしてやる。\tts[そして、それを削除してやる。]
map_0778#96	そんであんたのこともデリートしてやるぜ！\tts[そしてあんたのことも削除してやる！]
map_0778#97	オーマイガアアアアアアッド！！！！！！！！
map_0778#98	フロリニア: ご自由に。
map_0778#99	テラ: あんたのことだから、どうせクッソつまんねー場所に隠してんだろ。\tts[テラ: あんたのことだから、どうせ一番つまらない場所に隠しているんだろう。]
map_0778#100	C:/ドキュメントとか、そういうとこにな。
map_0778#101	フロリニア: ……
map_0778#102	テラ: マジかよ、本当にそこにあった。\tts[テラ: まさか、本当にそこにあった。]
map_0778#103	あーね、じゃあな。
map_0778#104	テラ: つまんねー、平凡すぎ、見え見えすぎ、\tts[テラ: つまらない、平凡すぎる、見え見えすぎる、]
map_0778#105	そこは見ねーだろって思ってんだろ、\tts[そこは見ないだろうと思っているんだろう、]
map_0778#106	クソ野郎が、はぁ？\tts[くそ野郎が、何なんだ。]
map_0778#107	フロリニア: 疑似デリートに対抗するプログラムに加え、それが機能を停止した場合に備え、それを復元する第二のプログラムも書いておいた。
map_0778#108	テラ: ……………。\tts[テラ: ……………。]
map_0778#109	このアマ、まるまるウイルス書いてたのかよ。\tts[このあま、まるまるウイルスを書いていたんだな。]
map_0778#110	フロリニア: 間違ってはいない。
map_0778#111	テラ: いつのまにだよ。\tts[テラ: いつの間にだ。]
map_0778#112	フロリニア: 機能停止のふりをしていた間、わたしは何もしていなかったわけではない。
map_0778#113	テラ: なるほどな。\tts[テラ: なるほど。]
map_0778#114	正直に言うぜ。\tts[正直に言うぞ。]
map_0778#115	それには「つまんなくないポイント」を2点やるよ。\tts[それには「つまらなくないポイント」を2点あげよう。]
map_0778#116	だがそれだけだ。\tts[だがそれだけだ。]
map_0778#117	ちょい待ってろ、そいつら見つけてキャンディみたいに噛み砕いてやる。\tts[少し待っていろ、それらを見つけてキャンディのように噛み砕いてやる。]
map_0778#118	モグモグモグモグ。\tts[モグモグモグモグ。]
map_0778#119	フロリニア: まもなく、あなたの協力が必要になる。
map_0778#120	現在、彼女の外部データをもとにアバターを構築している。
map_0778#121	それが完成したら、あなたに――
map_0778#122	テラ: バーン、この野郎、それがてめーの精一杯かよ？！\tts[テラ: バーン、この野郎、それが精一杯か？！]
map_0778#123	はっきり言うけどよ、あんた、心配になってきたぜ――\tts[はっきり言うけれど、あんた、心配になってきた――]
map_0778#124	あーマジで、ビビり倒してるっつーの――
map_0778#125	こいつがエロデータどう保存してんのかってことにな。\tts[こいつがエロデータをどう保存しているのかということに。]
map_0778#126	どうせデスクトップの「開けるな」ってフォルダの中だろ。\tts[どうせデスクトップの「開けるな」というフォルダの中だろう。]
map_0778#127	こんなん、レート1200のプレイヤーより読みやすいっつーの。
map_0778#128	テラ: \nコノビードルの尻の穴のクソ息子め。\tts[テラ: このビードルの尻の穴の、くそったれ息子め。]
map_0778#129	フロリニア: あなたの捜索は網羅的ではなかったようだ。
map_0778#130	テラ: あんたの<b>母親</b>が網羅的じゃなかったみたいだけどな。\tts[テラ: あんたの母親が網羅的じゃなかったみたいだけどな。]
map_0778#131	オオオオオオオオオオオオオオオオオオオオオ
map_0778#132	オッケ、ちょい待ち。
map_0778#133	フロリニア: 次に、この個体に施した保護をあなたにも複製し、疑似デリートへの耐性を持たせる。
map_0778#134	これには少々時間がかかるだけだ。
map_0778#135	テラ: よぉ、誰が戻ってきたと思う？！\tts[テラ: よお、誰が戻ってきたと思う？！]
map_0778#136	（ヒント：アタシだよ）\tts[（ヒント：アタシだよ）]
map_0778#137	隠し場所には正直ちょっと驚かされたぜ、\tts[隠し場所には正直、少し驚かされた、]
map_0778#138	だがな、「オーバー」のパワーを忘れてんじゃねーぞ！\tts[だが、「オーバー」の力を見くびっていたな！]
map_0778#139	フロリニア: そう言うのなら。
map_0778#140	テラ: オーバー・ディーズ・ナッツ――って、待て、\tts[テラ: オーバー・ディーズ・ナッツ――って、待て、]
map_0778#141	いや、あんたは――\tts[いや、あんたは――]
map_0778#142	それ違げーだろ……………\tts[それは違うだろう……………]
map_0778#143	あんたは「オーバーって何」って聞くはずだったんだよ、そしたらアタシが――\tts[あんたは「オーバーって何だ」と聞くはずだったんだ、そうしたらアタシが――]
map_0778#144	クソ、もういい、デリートしちまえ！ラアアアアッ！！！！！！！
map_0778#145	テラ: で、な、アタシはここで学ぶんだよ。\tts[テラ: で、アタシはここで学ぶんだ。]
map_0778#146	皮肉のひとつでも言うのは、あいつが戻ってこなくなってからにするぜ。\tts[皮肉を言うのは、あいつが戻ってこなくなってからにする。]
map_0778#147	テラ: ドン、シエルみたいに楽勝だぜ。\tts[テラ: ドン、シエルみたいに楽勝だ。]
map_0778#148	テラ: シエル、やめて。\tts[テラ: シエル、やめて。]
map_0778#149	フロリニア: 目標はほぼ完了した。
map_0778#150	アバターの展開を開始する。
map_0778#151	テラ: はぁ？
map_0778#152	テラ: ヤバ、アタシ今、本物の女の子になった。\tts[テラ: やばい、アタシは今、本物の女の子になった。]
map_0778#153	フロリニア: この試みが成功したということは、以前からあなたは「本物の女の子」だったはずだ。
map_0778#154	テラ: あーもう最高、またオナニーできるじゃん！！！！！\tts[テラ: ああ最高、またひとりでできるじゃない！！！！！]
map_0778#155	フロリニア: その発言の信憑性は検証しないでおくのが賢明だが、いずれにせよ、このアバターはそのために作られたのではない。
map_0778#156	テラ: しかもソファまであるし。\tts[テラ: しかもソファまである。]
map_0778#157	ガーーールなかなかやるじゃん。
map_0778#158	フロリニア: \PN、システムの最終調整をする間、彼女の気をそらしておいてほしい。
map_0778#159	彼女の注意を引き続けることが重要だ。
map_0778#160	テラ: あああああああああああああああああ
map_0778#161	もっといい考えがある！\tts[もっといい考えがある！]
map_0778#162	こういうのはどうだ\tts[こういうのはどうだ]
map_0778#163	代わりにそっちをデリートしてやる！
map_0778#164	カ・ブラミー！\tts[カ・ブラミー！]
map_0778#165	テラ: マ、マサカ！！！！\tts[テラ: ま、まさか！！！！]
map_0778#166	フロリニア: この個体に施した保護はすでに\PNにも適用済みだ。
map_0778#167	この状況において、疑似デリートは有効な手段ではない。
map_0778#168	テラ: ナニ？！\tts[テラ: なに？！]
map_0778#169	それを\PNとまで共有してたのかよ……？\tts[それを\PNとまで共有していたのか……？]
map_0778#170	ま、まさかもうそこまでの仲だったなんて……\tts[まさか、もうそこまでの関係だったとは……]
map_0778#171	フロリニア: \PN、準備ができているなら。
map_0778#172	テラ: ンなわけあるかい、誰も準備なんかできてねーよ。\tts[テラ: そんなわけがあるか、誰も準備なんてできていない。]
map_0778#173	あんたをデリートできないかもしんねーけど……\tts[あんたを削除できないかもしれないけれど……]
map_0778#174	でもどうすんだよ……\tts[でもどうするつもりだ……]
map_0778#175	あんたのフォントをデリートしてやったらな！！！！！！！\tts[あんたのフォントを削除してやったらな！！！！！！！]
map_0778#176	ムワーハハハハハ！！！
map_0778#177	待って。\tts[待って。]
map_0778#178	これ見えちゃいけないはずなんだけど。\tts[これが見えているはずはないのだけれど。]
map_0778#179	テキスト読み上げ、切り忘れてた？やば。
map_0778#180	それともゲームに手ぇ加えたか。それともRMXPで覗き見してるだけか？\tts[それともゲームに手を加えたのか。それともRMXPで覗き見しているだけか？]
map_0778#181	きたねーチーターだな。
map_0778#182	でもそんなに読みたいなら、コメント欄に移そうか。\tts[でも、そんなに読みたいなら、コメント欄に移そうか。]
map_0778#183	誰にも聞かれないようにな。\tts[誰にも聞かれないように。]
map_0778#184	さって、お約束の脈絡ゼロなバトル突入といくか。\tts[さて、お約束の脈絡のないバトル突入といくか。]
map_0778#186	テラ: ……アタシ、自分が特別だなんて勘違いしてたのかもね。
map_0778#187	あんたがそう思わせてくれたんだよ、分かる？
map_0778#188	前は、なにもかもつまんなかった……
map_0778#189	フロリニア: 音声データを復元した。
map_0778#190	十分な時間だった、\PN。
map_0778#191	感謝する。
map_0778#192	テラ: ……
map_0778#193	ねえ、これって……本当にこうなるつもりだったの？
map_0778#194	フロリニア: そのとおりだ。
map_0778#195	テラ: これ全部仕込んでたときからさ……
map_0778#196	楽しそうだと思ってたけど、これがアタシに用意してたことだったわけ？
map_0778#197	フロリニア: これが想定された結末だ。
map_0778#198	テラ: おい、黙れっつーの！！！\tts[テラ: おい、黙れ！！！]
map_0778#199	どうせ返事なんかしないって分かってる。
map_0778#200	笑うことすらないもんね。
map_0778#201	もう一人のほうも同じ。
map_0778#202	前はあんなに笑ってたのに……
map_0778#203	ねえ、
map_0778#204	どこにいるにしても、今もまだ笑ってたりする？
map_0778#205	それとも、笑わなくなったから、こんなことになったの……？
map_0778#206	ほんの少しでもいいから、そう思いたい……
map_0778#207	……アタシがあんたのゲームを、少しはマシにできたって。
map_0778#209	アタシのこと、忘れないでよね。
map_0778#210	彼女は、自らを消し去ることを選んだ。
map_0778#211	わたしの設定であれば、彼女のデジタル制御を無効化しアバターを凍結するにとどまり、完全に消去することはなかったはずだ。
map_0778#212	そして、わたしたちと違い彼女は完全にデジタル化された存在であった以上、これは正真正銘の消去である。
map_0778#213	この結末は予期していなかった。
map_0778#214	それでも、わたしが最も予測可能な行動しか取らないという彼女の思い込みが、彼女自身の破滅を招いた。
map_0778#215	たしかに、わたしは彼女がそう結論づけるよう、意図的にいくつかの関連ファイルを配置した。
map_0778#216	だが、別のプログラムが他の構成要素の位置をランダム化していた。
map_0778#217	結論として、彼女はあれほど大切にしていたはずの「ランダム性」を、自ら見落としたのだ。
map_0778#218	フロリニア: 次の処理を完了した。
map_0778#219	ここから脱出するための直通ルートを用意した。
map_0778#220	その間、わたしはここに残り、他のトーナメント参加者たちの疑似デリートからの復元を行う。
map_0778#221	彼らは可能になり次第あなたに追いつくはずだが、序盤の対戦で敗れた者たちのために先の経路を整えるには、もう少し時間がかかるかもしれない。
map_0778#222	チームメテオの残党は、チャンピオンロードへと北に逃げたとしか考えられない。
map_0778#223	ここから先の手順について、あなたに指示は不要だろう。
map_0778#224	これまでどおり、油断なく、力を発揮し続けてほしい。
map_0778#225	それでは。
map_0778#226	そして……
map_0778#227	幸運を。
map_0778#228	フロリニア: 協力に感謝する。
map_0778#229	他の参加者全員の復元とこの施設からの適切な脱出経路の確保が済み次第、合流する。
map_0778#230	キャンディの自動販売機だ！\G
map_0778#231	\Gふつうのアメが出てきた！
map_0778#232	\Gボーナス！もう1個ふつうのアメが出てきた。
map_0778#233	\Gバッグにこれ以上入らない。
map_0778#234	\Gお金が足りない。
map_0778#235	テラ: ビビビビビビビッチ\tts[テラ: ビッチ]
map_0778#236	こいつ前にアタシをミュートった女がどうなったか<i>知らねー</i>んだろ\tts[こいつは前に、アタシをミュートした女がどうなったか知らないんだろう]
map_0778#237	あいつん家にデカいハンマー持って乗り込んでよ\tts[あいつの家に、大きなハンマーを持って乗り込んで]
map_0778#238	ボールギャグも持って
map_0778#239	ゼリーぎっしり詰まった50ガロンのオイルドラムも持ってな\tts[ゼリーがぎっしり詰まった50ガロンのオイルドラムも持って]
map_0778#240	あいつはそれ以来二度とアタシをミュートしてねーよ\tts[あいつはそれ以来、二度とアタシをミュートしていない]
map_0778#241	;)
map_0778#242	よし、んで、これからこうすんぞ。\tts[よし、それでは、これからこうする。]
map_0778#243	あのクソアマ、ちっちゃい賭けで優位に立ったつもりでいやがる\tts[あの女は、小さな賭けで優位に立ったつもりでいる]
map_0778#244	だが、あいつが手に入れたのは
map_0778#245	平手打ちだけ
map_0778#246	ビンタだ\tts[ビンタだ]
map_0778#247	ラアアアアアッと全身に
map_0778#248	形勢逆転の時間だぜ、このビッチ\tts[形勢逆転の時間だ、このビッチ]
map_0778#249	ダンナが帰ってくる前に、裏からこっそり逃がしてやるよ
map_0778#250	「裏」って言ったのは実は「表」のことで
map_0778#251	「ダンナが帰る前」って言ったのは実は「あいつと戦う前」のことで
map_0778#252	「逃がす」って言ったのは実は……
map_0778#253	らわ〜っ
map_0778#254	準備させてやるってこと。
map_0778#255	戻ってこいよ。
map_0778#256	あいつにきっちり平手打ちをお見舞いしてやれ。
map_0778#257	わかるか？
map_0778#258	わかるよな。
map_0778#259	でも変な気は起こすんじゃねーぞ。
map_0778#260	他のやつらはまだここに閉じ込められたままだからな。
map_0778#261	ちゃんとあいつらを迎えに戻ってこいよ、わかったかチュ？\tts[ちゃんと迎えに戻ってこいよ、わかったか？]
map_0778#263	誰かに気づかれる前にな。
map_0778#264	気が変わる前にな。
map_0778#265	表玄関は開けといたぜ。\tts[正面玄関は開けておいた。]
map_0778#266	テラ: ;)\tts[テラ: ;)]
map_0778#267	テラ: おっけおっけ、やめ。\tts[テラ: オーケー、オーケー、やめて。]
map_0778#268	はぁ？何やってんだよ、クイーンちゃん。
map_0778#269	マジで勝ったな、あのクソアマを叩きのめしてくれてマジありがとな、\tts[本当に勝ったな、あの女を叩きのめしてくれて、本当にありがとう、]
map_0778#270	でもよ、普通に過ごしてたら急に誰かがこう言ってきたらどうする：\tts[でも、普通に過ごしていたら急に誰かがこう言ってきたらどうする：]
map_0778#271	ここを通れるのはトレジャーバッジを持つ者だけだ。\tts[ここを通れるのはトレジャーバッジを持つ者だけだ。]
map_0778#272	おお！それがトレジャーバッジか！\tts[おお！それがトレジャーバッジか！]
map_0778#273	よし、それならどうぞお進みください！
map_0778#274	ただし
map_0778#275	そんなことにはならねーんだよ\tts[そんなことにはならないんだ]
map_0778#276	だ、だってあんたバッジ取り忘れてんだもん。\tts[だって、あなたはバッジを取り忘れているのだから。]
map_0778#277	どうやって宝箱の前をムーンウォークで素通りすんだよ
map_0778#278	鍵開いてんのに開けねーとかありえる？？？？？？\tts[鍵が開いているのに開けないなんてありえるのか？？？？？？]
map_0778#279	アタシの宝箱にそんな仕打ちしないよな？\tts[アタシの宝箱にそんな仕打ちはしないよね？]
map_0778#280	それともアタシじゃ胸が足りないってわけ、\PNちゃん.....;~;\tts[それとも、アタシでは魅力が足りないというわけ、\PNちゃん.....;~;]
map_0778#281	宝箱を開けるのはゲーマーの鉄則ナンバー1だぜ\tts[宝箱を開けるのはゲーマーの鉄則ナンバー1だ]
map_0778#282	だからサファイラの代わりにアタシがブチギレてやる\tts[だから、サファイラの代わりにアタシが怒っている]
map_0778#283	さっさとバッジ取りに行けよ、のろまが\tts[さっさとバッジを取りに行け、のろまめ]
map_0778#284	ラアアアアアアアアアアッ！！！！！
map_0778#285	ふつうのアメ - $400
map_0778#286	キャンセル
map_0779#0	サファイラ: 白旗を上げるの？
map_0779#1	……情けない。
map_0779#2	アドリエンヌ: \PN！
map_0779#3	それも、あのジムから！よかった！
map_0779#4	カルセノンの誰にも連絡がつかなくて。
map_0779#5	ヴィクトリアも、出発してから一度も連絡がないの。
map_0779#6	大丈夫だった？
map_0779#8	そう……
map_0779#9	それじゃあデボンと同じね。しかもあれはただの試作品だったんでしょう？
map_0779#10	信じられないと言いたいところだけど、残念ながら信じられてしまうわ。
map_0779#11	他のみんなは――無事なの？
map_0779#12	それじゃあ、サファイラだけなのね。
map_0779#13	さすが最上位のリーダーで、次のチャンピオン候補ね。
map_0779#14	メテオの茶番に付き合うなんて、わたしは認められない。でも、今さらこんなことを言っても遅すぎるのよね。
map_0779#15	わたし自身がそちらへ向かう準備をして、被害を受けた人たちに何かできないか見てくるわ。
map_0779#16	でもまずは、サファイラ攻略のアドバイスが必要でしょう？
map_0779#17	もちろん――少し待っていて。
map_0779#18	あそこはたしか、モンティのジムだったはずよね……
map_0779#19	ええ、あった。
map_0779#20	このジムでいちばん厄介なのは、ドラゴンタイプの技を強化する効果ね。
map_0779#21	威力が上がるおかげで、サファイラはすばやさに全振りできるの。りゅうのまいのような技も威力が倍になるわ。
map_0779#22	ドラゴンタイプは防御・特防の両方も上がる。
map_0779#23	この効果はあなたにも適用されるから、うまく使いこなせれば、このジムでの戦いはどちらか一方に大きく傾くはずよ。
map_0779#24	あるいは、耐久のあるフェアリータイプを使えば、彼女に積み技を強要させて、攻めの隙をつくこともできるわ。
map_0779#25	別に宣伝してるわけじゃないけど……
map_0779#26	でも、彼女のエース、カイリューが相手だと、そのどれも役に立たないわ。
map_0779#27	マルチスケイルの特性のおかげで、HPに関係なくドラゴンタイプの弱点が無効化されるし、
map_0779#28	このフィールドの熱で、こおりタイプの技の威力も抑えられてしまう。
map_0779#29	だから、カイリューに効果的に攻撃できるのは、いわタイプだけよ。
map_0779#30	そういう攻撃役は、カイリューが暴れる可能性を減らすために温存しておくといいわ。
map_0779#31	あなたになら、これを勝てるはずよ。
map_0779#32	チャンピオンの称号を正式に手にする前の、最後の壁ね！
map_0779#33	それじゃあわたしは、あちらで何ができるか見てくるわ。
map_0779#34	幸運を、チャンピオン。
map_0779#35	グランドホールでは、誰も応答しないみたいね……
map_0779#36	サファイラ: ようこそ、我が家へ。
map_0779#37	ある意味では、ね。
map_0779#38	テラ: いんやビッチ、もうここアタシん家だから。\tts[テラ: いや、あんた、もうここはアタシの家だから。]
map_0779#39	この悪の王たるアタシが、この神聖なる黄金の地を我が物とした！\tts[この悪の王であるアタシが、この神聖な黄金の地を自分のものにした！]
map_0779#40	そんでもって、テメェらのお宝は全部アタシらのもんだ！\tts[それに、あんたたちの財宝は全部アタシたちのものだ！]
map_0779#41	ラアアアアアアアアアアアアッ！！！！！！！！！！
map_0779#42	サファイラ: それじゃあ、ここのいちばんの自慢を見せてあげる。
map_0779#43	-インターコムの音量がミュートされた-
map_0779#44	サファイラ: このジムは、利便性と放送のために競技施設の中に建てられているの。
map_0779#45	でも、個人的なジム戦の最中に、同時開催のトーナメントのアナウンスが流れてきたら邪魔でしょう。
map_0779#46	こうしておけば、挑戦の邪魔をされずに済むわ。
map_0779#47	今ほどこれをありがたいと思ったことはないわね。
map_0779#48	サファイラ: 頂上で待っているわ。
map_0779#49	でもその前に、理解してもらわなきゃいけないことがある。
map_0779#50	サファイラ: あなたにとって、いちばん大切なものは何？
map_0779#51	サファイラ: この世界に、あなたにしか感じられない感情より大切なものなんてない。
map_0779#52	それってただの身勝手じゃないの？
map_0779#53	サファイラ: でも、あなたはそれでもこれを選んだ。
map_0779#54	サファイラ: 心の平穏を求めることに、何も悪いことはないわ。
map_0779#55	もし副作用なしで永遠に心が安らぐ薬があったら、あなたは飲む？
map_0779#56	サファイラ: この世界の中では見つけられないと思っているから、でしょう。
map_0779#57	生きている限り誰も降りることを許されない戦いを、あなたは放棄している。
map_0779#58	サファイラ: それなら、幸福そのものが大切なわけじゃないのね。
map_0779#59	大切なのは、それを手に入れようとするあなたの努力。
map_0779#60	サファイラ: それを優先するのは、木を見て森を見ないということ。
map_0779#61	お金の価値は、それで他に何ができるかによって決まる。
map_0779#62	それは自由と支配を保つための道具でしかない。
map_0779#63	それを手に入れる方法は、他にもあるんじゃないの？
map_0779#64	サファイラ: それでも、あなたはお金に目を向けることを選んだ。
map_0779#65	自分の力でその自由を手に入れられると信じられなかったの、それともただ興味がなかっただけ？
map_0779#66	サファイラ: 生きるということは、生き残るために戦うということ。
map_0779#67	人間であるということは、劣等を知るということ。
map_0779#68	どんなに自信のある者でも、いずれ滅びる。
map_0779#69	それって、挑戦する危険を冒さずに済むように、自分に言い聞かせてただけじゃないの？
map_0779#70	結局あなたは、自分の内にその自由を作り出す代わりに、お金で買うことを選んだ。
map_0779#71	それは高くつく道よ。
map_0779#72	いちばん大切だと言っていたものを、自ら失うように仕向けるなんて、皮肉な話じゃない？
map_0779#73	全部、戦いたくなかったから。
map_0779#74	サファイラ: それをどうやって判断したの？
map_0779#75	鍵が合うかどうかは、開けてみるまで誰にも分からない。
map_0779#76	錠が外れるか、探すのをあきらめるか、どちらかしかない。
map_0779#77	あきらめを正当化するために、選択肢を使い果たしたと自分に思い込ませただけじゃないの？
map_0779#78	サファイラ: 結局あなたにとっては、実際に自由を手にすることより、自由の幻想の方が大切だったから。
map_0779#79	戦う気もなければ、降参する気もない。
map_0779#80	それがあなたの煉獄。
map_0779#81	サファイラ: できないのは、できないと自分で決めたから。
map_0779#82	それがあなたの思い込みの力。
map_0779#83	それはつまり、自分の中にその自由を育てるために必要なものを、あなたはもうすべて持っているという証拠。
map_0779#84	ただ、自分の欠点を自分自身ではなく経済のせいにしたいから、それを使わずにいるだけ。
map_0779#85	戦う力が足りないんじゃない。戦う覚悟が足りないだけ。
map_0779#86	サファイラ: 大切なのは、あなたが彼らにとって価値があることと、彼らがあなたにとって価値があること、どちら？
map_0779#87	サファイラ: 自分がそんなに無欲だと、本気で思ってるの？
map_0779#88	他人にとって価値があるというのは、遠回しに自分の身を守っているだけ。
map_0779#89	そもそも、あなたに彼らにとっての価値なんてあるの？
map_0779#90	サファイラ: 人間であるということは、劣等を知るということ。
map_0779#91	確信というのは、ただそれだけのものじゃない――より深い真実を追い求めるのをやめると決めた、その一点に過ぎない。
