map_0450#8	それでさ?
map_0451#3	エクリプスバッジを持っていなければ、ここは通れない!
map_0451#4	おっと! それはエクリプスバッジだ!
map_0451#5	それでは、どうぞお通りください!
map_0451#6	ひひっ! これ楽しい!
map_0451#7	ここから何もかも見えるの!
map_0451#8	みんなをあたしと遊ばせてあげられるの!
map_0451#9	全部、赤ちゃんアルセウスのおかげ!
map_0451#10	ちゃんとお返しに、彼を自由にしてあげるつもり!
map_0451#11	そしたらみんなで新世界に一緒に住んで、ずっとずっと楽しく遊べるの!
map_0451#12	秘密のスイッチ!
map_0451#13	押しますか?
map_0451#14	押さない人なんている?
map_0451#15	ミレニアムバッジを持ってない人、それが答え。\tts[ミレニアムバッジを持ってない人、それが答え。]
map_0451#16	おっと! それはミレニアムバッジだ!\tts[おっと! それはミレニアムバッジだ!]
map_0451#17	やめたほうがいいかも……
map_0451#18	はい
map_0451#19	いいえ
map_0455#0	\PNはライトシャードを手に入れた
map_0455#1	ミュウ!
map_0455#2	こ4なのが、私の運命であるはずがな1!
map_0455#3	ミュウツー: ガアアアアアアアアア!!!!!!!!!!
map_0456#0	テラ: よお ベイベー 調子どう
map_0456#1	ここ、よく来るの? ;)
map_0456#2	だってさ
map_0456#3	あ~ん いえ~い
map_0456#4	まざー
map_0456#5	ファッキン
map_0456#6	ブレッドクランク
map_0456#8	ガアアアアアアアアアアアア!!!!!!!!!!!!!!!!
map_0456#9	テラ: ああ! お前のこと聞いてるぞ、\PN!
map_0456#10	私はテ4、シエル使いと呼ばれている者だ。\tts[私はテラ、シエル使いと呼ばれている者だ。]
map_0456#11	あのビ4チを ひざまずかせてやった、\tts[あのビッチを ひざまずかせてやった、]
map_0456#12	ケチャップまみれにしてな。
map_0456#13	な4だ。\tts[なんだ。]
map_0456#14	い1か。あたしゃドラマチックな演説なんてガラじゃない。でも、ちょっとした話、聞かせてやるよ、分かるだろ\tts[いいか。あたしゃドラマチックな演説なんてガラじゃない。でも、ちょっとした話、聞かせてやるよ、分かるだろ]
map_0456#15	それは 遠い昔のこと
map_0456#16	そ4なに遠くない 銀河の 話\tts[そんなに遠くない 銀河の 話]
map_0456#17	つーか まさにこの
map_0456#18	この銀河の話だ。
map_0456#19	まさに ここ。\tts[まさに ここ。]
map_0456#20	ミルキーティット
map_0456#21	(作者注: ティットはティタウィンの略な、あたしの名前煽んなよマジで! 煽ったらお前リア充気取りかカマ野郎な)\tts[(作者注: ティットはティタウィンの略な、あたしの名前煽んなよマジで! 煽ったらお前リア充気取りかカマ野郎な)]
map_0456#22	そして 何かヤバいことが 起きた:\tts[そして 何かヤバいことが 起きた:]
map_0456#23	あたし ヒマになった。\tts[あたし ヒマになった。]
map_0456#24	だからさぁ あーもうイエーイ アナーキー起こしちゃおっかなって\tts[だからさぁ あーもうイエーイ アナーキー起こしちゃおっかなって]
map_0456#25	だってさぁ カオスって、
map_0456#26	セックスみたいなもんじゃん。
map_0456#27	熱くて、
map_0456#28	むんむんしてて、
map_0456#29	ガオセックス。
map_0456#30	つーか あのメテオ連中、ベッドの上でもマジやるじゃん。
map_0456#31	でさ、あんたはどうよ、ベイビー?
map_0456#32	年齢・性別・出身は?
map_0456#33	キック(kik)やってる?
map_0456#34	だってあたし お前のケツをキックしてやるから オオオオオオ\tts[だってあたし お前のケツをキックしてやるから オオオオオオ]
map_0456#36	テラ: てめえ、クソったれグラビティバッジをゲットしたぞ! ガオオオ!!!!
map_0456#37	グラビティバッジって言うか、グラビィバッジって感じ? つんつん、もみもみ、分かるっしょバーン、分かるっしょ?
map_0456#38	\PNはグラビティバッジを受け取った!
map_0456#39	テラ: よっしゃ、じゃあな。
map_0456#40	グラビティバッジは 色々できるようにする
map_0456#41	バトルの外で なみのりを使うとか そういうやつ
map_0456#42	つまりだ
map_0456#43	あたしのおかげで お前 びしょ濡れになるってこと
map_0456#44	あと これ ルール上必須の贈り物として お前の顔面に受け取れ。
map_0456#45	テラ: そのわざマシンには「たわごと」ってわざが入ってる
map_0456#46	たわごとフィールドを作り出して、そこに入ったポケモンの素早さを下げるやつ
map_0456#47	みたいな感じ
map_0456#48	これで 全部あげちゃったし 先輩 あたしのこと好きになってくれる?
map_0456#49	あたしたちの関係 次のレベルに進む準備できてる \v[62]君ちゃんですさま
map_0456#50	あたしのソファはお前のものだから 優しくしてよね
map_0456#51	……あたしのソファ 欲しくないの?!!?!?
map_0456#52	信じらんない
map_0456#53	バカバカバカバカ ガオ バカ!!!!!!
map_0458#0	いやはや! 食料は少しあるっちゃあるが、俺くらいの図体だと、ほとんど無いようなもんだ! はぁー!
map_0458#1	最近また、山を見回ってるんだよ。
map_0458#2	妙なことに気づいてな。
map_0458#3	この辺じゃ珍しい生き物がいるんだが、不思議なことに、金曜日にしか見かけないんだ。
map_0458#4	残りの曜日はどこに行ってるんだろうな。
map_0458#5	聞いてみたいが、俺が近づくとすぐ水の中深く潜っちまうんだよ!
map_0458#6	それについて、どこか他所に伝説でもあるんだろうか……
map_0458#7	あの子が俺たちの面倒を見てくれてるのは、ほんとに運がいいんだが、そもそもあの食料、どこから調達してきてるんだろうな?
map_0458#8	アメトリンは、この地方で一番高い山だ!
map_0458#9	二番目はシャルースだが、もう誰も住んじゃいない。
map_0459#0	しばらくの間、ここが最後の食料備蓄だったんだが、もう底を突いた。
map_0459#1	ポケスナックスまで全部食っちまったよ!
map_0459#2	つまり、結局食料が手に入るってこと?
map_0459#3	何でよりによって今なんだよ?!
map_0459#4	せっかく苦労して漁っ――いや、その、暖房機からこの部品を回収してきたばっかりだってのに!
map_0459#5	これ売って、アゴジムシハブかデリバードダッシュで何か届けてもらうつもりだったのに。
map_0459#6	はぁ、あんなに苦労したのに……
map_0459#7	お前! これ、持ってけ。
map_0459#8	もう考えたくもない。
map_0459#9	ぐぬぬ……
map_0459#10	もういい! 美味い飯にありつけりゃ、どうでもよくなるさ!
map_0459#11	配給カードを、こちらへどうぞ。
map_0459#12	カードがなければ、配給はできません。
map_0461#118	あなた、なんだかすごく似てる……
map_0461#119	???: ナンヤ。
map_0461#120	シェリー: え? 変わった名前……
map_0461#121	ナンヤ?: ナンヤだって言ってるでしょ。
map_0461#122	ナンヤ・ビジネスよ。
map_0461#123	もう、さっさとどっか行きなさいよ。
map_0461#124	シェリー: えっと……わ、分かりました。
map_0461#125	どうして、みんなあんな反応するんだろう。
map_0461#126	ここでピンクの髪の女の子を知らないか聞くたびに、みんな気まずそうに話をやめて、会話を打ち切っちゃうの。
map_0461#127	まるで、あたしたちからその子を隠そうとしてるみたい!
map_0461#128	……あ、待って。
map_0461#129	もしかして、そういうことなのかも!
map_0461#130	子供の一人が、こっそり食べ物を配ってる守護天使のことを、誰にも言わないって誓ったって話してくれたの!
map_0461#131	もしかして、それってヘザーのことなんじゃ?!
map_0461#132	みんな、その秘密を守るって誓わされてるから、彼女のことを話したがらないだけなんじゃない!
map_0461#133	でも、どうしてそんなことに?
map_0461#134	どうして、そんなことを秘密にする必要があるの?
map_0461#135	確かめに行こう! 行くよ、\PN!
map_0461#136	ページには、走り書きのメモがある:
map_0461#137	「aevianmissy」
map_0461#138	フローラ: ああ、そういう仕組みなのね……
map_0461#139	フローラ: それと……この部分は、何のため?
map_0461#140	イヴ: それがないと、電圧が正しい周波数で伝わらないの。
map_0461#141	最善の解決策ではなかったけど、状況が……切羽詰まっていたから。
map_0461#142	フローラ: これ、本当に全部自分で設計したの?
map_0461#143	すごすぎる!
map_0461#144	それに、あたしより数歳しか年上じゃないでしょ?
map_0461#145	イヴ: そんなに……変わらないと思うわ。
map_0461#146	イヴ: あら、\PN。ここで会うなんて驚いたわ。
map_0461#147	仕事道具を取りに来ただけだったんだけど、この生徒が現れて。
map_0461#148	学校の課題で、この手の機械についてレポートを書いてるみたいで、いくつか質問があったの。
map_0461#149	イヴ: ……でも、あなたたち二人はもう会ってるみたいね。
map_0461#150	フローラ: はは、何、違うって! 馬鹿げてる! この人のこと、生まれてこの方見たこともないし!
map_0461#151	ていうか、ちょっと聞くけど、いつも見知らぬ人を無断で家に上げてるの?
map_0461#152	ちょっと不用心じゃない? 鍵をつけるか、せめてちゃんと境界線を引いたほうがいいと思うけど!
map_0461#153	今からでも始めたら?
map_0461#154	イヴ: いいわ、どちらか一人、本当は何が起きてるのか話してくれる?
map_0461#155	フローラ: えっと、\PNとはちょっと会って、PULSEについて少し話したかもしれないんだけど……
map_0461#156	でも、彼、あたしのこと完全に誤解してるの!
map_0461#157	でも、彼女、あたしのこと完全に誤解してるの!
map_0461#158	でも、あの人、あたしのこと完全に誤解してるの!
map_0461#159	イヴ: それで、どんな誤解?
map_0461#160	フローラ: ……その、\PNは、あたしが自分で作りたいと思ってるとか、そんな風に考えてたみたいなんだけど、もちろんそんなのバカげてる! はは!
map_0461#161	特に、ポケモンにあれだけの負担がかかるとなればね……
map_0461#162	イヴ: それで、あなたは作りたくないのね。
map_0461#163	フローラ: 当然でしょ! あたしの興味は、純粋に学術的なものだから!
map_0461#164	イヴ: だから、わたしが見てないと思った時に、設計図をスケッチしてたのね。
map_0461#165	フローラ: べ、勉強のためだから! はは!
map_0461#166	もういいわ。
map_0461#167	せっかくうまくいってたのに、\PN、あんたがわざわざ来て台無しにしなくてもよかったのに。
map_0461#168	そう、あたし、自分で作るつもり。
map_0461#169	落ちぶれたチャンピオンと、二流エンジニアのあんたたちに、一体何ができるっていうの?
map_0461#170	イヴ: 一つや二つは、思いつくと思うけど。
map_0461#171	フローラ: はっ、よく言うわ。自分の機械が、自分のポケモンを傷つけるのすら止められないくせに。
map_0461#172	それとも、無能じゃなくて過失だったとでも言うつもり?
map_0461#173	最悪な部類の人間よね。
map_0461#174	あんたみたいなクズに、こんな技術を持つ資格なんてない。
map_0461#175	イヴ: ……被験体を傷つけたいと望んだことは一度もない、でも、選択の余地はなかった。
map_0461#176	フローラ: じゃあ無能ってことね。それと言い訳。
map_0461#177	興味ない。
map_0461#178	チャンピオンを尻に敷いてるのは分かるけど、地元の当局は、あの被害全部があんたの責任だってこと、知ってるのかしら?
map_0461#179	その話、聞きたがるんじゃないかしら。
map_0461#180	だから、それを知られたくないなら、\PNを追い払って、あたしが知りたいことを教えて。
map_0461#181	イヴ: ……被験体の身体的負担の問題、本当に解決できると思ってる?
map_0461#182	フローラ: 「思ってる」?
map_0461#183	何、これって家族向けの教育番組か何か?
map_0461#184	解決してみせるの。
map_0461#185	どこかの誰かと違って、あたしはちゃんと気にかけてるから。
map_0461#186	それに、この地方の技術なんて、ほとんど石器時代みたいなもの。
map_0461#187	あたしの故郷で当たり前だったものを見たら、あんたどう思っていいか分からなくなるはず。
map_0461#188	確認するための生きたサンプルさえあれば、あとはもうほぼ解決したようなもの。
map_0461#189	イヴ: 解決できると自信があるなら、協力するわ。
map_0461#190	フローラ: 「なら」じゃない。
map_0461#191	取引成立で嬉しいわ。
map_0461#192	とにかく、\PN、あんたはもうここに用なさそうだから、さよなら!
map_0461#193	イヴ: 実は、それは違うわ。
map_0461#194	最初から、\PNの助けが必要になる。
map_0461#195	フローラ: は?
map_0461#196	イヴ: 生きたPULSEの標本が欲しいと言ってたわね。
map_0461#197	残りが一体いるの。
map_0461#198	わたしの知らないうちに、なぜか完成していたものが。
map_0461#199	フローラ: ふん。それをやった奴を探したほうが良かったかもね……
map_0461#200	イヴ: 頑張ってみて。彼女は死んだわ。
map_0461#201	イヴ: 頑張ってみて。彼女はもういないの。
map_0461#202	フローラ: ……チッ。
map_0461#203	それで、それはどこにあるの?
map_0461#204	イヴ: チャンピオンの部屋よ。
map_0461#205	フローラ: ……
map_0461#206	冗談よね?
map_0461#207	それ、冗談でしょ。
map_0461#208	イヴ: そう聞いてるわ。
map_0461#209	フローラ: ……分かった。
map_0461#210	フローラ: じゃあ、シャルースホールに行く。
map_0461#211	この惨めな地方のポケモンリーグって、そこにあるんでしょ?
map_0461#212	そこで会いましょう、マギアナの取引はまた成立ってことで。
map_0461#213	でも、これ台無しにしないでよね。分かった?
map_0461#214	イヴ: 感じのいい子ね。
map_0461#215	理想的な状況じゃないのは分かってる、でも……
map_0461#216	ルミの時間は、今も刻一刻と過ぎている。
map_0461#217	彼女の可能性を少しでも広げられることがあるなら、わたしはそれをやる。
map_0461#218	何も聞かずに。
map_0461#219	今回だけ、あなたにも同じようにしてほしいの。
map_0461#220	フローラを手伝ってあげて、\PN。ルミのために。
map_0461#221	イヴ: チャンピオンの間にある最後のPULSEにたどり着けるよう、フローラを手伝ってあげて。
map_0461#222	自分たちの体に戻れたのは素晴らしいことだけど、それはつまり、ルミの時間がまた限られたということでもある。
map_0461#223	これが、ついに前へ進む道になるかもしれない。
map_0461#224	フローラ: これで大体全部かな。
map_0461#225	協力、本当に感謝してるから~
map_0461#226	それと、心配しないで。
map_0461#227	どこかの誰かと違って、あたしの作るものでポケモンが傷つかないように、最初からちゃんと気をつけるから。
map_0461#228	イヴ: もう、罪悪感を煽るのはやめてもらえる?
map_0461#229	フローラ: ちゃんと教訓を学んでくれてるといいけどね!
map_0461#230	イヴ: あなたの発見は、認めるけど役に立ったわ。
map_0461#231	余剰エネルギーを同じ種の複数の個体に分散させるのは、過剰暴露の問題を根本的に解決するまでの、応急処置としては確かに使えそうね。
map_0461#232	知的で効果的な解決策だわ。
map_0461#233	フローラ: ああ、ちゃんと褒められるの、大好き。
map_0461#234	イヴ: ……でも、さっき言おうとしていた通り、あなたの態度は我慢の限度をとっくに超えてる。
map_0461#235	さようなら。
map_0461#236	フローラ: ふんっ!
map_0461#237	そんなに急いで追い出さなくてもいいでしょ!
map_0461#238	だって、あたしはまだ、\PNとの取引の自分の分を果たさなきゃいけないんだから。
map_0461#239	フローラ: マギアナは、まだガラス工房にあるわ、あたしたちが会った場所の近く。
map_0461#240	2階よ。
map_0461#241	先に、届くようにはしごを設置しておいたから、何もしてくれなかったとか言わないでよね。
map_0461#242	自分で取りに行こうかとも思ったけど、ゴミが多すぎるし、あの光るオーラも、いかにも他の誰かの問題って感じだったから。
map_0461#243	だから、どういたしましてってことで。
map_0461#244	楽しかった、とでも言っておくけど、
map_0461#245	もしそうだとしても、食べた後にお腹壊すタイプの楽しさだったわね。
map_0461#246	じゃあね。
map_0461#247	イヴ: 後で後悔するようなことをしないといいけど。
map_0461#248	本人の意図とは関係なく、彼女はわたしのために扉を開いてくれた。
map_0461#249	またやるべきことがたくさんあって、時間は少ない。
map_0461#250	話し込んでいられなくて、ごめんなさい。
map_0461#251	アノマリーへの対処、うまくいくよう祈ってる。
map_0462#0	機械のスイッチを押すと、ケースが開く。
map_0462#1	押しますか?
map_0462#2	押さない人なんている?
map_0462#3	やめたほうがいいかも……
map_0462#4	ヘザー: ……
map_0462#5	……バカなブレイク。
map_0462#6	バカなパパ……
map_0462#7	バカなママ……
map_0462#8	何で、あたしを一人にしたのよ?
map_0462#10	もう、うんざり……
map_0462#11	いつも、あたしは一人。
map_0462#12	ヘザー: 次から次へと、色々起きるんだから。
map_0462#13	嘘つきなバカブレイク!
map_0462#14	「もちろんだよ、ヘザー! 俺が面倒見てやる。
map_0462#15	俺のとこに転がり込んでいいし、ルールなんて何もいらないぜ!
map_0462#16	好きなことをすればいいんだ!」
map_0462#17	はいはい、それであたしは檻に閉じ込められるってわけ、嘘つき!
map_0462#18	「転がり込む」なんて、あんたの顔を地面に叩きつけてやる時だけよ……
map_0462#19	バカ野郎。
map_0462#20	「これが人生という断崖絶壁だ、ヘザー。
map_0462#21	誰もが、いつかはそこで砕け散る運命なのだ。」
map_0462#22	だからチームメテオに入ったってわけ?!
map_0462#23	あたしを裏切って、もっと早く砕けさせるために?!
map_0462#24	「この冷たい現実に、それ以外のものを期待するべきではなかったのだ。」
map_0462#25	はいはい、黙ってよ、パパ!
map_0462#26	冷たいのは、このバカみたいな小屋と、あんたの心だけよ!
map_0462#27	うう!
map_0462#28	ヘザー: いたた……
map_0462#29	ヘザー: もう、やだ……
map_0462#30	こんなの、やだ……
map_0462#31	パパも嫌い、ブレイクも嫌い、一人でいるのも嫌い……
map_0462#32	全部嫌い!
map_0462#33	嫌い嫌い嫌い嫌い嫌い嫌い嫌い嫌い嫌い嫌い嫌い嫌い嫌い大嫌い!!!
map_0462#34	ヘザー: でも――
map_0462#35	これは……あたしのせい。
map_0462#36	そうでしょ?
map_0462#37	あたしがこうしたの……
map_0462#38	逃げ出した。
map_0462#39	みんなを、シャットアウトした。
map_0462#40	あたし――
map_0462#41	……ごめんなさい。
map_0462#42	本当に、ごめんなさい……
map_0462#43	???: ――ザー!
map_0462#44	ヘザー: ……え?
map_0462#45	???: ヘザー!
map_0462#46	聞こえる?! そこにいるの?!
map_0462#47	ヘザー: ……シェリー?
map_0462#48	シェリー: いた!
map_0462#49	\PN、彼女、ここにいる!
map_0462#50	ヘザー: 一体、こんなとこで何してるの?
map_0462#51	シェリー: あなたを助けに来たの!
map_0462#52	そっちから、扉を開けられたりする?
map_0462#53	ヘザー: それができるなら、まだここにいたりしないってば。
map_0462#54	シェリー: そ、そうだよね……ごめん……
map_0462#55	ヘザー: ううん――あたしこそ、ごめん。
map_0462#56	壊してみることってできる?
map_0462#57	前に試したけど無理だった、でも一緒になら――
map_0462#58	シェリー: うん! オッケー、ちょっと待って。
map_0462#59	ヘザー、出てきて!
