map_0798#114	しゃべらない奴に友達なんてできるわけない。
map_0798#167	ティタニア: へえ? 何を?
map_0798#168	ファーン: いろいろやったし。
map_0798#169	ティタニア: そのほとんどが自分本位ね。
map_0798#170	最後に自分から進んで誰かを助けたのはいつ?
map_0798#171	ファーン: なんでわたしが助ける側にならなきゃいけないわけ?!
map_0798#172	誰もわたしを助けようとしないのに…
map_0798#173	なんでいつもわたしがやらなきゃいけないの?!
map_0798#174	それが公平だと思う?
map_0798#175	ティタニア: 「公平」なんて、正当化された特権意識に過ぎない。
map_0798#176	リン: この世界に公平は存在しない。
map_0798#177	男は自制する力を持たずに生まれる。
map_0798#178	女は健やかである力を持たずに生まれる。
map_0798#179	子供は愛される力を持たずに生まれる。
map_0798#180	あなたはそんな子供の一人に過ぎない、
map_0798#181	また一人の犠牲者、
map_0798#182	酸の海に浸された一滴の雫。
map_0798#183	リン: これはかつてアルセウスが自らの意志で生み出した世界。
map_0798#184	遠い昔、人もアルセウスも持たなかった英知をもって、私たちはついに公平が存在しうる世界へと創造を導ける。
map_0798#185	ティタニア: それで、何が公平かは一体誰が決めるの?
map_0798#186	ファーン: わたしたちに決まってるでしょ!
map_0798#187	フロリニア: 必要な資格が欠けている可能性があります。
map_0798#188	ティタニア: 資格なんて存在しない。
map_0798#189	自分がその役目にふさわしいと思ってること自体が、さっき言った特権意識の証拠。
map_0798#190	あなたが欲しいのは公平じゃない。
map_0798#191	欲しいのは特権。
map_0798#192	欲しいのは支配。
map_0798#193	ファーン: それの何が悪いのよ?!
map_0798#194	リン: 手に入らないものを掴もうとするのが、人間の性。
map_0798#195	フロリニア: 自然は、平和にふさわしい社会環境を生み出すことが稀にしかありません。
map_0798#196	ファーン: 「平和」に落ち着いた日常がクソみたいなら、そんなの何の意味があるの?
map_0798#197	ティタニア: あなたはまだ、それを決めるのが自分だけみたいな顔してる。
map_0798#198	勘違いしないで、坊や、世界は横向きにねじ曲がってる。
map_0798#199	でも、あなたとわたしが横向きだと見ているものも、他の誰かには真っ直ぐに見えてる。
map_0798#200	そしてわたしたちが真っ直ぐだと思うものが、また別の誰かを壊すかもしれない。
map_0798#201	自分の見方だからってだけで、それが正しいと思い込む権利なんてあなたにはない。
map_0798#202	リン: 私たちの権利は、私たちの力。
map_0798#203	誰にも覆せない力。
map_0798#204	ティタニア: それがまさに暴政ってやつよ。
map_0798#205	ファーン: わたしたちだけのためじゃない、みんなのためにやってるの!
map_0798#206	ティタニア: さっき自分のためだって、まさにそのままの内容で長々と語ってたじゃない。
map_0798#207	ファーン: どっちもよ。
map_0798#208	誰にも止められないんだから、できるでしょ!
map_0798#209	フロリニア: しかし、あなたはすでにバトルで敗北しています。
map_0798#210	ファーン: そんなの関係ない。
map_0798#211	ティタニア: じゃあ、あなたの無限の英知によれば、何が関係あるわけ?
map_0798#212	ファーン: わたしたちが頂点にいるってこと。
map_0798#213	あんたたちには届かないってこと。
map_0798#214	ティタニア: 賭ける?
map_0798#215	ファーン: あぐっ!!
map_0798#216	フロリニア: ティタニア――
map_0798#217	ファーン: わ、わたしの顔…
map_0798#218	何やってんの?!
map_0798#219	ティタニア: その力はどこ行ったの?
map_0798#220	ファーン: うぅ――リ、リン…
map_0798#221	フロリニア: これは必要ありません…
map_0798#222	ティタニア: それでもまだ、その一点だけであなたが全部決めるべきだって言い張るの?
map_0798#223	ファーン: リン…な、何とか…して…
map_0798#224	リン: いいえ。
map_0798#225	ファーン: は――
map_0798#226	じ、冗談でしょ?!
map_0798#227	あんなにやったのに…
map_0798#228	これが…わたしの――
map_0798#229	ティタニア: そう。
map_0798#230	これがあなたの受け取るもの。
map_0798#231	だから、掃除機みたいに、
map_0798#232	黙って飲み込みなさい。
map_0798#233	ティタニア: あなたの兄には悪いと思うけど、
map_0798#234	でも、別に悪いとも思ってない。
map_0798#235	元々はあなたの様子を見に来ただけだったけど、もう十分痛めつけたと思うわ。
map_0798#236	続きはまた後で話しましょう。
map_0798#237	いいわね?
map_0798#238	フロリニア: 了解しました…
map_0798#239	フロリニア: 見せてください。
map_0798#240	ファーン: チッ。そんな――痛っ!
map_0798#241	やめてよ!
map_0798#242	フロリニア: これだけですか?
map_0798#243	ファーン: どういう意味よ、それ?
map_0798#244	フロリニア: ただの擦り傷です。
map_0798#245	ファーン: そう、わたしの顔にね。
map_0798#246	傷跡が残ったらどうすんの?!
map_0798#247	フロリニア: 見た目が最大の懸念であれば、これ以上心配する必要はありません。
map_0798#248	ですが、あなたには私と一緒に来てもらいます。
map_0798#249	了解しましたか?
map_0798#250	ファーン: うぅ――
map_0798#251	あの女に見捨てられたんだから、行かない理由もないし。
map_0798#252	どうせチームの残りもクソみたいなことになってるし。
map_0798#253	さっさと行こう。
map_0798#254	フロリニア: よろしい。
map_0798#255	\PN、後のことはあなたに任せます。
map_0798#256	ファーン: ねえ…
map_0798#257	こんなこと言う資格ないのはわかってるけど…
map_0798#258	リンにも、わたしの分もぶちかましてやって。
map_0798#259	フロリニア: あなたの恨みは、あなたを免罪しません。
map_0798#260	ファーン: 別に期待してないし…
map_0798#261	フロリニア: それでも、
map_0798#262	わたしがどこまで来たか見て。
map_0798#263	わたしが作った友達を全部見て…
map_0798#264	この旅には、それだけの価値があった。
map_0799#0	鍵が結晶に反応した!
map_0800#0	鍵が結晶に反応した!
map_0800#2	…はは…ハハハ…ハハハハハハハハハハハハハハハハハハハハハハハハ!!!!!!!
map_0800#3	…『ロケットロック』…
map_0801#0	鍵が結晶に反応した!
map_0802#0	???: あーあ、つまんないの。
map_0802#1	追いかけっこの演出まで用意したのに。
map_0802#2	みんな追いかけっこって好きでしょ?
map_0802#3	でしょ???
map_0802#4	でも、やりたくないならいいよ。優しくしてあげる。
map_0802#5	何もしてくれなかったなんて言わせないよ~
map_0802#7	…でも、何も起こらなかった?
map_0802#8	別のセーブファイルでアメジストの部屋のクリアが確認された。
map_0802#9	このファイルでアメジストパズルをスキップする?
map_0802#10	これを今起動すると、物語に重要な意味を持つカットシーンが省略されます。
map_0802#11	本当に続けますか?
map_0803#0	鍵が結晶に反応した!
map_0804#1	考え中。
map_0804#2	本当に考えてるって。
map_0804#3	古いエリアマップが貼られている。
map_0804#4	長い間、誰も手をつけていないようだ。
map_0804#5	別のセーブファイルでサファイア支線の氷パズルのクリアが確認された。
map_0804#6	このファイルで氷パズルの結晶を起動する?
map_0804#7	反対側にテレポートする?
map_0805#0	鍵が結晶に反応した!
map_0805#1	ファーン: フン。
map_0805#2	突然変形する結晶で不意打ちを弾くなんて…
map_0805#3	相変わらず、姑息で運任せ。
map_0805#4	そのうちここに顔を出すだろうとは思ってた。
map_0805#5	ぬめぬめした虫みたいに、あんたはいつもどこからか這い出してくる。
map_0805#6	しかも、どうやって?
map_0805#7	あの上で塔を落としてきた攻撃、卑怯さの新記録だったよね。
map_0805#8	あんたは何も気にせず、するりと全部かわしていく…
map_0805#9	誰もあんたを分相応の位置に叩き落とそうとしないから。
map_0805#10	自分には何か免罪符でもあると思ってる?
map_0805#11	自分がわたしたちより上だと思ってるの?
map_0805#12	あんたはたぶん、わたしたちを人間だとすら思ってない。
map_0805#13	否定すらしないのね。
map_0805#14	それでもまだ、何も言わない。
map_0805#15	\PN、教えてあげる。
map_0805#16	初めて会った時は、まあまあだと思ってた。
map_0805#17	ちょっと無知で、ちょっと生意気で、自分の実力を全然わかってなくて…
map_0805#18	でも、今どきそうじゃない奴なんている?
map_0805#19	その奥には、いいところがあるんじゃないかって思ってた。
map_0805#20	自分がどれだけ間違ってたか、吐き気がするくらいわかった。
map_0805#21	ジュナイパー。
map_0805#22	ファーン: \PNが意味もなく走り回るつもりなら、走り回る理由をあげる。
map_0805#23	(この挑戦ではスピードアップモードをオフにすることを推奨します。)
map_0805#24	ファーン: まだ何やってるつもり?
map_0805#25	そんなくだらない動きでわたしから逃げられると思ってる?
map_0805#26	地べたに叩き伏せてやる。
map_0805#27	ファーン: やめてよ!
map_0805#28	一体何でできてんのよ?!
map_0805#29	なんで何をやっても、あんたが結局勝つわけ?
map_0805#30	不自然どころか、気味が悪い。
map_0805#31	ファーン: ジュナイパー!
map_0805#32	もういい…
map_0805#33	ファーン: あ、あんたって――
map_0805#34	人間じゃないって言うのは、あんたにはもったいない褒め言葉。
map_0805#35	あんたはあの女みたい、
map_0805#36	空っぽで、不気味。
map_0805#37	破壊以外、何一つ持ってない…
map_0805#38	冗談抜きで、あんたはあの女よりひどい。
map_0805#39	唯一の違いは、あんたが自分のやってることを、くだらない道徳的な大義のためだって装ってること。
map_0805#40	少なくともあの女は、自分勝手な意図を隠したりしない。
map_0805#41	本当に、気持ち悪い…
map_0805#42	もうあんたのそばにいられない。
map_0805#43	二度と会わなくたって、早すぎるくらい。
map_0805#44	リボーンは想定より簡単なパズルだった。
map_0805#45	この『Xリーグ』とやらなら、俺にふさわしい挑戦を与えてくれるかもしれない。
map_0805#46	欲しいものが、いつも手に入るとは限らない。
map_0805#47	でも頑張れば、時々必要なものが手に入ったりするんだよね~
map_0805#48	古いエリアマップが貼られている。
map_0805#49	長い間、誰も手をつけていないようだ。
map_0805#50	別のセーブファイルでエメラルド支線パズルのクリアが確認された。
map_0805#51	このファイルでエメラルドパズルをスキップする?
map_0805#52	ファーン: もう終わり。
map_0805#53	こんなの不公平。
map_0805#54	あんたはただ入ってきて、勝てるってわかってる魔法の結晶を起動するだけ。
map_0805#55	他の誰がどれだけ努力したかなんて、誰が気にするの?
map_0805#56	わたしたちのことなんて、誰が気にするの?
map_0805#57	大事なのは、あんたが上に立つことだけ。
map_0805#58	どんなに姑息な手を使ってでも。
map_0805#59	あ、あんたって――
map_0805#60	はい
map_0805#61	いいえ
map_0806#0	ラドマス: こんな場所にいたのか…
map_0806#1	それでいい。
map_0806#2	サーナイト、私だ。
map_0806#3	ラドマス: わかっている。
map_0806#4	すべて大丈夫だ、愛しい人。
map_0806#5	私のところへ来てくれれば、ここを出られる。
map_0806#6	以前と同じように、すべてを置いて去ることができる。
map_0806#7	いずれにせよ、まもなく終わる。
map_0806#8	私のそばにいてくれないか?
map_0806#9	ラドマス: そうだ、それでいい、月の雫。
map_0806#10	すべて大丈夫だ。
map_0806#11	ラドマス: もう意思を伝えられないのだな?
map_0806#12	一体、奴らは何を…
map_0806#13	いや、彼女は貴様に何をしたのだ…
map_0806#14	本来、こんなことにはならないはずだった。
map_0806#15	本当にすまない、ジーナ…
map_0806#16	ラドマス: あ、ああ、そうか…
map_0806#17	愛しい人、
map_0806#18	本当に、本当にす――
map_0806#19	鍵が結晶に反応した!
map_0806#20	…でも、何も起こらなかった?
map_0806#21	ルナ: 闇を恐れる者たちへ、
map_0806#22	あなたたちは間違っている。
map_0806#23	あなたたちが恐れているのは、闇そのものではない。
map_0806#24	闇の中で抱く、その感情なのだ。
map_0806#25	それが孤独であれ、
map_0806#26	手の届く先に何があるかわからない不安であれ、
map_0806#27	あるいは、この広い世界で最も憎む相手と一緒に閉じ込められる惨めさであれ…
map_0806#28	それらはあなた自身のもの。
map_0806#29	たとえそこに見出したとしても、闇に責はない。
map_0806#30	それらはどのみち、いつもあなたとともにあった。
map_0806#31	誰もが、いつもあなたとともにある。
map_0806#32	恐れるな、この章の英雄よ。
map_0806#33	この場所でも、マスターの世話は私が見届けよう。
map_0806#34	だが、この扉はあなたには閉ざされている。
map_0806#35	もう、あなたが訪れるべき場所ではない。
map_0806#36	安らかにあれ、そして、なすべきだとわかっていることを再び試みよ。
map_0806#37	誰も、わたしたちほど幸運じゃない。
map_0806#38	まだ終わりじゃないけど、ああ! もうわたしたちは勝ってる。
map_0806#39	古いエリアマップが貼られている。
map_0806#40	長い間、誰も手をつけていないようだ。
map_0807#0	ハーディ: それでただ見逃せって言うのか?
map_0807#1	頭おかしいんじゃないのか、姉ちゃん!
map_0807#2	アヤが傷つくようなことは絶対にしねえ!
map_0807#3	シャルロット: マジで、あんたあいつらに力を持たせすぎ。
map_0807#4	ちなみに、また会ったね。
map_0807#5	いざとなったら何もする覚悟がないなら、そもそも何のためにここまで来たわけ?
map_0807#6	ハーディ: 覚悟の問題じゃねえ、ただバカな真似はしねえってだけだ!
map_0807#7	シャルロット: まさに今、5個くらいバカな真似してるじゃない。
map_0807#8	アヤ: 彼のこと放っておいてくれない?
map_0807#9	私みたいな人間のためにでも、彼は精一杯やってくれてる。
map_0807#10	ティタニア: そうかしら?
map_0807#11	ハーディ: うわ、お前もかよ。
map_0807#12	シリウス: 彼らの言うことを聞け、坊や。
map_0807#13	シリウス: 彼女の言うことを聞け、坊や。
map_0807#14	自らの手で作り出した失敗を、素直に受け入れることだ。
map_0807#15	一手誤れば、彼女の命はない。
map_0807#16	その状況が続く限り、貴様は無力を通り越している。
map_0807#17	シャルロット: ねえ、片目さん。聞いて。
map_0807#18	あんたの意見が欲しかったら、こっちから聞くから。
map_0807#19	あたしがここにいるのは、姉に何があったかあんたに聞くためだけ、
map_0807#20	だから、それを話す気になるまで黙って、大人に喋らせなさい。
map_0807#21	まあ、大人は一人だけだけど。
map_0807#22	ハーディ: 俺の方が年上だろ、相棒?
map_0807#23	シャルロット: それなのに、ここで一番子供っぽいのがあんた。
map_0807#24	シリウス: ハハハハハ…
map_0807#25	面白い娘だ。
map_0807#26	貴様の姉は、この娘を私から奪おうと必死になって、隙を見せた。
map_0807#27	この山脈の岩だらけの谷に、顔から突っ込んだのだろうな。
map_0807#28	だが娘よ、貴様はここに別の用があると思っていたが。
map_0807#29	シャルロット: メテオの炙り焼きを作ることに、抵抗はないわよ。
map_0807#30	アヤ、ちょっとした炎風呂くらい平気だよね?
map_0807#31	アヤ: あの…
map_0807#32	ハーディ: おい!
map_0807#33	彼女を傷つけるようなことしたら、俺がお前を消し止めてやる!
map_0807#34	シャルロット: はいはい、どうせそう言うだけで、
map_0807#35	結局固まって何もできないんでしょ。
map_0807#36	シリウス: シャルロット・ベルローズ、私が言っているのは、我々のチームを倒すという行為だけの話ではない。
map_0807#37	シャルロット: それじゃあ教えてよ、賢くて崇高な真実の語り手様、あんたの知恵とやらを。
map_0807#38	あたしは何のためにここにいるの?
map_0807#39	ティタニア: ねえ、速報:
map_0807#40	あなたのB級映画の悪役セリフなんて誰も興味ないから。
map_0807#41	そんなに喋り続けたいなら、舞台の外で独り言でも言ってて。
map_0807#42	シリウス: 貴様は一体どんな立場で私に挑むつもりだ?
map_0807#43	ティタニア: はいはい、あなたに挑む立場にある人間なんていない、進んでやろうとしないその一人を除いてはね。
map_0807#44	ラッキーなことね。
map_0807#45	ハーディ: おい、俺は喜んでやってやるぞ!
map_0807#46	ただ、彼女が傷つかないようなやり方でやらなきゃいけねえだけだ。
map_0807#47	ティタニア: まず、あなたのことを言ったんじゃない。
map_0807#48	それに、そんなやり方は存在しない。
map_0807#49	誰かが傷つく。そしてあなたが、その誰かを傷つける側になる。
map_0807#50	気に入ろうが入るまいが、それが事実。
map_0807#51	早くそれを受け入れれば、それだけ早くみんな前に進める。
map_0807#52	シャルロット: はっ!
map_0807#53	この人、気に入った。
map_0807#54	常識が家系に受け継がれてないのが残念だけどね。
map_0807#55	ティタニア: 本当にね。
map_0807#56	とはいえ、あいつも一番の間抜けってわけじゃない。
map_0807#57	ただ、考える場所を間違えてるだけ。
map_0807#58	アヤ: え?!
map_0807#59	ハーディ: どういう意味だよ?!
map_0807#60	彼女を救おうとすることの、何が間違ってるんだよ?!
map_0807#61	ティタニア: それ自体は間違ってない。
map_0807#62	でも、あなたの前のめりな態度と無謀なやり方が、優先順位をはっきり物語ってる。
map_0807#63	あなたはこれを彼女のためにやってるんじゃない。
map_0807#64	これは自分自身のためよ。
map_0807#65	追いかけるスリルがなきゃ、勇敢だとか大胆だとか、男の子がそうあるべきだって言われるあれこれを感じられないんでしょ。
map_0807#66	そして最後、お姫様がついにお城から救い出された時、救出者にはご褒美の温かい体が待ってるかもね――
map_0807#67	ハーディ: 姉貴、何言ってんだよ?
map_0807#68	シャルロット: ああ、この人、本当に気に入った。
map_0807#69	みんな、なかなか面白いじゃない。
map_0807#70	でも、あんたたちがどれだけ言い争ったところで、状況は変わらない。
map_0807#71	サファイラでさえ、彼女を救えなかったんだから。
