map_0859#0	-「E」は……「R」に-
map_0862#24	存在しなかったのに、いきなり存在するようになって、勝手に自分の過去まで作り出した。
map_0862#25	ふと思うんだけど――
map_0862#26	あの子をしっかり鍛えて、いっぱいキスしてあげたら――
map_0862#27	あたしにも同じことできるのかな？
map_0862#28	もう勝った歴史を作っちゃうとか、想像してみてよ？
map_0862#29	それって……
map_0862#30	……とんでもなくつまんないよね？
map_0862#31	まあ、そんなことできるわけないけど。
map_0862#32	だいたい、女の子二人が史上最強の存在になるとか、バカげてるし。
map_0862#33	まあ、他の地方だと10歳がチャンピオンになるのは普通っちゃ普通だけど……
map_0862#34	ここでも、ある意味そうだしね。
map_0862#35	でも神様になるのにも、たしか年齢制限があったはず。
map_0862#36	18歳になるか、はりつけにされるか、とかそんな感じ。
map_0862#37	別に法律なんて気にしないけど。
map_0862#38	ま、続けよっか。
map_0862#39	はい、鬼はあんた〜
map_0862#40	幾月にもわたり、恐ろしい干ばつが我らを襲っていた。
map_0862#41	我らはただ、わずかな水ポケモンたちが蓄えてくれる配給のみで命をつないでいた。
map_0862#42	そんなある日、一匹の不思議なポケモンが我らを見つけた。
map_0862#43	そのポケモンは、これまで見たどの水タイプとも違う、水を操る強き力を持っているようだった。
map_0862#44	植物に水をやるのを楽しみ、毎晩物語を読み聞かせれば、終わった後も長く留まってくれた。
map_0862#45	それから続く年月は、喜びに満ちたものとなった。
map_0862#46	やがて我らは、そのポケモンを称え、救ってくれた感謝として、この城を築くことを決めた。
map_0862#47	眠るための寝床を、さらに語り聞かせる物語を、そして最後には安らぐための玉座を用意した。
map_0862#48	そのポケモンはここを気に入り、さらなる幸せを見出したようだった。
map_0862#49	毎朝、崖の下で波間に舞い踊り、我らもまた共に踊った。
map_0865#0	地面に何か光るものがある。
map_0865#1	それはカインのピアスの片方だと気づいた。
map_0865#2	アンナ: ……\PN！
map_0865#3	あたし……あいつが……
map_0865#4	カイン！
map_0865#5	カインが目を覚ましたの！
map_0865#6	でも、あいつ……
map_0865#7	何か……様子がおかしいの……
map_0865#8	あたしはこれ以上、ここで何もすべきじゃない……手を伸ばすたびに、何かを変えようとするたびに……
map_0865#9	……\PN、伝説のポケモンたちのこと、あたしのせいなんじゃないかって不安なの。
map_0865#10	あたしのすることは……全部、何かを変えてしまう。
map_0865#11	だから……お願い、あとは任せてもいい？
map_0865#12	あちゃー、まだ帰っちゃダメだよ。
map_0865#13	リン: プレゼント、まだ準備中なんだから！！
map_0865#14	ちょっとくらい待てないの？？？
map_0865#15	うわーもう、まだ包む時間もなかったのに！
map_0865#16	つーか、もうちょっと感謝の気持ちがあってもいいと思うんだけど。
map_0865#17	そりゃまあ、世界中を堂々と歩き回って、みんながちやほやしてプライドをくすぐってくれるんだろうけど。チャンピオンってそういうものなんだろうし。
map_0865#18	でもさ、誰のおかげでそこまで来られたか、忘れないでよね。
map_0865#19	ま、幕の裏にあるご都合主義には目をつぶってもらうとして。
map_0865#20	そもそも、あんたが勝てるようにお膳立てしたのは誰だと思ってるわけ？
map_0865#21	急所に当たる必要なんて、本当はなかったんだから。
map_0865#22	あんたが得意げに突っ切ったエリア、いちいち都合よく出口があったよね？
map_0865#23	あの光の欠片、誰があちこちに置いてあげたと思ってるの？
map_0865#24	はぁ？
map_0865#25	別に、あんたのやったことが全部無意味だったとか言うつもりはないけど。
map_0865#26	ちょっとくらい感謝してくれてもいいのになって、それだけ。
map_0865#27	これだって、そう。
map_0865#28	あんたの友達、こうやって探してあげてるのに――
map_0865#29	だから忘れないで、
map_0865#30	あたしの方が、アンナよりずっとあんたのために動いてるんだからね。
map_0865#31	カイン: よぉ……お前……
map_0865#32	……マジで、醜いな。
map_0865#33	カイン: 触るな。
map_0866#0	チーフ: なんと！ やっぱり追ってきたか！
map_0866#1	そりゃそうだよな！
map_0866#2	チーフ: つまり、お前を差し向けてきたわけか！
map_0866#3	この一件、いずれお前とオレが対決することになる気はしてたんだ！
map_0866#4	それも、あれだけのことがあった後にな……
map_0866#5	トレインタウンでのちょっとした会話の後、こうなるのは分かってたはずだ。
map_0866#6	オレたちの対決は、避けられなかったのかもな。
map_0866#7	なにしろ、こうなった後じゃ当然のことだ――
map_0866#8	コリン・ルージュ: 華麗なる怪盗、コリン・ルージュ推参！
map_0866#9	麗しき淑女よ、再びまみえて我が心は舞い上がる！
map_0866#10	しかし、麗しき人よ、この驚きを想像してくれ！
map_0866#11	オーブを盗まんとこの企てに挑んだが――なんと愚かだったことか！
map_0866#12	我が真に盗むべき宝は、あなたの美しさをひと目見ることにほかならなかったとは！
map_0866#13	かくも天使のごとき顔を見つめ、この胸の高鳴りを感じるのは、いつ以来であったか……
map_0866#14	永遠の追いかけっこがもたらすアドレナリン――あなたと我とのタンゴ――探偵とペテン師の踊り！
map_0866#15	そして最後には、美貌に見合う知略まで見せつけてくれるとは！
map_0866#16	まことに、あなたはいかなる春の花にも勝る一輪よ！
map_0866#17	だが悲しいかな――我は敗れ、恥までかいてしまった！
map_0866#18	よもや我が計画が、己の相棒によって崩されるとは！
map_0866#19	こんなことがあり得ようか、それもかくも眩き星がその中心に描かれるとは！
map_0866#20	それに、あなたは確かによく戦った！
map_0866#21	だが淑女を出し抜くのは、我のような男の性というものよ！
map_0866#22	それがこの振り子をより甘美なものにする！
map_0866#23	我が至宝たるあなたのために、起こったことの一部始終を明らかにしよう、共に味わえるようにな！
map_0866#24	最後にはこうして我を見つけ出すとは、あっぱれだ！
map_0866#25	綿密に練られたはずの計画は、あまりにもあっけなく崩れてしまった……
map_0866#26	どうやら、我が計画に横やりを入れたのは、我が身内の仲間であったようだ、
map_0866#27	そして、あなたは偶然それに出くわしたというわけだ！
map_0866#28	今回もまた、我は一歩先を行っていたようだな！
map_0866#29	ご覧の通り、我が友がここに！
map_0866#30	昨今の出来事を思えば、説明の必要もあるまい。
map_0866#31	この友がたまたま獄中の我が独房へと通じる穴を開けてくれたのは、神の采配、あるいはそれに近い何かであった！
map_0866#32	まったくの偶然から、このちびが我が盗みの一つに割り込んできて……
map_0866#33	ご想像の通り、それ以来ずっと固い友情で結ばれているというわけだ！
map_0866#34	今回の計画は、さほど複雑なものではなかった……
map_0866#35	オーブ発見の噂を耳にするや否や、我はその情報の足跡を追い始めた。
map_0866#36	我の調査は気づかれ、チーフは輸送を早めの列車に変更した。ゆえに、素早く動かねばならぬと悟った。
map_0866#37	あなたが話を聞いた六人に招待状を送った――それぞれ、己の目的でオーブを盗みかねぬ者たちだ。
map_0866#38	狙い通り、それぞれが試みた。
map_0866#39	だが常のごとく――我ははるか先を行っていた。
map_0866#40	力仕事をこなしてくれたのは、ここにいる我が友だ。
map_0866#41	列車の先頭で回路をいくつか断ち切り……
map_0866#42	灯りが消えると同時に後方へワープ……
map_0866#43	そして先頭へと戻り、オーブを機関室に隠す……
map_0866#44	特にブルーオーブは、トレインタウンの住民たちにとって値の付けようもない代物となろう。
map_0866#45	それを水源として制御する術さえ会得できれば、彼らはもう何も案じる必要がなくなる。
map_0866#46	……だが、我が友はどうやら少々悪ふざけを決め込み、代わりにあなたのかばんへと忍び込ませてしまったようだ。
map_0866#47	コリン・ルージュ: ……こいつがそれをやるのは、これが初めてじゃない。
map_0866#48	面白いと思っているようでな。
map_0866#49	間違っているとも、自信を持っては言えんが。
map_0866#50	とはいえ！
map_0866#51	語らいはもう十分だろう？
map_0866#52	この愛おしい時間を切り上げるのは心苦しいが、
map_0866#53	我にはまだ、逃げ延びる仕事が残っている。
map_0866#54	だが逃げるより、堂々と戦って勝負する方が性に合っているようだ。
map_0866#55	我と我が友、二人であなたの美しさに挑もう……
map_0866#56	我と我が友、二人であなたの力に挑もう……
map_0866#57	さて、勝つのはどちらだと思う？
map_0866#58	今回ばかりは、運が我に味方しなかったようだ。
map_0866#59	ハァァァ！？
map_0866#60	コリン・ルージュ: なんと……我らのタッグをもってしても、あなたのような戦乙女の優雅さには敵わぬか！
map_0866#61	よろしい、我が淑女よ！
map_0866#62	こうなっては、我に残された道はただ一つ……
map_0866#63	コリン・ルージュ: これでも、まだ足りなかったか……
map_0866#64	ならば、なすべきことはただ一つ……
map_0866#65	……逃げるのみ！
map_0866#66	テラ: 放っておいて。
map_0866#67	あたしが邪魔する前、何かやってたんでしょ。
map_0866#68	もうこの話に、あたしが加わる必要はないから。
map_0866#69	テラ: やめて！！！！
map_0866#70	テラ: ハンマータイム
map_0866#71	おおっと、待って、それって――
map_0866#72	しまった、あいつをここに送るつもりじゃなかったのに。
map_0866#73	あれは味方じゃない――
map_0866#74	ちょっとした行き違い、ホントごめんね。
map_0866#75	スタッフがすぐに片付けますので！
map_0866#76	ほら、こうやって――
map_0866#77	これで、なかったことにしちゃおう。
map_0866#78	うん、これでよし！
