map_0085#59	受け取る?
map_0085#122	身なりでも整えて、まともな道でも探すべきかもな。
map_0085#123	通してやってるんだから、文句言うなよ…
map_0085#124	子供: …そ、それで大ホールから追い出された後、誰かがここに来るといいって言ってて、
map_0085#125	い、今はただ、お母さんが戻ってくるのを待ってるとこ、それでちゃ、ちゃんとベリルに帰れるように…
map_0085#126	この金属の「たんさくの棒」ってのを見つけて、それで拾い物してたんだ…
map_0085#127	???: …そうか。
map_0085#128	まあ、それはそれとして、子供がいるような場所ではないな。
map_0085#129	というのも、私自身、リボーンシティの子供たちのための施設のようなものを運営していてね。
map_0085#130	家のない子に、住む場所を与えているんだ。
map_0085#131	必要なだけ、食事も住まいも、友達だって不自由なくあるよ。
map_0085#132	君の親御さんと連絡が取れるか確認してみよう。できるだけ早く迎えに来てもらえるようにね。
map_0085#133	もし連絡がつかなければ、必要なだけラピスワードで一緒に過ごしてもらって構わないよ。
map_0085#134	どうだろうか?
map_0085#135	子供: う、うん…
map_0085#136	こ、こんな場所よりはましだし。
map_0085#137	こ、これ、見つけたアメ、持っていってもいい?
map_0085#138	???: それは置いていった方がいい。
map_0085#139	こんな場所から出てきたものは、不衛生だからね。
map_0085#140	子供: 不衛生???
map_0085#141	アメで病気になっちゃうの?
map_0085#142	でもたんさくの棒が!!!
map_0085#143	あれ、嘘ついてたの?
map_0085#144	ま、待って、もういらない――捨てさせて。
map_0085#145	???: …まあ、ポイ捨てもよろしくないな。
map_0085#146	そこの君。
map_0085#147	この道具、君なら使えるだろう?
map_0085#148	トレーナーにはよく役立つと聞くよ。
map_0085#149	子供: 大事にしてね?
map_0085#150	それで見つけたアメは食べちゃだめだよ!
map_0085#151	野菜なら平気かな?
map_0085#152	???: …その道具で見つけたものについては、君が正しい判断をしてくれると信じるしかないな。
map_0085#153	それで、君は、
map_0085#154	新しい住まいへ向かおう。
map_0085#155	ちゃんと栄養のある、温かい食事を用意してあげよう。
map_0085#156	ついておいで。すぐに案内するから。
map_0085#157	失礼、見慣れない顔だな。
map_0085#158	ちょっといいか?
map_0085#159	誰もこっちの都合なんて考えず、勝手に縄張りに入ってくるばかりだ。
map_0085#160	街の他の場所は栄えてるってのに、俺たちは結局ここに戻ってくるしかない。
map_0085#161	でも大衆に説教したって意味ないけどな。
map_0085#162	あいつらには、俺たちの立場で何マイルも歩く気持ちなんてわからねえよ。
map_0085#163	経験なくして、誰がわかるっていうんだ?
map_0085#164	チャンスがあるたびに足りないってのがどんな感じか、本当に知りたいか?
map_0085#165	今度誰かにパスワードを聞かれたら、「emptyivs」って伝えてくれ。
map_0085#166	そうすれば、お前のポケモンにも不運の空虚な痛みってのがわかるだろうさ。
map_0085#167	はい
map_0085#168	いいえ
map_0087#2	くそっ!
map_0087#4	飲みすぎたみたいだ。今日は何も飲んでないってのに…
map_0087#5	ウルフ: うわ、マジかよ…
map_0088#0	子供: うわ、まじか、あんた――
map_0088#1	あ、なんでもねえ。あんたに話しかけてねえよ、あっち行け!
map_0088#2	ケンカ売りたいなら別だけどな。
map_0088#3	ぶちのめすの、怖くねえからな。
map_0088#4	消えるのか、どうなんだ?
map_0088#5	カイ: いやだね!
map_0088#6	子供: くそ、しまった。最初から何も言わなきゃよかった。
map_0088#7	あんた、大ホールでレアなポケモンを騙し取られたやつだって気づいたんだ。
map_0088#8	もう盗まれてるもんなら盗みとは言わねえだろって思って、うまいこと騙してそのレアなポケモンを自分でかっぱらったんだ。
map_0088#9	それを北オブシディアのギャングのやつに売って、一週間分の食料を買ったけどな。
map_0088#10	あそこのギャングはラピスから巻き上げてるから、羽振りがいいんだよ。
map_0088#11	とにかく、もうポケモンは俺の手元にないってわけだ。
map_0088#12	悪いな、相棒!
map_0088#13	子供: あんた、大ホールでレアなポケモンを騙し取られたやつだって気づいたんだ。
map_0088#14	ん? 入口は封鎖されている。
map_0088#15	「南オブシディアショッピングプラザ――グランドオープン」
map_0088#16	「南オブシディアショッピングプラザ――金曜の夜はドリンク無料!」
map_0088#17	自動販売機だ。\nどの飲み物にする? \G
map_0088#18	\Gおいしいみずが出てきた!
map_0088#19	\Gおまけだ! もう一本おいしいみずが出てきた。
map_0088#20	\Gバッグに空きがない。
map_0088#21	\Gお金が足りない。
map_0088#22	反応がない。
map_0088#23	自動販売機は完全に売り切れている。
map_0088#24	マクノシタ: クゥーハ!
map_0088#25	また通りすがりか?
map_0088#26	最近はここもそれなりに人通りがあるが、ほとんどはポケモンだな。
map_0088#27	特にがたいのいいやつが、時々ここに来る。
map_0088#28	今はいないと思うが、
map_0088#29	どのみち食い物の匂いがしないと居着かないんだ。
map_0088#30	いいえ
map_0088#31	はい
map_0088#32	おいしいみず - $200
map_0088#33	サイコソーダ - 売り切れ
map_0088#34	ミックスオレ - 売り切れ
map_0088#35	キャンセル
map_0090#0	すみません、ポケモンギャングの活動を調査しているのですが。何か不審な行動を見ませんでしたか?
map_0090#1	ネヴィル: いや、それはなかなか不愉快な余興だったな。
map_0090#2	ポケモンギャングというのは、人間がポケモンを使うギャングのことではなく、ポケモン自身による都市部でのつながりのことでしてね…
map_0090#3	実に興味深いものですよ!
map_0090#4	この先へ進むつもりなら気をつけてください。
map_0090#5	この先の飛び降りで足を滑らせて怪我をした、行き場のない紳士たちを何人も見てきましたので。
map_0090#6	気をつけて跳んでくださいね?
map_0090#7	錆びついてボロボロだが、この古い場所は地震の中で唯一まともに残ったもんだ…
map_0090#8	ブロディ: ボロボロで埃だらけ…ちょうどこの古い場所みたいにな。
map_0090#9	ここが沈んでなけりゃ、俺たちは今頃どこにいたんだろうな?!
map_0091#0	v 屋上へ
map_0091#1	あの箱がまた動き回ってるぞ…どうすりゃいいんだ!?
map_0091#2	メイソン: あれが…動いてる…何だって?
map_0091#3	ええっと…*ヒック*
map_0092#0	ストリートラット: ありがとうございました、モリナー先生。それじゃ、俺はこれで。
map_0092#1	ストリートラット: おっと、また患者か?
map_0092#2	待たせて悪かったな。
map_0092#3	もう手が空いてるし、元ジムリーダーだけあって、ちゃんと診てくれるぜ。
map_0092#4	コーリー: 私はこれ以上予約を入れた覚えはない。
map_0092#5	…ああ、君か。
map_0092#6	今回は何の用件で来たのかね?
map_0092#7	この建物を通る道は屋上経由だ、別の道になる。
map_0092#8	個人の診療の邪魔をする理由など、君にはないはずだが。
map_0092#9	それに、ここは誰かの家だぞ。
map_0092#10	私は必要に応じてこの場所を使う許可を得ているが、君には不法侵入する特段の理由がないと見えるが。
map_0092#11	立ち去りたまえ。
map_0092#12	コーリー: …チッ。
map_0092#13	コーリー: まあ、過去に助けてもらった以上、一応の礼儀は尽くすべきかもしれんな。
map_0092#14	私が以前ジムリーダーだったという話は気にしなくていい。
map_0092#15	嘘ではないが、今は関係のない話だ。
map_0092#16	ここでは、浮浪者や見捨てられた人々のために診療を行っている。
map_0092#17	説明するまでもないと思うが、彼らには通常の医療を受ける手段がない。
map_0092#18	だが、彼らも他の誰とも同じく、治療と健康を受ける権利がある。
map_0092#19	しかし、このやり方は完全に合法とは言えない。
map_0092#20	口外しないようお願いしたい。
map_0092#21	???: 私はこれ以上予約を入れた覚えはない。
map_0092#22	緊急の治療が必要というのでなければ…
map_0092#23	…そうは見えないが…
map_0092#24	それに、口を開けたまま突っ立っているここは、誰かの家だぞ。
map_0092#25	???: …チッ。
map_0092#26	先ほど私が元ジムリーダーだという話が出た以上、匿名を保つ意味もほとんどないだろうな。
map_0092#27	コーリー: コーリー・モリナー医師だ。
map_0092#28	「お役に立てれば」というのが常套句だろうが、実際、私は困っている者のために身を捧げているつもりだ。
map_0092#29	…だが君がその範疇に入るとは思えないがね。
map_0092#30	不法侵入の後にきちんと自己紹介をした代わりに、口外しないようお願いしたい。
map_0092#31	君は私をここで見ていない。
map_0092#32	それをはっきり理解してもらいたい。
map_0092#33	それでは。
map_0094#8	はい
map_0094#9	いいえ
map_0095#0	今走ってったやつ――あれは俺のだ、俺のなんだぞ!
map_0095#1	ダックス: わかった、お前のだよ。
map_0095#2	ぐるるるる。
map_0095#3	ズルッグ: ズル…ッグ…ズル、ッグ!
map_0095#4	ズルズキン: ズル…ズキン!
map_0095#5	ギャング: …ズル…
map_0095#6	ズルズキン: …ズル…
map_0095#7	ズルズキン: …ズルズキン。
map_0095#8	はねられたズルッグが、哀れむようにこちらを見つめている…
map_0095#9	ズルッグを連れていく?
map_0095#10	ズルッグを入れる空きがなかった…
map_0095#11	はい
map_0095#12	いいえ
map_0096#0	\PNはくすんだカギを鍵穴にはめ込んだ。
map_0096#1	門が開いた!
map_0096#2	施錠されている。
map_0097#0	倉庫から奇妙な物音が聞こえてくる…
map_0097#1	\PNはそうこのカギを使った。
map_0097#2	ドアの鍵が開いた!
map_0097#3	鍵がかかっている!
map_0097#4	\PNはみなとのカギを使った。
map_0097#5	…うまくいかなかった!
map_0097#6	ドンドン
map_0097#7	中で何かが壁を叩いている。
map_0097#8	ちくしょう! お前のせいで逃がしちまった!\nって言いたいところだが、そもそもこの湖は毒がひどすぎて釣りなんてできやしないんだけどな。
map_0097#9	ウェイド: また泥の中か…
map_0097#10	ヘドロを少しずつ釣り上げていくとするか。
map_0097#11	???: どうも、何か用かしら?
map_0097#12	あら、本当にわたしを探してたの?
map_0097#13	アマリア: ええ、わたしがアマリアよ。
map_0097#14	でもごめんなさい、少し待ってもらえる?
map_0097#15	あそこにアシマリが取り残されてるみたいで、安全な場所に連れていかないと。
map_0097#16	わたしはみずタイプのトレーナーだけど、今はみずタイプでも泳いだら大怪我しかねないの…
map_0097#17	まあ、仕方ないわね。
map_0097#18	あの倉庫にちょうど船を係留してあるの。
map_0097#19	酸性の水の中を走らせるのは船に良くないけど、今はどうしようもないわ。
map_0097#20	カイン: よお、\PN!
map_0097#21	カイン: もう上流階級のお友達作ってるってわけ~?
map_0097#22	アマリア: あはは、「上流階級」ってほどでもないと思うけど…
map_0097#23	カイン: \PN、まさか知らなかったとか言わないよね…
map_0097#24	アマリアはリボーンでも指折りのジムリーダーなんだよ!
map_0097#25	アマリア: ほんと、大したことじゃないわ。
map_0097#26	それより、アシマリを助けないと。
map_0097#27	ちょっと待っててね…
map_0097#28	カイン: アシマリ?
map_0097#29	ああ、あそこに閉じ込められてるの?
map_0097#30	てっきり二人で夕日でも眺めてるのかと思ったよ~
map_0097#31	ここは俺に任せてよ。
map_0097#32	アマリア: あら?
map_0097#33	カイン: ~ ひとりじゃないよ、疑わないで ~
map_0097#34	~ みんなで知恵を絞って、解決してみせるよ ~
map_0097#35	カイン: ベトベター、お前を選ぶよ!
map_0097#36	カイン: ~ すぐにお前のそばに行くから! ~
map_0097#37	~ 俺たちはジェットコースターに乗ったチーム ~
map_0097#38	~ みんな、やるべきことをちゃんとわかってる ~
map_0097#39	~ 俺たちは止まらない――止まらない――
map_0097#40	~ お前を探し続けるよぉ ~
map_0097#41	カイン: よお、アシマリ、乗ってきな!
map_0097#42	アシマリ: あ、アシ!
map_0097#43	アシマリ: アシ!
map_0097#44	アマリア: すごいじゃない!
map_0097#45	カイン: だろぉ、よく言われるんだ。
map_0097#46	まあ、大体は男の子からだけどね。
map_0097#47	アシマリ: アシマリ!
map_0097#48	カイン: よくやった、ベトベター! もう戻っていいよ。
map_0097#49	アマリア: さすが、リボーンのどくタイプリーダーってところね。
map_0097#50	カイン: …あ。
map_0097#51	実はさ…最近リーダーを退いたばっかりなんだ。
map_0097#52	アマリア: …あら?
map_0097#53	あなたの前のリーダーも、この間引退したばかりじゃなかった?
map_0097#54	あのポジション、呪われてるんじゃないの?
map_0097#55	カイン: いや、ただ――
map_0097#56	いろいろあってさ、ひとつのタイプに自分を縛るのは俺には合わなかったんだ。
map_0097#57	ま、アシマリは元気そうだし…俺はこの辺で失礼するよ。
map_0097#58	またね、\PN~
map_0097#59	アシマリ: アシアシ!
map_0097#60	アマリア: あら、あなたのことすっかり気に入ったみたい。
map_0097#61	カイン: え?
map_0097#62	まあ、かわいい奴だしね。
map_0097#63	なあ、アシマリ、俺と一緒に来る?
map_0097#64	アシマリ: マリ~!
map_0097#65	アマリア: それ「お願いします」ってことだと思うわ。
map_0097#66	カイン: あはは、積極的だね~
map_0097#67	よし、これからは俺がお前を守ってやるよ、相棒。
map_0097#68	カイン: あれ、どうしたの?
map_0097#69	アマリア: 推測するなら、もう守られてばかりはいやってことじゃないかしら。
map_0097#70	恩返しがしたいんだと思うわ。
map_0097#71	アシマリ: マリ!
map_0097#72	アマリア: そうよね! トレーナーのことも守ってあげなくちゃ、アシマリ、そうでしょ?
map_0097#73	アシマリ: アシマリ!
map_0097#74	アマリア: ねえ、\PNだったわよね?
map_0097#75	アシマリに、自分の力を証明するチャンスをあげてくれないかしら?
map_0097#76	アマリア: …考え直したら、駆け出しのトレーナーを、その…元ジムリーダー相手にぶつけるのは不公平かもしれないわね。
map_0097#77	カイン: 気にしないで。
map_0097#78	\PNにはもう一本取られてるしね。
map_0097#79	それに俺も新しいパーティで一からやり直してるところだし。
map_0097#80	それに、もうバッジひとつ手に入れてるんでしょ?
map_0097#81	アマリア: あら? ジュリーを倒したの?
map_0097#82	興味が湧いてきたわ!
map_0097#83	カイン: やろうよ~
map_0097#84	リベンジマッチだ、\PN!
map_0097#86	アマリア: 一からやり直してるとは言ってたけど、まさかアシマリが負ける側になるとは思わなかったわ…
map_0097#87	カイン: いやあ、\PNは驚きに満ちてるからね、いい意味でさ~
map_0097#88	とはいえ、そろそろ本当に行かなきゃ。
map_0097#89	荒地でいくつか片付けなきゃいけないことがあってさ、放っておくと後で痛い目見るから。
map_0097#90	アシマリを回復させてから、また今度会おうね!
map_0097#91	いい時間をありがとう、\PN!
map_0097#92	アマリア: アシマリがいい人に預けられて安心だわ!
map_0097#93	でもあの子、そもそもどこから来たのかしら?
map_0097#94	それはさておき、今の湖の状態のせいで、たくさんのポケモンが苦しんでいるの。
map_0097#95	水がきれいになるまで、できるだけ多くのポケモンを守ることを、わたし自身の使命にしているの!
map_0097#96	ああ、そうだ――わたしに何か用があったのよね?
map_0097#98	すっかり気が逸れちゃって、リニを放ったらかしにしちゃったわ!
map_0097#99	このあたりでミート団のエージェントが目撃されたって報告を追いかけてたの…
map_0097#100	名前はボレアリスっていうそうよ。
map_0097#101	そんな感じの人、見かけなかった?
map_0097#102	…それだと運が良すぎるわね。
map_0097#103	どのみち、もう手がかりは冷めきってるでしょうけど。
map_0097#104	これのためにフロリニアがあなたをよこしたのよね?
map_0097#105	アマリア: わたしはもう上に戻るわ。
map_0097#106	リニがあなたに手伝いを頼んだんなら、あなたも一緒に来るべきよ!
map_0097#107	すぐ会いましょうね!
map_0097#108	ここはとても静かね。
map_0097#109	かつては、上の街の喧騒から逃れる、いい場所だったのに。
map_0097#110	いつか水がきれいになったら、また戻ってくるかもしれないわね。
map_0097#111	ヨーテリー: ワンワンワンワンワゥ…!
map_0097#112	ヨーテリーはまた逃げてしまった!
map_0097#113	壁に広告が貼られている…
map_0097#114	「驚異のアゲートサーカス!
map_0097#115	見世物師、道化師、そして大混乱!
map_0097#116	今なら、名高きアゲート・エース三頭政もご登場!
map_0097#117	リボーンリーグの三人のジムリーダーに挑戦し、壮大なショーの中でぶつかり合え!
map_0097#118	アゲートシティのすぐ西で!
map_0097#119	ハスボー: ハスボーー!
map_0097#120	ハス?
map_0097#121	ハスボー!!!
map_0097#122	ハスボーにポケスナックをあげる?
map_0097#123	…*パクッ*
map_0097#124	…ハスボーは\PNの仲間になった!
map_0097#125	ハスボーを入れる空きがなかった…
map_0097#126	ハスボーは、自分が何をしていたつもりだったのか知らないが、そこへ戻っていった。
map_0097#127	あ、あんたか!
map_0097#128	なあ、あのレアなポケモンの件、本当に悪かったな。
map_0097#129	相方とは縁を切って、今は自分の人生を生きてるんだ! もう詐欺はしないぜ!
map_0097#130	実はあれ、全部相方の思いつきだったんだ。
map_0097#131	あんたに負けたのも、あいつのせいだったし。
map_0097#132	バトルで俺の言う通りに動いてくれたことなんて一度もなかった。
map_0097#133	あいつに何をすべきか、はっきり指示できてたらな…
map_0097#134	なんつーか、あいつのパーティを「フルコントロール」できてたらなあ! そうなってりゃ勝ててたかもな!
map_0097#135	ほんと、それができりゃよかったんだけどな。
map_0097#136	文字は古すぎて色褪せ、読めない。
map_0097#137	変わった建物だな、あれは。
