map_0854#233	母: エリザベス！ どうして何も言わなかったの！
map_0854#493	さて、じいさん、結局のところ、あんたが役に立ったのはこれひとつだったようだな。
map_0854#494	さらばだ。
map_0854#495	父: 周りの誰もが私を失敗させたいだけなのではと思えてきたよ。
map_0854#496	私がお前に何かしたか？
map_0854#497	これはお前なりの仕返しなのか？
map_0854#498	シグムンド: ああ、また……
map_0854#499	シグムンド: 姉さんは大丈夫？
map_0854#500	母: それは心配しなくていいと言ったでしょう。
map_0854#501	さあ、部屋に戻りなさい。
map_0854#502	シグムンド: 母さん？
map_0854#503	彼女は眠っている。
map_0854#504	もうしばらく眠っている。
map_0854#505	でも休息が必要なの。
map_0854#506	出ていって。
map_0854#507	シグムンド: あっ！
map_0854#508	今の、流れ星だったのかな？
map_0854#509	僕の願いは――
map_0854#510	ジラーチ: ジ～
map_0854#511	チ？
map_0854#512	ジラーチ: ……ラ！
map_0854#513	ラララララ！
map_0854#514	シグムンド: 僕の願いは――
map_0854#515	リジーが完全に回復して、幸せで健康になりますように、今すぐに！
map_0854#516	流れ星ってサンタみたいなものなのかな……
map_0854#517	一晩で世界中の願いを叶えられるのかな、それとも一つしか叶えられないのかな？
map_0854#518	僕の願いなんて聞いてもらえる可能性、どれくらいあるんだろう……？
map_0854#520	でも……起きたくない。
map_0854#521	ユーフィ: ……
map_0854#522	ユーフィ: あんた、一体誰？
map_0854#523	私がここにいるべきじゃない。
map_0854#524	あんたもたぶんここにいるべきじゃない。
map_0854#525	……でも、いる。
map_0854#526	この場所を知ってる？
map_0854#527	過去に何度もここに来たことがある。
map_0854#528	もっとも、同じ過去かどうかは確信が持てないけど。
map_0854#529	ユーフィ: どいて。
map_0854#530	先に行くから。
map_0854#531	不吉な気配を感じる……
map_0854#532	進みますか？
map_0854#533	目に見えない何かが道をふさいでいる……
map_0854#534	アンナ: こんにちは！
map_0854#535	あなた誰？
map_0854#536	なんでそんな暗い顔してるの？
map_0854#537	ユーフィ: あ。
map_0854#538	ノエル: アンナ、いきなり人に暗い顔してる理由を聞くのはやめなよ。
map_0854#539	アンナ: え？ 別にいいでしょ！
map_0854#540	実際、今聞いたし！
map_0854#541	まあ、いいや。
map_0854#542	さあ来て！ みんなに紹介するね！
map_0854#543	ユーフィ: 待って、ちょっと、私はただ――
map_0854#544	アンナ: よし！ えっと、あたしはアンナ――
map_0854#545	こんにちは！
map_0854#546	これがあたしのジラーチ、ノストラ！
map_0854#547	アンナ: 「はじめまして！」だって。
map_0854#548	あっちにいるのが双子の兄のノエルと、そのクレフィ、ノモス！
map_0854#549	ノエル: ノモスはただの人形だけど、
map_0854#550	どうも。
map_0854#551	アンナ: それで！
map_0854#552	あっちがあたしの友達、シャルロット！
map_0854#553	実はすっごく可愛いんだよ。ただちょっと――
map_0854#554	ユーフィ: もういい……
map_0854#555	お願い……もう――
map_0854#556	私は友達を作りに来たんじゃない。
map_0854#557	ましてやこんな子どもたちと……
map_0854#558	ドクター・コナルはどこ？
map_0854#559	仮の予約を取ってたんだけど。
map_0854#560	シャルロット: おしゃべりとか世間話とかは苦手なタイプ？
map_0854#561	ノエル: 別に悪いことじゃないよ。
map_0854#562	アンナ: つまんないってこと以外はね！
map_0854#563	シャルロット: あたしたちはたまに来るお客さんで遊んだりするんだけど、みんながみんな乗り気ってわけじゃないんだね……
map_0854#564	……特に、あたしたちのリーグでの地位に驚かされることもないだろうし、
map_0854#565	自分自身もその中にいるわけだから。
map_0854#566	そうでしょ？
map_0854#567	アンナ: ええーっ？
map_0854#568	待って待って待って、シャルロット、何言ってるの？
map_0854#569	ユーフィ・ミトルワード、
map_0854#570	リボーンリーグ、ゴーストタイプのリーダー。
map_0854#571	だよね？
map_0854#572	ユーフィ: 気づかれるとは思わなかった……
map_0854#573	シャルロット: それが有名人ってものだよ！
map_0854#574	慣れなさい。
map_0854#575	ユーフィ: できれば慣れたくないんだけど。
map_0854#576	アンナ: あ！ ドクターが来るってノストラが言ってる！
map_0854#577	？？？: おや、お客様ですね。
map_0854#578	シグムンド: ごきげんよう、お嬢さん。
map_0854#579	私はドクター・シグムンド・コナルです。「ドクター」とだけ呼んでいただいて構いませんよ。
map_0854#580	そしてあなたが、ミトルワードさんですね。
map_0854#581	ユーフィ: ……そう……
map_0854#582	シグムンド: 私の診察室にどうぞ。
map_0854#583	少しお話ししてから、あなたの選択肢とやりたいことについて話し合いましょう。
map_0854#584	アンナ: 今なら走ってドアから出て、二度と戻らなくても間に合うよ！
map_0854#585	う――ううん……
