map_0844#264	彼らが理解できない言葉を使い続けて疎まれる危険を冒しても平気だとは、驚きです。
map_0844#336	最後のページに、小さなメモが走り書きされている。
map_0844#337	「あなたに出会えて、本当によかった」
map_0844#338	タカの筆跡だ。
map_0844#339	タウベ: かわいそうなポケモンだ…
map_0844#340	しかし、あなたならきっとこの子を正気に戻せると信じています。
map_0844#341	タウベ: ああ、またお会いしましたね、未来のチャンピオン殿。
map_0844#342	良い知らせと悪い知らせがあります。
map_0844#343	良い知らせは、セレビィが自分の時の欠片をいくつか引き寄せられたことです。
map_0844#344	悪い知らせは、その欠片たちがあまり友好的ではなさそうなことです。
map_0844#345	かわいそうに、あのポケモンは今にも暴れ出しそうです!
map_0844#346	先ほどバトルしたばかりなのにお願いするのは心苦しいのですが――私のポケモンは戦える状態ではありません。
map_0844#347	バトルでセレビィを十分に疲れさせれば、正気を取り戻せるはずです!
map_0844#348	先ほどの戦いぶりを見れば、あなたなら問題ないでしょう。
map_0844#349	セレビィもきっとあなたを信じています。行ってきてください。
map_0844#350	タウベ: お二人にお会いできて光栄でした。
map_0844#351	アルセウスがあなた方の帰路を守ってくれますように。
map_0844#352	タウベ: お二人にお会いできて嬉しく思います。
map_0844#353	タカ: セレビィを落ち着かせたら、俺たちは家に帰るのかな?
map_0844#354	…ここがリーグに取って代わられたなんて、残念だな。
map_0844#355	この植物たち、どうなっちゃったんだろう…
map_0844#356	タカ: ここに庭があるって聞いてたけど、まさか本格的な果樹園だったとはな!
map_0844#357	この木の実だけで、街ひとつ養えそうな量だ。
map_0844#358	俺の家族はみんなすごいことを成し遂げてるのに、俺だけ何も…
map_0844#359	イライアス: 我が主、あなたならこのかわいそうなポケモンの心を、きっと安らかに戻せるはずです。
map_0844#360	あなたが、必要以上に一瞬たりとも生き物を苦しめたままにするはずがないと知っています。
map_0844#361	イライアス: 私はずっと、ここを世界で最も美しい庭だと記憶していました。
map_0844#362	正直なところ、それは子供の頃ここで多くの時間を過ごした郷愁に過ぎないのだろうと、心のどこかで思っていました。
map_0844#363	しかし、この場所は記憶にある通り、確かに壮麗です。
map_0844#364	タカ: …そろそろ行かないとな…
map_0844#365	イライアス: ソラリスは偽名で、フェニックスが本名でした…
map_0844#366	ああ、いえ、もちろんご存じでしたね。
map_0844#367	ともかく、セレビィは時を渡れますが、空間は渡れません。
map_0844#368	この庭はおおよそ二番目の四天王の間があった場所にあたるので、セレビィは我々を三番目の間で我々の時代に戻すはずです。
map_0844#369	都合のいいことに、それは私の間です。
map_0844#370	我が主、あなたの準備が整い次第、いつでも出発できます。
map_0844#371	伝説のポケモンについて詳しく手書きされた図鑑だ。
map_0844#372	絵は素晴らしいが、字は酷いものだ。
map_0844#373	難しそうな宗教の教本が積み重なっている。
map_0844#374	山の真ん中に、何かの雑誌らしきものが挟まっている?
map_0844#375	『月刊ドラゴンテイマー: ジョセフ・ヘイゼル暴露インタビュー、必見!』
map_0844#376	…このインタビュー、退屈すぎて教本の方がまだ面白く見えるほどだ。
map_0844#377	『園芸とあなた: むしタイプを使って作物を活着させ、成長を倍にする方法!』という薄い本だ。
map_0844#378	誰かが多くのページに、アブリボンの落書きを巧みに描いている。
map_0844#379	はい
map_0844#380	いいえ
map_0845#0	シェリー: バトルの準備はいい?
map_0845#1	シェリー: 完璧ね。
map_0845#2	うちの四天王はかなりすごいから、挑戦者すらほとんど来ないのよ。
map_0845#3	来たとしても、負ける気がしないわ。
map_0845#4	だから、行くわよ、\PN。
map_0845#5	本物のバトルってやつを、あたしに思い出させてよ!
map_0845#7	シェリー: 10年も鍛えたのに、まだあなたのレベルに届かないなんて?
map_0845#8	すごい、本当にすごいわ…
map_0845#9	ものすごく楽しいバトルだった。
map_0845#10	さて、そろそろ研究の最後の部分について話すべきね――
map_0845#11	遺跡の石は自己修復するの。
map_0845#12	セレビィと深く結びついているから、時の流れに同調しているのよ。
map_0845#13	だから、これをそのまま持って帰ってもらえば大丈夫なはず――
map_0845#14	あなたたちの時代でニューワールドに取り残されてる方の石は、自然と消えるでしょうから。
map_0845#15	つまり…自分で取りに行かずに済むわけ。どういたしまして。
map_0845#16	取り方を突き止めるの、本当に大変だったのよ。
map_0845#17	アゲトシティまでみんなを飛ばして、何人かに挨拶したら、セレビィにあなたたち二人と遺跡の石を時代に送ってもらう、っていうのはどう?
map_0845#18	タカ: それ…いいね。
map_0845#19	それと…ありがとう。
map_0845#20	今日はかなり変な一日だった。
map_0845#21	シェリー: どういたしまして。
map_0845#22	10年前のあたし、まだ殻を破ろうとしてる頃のあたしに、ちゃんと優しくしてくれたらそれでチャラよ!
map_0845#23	準備ができたら声かけて!
map_0845#24	シェリー: ゆっくり準備して。
map_0845#25	全力以外は求めてないんだから!
map_0845#26	イライアス: この未来で、みんながどうしているか見られるとは…
map_0845#27	…それは、ぜひ見てみたいです。
map_0845#28	お力添えと、心温まるおもてなしに感謝します、チャンピオン殿。
map_0845#29	シェリー: もう出発の時間かしら?
map_0845#30	みんな、久しぶりにあなたたち二人に会えて大喜びするはずよ!
map_0845#31	そこまで飛んでいくわよ!
map_0845#32	シェリー: アゲトでは素晴らしい時間を過ごせたわね。
map_0845#33	みんな、10年ぶりにあなたに会えて大喜びだった!
map_0845#34	本当にたくさんの人が、大きく変わっていたわ。
map_0845#35	エルが、あたしの四天王が誰なのか知った時の顔ったら、最高だったわ!
map_0845#36	タカが、あたしの四天王が誰なのか知った時の顔ったら、最高だったわ!
map_0845#37	…でも、どんなにいい日でも、永遠には続かない。
map_0845#38	あなたたちが自分の時代に戻らなきゃいけないのは分かってる。
map_0845#39	アゲトでずっとみんなと話して、今の様子を見て回っていられそうなくらいだけど。
map_0845#40	シェリー: …でも、それはまた別の機会の話じゃない?
map_0845#41	シェリー: ああ、それと\PN?
map_0845#42	あなたの時代では、あなたがそれを守ることになるんだろうけど…
map_0845#43	シェリー: 気をつけなさいよ――あんたの称号、狙いに行くから!
map_0845#44	セレビィ: ビィィィィ!!!!!
map_0845#45	遺跡の石を感じ取って、セレビィは先に駆け出した。
map_0845#46	タカ: この部屋、かなり個性的な内装だな…
map_0845#48	まあ、案内してくれ。
map_0845#49	チャンピオンに会いに行かないと。
map_0845#50	イライアス: この部屋の装飾は…
map_0845#51	ああ、これは…
map_0845#52	チャンピオンにお会いする間、私はあなたの後ろに控えていることにします。
map_0845#53	セレビィが遺跡の石の周りを、興奮した様子で飛び回っている!
map_0845#54	二人のチャンピオンのバトルを見て、セレビィが拍手している!
map_0845#55	チャンピオン: ついに戻ってきたか。
map_0845#56	おかえり、タカと\PN。
map_0845#57	おかえり、イライアスと\PN。
map_0845#58	チャンピオン: この部屋、どう手を加えたか気に入った?
map_0845#59	昔のジムから、少しヒントをもらったの。
map_0845#60	チャンピオン: 最初のうちは、みんなあなたたちがいなくてどうすればいいか分からなかったわ。
map_0845#61	でも、時には自分の運命は自分で切り開かないといけないものね。
map_0845#62	チャンピオン: それで、結局はうまくいったのよ。
map_0845#63	リボーンは繁栄している。
map_0845#64	多くの他の地方とつながりを築いて、研究とバトルの世界的な中心地へと成長したの。
map_0845#65	チャンピオン: だからといって、あなたたちがいなくて寂しくなかったわけじゃないわ。
map_0845#66	いつも表に出していたわけじゃないけど、あなたたち二人と過ごした時間は楽しかった。
map_0845#67	チャンピオン: だからといって、あなたたちがいなくなったことを感じなかったわけじゃないわ。
map_0845#68	あなたたちが消えた時、リボーンは最高のトレーナーを二人失ったの。
map_0845#69	チャンピオン: あら、また感傷的になっちゃった。
map_0845#70	この10年で、素晴らしい友人たちに心を開くことを学んだの。
map_0845#71	そして、その二人がまた戻ってきてくれて嬉しいわ。
map_0845#72	チャンピオン: でも、もちろん、あなたたちはただのトレーナーじゃない。
map_0845#73	会えなくて寂しかった、大切な人たちよ。
map_0845#74	昔は感情を表に出すのがあまり得意じゃなかったけど…
map_0845#75	また会えて、本当に嬉しいわ、\PN。
map_0845#76	チャンピオン シェリー: \PN、タカ。やあ!
map_0845#77	それで、どう思う? やりすぎかな?
map_0845#78	だって、木々に囲まれるのが好きだし、この10年でターニャのおかげでおとぎ話にすっかりハマっちゃって…
map_0845#79	だから、ちょうどいいと思ったの!
map_0845#80	タカ: え、シェリー?
map_0845#81	君が…
map_0845#82	予想してた人と、ちょっと違ったな。
map_0845#83	でも、えっと…やあ。
map_0845#84	いいと思うよ。ここ、すごくいい感じだ。
map_0845#85	シェリー: 気に入ってもらえて嬉しい!
map_0845#86	じゃあ、ちょっと答え合わせしましょう。
map_0845#87	あなたはセレビィを見つけた、おそらくニューワールド創造の際に傷ついていたところを。
map_0845#88	回復させようとしたけど、その傷は普通の医療では手に負えないと気づいた。
map_0845#89	それで、セレビィと一緒に時を渡って解決策を探し始めた。
map_0845#90	そして今ここにいるのは、間違いなくセレビィが遺跡の石に引き寄せられたから?
map_0845#91	どう、当たってた? 何か見落とした?
map_0845#92	タカ: それ…かなり当たってるよ、実は。
map_0845#93	どうしてそんなに詳しく分かるんだ?
map_0845#94	シェリー: まあ、チャンピオンになった後も、あぐらをかいてはいられなかったし。
map_0845#95	インフラを整備したり、他の地方とつながりを作ったりする合間に…
map_0845#96	ずっと勉強してたの!
map_0845#97	特に伝説のポケモンについて。セレビィも含めてね。
map_0845#98	だから、セレビィがどう行動するか予測してみただけよ。
map_0845#99	タカ: それ…本当にすごいな。
map_0845#100	つまり、リボーンのチャンピオンと博士を兼任してるってこと?
map_0845#101	シェリー: もう、そんなに褒めないでよ!
map_0845#102	でも違う、博士じゃないの。
map_0845#103	正式な資格を取れるのは年末になってからだから。
map_0845#104	でも、あたしの話はもういいでしょ、こっちに来て!
map_0845#105	これ、絶対見たいはずよ!
map_0845#106	シェリー: じゃじゃーん!
map_0845#107	遺跡の石ひとつ、ニューワールドから直送、
map_0845#108	そして、すっかり元気で幸せなセレビィ、完全回復!
map_0845#109	でも、あなたたちが時代に戻る前に、ちょっとした問題がひとつあるの。
map_0845#110	タカ: まさか…俺たち、タイムラインを何かおかしくしちゃったのか?
map_0845#111	シェリー: バカ言わないで!
map_0845#112	きっと、よくやってくれたはずよ。
map_0845#113	違う、問題は単純なの。
map_0845#114	あたし、称号を手に入れた時、前のチャンピオンと戦えなかったのよ。
map_0845#115	もちろん前に戦ったことはあって、その時は負けたけど。
map_0845#116	でも今のあたしは、全然違うトレーナーなの。
map_0845#117	だから、あの時のバトルがどうなってたか、見てみましょう。
map_0845#118	準備ができたら教えて!
map_0845#119	タカ: なんかさ、俺、君じゃなくてよかったよ。
map_0845#120	少なくとも、みんな俺と戦いたくて必死ってわけじゃないから。
map_0845#121	えっと、頑張って!
map_0845#122	チャンピオン シェリー: \PN、イライアス。こんにちは!
map_0845#123	イライアス: おや、あなたはむしタイプのジムリーダーでしたね?
map_0845#124	ああ、よかった、あなたで、他の…
map_0845#125	刺されるのではないかと心配していました。
map_0845#126	シェリー: まあ、あなたが縁故の力を使って、あたしじゃなく、もう一人のぎこちないむしタイプ使いを四天王の席に据えたことには、まだかなり腹が立ってるけど。
map_0845#127	だから、まだ危ないかもしれないわよ。
map_0845#128	イライアス: 私は…
map_0845#129	シェリー: 冗談よ!
map_0845#130	イライアス: それは、とても見事でした…
map_0845#131	すべてを網羅されたように思います。
map_0845#132	シェリー: それを聞けて嬉しいわ。
map_0845#133	チャンピオンになった後も、あぐらをかいてはいられなかったの。
map_0845#134	イライアス: 私はあなたを明らかに見くびっていましたね、シェリー。
map_0845#135	我が主の導きがなければ、この地方はきっとまた混乱に陥るだろうと思っていました。
map_0845#136	…タウベ神父は、リボーンの人々を信じていました。
map_0845#137	私はまだ、彼から学ぶべきことをすべて学び切れていないようです。
map_0845#138	シェリー: タウベ、って言った?
map_0845#139	うわ、時を渡ってる間に彼と会ったの?
map_0845#140	すごいじゃない! あたしも彼から学ぶ機会があったらよかったのに。
map_0845#141	失礼ですが、あなたはどうしてタウベをご存知なのですか?
map_0845#142	シェリー: さっきも言った通り、伝説のポケモンの研究にたくさん時間をかけてきたの。
map_0845#143	タウベ・アルカンタラは、おそらく史上でも屈指の伝説のポケモン研究者よ!
map_0845#144	彼の著作を見つけるのは大変だったけど、見つけたらもう知識の宝庫だったわ!
map_0845#145	しかも、あたしの研究のためだけじゃなくて、これまで知られていなかったリボーンの歴史や、失われた伝統についての詳細な原稿もあったの。
map_0845#146	そんなものを見つけてしまったら…
map_0845#147	まあ、チャンピオンとして、さらに研究する責任があると思ったのよ。
map_0845#148	この地方が自分の歴史とまたつながれるように、精一杯手を尽くしてきたわ。
map_0845#149	イライアス: それは…
map_0845#150	シェリー: あら、また研究の話ばっかりしちゃった。
map_0845#151	ついてきて、二人ともこれは絶対見たいはずよ!
map_0845#152	イライアス: この未来は…素晴らしいですね。
map_0845#153	アルカンタラの血筋は途絶えました。その責はすべて私にあります。
map_0845#154	それは、私が生涯背負い続ける重荷です。
map_0845#155	それでも…未来は明るい。
map_0845#156	教団の教えは生き続けている。
map_0845#157	リボーンのチャンピオンが、人々に古きしきたりを思い出し、敬うことを教えてくれている…
map_0845#158	これを見せてくださって感謝します、我が主。
map_0845#159	本当に、これは…
map_0845#161	イライアス: これほど立派なチャンピオンとは…
map_0845#162	しかし、ひとつ肝心な功績が欠けていますね。
map_0845#163	シェリー: その通り。
map_0845#164	イライアス: 我が主が今日、私に微笑んでくださっている。
map_0845#165	この地方史上最高のバトルを、これから目にすることになりそうですから。
map_0845#166	タカ: 君がいなくても、結構うまくいってたんだな…
map_0845#167	リボーンには本当にすごい人たちがたくさんいるんだな。
map_0845#168	イライアス: …戻ったら、フェアリーのリーダーに連絡を取ろうと思います。
map_0845#169	グランドステアウェイの下で、あの方を操ってしまったことを謝らなければ。
map_0845#170	それに…この地方の古き日々を覚えている、他の誰かと話すことにも意味があるかもしれません…
map_0845#171	タカ: もうすぐ家だ。
map_0845#172	アゲトシティには誰がいるかな?
map_0845#173	みんな、俺がいなくて寂しかったかな…
map_0845#174	いや、ごめん、
map_0845#175	タウベなら、俺がそんな風に言うのを喜ばないだろうな。
map_0845#176	というか、今日会った誰だって、そうだろうな。
map_0845#177	だから、えっと…
map_0845#178	みんなが、俺たちのことをあまり寂しがってなければいいけど。
map_0845#179	イライアス: 10年というのは、なかなか長い年月です。
map_0845#180	私に冷ややかな思いを抱いていた人たちも、その…雪解けするだけの時間があったことを願います。
map_0845#181	私への敵意のせいで、あなたのこの経験の楽しみが損なわれることは望みません――その敵意がどれほど正当なものであっても。
map_0845#182	はい
map_0845#183	いいえ
map_0846#3	Zセルを手に入れた!
map_0846#5	起動セル数: \v[591]
map_0846#6	セル10個が必要。
map_0846#7	構築しますか?
map_0846#8	構築中。
map_0846#9	構築中 . .
map_0846#10	構築中 . . .
map_0846#11	完了。
map_0846#12	インナーゲート開放
map_0846#13	第二ゲート開放
map_0846#14	第三ゲート開放
map_0846#15	セルインバーター起動
map_0846#16	セル刻印は個体値0の機能として反転可能。
map_0846#17	刻印を反転しますか?
map_0846#18	変換中 .
map_0846#19	変換中 . .
map_0846#20	変換中 . . .
map_0846#21	エラー404 セル刻印が見つかりません
map_0846#22	第四ゲート開放
map_0846#23	分解しますか?
map_0846#24	入力は受け付けられません。
map_0846#25	分解中。
map_0846#26	分解中 . .
map_0846#27	分解中 . . .
map_0846#28	\v[49]個のセルを回収。
map_0846#29	\v[590]個のセル刻印を発見。
map_0846#30	適用可能なセルを複製中…
map_0846#31	未使用のセルは検出されませんでした。
map_0846#32	フロリニア: ご挨拶申し上げます。
map_0846#33	ここに未知の機械があるという報告を受け、調査するのが賢明だと考えました。
map_0846#34	詳細な分析の結果、このパネルの主な目的は、集めたZセルを走査・検査することのようです。
map_0846#35	現時点では、50個すべてのZセルを集める必要性はないようですが、将来的にはそうなるかもしれません。
map_0846#36	Zセルを10個ここに持ち込むごとに、別のゲートが開くようです。
map_0846#37	おそらく、これらすべての先に、セルを融合させて100%のジガルデにする方法が存在すると考えられます。
map_0846#38	…システムのハッキングも試みましたが、あいにく通常の手法はすべて効果がないようです。
map_0846#39	これらの機械には、現代のバックエンド基盤との類似点を見出すのに苦労しています。
map_0846#40	まるで、実際にそうであるというより、一般的な装置に見えるように作られているだけのようです。
map_0846#41	いささか苛立たしい、と言ってもいいかもしれません。
map_0846#42	とはいえ、これがどう機能しているのか、正直まだ少し興味がありますので、もうしばらくここに留まって試み続けるつもりです。
map_0846#43	フロリニア: ご挨拶申し上げます、\PN。
map_0846#44	この発話者は、このニューワールド空間に位置する未確認の機械についての報告を受けました。
map_0846#45	プログラムの動作を詳細に分析した結果、このパネルは主に集められたジガルデセルの検査用であると判断されました。
map_0846#46	この発話者は、50個のジガルデセルを集めることは受動的な行為としては厳密には不要であり、より生産的な行動に時間を割くべきだと仮説を立てます。
map_0846#47	ジガルデセル10個ごとの間隔を検知すると、追加のシャッターが開きます。
map_0846#48	仮説: 100個のジガルデセルを完全な100%のジガルデへと融合させるための装置が、この施設の奥に存在する。
map_0846#49	これらのプロトコルを迂回する予備的な試みを行いましたが、すべての機械はまったく反応しませんでした。
map_0846#50	追加の仮説: これらの生成された機械の背後にある論理は、現実世界の回路や論理と一致していません。
map_0846#51	したがって、従来の手法は適用できない可能性があります。
map_0846#52	とはいえ、この操作者の都合に応じて、追加の試みが行われる予定です。
map_0846#53	この件は解決したものとお考えください。
map_0846#54	あなたの側でさらなる介入が必要な場合は、通知いたします。
map_0846#55	フロリニア: Zセルを10個ここに持ち込むごとに、別のゲートが開きます。
