map_0293#117	それにはさすがに驚きましたわ。
map_0293#161	ラドマス: ようこそ。
map_0293#162	君も、ジムバトルのために来たのかな?
map_0293#163	カイン: そうだぜ。
map_0293#164	オレも追いつかないとな、な、\PN?
map_0293#165	ヘザーの件で、すっかり寄り道しちまってさ。
map_0293#166	結局、また見つけたんだけどな……
map_0293#167	あいつはあんまり喜んでなかったけど。
map_0293#168	アメトリンシティの誰かに、養子として引き取られたらしくてさ。
map_0293#169	名前はたしか、ブレイクだったかな?
map_0293#170	まあ、それでオレは十分だぜ~
map_0293#171	あいつが幸せなら、それでいい。
map_0293#172	ラドマス: なるほど、迷子の少女というのは、あちこちにいるものだね?
map_0293#173	ルナ: 何のお話でしょう?
map_0293#174	ラドマス: だが、挑戦者は二人になったのに、ジムはひとつしかない。
map_0293#175	カイン: 簡単だろ、オレと\PNで一緒に挑んで、二人ともバッジもらえばいい!
map_0293#176	ラドマス: そうであればいいのだがね。
map_0293#177	だが、盤の片側に二つの意志があって、まともな戦略が組めるかね?
map_0293#178	王が女王の動きを知らねば、王国全体が混乱に陥る。
map_0293#179	そして間もなく、チェックメイトだ。
map_0293#180	ルナ: ご主人様は、世界中のチェス大会で優勝することで、財を築かれたのです。
map_0293#181	本当に立派な方だと思いませんか?
map_0293#182	カイン: まあ、冗談だったんだけどな~
map_0293#183	こうしないか――オレと\PNでバトルして、先に挑戦する方を決めよう、な?
map_0293#184	ラドマス: 好きなように決めるがよい。
map_0293#185	カイン: \PNとのバトルは、いつだって楽しいからな~
map_0293#186	さあ、やろうぜ!
map_0293#188	カイン: うわぁ、すげえ!
map_0293#189	正直、あのバトル、半分くらい何が起きてるのかわかんなかったよ……
map_0293#190	このアリーナの仕組み、調べないとダメかもな?
map_0293#191	それまでに、こいつを弱らせといてくれよ、な~?
map_0293#192	ラドマス: おや? 自分では私に勝てないと思っているのかね?
map_0293#193	ルナ: 失礼します、ご主人様?
map_0293#194	サーナイトさんは、そちらにいらっしゃいますか?
map_0293#195	どこにも見当たらなくて。
map_0293#196	ラドマス: お前と一緒だと思っていたが。
map_0293#197	ルナ: カインが到着した時は、玄関の間にいらしたんですけど。
map_0293#198	ラドマス: この一局は、私が後手を引くことになりそうだ。
map_0293#199	ルナ: ご主人様? あなた宛てに、伝言が届いています。
map_0293#200	ラドマス: 伝言?
map_0293#201	さて、誰からだろうな?
map_0293#202	ルナ: 届けに来た方は、軽装のローブを着ていましたが、見覚えのない方でした。
map_0293#203	ラドマス: 見せてもらえるかね。
map_0293#204	ルナ: お役に立てて光栄です。
map_0293#205	ラドマス: 「ラドマス・ヴァンハネン殿へ――」
map_0293#206	「一人の」?
map_0293#207	他にもいるということかな?
map_0293#208	もう一人がいるなら、会ってみたいものだ。
map_0293#209	「ラドマス・ヴァンハネン殿へ。あなたの大切な『ゴシップ・サーナイト』を捕らえた。
map_0293#210	再び会いたければ、直ちに私の娘を返してもらおう。」
map_0293#211	署名、「―エル」
map_0293#212	なんだ、「敬具」もなしか?
map_0293#213	「愛を込めて」すらないとは?
map_0293#214	なんと無礼な。
map_0293#215	ルナ: ……あの方は、わたしの父ではありません。
map_0293#216	あなたが父です。
map_0293#217	あの方も、もういい加減それを認めてくれればいいのに……
map_0293#218	お願いです、ご主人様、わたしをあの方のもとへ送らないでください。
map_0293#219	カイン: 本当に、たった今捕まったのか?
map_0293#220	でも、オレたちが来た時、確かにそこにいたじゃん。
map_0293#221	ラドマス: おそらく、君たちのバトルのような気を逸らす機会を、待っていたのだろう。
map_0293#222	ちょうどよかった、というわけだ。
map_0293#223	カイン: すぐに取り返しに行かないと!
map_0293#224	ルナ: その通りです!
map_0293#225	サーナイトさんは、わたしの大切な友人でもあります。
map_0293#226	見つけてくださいますよね、ご主人様?
map_0293#227	ラドマス: ふむ。
map_0293#228	カイン: 心配すんな、オレたちが何とかするから~
map_0293#229	だよな、\PN?
map_0293#230	ルナ: でも、どうやって?
map_0293#231	どこへ行ったのか、まったくわかりません。
map_0293#232	どうすれば?
map_0293#233	ラドマス: 何も。
map_0293#234	ラドマス: 何もする必要はない。
map_0293#235	カイン: 何言ってんだ?
map_0293#236	あんたのポケモンだろ、気にならないのかよ?
map_0293#237	ラドマス: もちろん、気にかけているとも。
map_0293#238	だからこそ、行動する必要がないのだ。
map_0293#239	カイン: うわ、時々マジで意味わかんねえよな、あんた。
map_0293#240	だったら、オレが自分で見つけに行く!
map_0293#241	ルナ: お待ちください――わたしもお手伝いしたいです!
map_0293#242	ラドマス: ルナ。
map_0293#243	お前を、王手にかかる位置に置くわけにはいかない。
map_0293#244	なにしろ、彼が捕らえたい駒は、お前なのだからね。
map_0293#245	それほど強く望むなら、私がお前の代わりに動こう。
map_0293#246	ラドマス: 私が対処する。
map_0293#247	ここで待っていなさい。
map_0293#248	自ら奴の罠に落ちるようなことがあってはならない。
map_0293#249	ルナ: きっと、無事に決まっています……
map_0293#250	サーナイトさんは、わたしにとって献身的な友でした。
map_0293#251	ここでも、母の家でも、わたしがどこへ行くにも、喜んで付き添ってくれました。
map_0293#252	一緒にいると、とても安心できたのに……
map_0293#253	それなのに、どうしてあの方が、あの邪悪なものに苦しめられることになったのでしょう?
map_0293#254	そばを離れるべきではなかったのかもしれません。
map_0293#255	でも、誰にでも二つの面があって、その両方に同時にそばにいることなんてできないのですよね。
map_0293#256	ルナ: 皆さん、どうですか?
map_0293#257	どうして、他の方々はまだ戻ってこないんでしょう?
map_0293#258	鍵がかかっている。
map_0293#259	カイン: それで、バカな帽子を別のバカな帽子に着替えたわけか。
map_0293#260	ラドマス: まあまあ……
map_0293#261	これも、少しも滑稽なものではないよ。
map_0293#262	私はただ、適材適所の帽子を選んでいるだけだ。
map_0293#263	サーナイトを探偵よろしく探すのではないかね?
map_0293#264	カイン: いやぁ、ずいぶんと心変わりしたもんだな。
map_0293#265	ラドマス: 誤解しないでもらいたい。
map_0293#266	こんな軽率なことをする必要はないのだが、ルナが望むなら、私は従うまでだ。
map_0293#267	カイン: わけわかんねえよ。
map_0293#268	サーナイトって、一番忠実なトレーナーにしか懐かないはずなのに、あんたはまるで全然気にしてないみたいに見せるんだもんな。
map_0293#269	ラドマス: 白の王が自ら王手にかかった時、黒が動揺する必要があるかね?
map_0293#270	カイン: マジで何言ってんのか、さっぱりわかんねえ。
map_0293#271	とにかく、もうさっさと探しに行こうぜ。
map_0293#272	ラドマス: お望みのままに。
map_0293#273	彼の過去の関わりを考えると、リボーンシティの方角に逃げるだろうと私は見ている。
map_0293#274	カイン: よし、じゃあ行き先はわかったな。
map_0293#275	そこへの最短ルートは、西へ、それから1番道路を南へ。
map_0293#276	やってやろうぜ!
map_0293#277	そこへの最短ルートは、東へ、それから1番道路を南へ。
map_0293#278	カイン: これ、正直あんまり気分良くないな。
map_0293#279	普通の人が気にするようなことでも、オレは大抵平気なタイプなのにな~
map_0293#280	イライアス: お会いできて何より、若様。どうぞ、ついてきてください。
map_0293#281	襲撃者から逃れる経路は、すでに確保しております。
map_0293#282	こちらへ、急いで。
map_0293#283	メテオ団員: 捕まえたぞ!
map_0293#284	イライアス: よく言うでしょう、「チェックメイト」と。
map_0293#285	イライアス: しかし、驚いてはおられないでしょう?
map_0293#286	イライアス: もちろん、あの豚の術に、私が長く囚われ続けるはずもありません。
map_0293#287	あの男も、それは織り込み済みだったはずです。
map_0293#288	私に催眠術をかけ、執事を演じさせたのは、まず第一に悪意から、
map_0293#289	第二に、ある論点を示すためでした。
map_0293#290	これほど早く私にかけた術が解けるのなら、なぜ娘は未だに欺かれたままなのか、というわけです。
map_0293#291	なかなか説得力のある論法ですな。
map_0293#292	彼女は明らかに自らの意志を持っているのに、それでも私に逆らい続けている。
map_0293#293	あの男の誤算は、この事実が私の努力をくじくだろうと思い込んだことです。
map_0293#294	それどころか、今まで以上に彼女を救い出す必要があると、はっきりしただけのこと。
map_0293#295	イライアス: もちろん、私の邪魔をする者は、誰であろうと容赦しません。
map_0293#296	もっとも、あなた方が邪魔しているのは、私の道だけではないでしょう?
map_0293#297	ソラリスから、あなた方がチームメテオに対して働いた、不遜なお節介について、必要なことはすべて聞いております。
map_0293#298	彼らの神聖な目的への干渉は、断じて許しません。
map_0293#299	穢れた街を一掃し、その下に眠る遺跡を、かつての栄光へと取り戻す……
map_0293#300	その計画を阻もうとする者すべてに、裁きが――
map_0293#301	？？？: ニドキング!
map_0293#302	カイン: \PN、ルナが捕まった!
map_0293#303	またあの道化師だ――エースだ!
map_0293#304	イライアス: あなたも捕らえるべきだったのですが。
map_0293#305	カイン: まあな、オレは戦いもせず、少なくとも先に口説きもせずに、大人しくやられたりしないんでな。
map_0293#306	イライアス: そのいやらしい物言いが、あなたをさらに不利にするだけです。
map_0293#307	あなた方二人揃っても、私に勝てるとでも?
map_0293#308	カイン: 確かめてみるか?
map_0293#309	イライアス: アルセウス様の力を借りた、あの小さな実験を、私自身の力の限界だと勘違いなさらぬように。
map_0293#310	カイン: あんたの実力なんて、今はどうでもいい。
map_0293#311	オレがやるべきことは、わかってる。
map_0293#312	だって、\PNの手持ちが、さっきのジムバトルでボロボロなの、わかってるからな。
map_0293#313	だから、今まで動くのを待ってたんだろ?
map_0293#314	だから、オレが自分で戦う。
map_0293#315	\PNはとっくの昔にオレを超えてるし、オレが負けたって、それは関係ない。
map_0293#316	だから\PN、お前は先に行け。オレがこいつを足止めしとくから、その間に逃げろ。
map_0293#317	ルナを救うのは、もうお前次第だ、いいな?
map_0293#318	イライアス: なんとも高貴な自己犠牲だ。
map_0293#319	私が何者か、わかっているのでしょう?
map_0293#320	カイン: ああ、本当の名前を聞いて気づいたよ。
map_0293#321	あんた、エリートフォーの一人だろ。
map_0293#322	イライアス: それなら、「口説き」など通用しないことも、おわかりでしょう。
map_0293#323	あなたは、主の御前にひれ伏すことになります。
map_0293#324	チェシャ: ブラー。
map_0293#325	チェシャを撫でますか?
map_0293#326	ブラッキー: ブラー。
map_0293#327	ブラッキーを撫でますか?
map_0293#328	チェシャ: ブラッキー。
map_0293#329	ほとんど反応しない。気に入ったのだろうか?
map_0293#330	気にしていないようだ。
map_0293#331	チェシャは何も言わない。
map_0293#332	相変わらず反応はないが、手に少し体を押し付けてくるのを感じる。
map_0293#333	チェシャは相変わらず気にせず、自分のしていたことを続けている。
map_0293#334	ノエル: チェックメイト。
map_0293#335	ラドマス: 何?
map_0293#336	ばかな。
map_0293#337	ナイトで防げる。
map_0293#338	ノエル: ナイトで防いだとしても。
map_0293#339	僕はここに動く。
map_0293#340	あなたの動ける場所は、ここしかない。
map_0293#341	ここだ。
map_0293#342	あなたはここに動く。
map_0293#343	それから、ビショップ。
map_0293#344	ラドマス: ……
map_0293#345	……いや、いや、その前の手で、ここに動けるはずだ。
map_0293#346	ノエル: ナイト。
map_0293#347	ラドマス: ……くそ。
map_0293#348	ノエル: もっと正確に打つなら、その前の手でこのポーンを進めるべきだった。
map_0293#349	ラドマス: どうやって、それが見えたんだ……
map_0293#350	ノエル: 見える見えないの話じゃない。
map_0293#351	知っているかどうかの話だ。
map_0293#352	見えないからといって、そこに無いわけじゃない。
map_0293#353	ラドマス: ……確かにな。
map_0293#354	どれだけこの子がすごいか、わかったかね?
map_0293#355	言った通りだろう。
map_0293#356	ノエル: そんなにすごくない。
map_0293#357	ラドマス: まあ、聞きなさい――私はグランドマスターの座を、偽造記録と盗んだ身分で得たにすぎないかもしれないが、それでも底辺に近いわけでもない。
map_0293#358	お前が私を、これほど一貫して完膚なきまでに叩きのめすというのは、決して軽視できることではない。
map_0293#359	お前の姉もな。
map_0293#360	毎回だ。
map_0293#361	どうやら、私すら持ち得なかった才能を、お前は受け継いだようだ。
map_0293#362	おそらく、お前の母親譲りなんだろう……
map_0293#363	私には、まったく見当もつかなかった。
map_0293#364	お前たちは、お互いに対戦したりするのか?
map_0293#365	ノエル: 昔はしてた。
map_0293#366	孤児院では、他にやることがあまりなかったから。
map_0293#367	今は、選択肢がもっとある。
map_0293#368	ラドマス: アンナに勝つために、お前に助けを求めたと思うと……
map_0293#369	お前に勝つために、彼女に助けを求めるべきなのかもしれないな。
map_0293#370	ノエル: つまり、目的は彼女だけだったってこと?
map_0293#371	ラドマス: いや、むしろ、私が今こうして向き合っているのは、お前だ。
map_0293#372	お前に助けを求めたのは、単に一緒に時間を過ごす口実だったのだ。
map_0293#373	ノエル: そう。
map_0293#374	ラドマス: 一番洗練されたやり方ではないだろうが、
map_0293#375	世の父親の中には、子供を釣りに連れて行く者もいる。
map_0293#376	お前がそれをあまり気に入るとは思えないがね。
map_0293#377	私自身も、まったく好きにはなれなかったし……
map_0293#378	こちらの方が、ずっと性に合うと思ったのだ。
map_0293#379	間違っていたかね?
map_0293#380	ノエル: わからない。
map_0293#381	チェスも、そんなに面白くはないし。
map_0293#382	ラドマス: そうかね?
map_0293#383	ノエル: 毎手、打てる手の数は有限だ。
map_0293#384	計算できる。
map_0293#385	それに、現代のAIがあれば、事実上解かれたゲームだ。
map_0293#386	ラドマス: まあ、そうかもしれんな……
map_0293#387	それなら、次はもっと工夫しよう。
map_0293#388	ノエル: いいよ。
map_0293#389	別に、気にしてないから。
map_0293#390	……父さん、この帽子は何?
map_0293#391	ラドマス: ああ、わからないかね?
map_0293#392	お前に少しでも勝機を得るには、必死にならねばならないのでね、
map_0293#393	当然、これは考える帽子というわけだ!
map_0293#394	ノエル: ……ふっ。
map_0293#395	ラドマス: おお! 笑ったな!
map_0293#396	ノエル: ……かもね。
map_0293#397	ラドマス: 「かも」ではない、確実にだ!
map_0293#398	くすくす笑いに、ふふっという声――さざめきだったぞ!
map_0293#399	ノエル: 父さん――
map_0293#400	ラドマス: にやりとした笑みから始まり、「ふっ」を通り越して進化し、
map_0293#401	あざけりに、嘲笑に――やがては朗らかな大笑いへと!
map_0293#402	ひとたびくすくす笑い、くつくつ笑い――いつかは高笑いへと!
map_0293#403	大笑いの仕掛けよ――パチパチと、ケラケラと、大きな咆哮へと……
map_0293#404	にっこりと、からかいと、くすくすと――頬を寄せ合って笑い合おうではないか!
map_0293#405	ノエル: ははっ、もういいから……
map_0293#406	ラドマス: お前は、これほど笑うことが少ないには、あまりに多くを経験しすぎた。
map_0293#407	お前から引き出せる、ほんのわずかな笑い声にすら喜びを感じる、この老いた父を許してくれ。
map_0293#408	ノエル: 父さんのお父さんは、釣りに連れて行ってくれてたって言ってたよね。
map_0293#409	その人のこと、話してくれる?
map_0293#410	ラドマス: 喜んで。
map_0293#411	ラドマス: さて、どこから話したものか……
map_0293#412	あの人の名も、私自身のものと同じく偽りだったが、その理由はまったく別のものだった。
map_0293#413	はい
map_0293#414	いいえ
map_0294#0	双眼鏡越しに、街へと流れ落ちる滝が見える。
map_0294#1	その上には、優雅な山小屋が佇んでいる。
map_0294#2	双眼鏡越しに、森の中の小さな小屋が見える。
map_0294#3	ピカチュウがその上に座っている。
map_0294#4	双眼鏡越しに、崖の上の小さな街が見える。
map_0294#5	活動の様子は一切ない。通りは完全に無人だ。
map_0294#6	人々で賑わっているようだ! 通りはかつてないほど活気に満ちている。
map_0294#7	このセンターは、繁殖プロジェクトの地域拠点です。
map_0294#8	アズリン島の繁殖センターで育てられた個体を使い、リボーンに野生ポケモンを取り戻すべく、日夜活動しています!
map_0294#9	姉妹施設と、再び有意義なやり取りができるようになって、嬉しく思っています!
map_0294#10	もっとも、アズリンセンターからは、しばらく連絡がないんですよね。何もなければいいのですが。
map_0294#11	このセンターは、野生生物の研究と、自然界におけるポケモンの種の保全のためのものです。
map_0294#12	この地域のすべてのポケモンの、自然な活動を注意深く観察しています。
map_0294#13	この辺りのポケモンの多くは、常に競い合っています。とても興味深いですよ!
map_0294#14	ケンタロスとバッフロンは、ミルタンクと縄張りをめぐって、文字通り常に角を突き合わせています。
map_0294#15	森の中でも、多くのむしタイプが資源の支配をめぐって争っています。
map_0294#16	最終的には、この地域に均衡を取り戻すことを目指しているのですが……
map_0294#17	これらの種を一緒にこの地域に導入すべきではなかったのかもしれません。
map_0294#18	野生ポケモン同士の絶え間ない争いを見る限り、対戦相手を打ち負かす手助けをしてくれた者に、ポケモンは感謝する傾向があるようです。
map_0294#19	例えば、ここのケンタロスは、手助けした人間なら親切にも乗せてくれることさえあります!
map_0294#20	私たちの研究によると、バッフロンはこの辺りのポケモンの中で、最もよそよそしい傾向があります。
map_0294#21	見境なく突進する傾向があります。
map_0294#22	実際、突進する際は方向を操作しないことが多く、他の物にぶつかったり、押しのけたりしてしまいます。
map_0294#23	ケンタロスは、時々トレーナーを乗せてくれます。なかなかの体験ですよ!
map_0294#24	素早く動き、段差も苦もなく飛び越えます。
map_0294#25	ただ、彼らは気難しい生き物でもあります。ケンタロスは、人を乗せたまま丈の高い草むらを進むのを、ひどく嫌がります。
map_0294#26	現在の仮説では、草が何らかの形でバランスを乱すのではないかと考えていますが、単なる頑固さかもしれません。
map_0294#27	森のポケモンの多くは、森に住むミツハニーが作るあまいミツの香りに引き寄せられます。
map_0294#28	この蜜はとても人気があるため、特に好むポケモン――ヘラクロスとカイロス――は、しばしばそれをめぐって争います。
map_0294#29	さらなる研究のため、森のむしタイプを何匹か捕獲しようと試みたのですが……
map_0294#30	お互いに戦っている最中は、捕獲が不可能なようです。
map_0294#31	集中力が研ぎ澄まされていて、どんなボールも簡単にはじいてしまいます。残念なことです……
map_0294#32	ここのミルタンクは、繁殖目的で追跡調査しています。
map_0294#33	個体数が制御不能に増えるのは避けたいので、今のところはバランスを保とうとしているだけです。
map_0294#34	ミルタンクは通常、乳を出すのがとても遅いのですが、適切な食事と調整を与えれば、その過程を飛躍的に速めることができます。
map_0294#35	ここのミルタンクは、オレンのみを好み、それに合わせて調整されています。そのため、与えると急速に乳を出すのです。
map_0294#36	リボーンの環境は汚染されてしまい、木の実を育てられる場所はもう多くありません。
map_0294#37	この辺りの森は、少し例外的な存在です。
map_0294#38	木の実を育てられる場所を見つけたら、自由に使ってください。
map_0294#39	それと別の話ですが、この地域には、様々な失くし物も落ちています。
map_0294#40	通りすがりの方が片付けてくださっても構いませんので、何か見つけたら、ご自由にどうぞ。
map_0294#41	そういうことなら、これが役に立つかもしれません。
map_0294#42	トレーナーが誰かに「アイテムサーチ」って言ってくれれば、片付けてもらうためにこれを渡す手間も省けるんですけどね……
map_0294#43	……ああ、これは私の願望ですね、失礼しました。
map_0294#44	ちくしょう、森で調査してる時にメガネを落としちまって……
map_0294#45	あのバカな森の迷路から抜け出せたのは奇跡だけど、これからどうしよう?
map_0294#46	\PNはテックメガネを手渡した。
map_0294#47	いやはや、それだ! 奇跡が降ってきたぞ!
map_0294#48	おっと、こんな学術的な場所で奇跡なんて言葉を使うべきじゃなかったかな……
map_0294#49	とにかく、これを受け取ってくれないか?
map_0294#50	\PNはデパートシール「ヘラクロス」を手に入れた!
map_0294#51	ん? デパートのメンバーズカード、持ってないみたいだね。
map_0294#52	手に入れたら、また戻ってきてシールをもらいに来て。
