map_0478#45	この一つだけ、お願いを聞いてくれ。
map_0478#93	デジタル通信の魔法のおかげで、この失敗もなだめられたというわけだ!
map_0478#94	タカ: ……ポケベルってデジタル通信に入るのかな?
map_0478#95	エース: おいおい、よしてくれ。
map_0478#96	ここら一帯の電波状況はこの上なくお粗末でね、これが一番確実な連絡手段だったのだよ。
map_0478#97	要は、外にいるチームはこの手の失敗に備えていたということだ。
map_0478#98	今にも、きれいなリボンをかけて後始末をつけてくれるだろうよ!
map_0478#99	それが気に入らないなら、さっさと追いかけたほうがいいのではないかな、小さな英雄くん~
map_0478#100	エース: さて、観客もいなくなったことだし、
map_0478#101	小さな王子よ、君には何か気にかかることがあるようだ。
map_0478#102	それが何か、話してもらわなくてはね。
map_0478#103	小さな王子よ、それとは別に、もう一つ気にかかることもあるようだ。
map_0478#104	それが何か、聞かせてもらいたいのだが。
map_0478#105	タカ: エース、僕――
map_0478#106	どうすればいいのか、分からないんだ。
map_0478#107	エース: では、何をどうにかしなければならないのか、正確なところから話してみてはどうかな?
map_0478#108	タカ: ぼ――僕にも分からないんだ……
map_0478#109	もし父さんに知られたら――
map_0478#110	もし彼女に知られたら……
map_0478#111	や――やっぱり、何も言わないほうがいい。
map_0478#112	忘れて。
map_0478#113	エース: ……小さな王子よ、私の数々の魔法の才能の一つに、読心術があることを忘れてはいないかね?
map_0478#114	タカ: ええ、よしてよ。
map_0478#115	エース: いや、いや、もう一度証明してみせようではないか~
map_0478#116	今この瞬間、君はこう考えている……
map_0478#117	私に全部話してしまいたいが、それができるかどうか自信がない、と。
map_0478#118	他の者たちにサファイアのブレスレットをあっさり渡してしまったこと、
map_0478#119	\PNに戦いを挑んでほしいと頼んで、断られたこと、
map_0478#120	それを隠すために\PNと戦ったこと、
map_0478#121	父上のやり方に賛成できないでいること、
map_0478#122	それでも父上を失望させるわけにはいかないと感じていること、
map_0478#123	そして、もっと悪いことに――
map_0478#124	誰かが君を追い詰め、壁際に追いやっていること――
map_0478#125	ああ、君の頭の中がはっきりと見えるとも!
map_0478#126	つまり……
map_0478#127	リンだろう?
map_0478#128	タカ: もう、こういうのやめてよ……
map_0478#129	僕はもう子供じゃないんだ、エース。
map_0478#130	エース: ああ、だが私にとって、君はいつまでも小さな王子なのだよ~
map_0478#131	それに、私が間違っているとは、正直言えないだろう?
map_0478#132	タカ: ……
map_0478#133	僕はお荷物だって言われてる。
map_0478#134	それを自分で証明しちゃったみたいだ。
map_0478#135	でもリンには、もう一度失敗したら、次はないようにするって言われてるんだ。
map_0478#136	エース: それでも、たった一人の跡取りを脅す者を、君の父上が黙って許すはずがなかろう。
map_0478#137	タカ: 時々思うんだ、僕が消えたほうが父さんも楽なんじゃないかって……
map_0478#138	エース: はっきり言おう、それは彼の問題であって、君の問題ではないのだ。
map_0478#139	いや、よりにもよって君が、舞台から追い出されるなど許されはしない。
map_0478#140	それは、この一族というものの本質に、まったく反することだ。
map_0478#141	リンがそれを軽んじていることには、私も前々から気づいていたのだよ。
map_0478#142	最近のシリウスの、彼女に対する態度を見たことがあるかね?
map_0478#143	それに、あの「新世界」とかいうたわごとは一体何なのだ?
map_0478#144	かつての我々の目的とは、この地方に宿る魔法を守ることだけだったはずではないか?
map_0478#145	それなのに、台本を放り出して新しく書き直すというのなら、一体何の意味があるのだ?
map_0478#146	厄介事が起きていると、私は見ている。
map_0478#147	特に、彼女の足元でな。
map_0478#148	あの本物の道化と私を入れ替えて以来、彼女は権力争いを重ねているのだよ。
map_0478#149	考えてみれば、いや――
map_0478#150	それよりも前から、彼女はボレアリスを追い詰めていた。
map_0478#151	そろそろ、この状況を君の父上に知らせて、断固たる措置を取ってもらうべき時だと思うのだ。
map_0478#152	タカ: ……父さんは僕の言うことなんて聞いてくれないよ。
map_0478#153	どうせ、もっと骨のある人間になれとか言われるだけさ。
map_0478#154	最近、よく言われるんだ。
map_0478#155	エース: では、この件を切り出す役目は、私が引き受けようではないか。
map_0478#156	ただちに彼に連絡を取り、リンをチームから排除すべきだとはっきり伝えるとしよう。
map_0478#157	どのみち、彼女には家族への愛情も理解も、まるでないのだからね。
map_0478#158	彼女はただ権力のためだけにここにいる。私はそんなこと、立っても座っても容認するつもりはない。
map_0478#159	ゆっくり休むといい、疲れた跡取りよ。
map_0478#160	これはすぐに片がつくだろう。
map_0478#161	タカ: エース――
map_0478#162	言いたかったんだけど――
map_0478#163	あの……僕、本当に……
map_0478#164	エース: ん?
map_0478#165	タカ: 本当に心が読めるの?
map_0478#166	エース: どう思うかね、小さな王子よ?
map_0478#167	鍵がかかっている。
map_0478#168	はい
map_0478#169	いいえ
map_0479#0	シェイド: 忘れるな:
map_0479#1	四つの画面が、四つの魂の見放された運命を告げていた、
map_0479#2	まことに、その予兆の中から選ばれるのは、ただ二つのみ。
map_0479#3	北オブシディアシャッター解除
map_0479#4	\PNはフィールド効果データ26を手に入れた!
map_0479#5	濁った水面の情報が見られるようになった!
map_0480#0	北オブシディアシャッター解除
map_0480#1	ティタニア: また一人倒した、で、一人は東の出口に逃げてったわね。
map_0480#2	言ったでしょ、ねずみだって。
map_0480#3	ティタニア: あたしのミスをこれ以上大きな失敗につなげるつもりはないから。
map_0480#4	だから、あたしとアマリアの間に立ちはだかる奴は、命を差し出すことになるわよ。
map_0480#5	ティタニア: もちろん、あんたにも手伝ってもらうけど。
map_0480#6	ティタニア: っていうのは、今あんたに頼ってることを正当化するための言い訳ってだけかもね。
map_0480#7	本当は、自分の手だけで連中を全員片づけたいくらいなのよ。
map_0480#8	でも、一人じゃ無理なの。
map_0480#9	手元にはギルガルドしかいない。すごく頑張ってくれてるけど、あたしはここに長く閉じ込められすぎてて、一人で全員と戦うだけの力が残ってないの。
map_0480#10	ティタニア: だから、あんたにいくつか頼み事をすることになるわ。後で二人ともあたしを恨めばいいから。
map_0480#11	ティタニア: 例えば、部屋の真ん中にあるあの機械。あれが水位を制御してるはずなの。
map_0480#12	あそこに辿り着かないと動けないんだけど、今は自分のバランス感覚がまるで信用できなくて。
map_0480#13	だから、\PN、あんたの出番よ。
map_0480#14	ティタニア: 部屋の真ん中にあるあの機械が、水位を制御してるはずなの。
map_0481#0	中央オブシディアシャッター解除
map_0481#1	中央オブシディアゲート2起動
map_0481#2	中央オブシディアシャッター2解除
map_0481#3	「G.U.M.の部屋」
map_0481#4	鍵がかかっている。
map_0481#5	\PNはGUMのカギを使った。
map_0481#6	ドアが開いた!
map_0481#7	中央オブシディアゲート起動
map_0482#0	「G.U.M.の部屋」
map_0482#2	\PNはGUMのカギを使った。
map_0482#3	ドアが開いた!
map_0482#4	中央オブシディアシャッター解除
map_0482#5	ティタニア: どのみち、選択肢なんてなかったんでしょうね。
map_0482#6	もしあたしが倒れたら、アマリアにあんまり恨んでなかったって伝えて。
map_0482#7	ティタニア: よし、ちょっと待って。タイム。
map_0482#8	強がってたのも形無しね。
map_0482#9	ティタニア: どっちに進めばいいか、分かりそう?
map_0482#10	汚いけど、いろいろ動かさないといけないかも。
map_0482#11	ティタニア: ちょっと待って。
map_0482#12	二回くらいジャンプしたってめまいなんて起こさないと思うでしょ、でも滝から飛び降りて、その後クソ長いこと底に座り込んでたら話は別なのよ。
map_0482#13	とにかくアマリアを見つけて、メテオの顔面をぶん殴って、さっさとここを出ましょう。
map_0482#14	その後、あたしがどこに行くかなんて誰にも分からないけど。
map_0482#15	こんなことがあった後じゃ、エイミーの家に居座るなんてまず無理ね。あたしをドブに突き落としたって、彼女には十分その権利がある。
map_0482#16	自分のしたことは好きじゃない。むしろ嫌悪してるくらい。
map_0482#17	でも自分の理由は分かってる。許しも償いも要らない。ただ問題を解決したいだけ。
map_0482#18	彼女を無事に取り戻して、それから――
map_0482#19	それから、彼女の前から消える。永遠に。
map_0482#20	みんなの前からもね。
map_0482#21	中央オブシディアゲート起動
map_0482#22	ティタニア: くそ、腹減った。
map_0482#23	聞くのは嫌だけど、何か食べるもの持ってない?
map_0482#24	分けてもらえるなら、アイスがめちゃくちゃ食べたい。
map_0482#25	キャンディでもいいわ。それくらい我慢できる。
map_0482#26	……持ってるのはブルームーンアイスだけ?
map_0482#27	じゃあいいわ。それ、貴重なやつだから。自分のために取っておきなさい。
map_0482#29	ティタニア: 今まで食べた中で一番おいしいアイスね。こんな場所でこれを食べることになるなんて。
map_0482#31	ティタニア: 今まで食べた中で一番うまいキャンディね。普段はこういうの、そんなに好きじゃないんだけど。
map_0482#39	ティタニア: どうせ自分だけでも何とかできるわ。
map_0482#40	でも、ありがと。
map_0482#41	これで十分。少し待って、それで準備できるから。
map_0482#42	ティタニア: 「いらない」ってどういうこと?
map_0482#43	いらないって言ってるの。欲しくないの。
map_0482#44	ティタニア: 気持ちだけもらっとく。そこまで落ちぶれてないから。
map_0482#45	ティタニア: あんたに返せるものなんて何もないけど。
map_0482#46	何が目的なの?
map_0482#47	これが何をするか分かってて渡そうとしてるの? それとも他に理由でもあるわけ?
map_0482#48	いいから、そのアイスは自分でとっとけばいいでしょ。
map_0482#49	ティタニア: やっとね。
map_0482#50	ティタニア: いいわ、そこまで押し付けたいなら、好きにして。もらっとく。
map_0482#51	渡しなさい。もう気にしないから。
map_0482#53	ティタニア: でも、お礼は言わないから。
map_0482#54	これ、実際すごくおいしいけど。
map_0482#55	やっぱり、評判通りってわけね。
map_0482#56	ああもう、五回くらい断ったのに、なんだか申し訳なくなってきた。
map_0482#57	半分こしようかって聞きたいけど、それはちょっと変よね。
map_0482#58	だから。
map_0482#60	はい、言ったから。文句あるなら言えば。
map_0482#61	とにかく、これ食べ終わったら、メテオの連中をぶちのめしにいきましょう。
map_0482#62	ティタニア: チッ、いいわよ。どうせ自分で乗り越えるから。施しなんていらない。
map_0482#63	ティタニア: これで十分。少し待って、それで準備できるから。
map_0482#64	ティタニア: とにかく、これ食べ終わったら、メテオの連中をぶちのめしにいきましょう。
map_0482#65	中央オブシディアゲート2起動
map_0482#66	中央オブシディアシャッター2解除
map_0483#0	オニキスシャッター解除
map_0483#1	今の私の務めは果たされた。もう二度と、私があなたを煩わせることはない。
map_0484#2	さあ、やるわよ。
map_0485#0	コーラルシャッター解除
map_0485#1	あたしのはずだったのに……
map_0486#0	コーラルシャッター解除
map_0486#1	ティタニア: フン。
map_0486#2	\PN、あたしがポケモンを一匹しか連れてないの、覚えてるわよね?
map_0486#3	ティタニア: サポートはするけど、ここはあんたが頑張らないと。
map_0486#5	ウェス: 愚かなことだ。
map_0486#6	ティタニア: これで丸腰ね、さっさとどきなさい。
map_0486#7	タカ: バトルはまだしも、僕の仲間を傷つけるのはあんまり感心しないな。
map_0486#8	ティタニア: あたしも、あんたが友達をさらったことに、あんまり感心してないけど。
map_0486#9	チームメテオは目的のためなら手段を選ばないんでしょ。
map_0486#10	なら、あたしが選ぶ必要もないでしょ。
map_0486#11	タカ: あのさ、他の連中のやったことを僕が全部弁護できるわけじゃないんだ、分かるだろ?
map_0486#12	でも、こいつらが誰かを傷つけてるように見える?
map_0486#13	僕が誰かを殺してるように見える?
map_0486#14	ティタニア: アマリアを解放してから、その理屈を言いなさい。
map_0486#15	タカ: いやぁ、それはちょっと無理そうだね。
map_0486#16	でもまあ、迎えに来たいなら、彼女は管理室にいるよ。
map_0486#17	ティタニア: もちろん、そのつもりよ。
map_0486#18	タカ: まあまあ、そう急がないで。
map_0486#19	ぼ――僕、もう少しで――
map_0486#20	今、こうして生きていられるのはアルセウスのおかげ……
map_0486#21	ティタニア: 面倒になってきたわね……ちょっとやりすぎたかも。
map_0486#22	ちょっと休むから。後で追いつくわ。
map_0486#23	ティタニア: ちょっと休むわ。先に行ってて、あとで追いつくから。
map_0486#24	あたしのはずだったのに……
map_0487#0	オパールシャッター解除
map_0487#1	サンディ: 来られたんだ!
map_0487#2	よし、ここは特に問題ないはず!
map_0487#3	道具は持ってきたから、これをサクッと開けてフィルターを交換したら、すぐ移動するよ!
map_0487#4	誰も来てないか、見張っててくれる?
map_0487#5	サンディ: これをこう動かして、ここのネジを外して……
map_0487#6	うんうん、よし――
map_0487#7	コールマン: あの……
map_0487#8	\PN?!
map_0487#9	何か出てくる!
map_0487#10	サンディ: まだフィルターを押さえてるから、悪いけど――
map_0487#11	ストップレッツ: ……ゴクリ。
map_0487#12	サンディ: よし、捕まえた!
map_0487#13	ふう!
map_0487#14	あの子たち、急に出てきてびっくりしたよ!
map_0487#15	一体どこから来たんだろう?
map_0487#16	アドリエンヌ: つまり、私に報告された「異変」というのは……
map_0487#17	……また君だったというわけか。
map_0487#18	サンディ: あ、あはは~ どこから来たの?
map_0487#19	ちゃんと動いてるか、センターの通常点検をしてただけだよ!
map_0487#20	ここは何にも問題なし、うん!
map_0487#21	それじゃ、あたしたちはこれで失礼するね!
map_0487#22	アドリエンヌ: では、君が手に持っているそれは何だ?
map_0487#23	サンディ: な、何、この古いやつ?
map_0487#24	これはただの……
map_0487#25	……ガラクタだよ、うん!
map_0487#26	そこら辺に落ちてたから、捨てに行こうと思ってただけ!
map_0487#27	アドリエンヌ: まさか、その「ガラクタ」があの機械のフィルターだったりはしないだろうね。
map_0487#28	サンディ: なぁにぃ?
map_0487#29	やだ、頭おかしいんじゃない!
map_0487#30	\PN、この人ちょっとおかしいと思わない?
map_0487#31	あたしがたまたまあの機械からこのフィルターを抜き取ってた、なんてことあるわけないでしょ!
map_0487#32	アドリエンヌ: ……ふうん。
map_0487#33	よし、では仮に、あくまで仮定の話としてだが。
map_0487#34	君があの機械からそのフィルターを抜き取ったと仮定して……
map_0487#35	なぜそんなことをするのだろうか?
map_0487#36	サンディ: あくまで仮定だよね!
map_0487#37	ええと、そうだね、もしあたしがそんなことをしたとしたら……
map_0487#38	このフィルター、アズリン湖のポケモンに悪い浄化薬品を通しちゃってたはずだから……
map_0487#39	……水がもっときれいになる新しいのに交換したんだと思う!
map_0487#40	アドリエンヌ: それで、その仮定の話の中で……
map_0487#41	そのようなフィルターを、一体どこから手に入れたのだろうか?
map_0487#42	サンディ: えっと……それは――
map_0487#43	アドリエンヌ: それは、不正な入手方法だったりするのかな?
map_0487#44	サンディ: あはは、あくまで仮定だから、誰にも分かんないよ!
map_0487#45	アドリエンヌ: ……
map_0487#46	サンディ: そ、それに! どのみち、あの機械にはベトベターがぎゅうぎゅうに詰まってたんだから!
map_0487#47	だから、良いことをしたんだよ!
map_0487#48	アドリエンヌ: 実際に開けてもいないのに、それをどうして知っているのだろうか?
map_0487#49	サンディ: え、えっと……
map_0487#50	アドリエンヌ: 君のためを思って言うが、法廷で証言する羽目にだけはならないことを願うよ。
map_0487#51	さて、聞いてくれ。
map_0487#52	実のところ、今のフィルターで許可されている薬品の一部は、やはり有害だろうと私も分かっていた。
map_0487#53	あいにく、ある企業が復興事業に資金面で関わっていて、その代表者にあれこれ振り回されているのでね。
map_0487#54	その人物は、私たちの多くとはまるで価値観が違っていて、金の節約になることしか気にしていない。
map_0487#55	それに残念ながら、このフィルターの資金を出してもらう必要があるのも、同じその企業なのだ。
map_0487#56	だから、私はこうしようと思う。
map_0487#57	ここでの異変は、ただのベトベターの群れだったと報告することにする。それ以上でも以下でもない。
map_0487#58	そして、ここで君を見たことは忘れることにする。
map_0487#59	そのフィルターは、誰にも見つからない場所に処分してくれ。
map_0487#60	だが、二度とこんな形で顔を合わせることのないようにしてほしい。
map_0487#61	サンディ: まあ、もっと悪い結果もあり得たよね!
map_0487#62	でも、あの人の企業の代表者についての話、すごく気になるな……
map_0487#63	リボーンをまた腐らせたりしないんだから!
map_0487#64	うーん……そうだ!
map_0487#65	大ホールに忍び込んで、あの企業のオフィスを見つけよう!
map_0487#66	そうすれば、この街に対する連中の暗い支配に、ついに終止符を打てるはず!
map_0487#67	このファイルで水の浄化をスキップする?
map_0487#68	はい
map_0487#69	いいえ
map_0488#0	オパールシャッター解除
map_0488#1	ティタニア: これがこの施設の中央タービンのはずね。
map_0488#2	少なくとも、あたしがこの場所を止めるならそこを狙うわ。
map_0488#3	チームメテオも同じことを考えたんでしょうね。
map_0488#4	そこまで行って、何が問題なのか確かめましょう。
map_0488#5	ティタニア: 誰かがもっと前にここを確認しようって思ってもよさそうなものだけど。
map_0488#6	まあ、メテオの潜入者が、ちゃんと点検してますって嘘の報告を無線で流してたのかもね。
map_0488#7	でも、それはただの推測。
map_0488#8	ティタニア: 道は二つに分かれてるみたいね。
map_0488#9	あんたは西へ。あたしは北のほうを見てみるわ。
map_0488#10	このファイルで水の浄化をスキップする?
map_0488#11	はい
map_0488#12	いいえ
map_0489#0	\PNはPULSEデータ03を手に入れた!
map_0489#1	PULSE図鑑が更新された!
map_0489#2	「システム倉庫」
map_0489#4	ペリドットシャッター解除
map_0489#5	ペリドットゲート起動
map_0489#6	システム倉庫解除
map_0490#1	鍵がかかっている。
map_0490#6	PULSE図鑑が更新された!
map_0492#0	ラピスシャッター解除
map_0492#1	我々は救済者である。救われるべきは我らの主なのだ。
map_0492#2	アルセウスに逆らう者に、安らかな最期は訪れない。
map_0492#3	エズラ: アルセウスへの完全な忠誠のみが、新世界に居場所を得る唯一の道だ。
map_0492#4	いずれ、その異端の報いを受けることになるだろう。
map_0493#0	「ベリル水路網」
map_0493#1	鍵がかかっている。
map_0493#2	\PNはベリルはいでんもうのカギを使った。
map_0494#0	「ベリル水路網」
map_0494#1	鍵がかかっている。
map_0494#2	\PNはベリルはいでんもうのカギを使った。
map_0494#3	ティタニア: あたしは行き止まりなんだけど、そっちは何か見つかった?
map_0494#4	ティタニア: ……大丈夫。先に行って、すぐ後ろにいるから。
map_0494#5	ティタニア: ちょっと――ちょっと休ませて。
map_0494#6	司令官と違い、我らの信仰は揺るがない。
map_0494#7	だからこそ、我らの覚悟の強さを示させてもらおう。
map_0494#8	ティタニア: だったら、あたしがあんたたちのしょぼい覚悟がどれだけ情けないか、見せつけてあげる。
map_0494#9	イコラス: もうたくさんだ!
map_0494#10	ライラ: 私たちは世界に仕える者。どうか邪魔をしないでください!
map_0494#11	ティタニア: どきなさい。
map_0494#12	ティタニア: あんたたちを終わらせるくらい、あたしには簡単なことよ。
map_0494#13	ティタニア: 分かった?
