map_0735#227	未来など、覚悟には到底かなわない。
map_0735#343	ラドマス: 戻る話といえば、そろそろこの場所を離れておいた方が賢明かもしれないな。
map_0735#344	ルミ: あの!
map_0735#345	あたしたちも、一緒に行っていい?
map_0735#346	チームメテオから逃げるのに、他に誰を頼ればいいのか、よく分からなくて……
map_0735#347	アンナ: 何言ってるの?!
map_0735#348	一緒に来ていいどころか、来ないとダメだよ!
map_0735#349	ラドマス: 断る理由など、どこにもない。
map_0735#350	アンナ: みんな、カルセノンシティで待ってるからね!
map_0735#351	イヴ: チームメテオについて、皆さんにも関係のある情報があります。
map_0735#352	セラ: この子はどうしましょうか?
map_0735#353	アンナ: ねえ、寝坊さん!
map_0735#354	もう起きる時間だよ~
map_0735#355	ほら、まわりを見て、こんなにお友達がいるよ!
map_0735#356	シェリー: うーん……?
map_0735#357	シェリー: あの……
map_0735#358	何が……何が起きたの?
map_0735#359	カインは、どこ?
map_0735#360	アンナ: 説明はあとでね……とにかく、今は出発しないと!
map_0735#361	そういえば、エレベーターのひとつで、まだあの男の子が眠ってるんだった!
map_0735#362	ラドマス: 居心地の良さそうな場所だな。
map_0735#363	イヴ: スリーパーを止めたあと、彼を起こそうとしましたが、それでも動きませんでした。
map_0735#364	ルミ: グレイシアの「いやしのすず」も効かなくて――何回やっても、すぐまた寝ちゃうの!
map_0735#365	ラドマス: 何ができるか、見てみるとしよう。
map_0735#366	最悪の場合は、私が自分で担いでいこう。
map_0735#367	ルミ: ほんとに一人で運べるの?
map_0735#368	ラドマス: カルセノンまでずっと、か?
map_0735#369	さすがに無理だな。
map_0735#370	だが、ポケモンさえいれば、何でも可能になる。
map_0735#371	アンナ: 心配しないで、パパ! きっとまた会えるから!
map_0735#372	ノストラがそう言ってたもん!
map_0735#373	ラドマス: そうか……
map_0735#374	それなら、信じるしかなさそうだ。
map_0735#375	さあ、出発するとしよう。
map_0735#376	アンナ: \PN、あなたも一緒に来るよね?
map_0735#377	やった、みんなで一緒に行けるね~
map_0735#378	アンナ: えー、でも大丈夫、分かってるよ!
map_0735#379	やるべきことをやってきて、でも後でちゃんとカルセノンシティで合流してね!
map_0735#380	ゼル: いや、いや、いや、いや、いや、いや、いや、いや、いや、いや……
map_0735#381	どうして?
map_0735#382	リカルド: どうしてなんだ?!
map_0735#383	ゼル: なんで――
map_0735#384	支配。
map_0735#385	支配、だよね?
map_0735#386	無能。
map_0735#387	ゼル: いつだって、こうなんだ――
map_0735#388	いつだって、こうだった……
map_0735#389	最善じゃ足りない、最善じゃ足りない……
map_0735#390	ベネット: 理由なら言っただろう、ゼロ。
map_0735#391	ゼル: どうすればいいの?
map_0735#392	どうすれば……
map_0735#393	イヴ! どうすればいいか教えて!
map_0735#394	ベネット: ラブラドラに報告に戻れ。
map_0735#395	リンが、何が起きたか知りたがるはずだ。
map_0735#396	ブレスレットは私が引き取り、ここから先は片づけておく。
map_0735#397	ゼル: そう、そうだよね……
map_0735#398	サファイアのブレスレットさえあれば、大丈夫……
map_0735#399	怒られない、怒られないよね……
map_0735#400	怒らないよね?
map_0735#401	ベネット: 行け。
map_0735#402	ゼル: はい!
map_0735#403	ベネット: サーナイト……
map_0735#404	こんなことになってしまって、すまない。
map_0735#405	ベネット: 母上、ご無事ですか?!
map_0735#406	これ以上ないくらい、絶好調よ……
map_0735#407	ベネット: それは何より。
map_0735#408	それと――ルナ。
map_0735#409	ルナはどこですか?
map_0735#410	ベネット: ルナに何があったか、ご存じですか?
map_0735#411	セラ: ルナは……自分からあのブラックホールに入っていったわ。
map_0735#412	ベネット: 彼女が――
map_0735#413	ラドマス: これが、お前の望んでいた結末なのか?
map_0735#414	ベネット: 黙れ。
map_0735#415	自分のポケモンひとつ制御できなかった男に、そんなことを言われたくはない。
map_0735#416	ラドマス: では、誰から言われるならいいのだ?
map_0735#417	ラドマス: お前が耳を貸すのは、この男だけなのか?
map_0735#418	ベネット: 冗談を言わないでください。
map_0735#419	彼と私は、互いを利用し合っていただけです。それ以上でもそれ以下でもない。
map_0735#420	彼の信念にも目的にも、敬意など持っていません。
map_0735#421	ラドマス: それでも、お前はそれを実行しているのだがな。
map_0735#422	ベネット: 他に選択肢がなかったのでね。
map_0735#423	ベネット: ですが、そう言われてみると……
map_0735#424	ここから姿を消すことができます。
map_0735#425	連中は、私がこの被害に巻き込まれて消えたと結論づけるでしょう。
map_0735#426	今なら、これから抜け出せる。
map_0735#427	どうして、ルナが代償になったんだ?
map_0735#428	それと、サーナイト……ありがとう。
map_0735#429	母上、もうこの組織には関わりません。ご安心を。
map_0735#430	セラ: それでも、外出禁止は変わらないから。
map_0735#431	ベネット: 構いません。どのみち、家には帰りませんので。
map_0735#432	ここの監視映像を、破棄しておかなければ……
map_0735#433	ラドマス: お前の相棒はどうする?
map_0735#434	報告をするつもりなのだろう?
map_0735#435	ベネット: 私としたことが。
map_0735#436	すぐに彼を止めなければ。
map_0735#437	ローラ: あの……すみません?
map_0735#438	ベネット: おお――もう目が覚めたのか。
map_0735#439	ベネット: 無事で何よりだ。
map_0735#440	ベネット: ベルローズ嬢、このたびのことは、心から申し訳なく思っている。
map_0735#441	これは、かつて君の家のものだったと聞いている。
map_0735#442	どうか、受け取ってくれ。
map_0735#443	ベネットはローラにサファイアのブレスレットを渡した!
map_0735#444	ローラ: よく分かりません……
map_0735#445	ベネット: 時間がない。急がねば。
map_0735#446	ローラ: わたし、お手伝いできますか?
map_0735#447	ベネット: 混乱しているようだな。
map_0735#448	聞いてくれ。
map_0735#449	君が四天王の座を失ったのは、私のせいだ。
map_0735#450	イライアスが偽の解任通知を作り、そして私たちは、君に催眠をかけて辞表を書かせた。
map_0735#451	そして私が、君の座を奪った。
map_0735#452	起きたことについては本当にすまなく思っているが、今は行かねばならない。
map_0735#453	ローラ: それって、お手伝いできないってことですか?
map_0735#454	ベネット: 君は、なかなか心配になる人だな。
map_0735#455	もっと単純に言おう。私は、君の敵だったのだ。
map_0735#456	君が私を助ける理由など、どこにもない。
map_0735#457	ローラ: あると思います……
map_0735#458	人は、自分の欠点や過ちだけで、決められてしまうものなんでしょうか?
map_0735#459	ベネット: たとえそれで決められないとしても、無視していいわけではない。
map_0735#460	ローラ: あなたが良くないことをしてきたのは、分かっています……
map_0735#461	でも、あなたが変わろうと精一杯頑張っているのも、分かるんです。
map_0735#462	わたしにお手伝いできることがあるなら、そうしたいです。
map_0735#463	ベネット: まるで、あの人のようなことを言うのだな……
map_0735#464	……ふう。
map_0735#465	ローラ: わたしには姉が二人いますけど、二人とも、特に清廉潔白ってわけじゃないんです。
map_0735#466	誰だってそうですから。
map_0735#467	それでも、生き延びるためには、何があっても力を合わせなきゃいけないんだって、わたしは学びました。
map_0735#468	ベネット: ……分かった、好きにするといい。
map_0735#469	今、ここからラブラドラまで、少々みすぼらしい黒衣の男が徒歩で向かっている。
map_0735#470	追いつけるか?
map_0735#471	ローラ: 天候を変えられれば、わたしのポケモンなら誰にも負けない速さで動けます。
map_0735#472	やってみせます。
map_0735#473	ベネット: では、私はここの監視映像を破棄したあと、君と合流しよう。
map_0735#474	それと、何か食べ物を用意できないか、見てみるよ。
map_0735#475	こちらの設備はともかく、あれだけ長く眠っていたのだから、さぞ空腹だろう。
map_0735#476	詳しいことは、そのあと四天王とすり合わせよう。
map_0735#477	いいかな?
map_0735#478	ローラ: それは、素敵ですね。
map_0735#479	ベネット: 決まりだ。急いで行こう。
map_0735#480	セラ: 幸せな小さな家族、なんてもんじゃなかったわね……
map_0735#481	ルナ……
map_0735#482	サーナイト……
map_0735#483	カインも、それに\PNまで。
map_0735#484	みんな、いつだって消えていく……
map_0735#485	ラドマス: 悪い状況を、極端に考えて余計に悪くしないようにしよう。
map_0735#486	ラドマス: 信じられない……
map_0735#487	???: あら? あらまあ。ごめんなさい!
map_0735#488	こんな奥まで来て、誰かに会うとは思わなくて……
map_0735#489	コールマン: あの……
map_0735#490	ここで、何をなさっているんですか?
map_0735#491	もしもし?
map_0735#492	すみません? 聞いてます??
map_0735#493	あなた? 聞こえてますか?
map_0735#494	大丈夫ですか? 聞こえてますか?
map_0735#495	単刀直入に言わせてもらいますけど、返事をしていただけるまで、この会話を続けるつもりはありません。
map_0735#496	???: あ………… へへ……
map_0735#497	でも、先に聞いたのはこっちだよ!
map_0735#498	???: あは……ただ……「ぶらぶら」してるだけ?
map_0735#499	うん……
map_0735#500	(少なくとも、彼は返事をしてくれた……)
map_0735#501	(少なくとも、彼女は返事をしてくれた……)
map_0735#502	(少なくとも、その人は返事をしてくれた……)
map_0735#503	???: あ、じゃあ、伝説のポケモン目当てでここに来たの?
map_0735#504	さっきのマギアナのことね、きっと……
map_0735#505	かわいい。
map_0735#506	それはさておき……
map_0735#507	わたしがここに来たのは、その、いわゆる「機械」に興味があったからなの。
map_0735#508	あら、いけない、礼儀がなってなかったわね! まだ自己紹介もしてなかった!
map_0735#509	わたしの名前はフローラ。
map_0735#510	フローラ・グレヴィレア。
map_0735#511	遠く離れたエイビウムって地方から来たの。多分、聞いたことあるでしょ?
map_0735#512	フローラ: 素敵! それなら話は早いわね。
map_0735#513	フローラ: ……冗談よね?
map_0735#514	まあ、なんでもいいけど。知ってても知らなくても、別にいいから!
map_0735#515	わたし、アクシス・ハイ大学の4年生なの。ここに来たのは……
map_0735#516	このリボーンにある、とある機械を研究するためなんだ。
map_0735#517	あなたもリボーンにいるんだから、チームメテオのことは知ってるはずよね。
map_0735#518	それなら当然、PULSEって呼ばれる機械のことも、聞いたことあるでしょ?
map_0735#519	フローラ: 完璧~!
map_0735#520	それでね、わたし、それについて論文を書いてるの。
map_0735#521	PULSEのこと知ってるなら、あなたの力を貸してほしいの。
map_0735#522	もともとここに来たのは、ここが昔メテオの基地だったって聞いたからなんだけど、収穫はゼロなの。
map_0735#523	それで、その、あなた……
map_0735#524	ごめん、まだ名前聞いてなかったわね。
map_0735#525	\PN? 分かった。
map_0735#526	それで、\PN、PULSEの機械がどこにあるか、まさか知ってたりしないよね?
map_0735#527	フローラ: わあ! 最高!
map_0735#528	それなら、そこまで連れてってもらえる?
map_0735#529	フローラ: ……?
map_0735#530	ためらってるわね。
map_0735#531	ってことは、知ってるってこと。
map_0735#532	絶対そう。
map_0735#533	で、あなたが知ってるって、わたしが分かった以上……
map_0735#534	お願い、いくつか連れてって?
map_0735#535	あ――でも、タダでやってもらうつもりはないから!
map_0735#536	ちゃんとお礼するよ!
map_0735#537	さっき話してたやつ、覚えてる? マギアナのこと。
map_0735#538	この倉庫で、それに役立つかもしれないものを見つけた……かもしれないの。
map_0735#539	あ、でも、その……あんまり覚えてないんだよね。
map_0735#540	もしかして、記憶を思い出す手伝いしてくれる?
map_0735#541	だからお願い……頼むから……
map_0735#542	わたしを、あのPULSEの機械のところに連れてって……
map_0735#543	フローラ: 考え直してくれた?
map_0735#544	フローラ: なんてこと! 考え直してくれて本当にありがとう、\PN!
map_0735#545	フローラ: なんてこと! 本当にありがとう、\PN!
map_0735#546	それじゃ、やるって決まったんだから、さっそく始めましょ!
map_0735#547	まずどこに行く、\PN?
map_0735#548	それとね、あなた。何か教えてほしいなら、まずそっちの約束を果たしてもらわないと。
map_0735#549	マギアナのこと教えたら、あなたがそのまま逃げちゃうかもしれないでしょ!
map_0735#550	だから、もう一回聞くね。どこに行く?
map_0735#551	ふうん……
map_0735#552	それじゃ、デボンコーポの建物に向かうってことね?
map_0735#553	それって……遠いじゃない!
map_0735#554	まあ、それでもいいけど。最後には絶対に見合うはずだもんね!
map_0735#555	一緒に行きましょうか?
map_0735#556	フローラ: それじゃ、出発しましょう、\PN!
map_0735#557	フローラ: えっと、分かった!
map_0735#558	デボンの建物がどこにあるか知らないから、正直これ、すごく困るんだけど!
map_0735#559	でも、わたし、方向感覚はいい方だから。
map_0735#560	自分でも見つけられるはずだよ!
map_0735#561	はは!
map_0735#562	(なんて厄介な子……)
map_0735#563	それじゃ、ラブラドラシティってことね?
map_0735#564	よし! これは絶対すごいことになるはず!
map_0735#565	でも、ラブラドラシティって、最近まですごく危険な場所だったって聞いたけど!
map_0735#566	\PN、何かあった時に守ってもらえるように、一緒に行きましょ!
map_0735#567	よし! 今から行くよ!
map_0735#568	ラブラドラシティの地下ってこと?
map_0735#569	でしょうね……
map_0735#570	っていうか、それめちゃくちゃ不気味なんだけど!
map_0735#571	それに、ラブラドラシティって、最近まですごく危険な場所だったって聞いたし!
map_0735#572	何か悪いことがあった時に守ってもらえるように、一緒に行きましょ!
map_0735#573	フローラ: あ、分かった!
map_0735#574	っていうか、右も左も分からない土地に、か弱い女の子を一人きりで放り出すなんて、ほんと薄情だと思うけど、まあいいわ!
map_0735#575	わたし!
map_0735#576	なんとかするから!
map_0735#577	(マジで、こんな人に付き合わされるわけ?)
