map_0241#131	今は、ここに来る時、あの子は家で待たせてるんです。
map_0242#40	どっちもなし?
map_0242#41	まあ、他の人にも自分と同じくらいのコレクションを期待するのは、無理な話か。
map_0242#42	ジムリーダーのこと、知ってる?
map_0242#43	セラさんって、昔有名なモデルだったんだよ! すごくかっこいいよね!
map_0242#44	でも、どうしていつも悲しそうなんだろう。
map_0242#45	スピネルタウンには、普段はセラみたいな強いジムリーダーがいて、本当にラッキーなんだ。
map_0242#46	美しくて優しくて、みんなのことを気にかけてくれる!
map_0242#47	でも、この混乱に対しては、彼女でもどうにもできないと思う。
map_0242#48	人って、混乱にこんなに早く慣れるものなんだね、すごいよ。
map_0242#49	前は、町のものがあちこちに移動してるだけで完全に動揺してたのに、今じゃもう当たり前の感覚になってる。
map_0242#50	セラは息子が生まれてから、ジムリーダーの座に落ち着いたんだ。
map_0242#51	それからは、もうモデルは続けられないって感じたみたい。
map_0242#52	ちなみに、あの息子はちょっと変わってる。
map_0242#53	一日中、森を探検してるか、部屋に閉じこもってるかのどっちかなんだ。
map_0242#54	レディ: ……あの。
map_0242#55	あたしの荷物が全部――もう、なんていうか……
map_0242#56	えっと……ねえ、もしどこかであたしの荷物を見かけたら、持って帰ってきてくれない?
map_0242#57	たしか、あったのは……
map_0242#58	ベッドに、キャビネットに、テレビ、本棚二つ、椅子二つ、それにテーブル。
map_0242#59	本当に、めちゃくちゃ感謝するから。
map_0242#60	あなたのエネルギーをユンゲラーに追わせておくから、何か見つけたら触るだけでいいの、ここまでテレポートさせるから。
map_0242#61	まだ足りないのは……
map_0242#62	ベッド、
map_0242#63	キャビネット、
map_0242#64	テレビ、
map_0242#65	本棚二つ、
map_0242#66	本棚一つ、
map_0242#67	椅子二つ、
map_0242#68	椅子一つ、
map_0242#69	テーブル、
map_0242#70	……それで全部のはず!
map_0242#71	全部戻ってきたみたい!
map_0242#72	まあ、だいたいは、だけど。
map_0242#73	これ、実はあたしのキャビネットじゃないの。
map_0242#74	でもまあいいや。どうせ中に大事なものは入ってなかったし、誰か文句があるなら、そのうち聞こえてくるでしょ。
map_0242#75	それと、この中にこれを見つけたの。
map_0242#76	手間賃として、受け取って。
map_0242#77	それ、新しいモデルのひとつだよね?
map_0242#78	つけてる間は、ポケモンが言うことを聞かなくなるレベルまで上がらないようにしてくれるらしいよ。
map_0242#79	便利でしょ?
map_0242#81	あと、中に「freeexpall」って書いたメモもあったんだけど、何のことか全然わかんない。
map_0242#82	あとぉ、中にお金も見つけたんだけど、それはあたしたちだけの秘密ってことで。
map_0242#83	このキャビネット、気に入った。
map_0242#84	荷物が急に消えたりしない、なんていい日!
map_0242#85	はは!
map_0242#86	知ってた?
map_0242#87	特防を鍛えるのに一番いい場所は、クリソリアの森の中に隠された草原なんだって!
map_0242#88	ユンゲラー: ユンッ……
map_0242#89	マクレジー: ん? まさか、俺を探してたのか?
map_0242#90	悪いな、坊主、サインはしない主義でね。
map_0242#91	少なくとも、休み中はな。
map_0242#92	今は、待ちに待った休暇で来てるんだ。
map_0242#93	だから、来月までは、リラックスと充電に専念して、次のレコーディングに備えるつもりだ。
map_0242#94	ここ、いい町だと思わないか?
map_0242#95	変なもんがそこら中にあるにしても。
map_0242#96	それが、この場所に必要な遊び心を与えてる気がするね。
map_0242#97	まあ、係員がもう出てきてくれたらいいんだけどな……
map_0242#98	マクレジー: おい、言っただろ、サインはしないって。
map_0242#99	マクレジー: おい、一体何してんだ?
map_0242#100	お前のポケモンにサインなんて、絶対にしないぞ、坊主。諦めろ。
map_0242#101	マクレジー: 待て、何だって?
map_0242#102	オレのダンゴロを取り戻してくれたのか!
map_0242#103	まったく、もう二度と会えないと思ってたよ。
map_0242#104	こいつはすごい!
map_0242#105	これでようやく、シングル「ガントリアン・ラプソディ」の制作に戻れるぜ!
map_0242#106	さっきは、そっけない態度悪かったな。
map_0242#107	でも、ファンってやつがどんなもんか、わかるだろ。
map_0242#108	まあ、わからないかもしれないけどな。
map_0242#109	とにかく、お前はいい奴だな、坊主。またな。
map_0242#110	マクレジー: お前はいい奴だな、坊主。
map_0242#111	でも、良くないもんが何か知ってるか?
map_0242#112	ここのサービスの、完全な欠如だ。
map_0242#113	マクレジー: おい、何だ?
map_0242#114	まさか今更、サインが欲しいとか言うんじゃないだろうな。
map_0242#115	チッ、まったく。お前らって奴は、どうしようもないな。
map_0242#116	よし、ダンゴロを取り戻してくれた恩があるから、お前には例外を作ってやるよ。
map_0242#117	ほら、坊主。
map_0242#118	マクレジー: マジで、もうこれっきりだからな。
map_0242#119	マクレジー: くそ、ここは本当に何をやるにも時間がかかるな。
map_0242#120	なあ、お前バトルするだろ?
map_0242#121	暇つぶしに、オレと勝負しろよ。勝ったら、いいもんをやる。
map_0242#122	マクレジー: よっしゃ! 輝いていけ!
map_0242#123	マクレジー: へえ、悪くないな。
map_0242#124	マクレジー: いやぁ、楽しかったぜ。
map_0242#125	負けた部分を除けばな。まさか負けるとは思ってなかったよ。
map_0242#126	でも、約束は約束だ。ほら。
map_0242#127	マクレジー: いやぁ、ここでのことは、全部想像してなかった通りに進んだな。
map_0242#128	お前の挑戦に、幸あれ、スターシャイン。
map_0242#129	マクレジー: チッ、つまらんな。
map_0242#130	マクレジー: とんだ休暇になったもんだ。
map_0242#131	オレの家族が、オレよりましな時間を過ごしてるといいけどな。
map_0242#132	オレの甥っ子は、しょっちゅうトラブルに巻き込まれるタイプでな。
map_0242#133	まあ、あいつなら大丈夫だろ。
map_0242#134	やあ!
map_0242#135	あたし、イーブイの進化形が大好きなの!
map_0242#136	みんな可愛くて色とりどりで……ああ、全員撫でられたらいいのに!
map_0242#137	あなたが誰かは知らないけど、あたしの夢を代わりに叶えてくれない?
map_0242#138	あたしの代わりに、全部のイーブイ進化形を撫でてきてくれたら、特別なものをあげる!
map_0242#139	……まあ、本当は、受け取る愛情そのものがもう特別なものなんだけどね。
map_0242#140	それと、自分のイーブイ進化形はカウントしないから!
map_0242#141	自分の子を撫でることも大事だけど、他のトレーナーのイーブイ進化形も見つけて、幸せを広めなきゃダメだからね!
map_0242#142	分かち合うことは、思いやること……イーブイへの!
map_0242#143	ちゃんと撫でて回ってる?
map_0242#144	あなたが感じてる喜びを、想像することしかできないけど……
map_0242#145	ちなみに、自分のイーブイ進化形はカウントしないからね!
map_0242#146	ああ、やったのね。
map_0242#147	全部撫でたのね。
map_0242#148	言わなくてもわかる。
map_0242#149	あなたの目を見ればわかるもの。
map_0242#150	あなたの心が感じられる。
map_0242#151	これをあげずにはいられない。
map_0242#152	本当に、あなたにふさわしいものだから。
map_0242#153	誇りを持って身につけて。
map_0242#154	あなたはとても祝福されてる。あたしなんかじゃ釣り合わない。
map_0242#155	実は、もっと祝福されたいなら……
map_0242#156	今度誰かにパスワードを聞かれたら、「eeveeplease」って言ってみて!
map_0242#157	新しい相棒を選ぶ時、いいものが見つかるかもよ!
map_0242#158	バニラ - $400
map_0242#159	チョコレート - $700
map_0242#160	ストロベリー - $1000
map_0242#161	キャンセル
map_0242#162	バニラ - $1000
map_0242#163	カブルモ
map_0242#164	チョボマキ
map_0242#165	いいえ
map_0242#166	はい
map_0242#167	いいえ
map_0243#0	……終わった?
map_0243#1	やっと、この荒れ狂う旅は終わったの?
map_0243#2	建物があちこち飛び回ってたせいで、奥の商品がいくつか壊れちゃったと思う……
map_0243#3	かわいそうだと思うなら、何か買ってって!
map_0243#4	空飛ぶポケモンショップだ!
map_0243#5	キズぐすりを買いに来たと思ったら、ポン!
map_0243#6	気づいたら、魔法みたいに別の場所にいたの!
map_0243#7	どこか別のところに行こうよ!
map_0243#8	オーレ地方が見たい――いや、カロス地方!
map_0243#9	特別製法の、治癒効果のあるエッセンシャルオイルはこちら!
map_0243#10	これはこの辺りでしか手に入らないんだから!
map_0243#11	地元の人のことも、考えてくれる?
map_0243#12	特に、こんな荒れた時代なんだから……
map_0244#0	Zzz……
map_0244#1	サファイラ: よし、作戦はこう。
map_0244#2	メテオはまだ止めなきゃいけないし、ローラもまだ助けなきゃいけない。
map_0244#3	メテオはまだ止めなきゃいけないし、双子もまだ助けなきゃいけない。
map_0244#4	メテオはまだ止めなきゃいけないし、あの子たちもまだ助けなきゃいけない。
map_0244#5	メテオはまだ止めなきゃいけないし、ローラを家まで送らなきゃいけない。
map_0244#6	ローラ: そんなに遠くないですし……
map_0244#7	一人でも簡単に行けます。
map_0244#8	サファイラ: だめ。
map_0244#9	あんたがまた怪我するリスクは、負わせない。
map_0244#10	だから、\PN、メテオとPULSEケーシィの対処は、あんたに任せる。
map_0244#11	あたしはハガネールで山の反対側まで掘り進んで、ローラを助け出す。
map_0244#12	あたしはハガネールで山の反対側まで掘り進んで、双子を助け出す。
map_0244#13	あたしはハガネールで山の反対側まで掘り進んで、シャルロットを助け出す。
map_0244#14	ローラを家まで送ってから、すぐにあんたを追いかける。
map_0244#15	中に入って、あのケーシィを止めて、できるだけ早く出てきて。
map_0244#16	話を聞く限り、あいつらの本当のリーダーが、今にも来るみたい。
map_0244#17	そいつが来たら、あたしたちにとって厄介なことにしかならない。
map_0244#18	わかった?
map_0244#19	行くよ。
map_0245#0	「PULSE-07」
map_0245#1	サファイラ: シグムンド。
map_0245#2	あんたがやってきたこと、全部償ってもらうから。
map_0245#3	シグムンド: それは具体的に何を指すのですか、サファイラ?
map_0245#4	私を襲った、精神異常の女を拘束したことですか?
map_0245#5	それとも、市から任された者たちの世話をしたことですか?
map_0245#6	サファイラ: 世話?
map_0245#7	子供を押さえつけて感電させることが、世話だとでも思ってるの?!
map_0245#8	あんたがあたしにしてきたことの半分だって、世話だったとでも?!
map_0245#9	世話について語らないで、ドクター。
map_0245#10	あんたは、その言葉の意味すら知らない。
map_0245#11	シグムンド: 私があなたなら、そんなことは言いませんが……
map_0245#12	私は、周りの者たちの世話の仕方を学ぶために、人生を捧げてきたのです。
map_0245#13	手に負えない小娘に、これほど侮辱される謂れはありません。
map_0245#14	リジー、リジー……いや、わかっています。
map_0245#15	怒ってはいけません。
map_0245#16	ローラ: また……独り言を言っているんですか?
map_0245#17	シグムンド: 何でもありません。
map_0245#18	何でもないことです。
map_0245#19	ローラを解放してもらう。
map_0245#20	シグムンド: なぜ、私がそうするとお思いですか、サファイラ?
map_0245#21	あなたが、私の法的な保護下にある者たちと、彼女の自由を交換する気があるなら別ですが。
map_0245#22	アンナ、ノエル、シャルロット。
map_0245#23	サファイラ: ここで法律を持ち出すつもり、ドクター?
map_0245#24	あんたがエレキブルでやってる、あのちょっとした小細工は違法よ。
map_0245#25	それは、あんたもわかってるでしょ。
map_0245#26	シグムンド: あなたには理解できないでしょう。
map_0245#27	双子を解放してもらう。
map_0245#28	彼らは、私の法的な保護下にあります。
map_0245#29	それは、よくご存じのはずです。
map_0245#30	サファイラ: 法律をそんなに気にするなら、ドクター。
map_0245#31	あんたがエレキブルでやってる、あのちょっとした小細工は違法だって、自分でもわかってるでしょ。
map_0245#32	あの子たちを解放してもらう。
map_0245#33	一人は、私の法的な保護下にあります。
map_0245#34	もう一人は、市の法律に違反しており、逮捕されることになります。
map_0245#35	シリウス: ドクター? 何か問題でも?
map_0245#36	……また、お前か!
map_0245#37	……いや。
map_0245#38	今は、もっと差し迫った問題がある。
map_0245#39	どいていろ。
map_0245#40	シリウス: ゼル、たった今連絡が入った。
map_0245#41	リンが、我々の進捗を視察しに、間もなくここに来る。
map_0245#42	シグムンド: リン……
map_0245#43	サファイラ: どうして、その名前に聞き覚えがあるんだろ?
map_0245#44	シリウス: おそらく、この見捨てられたようなチームの誰一人として、彼女について黙っていられる者がいないからだろうな。
map_0245#45	リンがこう、リンがああ。
map_0245#46	あいつは、もう何回連続で昇進したんだ?
map_0245#47	まったく、今やソラリスでさえ、あいつに従っているようなものだ。
map_0245#48	ゼル: で、でも、今来るんですか?
map_0245#49	ケーシィがまだ、僕たちの言うことを聞いてくれなくて……
map_0245#50	ローラ: あのケーシィに……何をしているんですか?
map_0245#51	サファイラ: よりによって、チームメテオがケーシィなんかを気にする理由って何?
map_0245#52	ゼル: あの、その……
map_0245#53	ある場所に入る必要があるんですけど、しっかり封印されていて、それで……
map_0245#54	リンが、ケーシィの力を増幅させて、丁寧にお願いすれば、もしかしたら……って考えたんです……
map_0245#55	そこにテレポートさせてくれるんじゃないかって。
map_0245#56	ゼル: 残念ながら、このバカなやつは、オレたちのくだらない命令なんて、これっぽっちも聞きやしない!
map_0245#57	ずっとトラブルを起こし続けてるんだ!
map_0245#58	ローラ: つまり、スピネルタウン周辺で起きている変なことは、全部これのせいだった、ということですか……?
map_0245#59	サファイラ: テレポート能力を増幅、ね……
map_0245#60	それで、スピネルタウンのあの混乱の説明がつくわけね。
map_0245#61	ゼル: その通りです。
map_0245#62	ただし、これまでの作戦とは違い、私たちの目的は近隣地域を混乱させることではありませんでした。
map_0245#63	町や周辺地域に生じた異常や被害は、ケーシィの制御されていない力による、単なる副作用にすぎません。
map_0245#64	シリウス: もういい、ゼル。
map_0245#65	あれを手なずけることに集中しろ、さもなければリンが我々全員の首を刎ねるぞ。
map_0245#66	サファイラ: ちょっと、こっちはまだこのパーティーをぶち壊す気満々なんだけど。
map_0245#67	あたしたちを無視できるなんて思わないで。
map_0245#68	シリウス: それなら、お前が実験台になってもらおうか。
map_0245#69	やれ、ゼル。
map_0245#70	サファイラ: 湖で始めたことの続きを、やらせてもらうから!
map_0245#71	ローラ: サ、サファイラ……? どこへ……
map_0245#72	シリウス: さらばだ、サファイラ。
map_0245#73	お前に二度と会わずに済むことを、楽しみにしていよう。
map_0245#74	それで、他の者は、ゼル?
map_0245#75	それで、もう一人は、ゼル?
map_0245#76	シリウス: 実に良い。
map_0245#77	どこに送った?
map_0245#78	ゼル: あの、そ、それが……本人たちもわかってないと思います……
map_0245#79	ゼル: どこにでも、あり得ます。
map_0245#80	シリウス: 対処しろ。
map_0245#81	あのケーシィを、完璧に集中させる必要がある。
map_0245#82	時間が残り少ない。
map_0245#83	シグムンド: 彼女は、実によく似ている……
map_0245#84	……ふむ。
map_0245#85	ゼル: 大人しくしろ、このバカなクソ虫が!
map_0245#86	ゼル: え、あの……その……
map_0245#87	ケーシィ、お願いだから、僕たちの言うこと聞いてくれない?
map_0245#88	シグムンド: それは、ケーシィなりの丁重なお断りの仕方だったのでしょう。
map_0245#89	ゼル: このやろう……
map_0245#90	……何だ、\PNが戻ってきたのか?
map_0245#91	こいつは本当に役立たずだな。
map_0245#92	シグムンド: この「リン」とやらが到着する前に、この計画は打ち切ってしまった方がいいのかもしれません。
map_0245#93	かなり批判的な性質の持ち主のようですから。
map_0245#94	ゼル: これほど制御不能な力は、確かに許容できません。
map_0245#95	ゼル: でも、こんなに酷い目に遭わせてきたのに、このかわいそうなケーシィを本当に傷つけていいんでしょうか?
map_0245#96	ゼル: そもそも、あのバカが飛ばしてくる前に機械を止めるくらい近づけなきゃ、何もできやしないだろ!
map_0245#97	ゼル: 生意気な口をきくな、ケーシィ!
map_0245#98	ゼル: \PN、あなたはスピネルタウンの人々を、この制御されていないテレポートエネルギーによる混乱から救いたい、そうですね?
map_0245#99	ゼル: いい考えだ。
map_0245#100	\PNに任せちまおうぜ!
map_0245#101	やれ、あのちっこいやつをやっちまえ!
map_0245#102	あんなに鬱陶しいんだから、そうすればみんなにとってもいいことに――
map_0245#103	シグムンド: ……ゼル?
map_0245#104	ゼル: よし、もういい!
map_0245#105	\PN、これを何とかしてくれ。
map_0245#106	オレたちは止めないから、こいつを倒せば、クリソリアの混乱を鎮められるぞ!
map_0245#108	シグムンド: それは何よりです。
map_0245#109	それで、イヴ、近隣地域はこれで元に戻るのですか、それとも被害は永続的なものですか?
map_0245#110	ゼル: これまでにケーシィの力で移動させられたものは、そのままの場所に留まります。
map_0245#111	さらに、すでに不安定なエスパーエネルギーを帯びてしまった物の中には、まだ動き続けるものもあるでしょう。
map_0245#112	しかし、これ以上、そうした事例が新たに生まれることはありません。
map_0245#113	クリソリアは、ゆっくりと落ち着きを取り戻していくでしょう。
map_0245#114	シリウス: リンが到着した。
map_0245#115	……\PNは、もう戻ってきているのか?
map_0245#116	ゼル: あの……はい。
map_0245#117	それに、ケーシィを鎮めるのを手伝ってくれて、それで……
map_0245#118	シリウス: 「鎮めた」、だと――
map_0245#119	あいつの計画を、打ち切ったのか?
map_0245#120	ゼル: あらゆる制御手段に、反応しませんでした。
map_0245#121	シリウス: ……
map_0245#122	そうか。
map_0245#123	それなら、\PNに責任を取ってもらうしかないな。
map_0245#124	お前がこれを許可したのでなければ、お前の首が飛ぶことになるぞ。
map_0245#125	わかったな?
map_0245#126	リン: 報告して。
map_0245#127	シリウス: PULSEを使ってケーシィの力を増幅させ、部隊を遺跡の中心部にテレポートさせる実験を行っていた。
map_0245#128	シリウス: しかし、\PNが妨害し、制御下に置く前に計画を強制的に打ち切った。
map_0245#129	ちょうど奴を始末するところだった。
map_0245#130	ちょうど彼女を始末するところだった。
map_0245#131	ちょうど奴らを始末するところだった。
map_0245#132	リン: それで、奥に潜んでるもう一体は何?
map_0245#133	シグムンド: 失礼。自己紹介が遅れました。
map_0245#134	私の名は、シグムンド・コナル博士。リボーンシティ専属の精神科医であり、市立孤児院の管理者を務めております。
map_0245#135	シリウス: コナル博士は、我々にとって大きな資産だ。
