map_0227#211	シャルロット: ……そう。
map_0227#268	それで、あのラプラスの子は消えたってこと?
map_0227#269	それでも負けたの? まったく。
map_0227#270	あんた、いつになったら邪魔するのやめてくれるわけ?
map_0227#271	今がチャンスみたいだね!
map_0227#272	くそ、あの子が消えたっていうのに……
map_0227#273	あの子にはもう二度と会いたくない。あんたにもな。
map_0227#274	ここでオレたちに会うとは思わなかったか?
map_0227#275	好きにしろ。どうせ意味はない!
map_0227#276	どのみち、ユーレユはもうずいぶん前からオレたちの手中にある。
map_0227#277	みんな、本当に地震がユーレユを壊したと思ってるなんて、笑えるほど可愛いよな。
map_0227#278	そうそう、地震のせいなの! あたしたちじゃないんだからぁ!
map_0227#279	あんたたちって、勘違いしてる時、本当にかわいいよね。
map_0227#280	シェリー: みんな、檻に入れられてる!
map_0227#281	ひどい!
map_0227#282	あたしなんて、見張りがついてただけなのに!
map_0227#283	こんな扱い、どうして平気だと思えるの!?
map_0227#284	犯罪者にだって、こんな扱いは酷すぎるのに……
map_0227#285	シャルロット: あたしたちを動物園みたいに閉じ込めてるってわけ。
map_0227#286	上品なことで。
map_0227#287	そもそも、こんな独房がある企業のビルって何なわけ?
map_0227#288	メテオ団員: ここが企業のビルだったのは、もうずいぶん昔の話だ。
map_0227#289	何年も前、ユーレユがリボーンの経済の中心だったって話くらい、聞いたことあるだろう。
map_0227#290	シャルロット: はいはい、経済は絶好調で、それが地震にやられて、それで終わり、でしょ。
map_0227#291	メテオ団員: 違う!
map_0227#292	地震がユーレユを壊したんじゃない――
map_0227#293	チームメテオがやったんだ!
map_0227#294	時間をかけて会社に潜り込み、内側から潰してやったのさ!
map_0227#295	ノエル: そして、ユーレユの発電所の閉鎖が、街の衰退につながった。
map_0227#296	つまり、チームメテオは一度、リボーンシティの破壊に成功していたわけだ。
map_0227#297	メテオ団員: 正解だ、坊主。
map_0227#298	今度はジュリアのジム――新しい発電所を破壊して、もう一度やるつもりだった!
map_0227#299	だが、誰かさんが邪魔をしてくれてな。
map_0227#300	そしてまた、お前が現れたわけだ。
map_0227#301	復讐にはちょうどいい時じゃないか、な?
map_0227#302	いつか、わかる時が来るさ……
map_0227#303	俺たちを倒したところで、止められはしないぞ。
map_0227#304	メテオ団員: 好きにしろ。
map_0227#305	どうせ意味はない。
map_0227#306	ノエル: アンナは上に連れて行かれた。
map_0227#307	ヘザーもだ。
map_0227#308	ドクターと、あともう一人、変な男もそこにいる。
map_0227#309	シャルロット: ふうん。
map_0227#310	\PNとうちのお姫様なら、なんとかできるでしょ。
map_0227#311	カイン: マジでその呼び方、定着させる気だな? はは……
map_0227#312	シャルロット: それに見合うことしたでしょ。
map_0227#313	ノエル: それと、アンナから何かを奪ってもいる。
map_0227#314	アメジストのペンダントだ。
map_0227#315	彼女にとって、すごく大事なものなんだ。
map_0227#316	本当の父さんからもらった贈り物で。
map_0227#317	孤児院に預けられた時、僕たちが持ってたのは、ノモスとノストラと、あのペンダントだけだった。
map_0227#318	シャルロット: なんでメテオが、そんなものを欲しがるわけ?
map_0227#319	まあ、いいや。
map_0227#320	シャルロット: あたしはこの檻を開ける作業をしとく。
map_0227#321	あんたたち二人は先に行って。
map_0227#322	戦いが必要になったら呼んでね~
map_0227#323	メテオ団員: リボーンはオレたちの縄張りだ。
map_0227#324	ここは聖域であり、侵させはしない。
map_0227#325	メテオ団員: 勝てるなんて幻想は抱かないことだな。
map_0227#326	ここは完全にオレたちの手の内にある。
map_0227#327	シャルロット: いざとなったら溶かして通ればいいけど、まあ、様子見かな……
map_0227#328	シギーとは戦いたくない
map_0227#329	シギー、マジでキレそう
map_0227#330	はい
map_0227#331	いいえ
map_0228#0	ノエル: 今、経路を確認しようか?
map_0228#1	ノエル: わかった。ここで待ってて。
map_0228#2	ノエル: これで正解だ。列車は出口まで進めるようになった。
map_0228#3	アンナ: やったね~
map_0228#4	ノストラも、二人ともおめでとうって言ってる!
map_0228#5	いたっ――
map_0228#6	ノエル: アンナ?
map_0228#7	アンナ: 大丈夫! ちょっと滑っただけ。
map_0228#8	さ、さあ、行こう!
map_0228#9	ノエル: この組み合わせじゃダメだ。
map_0228#10	アンナ: 大丈夫。うまくいく組み合わせが見つかるまで、試し続けるだけだから。
map_0228#11	時間はたっぷりあるはずだし……
map_0228#12	ノエル: わかった。
map_0228#13	アンナ: スイッチを並べ替えて、この列車が今の場所から出口まで行ける経路を見つければいいだけだよね?
map_0228#14	ノエル: 止まらずに、だ。
map_0228#15	アンナ: そう! シャルロットはブレーキなんて気にしないから。
map_0228#16	心配しないで、あたしの心が、絶対にここから出る道があるって教えてくれてるから!
map_0228#17	というか、たぶんそれが理由で、今すごく変な感じがしてるんだと思う?
map_0228#18	とにかく、見つかったと思ったらノエルに話しかけて!
map_0228#19	ん? 入り口が封鎖されている。
map_0228#20	このファイルの鉄道パズルをスキップしますか?
map_0228#21	アンナ: ノストラがこんなに迷惑かけちゃって、ごめんね。
map_0228#22	あの子の何がいけないのか、あたしにもわからないの。
map_0228#23	ノエル: ええと、ノモスによれば、ノストラは元気そうだって。
map_0228#24	でも、アンナ……お前の方が。
map_0228#25	ヘザー: ……
map_0228#26	カイン: 何をやっても、あいつは口をきかない。
map_0228#27	あのジジイ・ドクターがやったことを思うと、そもそも話せるのかどうかすら、疑わずにはいられないんだ。
map_0228#28	カイン: \PN、お前は他のみんなと先に行ってくれ。
map_0228#29	ヘザーは動きそうにないから、オレはここに残って、何か見つかったらあいつを連れて行くよ。
map_0228#30	オレたちのこと、忘れないでくれよな~?
map_0228#31	シャルロット: やっぱり、道が崩れてるじゃない。
map_0228#32	シェリー: わ、私、ヘザーがこれを乗り越えられる状態だとは思えなくて……
map_0228#33	シャルロット: もっといい考えでもあるの?
map_0228#34	シェリー: あの……あの、あるかも?
map_0228#35	普通の必死な人たちみたいに乗り越える代わりに、複雑な解決策を見つけなきゃいけないなんてこと、絶対ないと思うけど。
map_0228#36	シェリー: あの……ヘザーにこれを乗り越えさせようとするのは、正直心配で――
map_0228#37	……あんな目に遭った後だから……
map_0228#38	で、でも、別の方法があるかもしれないの!
map_0228#39	ここについて、前に何か読んだことがあって……
map_0228#40	それで、その、これって元々リボーンシティの地下鉄だったんだよね?
map_0228#41	ちょ、ちょっと危ないかもしれないけど……
map_0228#42	当時の車両が、まだ残ってる可能性もあるんじゃない?
map_0228#43	シャルロット: つまり、列車をここにぶっ放したいってこと?
map_0228#44	シェリー: え、えっと、それは……それは――
map_0228#45	た、ただ、理論的には……
map_0228#46	シャルロット: あんた、地味なくせにイカれたくらいすごいこと言うよね、知ってた?
map_0228#48	シャルロット: ちょっと、やめてよ。
map_0228#49	褒めてるんだから、あと48時間で死ぬって言われたみたいな顔しないでよ。
map_0228#50	それは少なくとも、ここを出てから言うつもりだったのに。
map_0228#51	シェリー: あの……
map_0228#52	シャルロット: よし、みんな。イカれた女の言うこと、聞いたよね。
map_0228#53	列車を捕まえに行こう。
map_0228#54	シャルロット: ……ん?
map_0228#55	もう見つけたの?
map_0228#56	やるじゃない、\PN。
map_0228#57	よし、案内して!
map_0228#58	アンナ: 急いで!
map_0228#59	シェリー: あたし、何をしちゃったんだろう……
map_0228#60	はい
map_0228#61	いいえ
map_0230#0	ん? 入り口が封鎖されている。
map_0230#1	シェリー: あ、あの、えっと……じゃあ、またね?
map_0230#2	カイン: そぉーら、空を見た瞬間、もういなくなったな。
map_0230#3	シェリー: 別に、友達を助けたかったとかじゃないし……
map_0230#4	カイン: おーい、オレはまだあいつを追いかけるからな、いいか?
map_0230#5	無事だって確認できるまではな。
map_0230#6	あとでみんなに追いつくから!
map_0230#7	シャルロット: またね、お姫様。
map_0230#8	シェリー: え、えっと……それで……一体何があったの?
map_0230#9	シャルロット: 線路が「もう無理」って決めたみたいね。
map_0230#10	最高。
map_0230#11	シェリー: でも……それなら、止まる時、もっと、もっとその、ひどいことになってたんじゃ?
map_0230#12	シャルロット: なんて言えばいいかな。あたし、そういうの得意なだけ。
map_0230#13	ノエル: アンナ、顔真っ白だぞ。
map_0230#14	アンナ: だ、大丈夫だから!
map_0230#15	具合悪いのはノストラの方だから、約束する!
map_0230#16	シャルロット: ふうん。
map_0230#17	それじゃ、「ノストラ」が休めるように、あたしの家に行こっか?
map_0230#18	ついてきな、子供たち。
map_0230#19	ノエル: 「子供」って言うけど、あの人だって僕たちとそんなに歳変わらないよね?
map_0230#20	シェリー: と、とにかく、進んだ方がいいかも……
map_0230#21	あ……
map_0230#22	雨、降ってる?
map_0230#23	また?
map_0230#24	どうしていつも雨なんだろう?
map_0230#25	誰が決めたの?
map_0230#26	苦情の手紙は、どこに出せばいいんだろう?
map_0230#27	天気がもう少し予測できたらいいのに。
map_0230#28	誰かに「せいじょうきこう」とでも言えば、いつも決まった周期で天気が変わるようになる……なんてことがあればいいのに……
map_0230#29	……そうだったらいいのに……
map_0231#0	シャルロット: この金属のガラクタ、新しいね。
map_0231#1	いい兆候だとは思えないけど。
map_0231#2	アンナ: な、何あれ?
map_0231#3	シャルロット: さあね。
map_0231#4	とにかく進もう。
map_0231#5	シャルロット: あたしたちの家は、この先すぐ。
map_0231#6	探してなければ、ここの通り道はかなり目立たない。
map_0231#7	だから居心地のいい隠れ家になってる。うちの家族はもう何年も使ってるの。
map_0231#8	じゃ、先に行くね。
map_0231#11	頑丈すぎて、壊すことも動かすこともできないようだ……
map_0231#12	この岩の土台には、まだ何か価値のあるものが眠っているかもしれない。
map_0231#13	ばくはつのこなで開けますか?
map_0231#14	メテオ団員: 来たか。
map_0231#15	メテオ団員: バカ正直に――いや、勇敢に来てくれることを願ってたぜ。
map_0231#16	メテオ団員: これでお前は、オレたちのものだ!
map_0231#17	デュオ: これは攻撃だ。
map_0231#18	覚悟しておけ。
map_0231#19	この害虫どもを一掃するために!
map_0231#20	神の国の芸術を取り戻すために!
map_0231#21	地上の世界を打ち砕くために!
map_0231#22	真実と愛の下に眠るものを見つけるために!
map_0231#23	チームメテオ!
map_0231#24	永遠の光と共鳴する!
map_0231#25	今すぐ逃げろ、戦おうとするな!
map_0231#26	正義のために! そうだ!
map_0231#27	メテオ団員: 二対一だぜ、ベイベー!
map_0231#28	なんだよ。
map_0231#29	マジかよ、意味なかったのかよ?
map_0231#30	メテオ団員: くそ……この山、まだ不安定みたいだな。
map_0231#31	メテオ団員: オレたちが騒いでるのも、良くないんだろうな。
map_0231#32	それでも負けるとは。バカげてる。
map_0231#33	オレは抜けるぞ。
map_0231#34	こんなバカげたこと、もうやってられねえ。無理だ。
map_0231#35	メテオ団員: おい待て――待てって!
map_0231#36	ソルロックが、ポケスナックに引き寄せられているようだ。
map_0231#37	空腹のポケモンが攻撃してきた!
map_0231#38	ルナトーンが、ポケスナックに引き寄せられているようだ。
map_0231#39	サファイラ: ここに違いない。
map_0231#40	行くわよ。
map_0231#41	サファイラ: カイリュー。
map_0231#42	破壊しなさい。
map_0231#43	ローラ: 前にここで見かけたんです……
map_0231#44	でも、この門はどうやって通ればいいんでしょう?
map_0231#45	ローラ: ええと……
map_0231#46	ローラ: チームメテオには、何かこれを開ける方法があるはずですよね?
map_0231#47	だから、どこかにスイッチがあるのかも……
map_0231#48	ローラ: きゃっ!!! い、痛い……
map_0231#49	ローラ: ああ、もう、汚れちゃいました……
map_0231#50	あれ、門が開きました?! きっとそこにスイッチがあったんですね……あら、すみません!
map_0231#51	ええと……
map_0231#52	はい
map_0231#53	いいえ
map_0232#0	シャルロット: この花の輪っか……
map_0232#1	1、2、3……
map_0232#2	……8個。
map_0232#3	シャルロット: 1、2……
map_0232#4	シャルロット: 8……
map_0232#5	8個……はぁ。
map_0232#6	ローラ、またやってるんだ。
map_0232#7	よう、旅の人。
map_0232#8	なあ、旅の人よ、釣りがしたいなら、運がいいぜ!
map_0232#9	リボーンじゅうを旅して、いい水場を探し回ってきたが、こんな場所は他にありゃしねえよ!
map_0232#10	岸には小さな小屋まであってな。
map_0232#11	誰もいねえから、ちょいと借りても文句は言われねえだろう。
map_0232#12	魚で払ってやりゃいいさ。
map_0232#13	おう、よう相棒。
map_0232#14	前に会ったの覚えてるぜ。ボロのつりざおをくれてやったの、お前だったよな?
map_0232#15	あれ以来、いい水場を探してリボーンじゅうを回ってたが、やっと落ち着けたよ。
map_0232#16	ここは何とも言えねえ静けさでな、見ろよ! 岸に小屋まであるんだぜ。
map_0232#17	よう、相棒。
map_0232#18	釣りでもする気か?
map_0232#19	ん、もう一回言ってくれ? 湖の底で死体を探してたって?
map_0232#21	いいか、よく聞けよ、相棒。
map_0232#22	何を釣り上げようが、オレは何も聞かねえから、口封じにオレを殺す必要なんてねえぞ。
map_0232#23	ああ、ああ、わかってるって、誰も殺しちゃいねえんだろ。
map_0232#24	わかってるさ。みんなそう言うもんだ。
map_0232#25	協力……協力するから、心配すんな。
map_0232#26	だが知っといた方がいいかもな、あのナマズンみてえなやつ――でかいやつだ――が、水面下で何か引きずってるのを見たぞ。
map_0232#27	その時はあんまり気にしなかったが、今お前がそれの話をしてるってことは、それだったんだろうよ。
map_0232#28	取り戻さなきゃならねえ証拠があるってんなら、あの魚が食っちまった可能性もあるな。
map_0232#29	だが、それを取り戻すのは、湖を散歩するみてえに簡単じゃねえぞ。
map_0232#30	ほら、予備の釣り竿を一本持ってけ。
map_0232#31	あのナマズンを釣り上げたら、オレんとこに持ってこい、汚れ仕事は代わりにやってやるよ。
map_0232#32	ただ言っとくが、この池にはナマズンがうじゃうじゃいるから、その魚が本当に飲み込んでたとしても、見つかる保証はねえぞ。
map_0232#33	この辺で、ナマズンの一匹でも釣れたか?
map_0232#34	試し続けるしかねえな。
map_0232#35	よし、渡してくれ。何か特別なもんが入ってるなら、傷つけずに見つけてやるよ。
map_0232#36	さて、どれどれ……
map_0232#37	.
map_0232#38	……
map_0232#39	さて、何が出てくるかな?
map_0232#40	これ、お前が探してたもんじゃねえか?
map_0232#41	力になれて良かったぜ。
map_0232#42	つまり、オレを生かしといてくれるってことだよな?
map_0232#43	いや、ダメだな。もう一回釣ってこい。
map_0232#44	この湖にはたくさんいるだろうし、そのどれが食っちまったかなんてわからねえから、続けるしかねえな。
map_0232#45	そのうち見つかるさ、相棒。
map_0232#46	よう、相棒!
map_0232#47	オレは、あー、何にも知らねえからな。覚えとけよ?
map_0232#48	ローラ: あら、これは変ですね?
map_0232#49	あの、お花は踏まないようにしてもらえますか?
map_0232#50	けっこう時間をかけてるので。
map_0232#51	アンナ: ノストラとあたし、あなたを信じてるよ、\PN!
map_0232#52	アンナ: ノストラとあたし、まだあなたを信じてるからね、\PN!
map_0232#53	ノエル: 今これをやる意味はあんまりないと思うけど……
map_0232#54	準備ができてるなら、位置についてくれ。
map_0232#55	シャルロット: 本当にここでやるんだ。
map_0232#56	いいけど。
map_0232#57	それじゃ、これは6対6のシングルバトルになる。
map_0232#58	どちらのトレーナーも――
map_0232#59	シャルロット: サファイラ!
map_0232#60	サファイラ: シャルロット、来てくれたのね!
map_0232#61	シャルロット: びっくりした、姉さん。
map_0232#62	サファイラ: それに、アンナ、ノエルも……
map_0232#63	みんな、脱出したのね。
map_0232#64	シャルロット: うん、\PNとシェリーが手を貸してくれたの。
map_0232#65	ドクターからは、もう二回も逃げてる。
map_0232#66	サファイラ: 三回目もやらなきゃいけなくなりそうよ。
map_0232#67	あいつがここに向かってる。
map_0232#68	今、まさに。
map_0232#69	それに、一人じゃない。
map_0232#70	職員たちと、黒ずくめの一団を丸ごと引き連れてる。
map_0232#71	シャルロット: またチームメテオか。
map_0232#72	サファイラ: 逃げ道を断つために、陸と水の両方から来てるわ。
map_0232#73	ローラ: どうしましょう?
map_0232#74	サファイラ: できることはひとつだけ:
map_0232#75	戦うこと。
map_0232#76	よく聞いて。
map_0232#77	シャルロット、アンナ、ノエル、それと――
map_0232#78	ええと、あなた、そこの子。
map_0232#79	シェリー: あの――あの、私の名前は――
map_0232#80	サファイラ: 今はいいから。
map_0232#81	急いで中に入って、隠れる場所を見つけて。
map_0232#82	シャルロット: は? 冗談でしょ。
map_0232#83	ここで奴らの顔を溶かせるってのに、逃げて隠れるつもりなんてない。
map_0232#84	サファイラ: 却下。
map_0232#85	あんたはまだ未成年だから、ドクターにはまだ法的な権限が及ぶ可能性がある。
map_0232#86	脱走の件はどうにかできるかもしれないけど、公務執行妨害まで抱え込ませたくないの。
