map_0133#259	連中がボクに隠してきたことが、他に何があるんだろうね……
map_0138#41	そうすれば、思いがけない形で強くなれるかもしれないもの!
map_0138#42	もっとも今どきの若い人は、ポケギアでバトル相手や交換相手を探すのが好きみたいだけど……それをやったら、もうそれは許されなくなるでしょうね。
map_0138#43	まずは、それでも構わないか確かめておいてね。
map_0142#0	昔は、街の西側にいい家を持っていたんだ。
map_0142#1	子供も二人いた。
map_0142#2	今はもう、街の西側なんてない。
map_0142#3	子供たちもいない。
map_0142#4	小銭を少し分けてもらえないか?
map_0142#5	\G……本当か? いくらだ?
map_0142#6	あんた……ずいぶん、くれたんだな。
map_0142#7	……ありがとう、見知らぬ人。
map_0142#8	金は大事だ。
map_0142#9	それで生きていける。
map_0142#10	だが、前へ進む力はくれない。
map_0142#11	それをくれたのは、あんただ。
map_0142#12	……これを受け取ってほしい。
map_0142#13	ちょっとしたお守りみたいなものだ。
map_0142#14	あんたのポケモンに持たせてやってくれ。
map_0142#15	あんたの人生にも、何か新しいものを呼び込んでくれるかもしれない。
map_0142#16	……ありがとよ。
map_0142#17	何もないよりはましだ。
map_0142#18	……持っていないものを、渡しちゃだめだ。
map_0142#19	気持ちはうれしいが、まだ手元にあるうちは、それを大事に持っておきなさい。
map_0142#20	山火事のような災害は、森の成長にはいいことだって言うだろう。
map_0142#21	森そのものが災害になったときも、同じことなのかもな。
map_0142#22	それじゃあ、これは俺たちの成長のためだっていうのか?
map_0142#23	あの揺れ、聞こえたか?
map_0142#24	一体何が起きてるんだ?
map_0142#25	まずワードの半分を失って――次は一体何だっていうんだ!?
map_0142#26	警官の一隊が、ベリルジムに突入していったぞ。
map_0142#27	あの揺れの直後にな……
map_0142#28	来る途中、ロドクラインの樹を見たか?
map_0142#29	あんなふうに育ったのは最近のことでな――まるで何か人工的な力で成長させられているみたいだった!
map_0142#30	まあ、文句はないさ。なかなかの眺めだからな!
map_0142#31	皆して、あの元ジムリーダーの家に押しかけていったよ……
map_0142#32	あまり愛想のいい奴じゃないが、必要なときにはいつも力を貸してくれた男だ。
map_0142#33	今度は一体何に巻き込まれてるんだか……
map_0142#34	<- リトルポー通り\n^v - プラチナ通り
map_0142#35	<- キングズベリー通り\nv - エメラルド通り
map_0142#36	こんにちは、トレーナーさん!
map_0142#37	ポケスナックをひと袋、いかがですか?
map_0142#38	ポケスナックは、ポケモンのためのおいしいおやつです! 食べさせてあげれば、ポケモンはもっと幸せになりますよ!
map_0142#39	でも、それだけじゃないんです!
map_0142#40	このおいしくて栄養満点のおやつを持っているだけで、珍しい野生のポケモンが近づいてきやすくなるんですよ!
map_0142#41	いやいや、草むらでのランダムな遭遇のことじゃないですよ、そんなの誰が求めます?
map_0142#42	特別な機会に、普段は現れないポケモンが近づいてくることがあるって話です。どうです?
map_0142#43	スナックをお買い上げになりませんか?
map_0142#44	特別な機会に、普段は現れないポケモンが近づいてくることがあるって話です。どうです?
map_0142#45	<- ストーカー通り\n^ - プラチナ通り\n>- ベリル大橋
map_0142#46	はい
map_0142#47	いいえ
map_0143#0	<- ストーカー通り\n^ - プラチナ通り\n>- ベリル大橋
map_0144#0	コーリー: よし。もう終わりだ。
map_0144#1	よく仕えてくれた。だが、もう自由にしていい。
map_0144#2	消えろ。
map_0144#3	コーリー: お前もだ。特別扱いはしない。
map_0144#4	さっさと行け。
map_0144#5	コーリー: 消えろと言っている。
map_0144#6	もうここにお前は要らない!
map_0144#7	コーリー: これで片づいた。もうこれらは必要ない。
map_0144#8	コーリーはモンスターボールを投げ捨てた!
map_0144#9	コーリー: こんな結末を望んでいたわけではない。
map_0144#10	選べるものならば、メテオ団に加わることなどなかっただろう。
map_0144#11	私は、自らの運に呪われていた。
map_0144#12	ひとつの見事なルビーをあしらった指輪があった。
map_0144#13	以前、旅の商人から買い求めたものだ。
map_0144#14	私自身は宝飾品に興味などなかったが、それは今まで見た中で最も輝かしい指輪だった。
map_0144#15	その指輪に、本当の美しさというものを教えてやろうと思ったのだ。
map_0144#16	愛する人にそれを贈ると約束し、彼女は受け取ってくれた。
map_0144#17	だが、運というものは、片方だけには傾かない。
map_0144#18	あの頃、私は幸せだった。
map_0144#19	世間知らずだった。
map_0144#20	結婚してほどなく、妻は身ごもった。
map_0144#21	それが、終わりの始まりだった。
map_0144#22	妻は、ヘザーを産んで生き延びることができなかった。
map_0144#23	出産時の機械の不具合で命を落としたと聞かされた。
map_0144#24	不運だった。
map_0144#25	だが、話はそれだけではなかった。
map_0144#26	後になって知ったことだが、彼女を担当した医師は、あの指輪を手に入れるためだけにメテオ団から送り込まれていたのだ。
map_0144#27	だから私は、その男を捜し出した。
map_0144#28	そう簡単には忘れられない後悔を、その身に刻んでやった。
map_0144#29	そして、指輪を奪い返した。
map_0144#30	だが、結局は失敗に終わった。
map_0144#31	奴が、ヘザーを押さえていたからだ。
map_0144#32	指輪と、娘の命の引き換え。
map_0144#33	だが、そこに約束などなかった。
map_0144#34	代わりに、私は取引をした。
map_0144#35	娘の安全と引き換えに、私の忠誠を。
map_0144#36	そのうえで、指輪は私の手元に残すことにした。
map_0144#37	私にとって、それは二人の幸せの最後の証だった。
map_0144#38	ヘザーは、私たちが分かち合えなかった最後の喜びだった。
map_0144#39	だが、私にそのぜいたくは許されなかった。
map_0144#40	それは、私自身の弱さだった。
map_0144#41	母親を失ったように、あの子まで失うのが怖かった。
map_0144#42	あの子の母は、美しく賢い女性だった。
map_0144#43	あれほどの女性は、他にいない。
map_0144#44	それだけは確かだ。
map_0144#45	彼女と共にいるとき、私は満たされていた。
map_0144#46	幸せだった。
map_0144#47	彼女は、ヘザーと引き換えにこの世を去った。
map_0144#48	出産中の、たまたまの機械の不具合が、彼女の命を奪ったのだ。
map_0144#49	あのとき私は、現実がどれほど冷たいものかを知った。
map_0144#50	ずっと求めていたものを、ようやく手にしたと思った瞬間、それは永遠に奪い去られてしまう。
map_0144#51	ヘザーには、決して違う考えを抱かせまいと誓った。
map_0144#52	あの子まで失うまいと誓った。
map_0144#53	人生とは、ただ残酷なだけのものだ。
map_0144#54	それを知った上であの子を育てれば、私が味わった苦しみを与えずに済むと思っていた。
map_0144#55	だが、結局は私自身があの子を傷つけただけだった。
map_0144#56	そして今、そのせいであの子はいなくなった。
map_0144#57	もう、何も残っていない。
map_0144#58	メテオ団には戻れない――裏切り者だと思われている。
map_0144#59	だが、正体が知られてしまった以上、彼らに逆らうこともできない。
map_0144#60	警察でなければ、あの女に。
map_0144#61	お前でなければ、あの女に。
map_0144#62	あの女は、そもそも最初から私の正体を知っていたのだからな。
map_0144#63	そして今、私は守ろうとしたただひとつのものすら守れずにいる。
map_0144#64	ひとつでも間違えば、また互いの命がはかりにかけられることになる。
map_0144#65	……そんなことは、二度とさせない。
map_0144#66	\PN。
map_0144#67	指輪はヘザーが持っている。
map_0144#68	それを狙って、あの子は追われることになるだろう。
map_0144#69	頼む、あの子を見守ってやってくれ。
map_0144#70	それと、もうひとつ――
map_0144#71	指輪の宝石の下には、小さなデータチップが埋め込まれている。
map_0144#72	そこには、メテオ団とその計画、拠点についてのかなりの情報が入っている。
map_0144#73	お前に背負わせる重荷への、対価だと思ってくれ。
map_0144#74	コーリー: 私にはもう、あの子の父を名乗る資格はない。
map_0144#75	最初から、あったのかどうかすらわからないが。
map_0144#76	コーリー: もう一度、ほおに風を感じるためだけに、ずいぶん長く待ったものだ。
map_0144#77	もう一度、お前と一緒に地平線を追いかけたかった……
map_0144#78	もう少し速く飛んでくれ、頼むよ……
map_0144#79	あと少しで、月に手が届きそうな気さえする。
map_0144#80	???: うわ、なんて間抜けなんだ。
map_0144#81	ファーン: あのマヌケ、本当にベリル大橋から飛び降りたのか?
map_0144#82	完全に終わったな。
map_0144#83	それで、あれがボレアリスだったって?
map_0144#84	メテオ団のエージェントも、今じゃ歩道のシミってわけだ。
map_0144#85	ファーン: オレ様のこと、薄情だと思ってんだろ?
map_0144#86	でもよ、あいつはこっちの敵だったんだぜ、忘れたか?
map_0144#87	それに、これはただの自然のふるいってやつだ。
map_0144#88	どっかの老いぼれテロリストが、頭おかしくなって橋から飛び降りた……
map_0144#89	だから何だってんだ。
map_0144#90	でもよ、そんなに気になるなら、自分で下に行って探してくればいいだろ?
map_0144#91	ファーン: いいか。
map_0144#92	あいつはラピスワードに落ちた、ちょうどこの真下だ。
map_0144#93	オパール大橋から北へ行けば着くぜ。
map_0144#94	まあ、意味あるとは思えねーけど、どうでも――
map_0144#95	ファーン: 何だよ、今の?!
map_0144#96	ファーン: おい、\PN! あっち見てみろ!
map_0144#97	あのでかい煙……
map_0144#98	北オブシディアワードから上がってるみたいだぜ!
map_0144#99	何か起きてる、確かめに行くぜ。
map_0144#100	じゃあな、負け犬!
map_0146#0	「ユレユ発電所」
map_0146#1	ドアは鍵がかかっている。
map_0146#2	こわいよ!
map_0146#3	通りに風船が浮いてるのが見えて捕まえようとしたら、あのポケモンだったんだ!
map_0146#4	そのままここまで運ばれてきちゃって……
map_0146#5	でも、あいつがあそこにいたら、どうやって家に帰ればいいの?
map_0146#6	え? フワンテを倒したの?!
map_0146#7	じゃあ、もう出ても大丈夫ってこと?
map_0146#8	よし! これなら家に帰れそう!
map_0146#9	ぼく、ラピスワードに住んでるから……
map_0146#10	ほんとにかっこいいから、いつか遊びに来てよ!
map_0146#11	うん、ありがとう! じゃあね!
map_0147#0	シェリー: わ、私……こ、これは……
map_0147#1	わ、私……こ、これは……
map_0147#2	ヴィクトリア: シェリー、そこから離れて。
map_0147#3	シェリー: ど、どうして……
map_0147#4	わ、私……
map_0147#5	ヴィクトリア: ああ、だめよ、泣かないで。
map_0147#6	ヴィクトリア: 大丈夫だから。中に入りましょう。
map_0147#7	シェリー: い、息が……できない……
map_0147#8	あ、あれって……
map_0147#9	ヴィクトリア: 気にしなくていいの。さあ、行きましょう。
map_0147#10	シェリー: あ、あれ、ヘザーの――
map_0147#11	エクリプス: アスター、エクリプスより報告。ベリル捜査官、死亡を確認。
map_0147#12	ヴィクトリア: え? メテオ団?
map_0147#13	まさか、あなたたちがやったんじゃ!
map_0147#14	アスター: まさかっス!
map_0147#15	それはウチらの――
map_0147#16	エクリプス: アスター、黙って。
map_0147#17	エクリプス: いいこと、お嬢さん。メテオ団のことには首を突っ込まない方が、皆のためよ。
map_0147#18	行くわよ、アスター。
map_0147#19	対象は確認した。任務完了。
map_0147#20	アスター: っス! 大階段の方でも呼ばれてるっスからね。
map_0147#21	ヴィクトリア: 大階段……まさか!
map_0147#22	大階段の爆発も、メテオ団の仕業だったの?
map_0147#23	アスター: いやいや、ヒマナッツがやったんスよ。
map_0147#24	もちろんウチらっス!
map_0147#25	エクリプス: いっそ全部話しちゃえば?
map_0147#26	アスター: えっと……はいっス。
map_0147#27	どうやら、大階段の下には――
map_0147#28	エクリプス: 今のは皮肉よ、このばか! 行くわよ!
map_0147#29	アスター: だったんスね。
map_0147#30	そうだね。
map_0147#31	ヴィクトリア: こんなものを見せてしまって、本当にごめんなさいね、シェリー。
map_0147#32	とにかく中に入って、落ち着いて、それで――
map_0147#33	ああっ!
map_0147#34	いつの間に、あそこに?!
map_0147#35	……
map_0147#36	シェリー: あ……あれ、シェイドだ……
map_0147#37	な、何の用なの、シェイド?
map_0147#39	ヴィクトリア: シェイド? それって……?
map_0147#40	ヴィクトリア: ああ、彼……遺体を運んでいくの?
map_0147#41	ヴィクトリア: あっという間にいなくなって……変な人。
map_0147#42	これ以上変なことが起きる前に、中に入りましょう。
map_0147#43	シェリー: わ、わかった……
map_0147#44	ヴィクトリア: 本当に、恐ろしいことだわ……
map_0150#0	目に見えない何かが立ちふさがっている。
map_0150#1	\PNはシルボンスコープを使った。
map_0150#2	驚いたポケモンが攻撃してきた!
map_0150#3	地面の穴が、真下へと続いている。
map_0150#4	飛び込みますか?
map_0150#5	???: おい、ばか野郎。
map_0150#6	いつまでそこで寝てるつもりだ?
map_0150#7	ファーン: おーい\PN。誰かいるかー?
map_0150#8	ファーン: よう、目覚めてる世界のこと、覚えてるか?
map_0150#9	正直、中で死んでるんじゃねえかと思い始めてたところだぜ。
map_0150#10	オレ様の笑い声で起きねえなら、もう何しても無駄だろうと思ってな。
map_0150#11	おりに閉じ込められてるお前を見て、笑いが止まらなかったぜ。
map_0150#12	泥に顔を突っ込んで、完全に無力になって……
map_0150#13	よく似合ってるぜ。
map_0150#14	ファーン: おいおい、笑えよ!
map_0150#15	トップのファーン様が、助けてやろうって言ってるんだぜ。
map_0150#16	喜んでおりを開けてやるよ……
map_0150#17	……ひざまずいて頼むならな。
map_0150#18	どうする?
map_0150#19	よし、それでいい。
map_0150#20	じゃあ、四つんばいになって、オレ様の後に続けて言え。
map_0150#21	「私、\PNは、トレーナーとしてもバトラーとしても人間としても、ファーンに劣ることを認めます。」
map_0150#22	「さらに、私、\PNは、二度とファーンの邪魔をしないと誓います。踏みつけられる時間すら、私にはもったいないからです。」
map_0150#23	「最後に、私、\PNは、かっこよさでも、おしゃれさでも、人気でも、才能でも、見た目でも、好感度でも、ファーンには決して及ばないという事実を、心から受け入れます。」
map_0150#24	ファーン: はっ! 必死だな。
map_0150#25	気に入ったぜ。
map_0150#26	安心しろ、約束は守ってやるよ。
map_0150#27	ファーン: よし、これでいい。
map_0150#28	二度は助けねえからな、トラブルには近づくなよ。わかったか、お姫様?
map_0150#29	じゃあな、負け犬!
map_0150#30	ファーン: やらねえのか?
map_0150#31	ふん、勝手にしろ。
map_0150#32	そこで朽ち果ててろ、知ったことか!
map_0150#33	ペラップ: ペラッ、ペラッ――『\PNを放して!』……ペラップ!
map_0150#34	???: ああ、暇すぎる!
map_0150#35	メテオ団員: もうどれだけここにいると思ってんだ、あのバカジムリーダー、まだ影も形もねえぞ!
map_0150#36	誰か来るかもって待ちぼうけするより、もっとマシな仕事があるだろ?
map_0150#37	メテオ団員: 声を落とせ、じゃないとカルネリアまで聞こえちまうぞ。
map_0150#38	まだ現れてないからって、来ないとは限らないだろ。
map_0150#39	メテオ団員: それに、幹部たちがマルコウスのPULSEも失ったとかって話してるのを聞いたぞ。
map_0150#40	こっちの警備を厚くしたがるのも無理ないさ。
map_0150#41	メテオ団員: まあそうだけどよ、タカが無能なのはみんな知ってることだろ。
map_0150#42	あいつの根性、アーボ並みだぜ。
map_0150#43	いや、メタモンだな!
map_0150#44	メテオ団員: その話はやめとけ、な?
map_0150#45	幹部にそんな話聞かれたら、全員まとめてやばいことになるぞ。
map_0150#46	黙って、侵入者がいないか見張ってろ。
map_0150#47	メテオ団員: はいはい、わかったよ……
map_0150#48	メテオ団員: そろそろ何か面白いことが起きてもいい頃だ。
map_0150#49	エモンガ、出て「フラッシュ」を使え!
map_0150#50	メテオ団員: 今だ、目がくらんでるうちに捕まえろ!
map_0150#51	メテオ団員: あのもう一人のガキと一緒に、コノハナの縄張りにでも放り込んどけ。
map_0150#52	メテオ団員: 今だ、目がくらんでるうちに捕まえろ!
map_0150#53	メテオ団員: あのもう一人のガキと一緒に、コノハナの縄張りにでも放り込んどけ。
map_0150#54	メテオ団員: 今だ、目がくらんでるうちに捕まえろ!
map_0150#55	メテオ団員: あのもう一人のガキと一緒に、コノハナの縄張りにでも放り込んどけ。
