map_0770#204	頼むから、この世で少しでも神聖と呼べるものにかけて、
map_0770#271	仮説:対象の能力は、確実な成功に十分足りている。
map_0770#272	予測される結果:\PN の勝利。
map_0770#274	フロリニア: 挑戦者は進行の義務を負う。
map_0770#275	T3RR4: さあ、これにて一丁上がりィィ!\tts[テラ: さあ、これにて一丁上がり!]
map_0770#276	あんたはただ歌ってればいい、大変な部分はあたしがやるからァ。\tts[あなたは歌うだけでいい、大変な部分は私がやるから。]
map_0770#277	ウィンクウィンクウィンクウィンクウィンクウィンク。\tts[ウィンクウィンクウィンクウィンクウィンクウィンク。]
map_0770#278	フロリニア: とはいえ、有力な選択肢はまだ存在しうる。
map_0770#279	あるアプリケーションと接続を確立し、事実上、疑似的なバックアップ用の保管庫を――
map_0770#280	T3RR4: レディ。\tts[テラ: レディ。]
map_0770#281	レディ、やめ。\tts[レディ、やめて。]
map_0770#282	前に言ったよね、\tts[前に言ったよね、]
map_0770#283	またそれやってるって、\tts[またそれやってるって、]
map_0770#284	音節はいっぱい喋ってんのに、言葉になってないやつ。\tts[たくさんの音節を話してるのに、大した言葉になってないってやつ。]
map_0770#285	フロリニア: この個体が発した音素はすべて、確かに首尾一貫した英単語として結合している。
map_0770#286	T3RR4: でもそれ、結局なんも言ってないじゃんよォ。\tts[テラ: でもそれ、結局何も言ってないじゃん。]
map_0770#287	生意気言うな、あんたのことはもっとマシに育てたつもりよ。\tts[口答えしないの。あなたのことはもっとまともに育てたはずよ。]
map_0770#288	はい、タイムアウトしてきなさい。\tts[はい、タイムアウトしてきなさい。]
map_0770#289	T3RR4: であんたね。:)\tts[テラ: そしてあなたね。:)]
map_0770#290	今、あんたが一番のお気に入りよ。:)\tts[今、あなたが一番のお気に入りよ。:)]
map_0770#291	だってあんた、何にも言わないだけじゃなくて :)\tts[だってあなた、何にも言わないだけじゃなくて :)]
map_0770#292	勝ってあの子を黙らせてくれたんだもの :)\tts[勝ってあの子を黙らせてくれたんだもの :)]
map_0770#293	テラネイターの名において、その大いなる働きの褒美として、先へ進むことを許すわ。\tts[テラネイターの名において、その大いなる働きの褒美として、先へ進むことを許す。]
map_0770#294	キャル: いい経験だったと思うよ、たぶん。
map_0770#295	ちょっと変に聞こえるかもしれないけど……
map_0770#296	その、君のこと、何も知らない気がするんだ。
map_0770#297	気づいたら現れて、そこからいろいろ動き出した感じで。
map_0770#298	でも、もし僕が負けても、世界は君に任せて大丈夫な気がする。
map_0770#299	まあ、それでも戦わなきゃいけないんだけど。
map_0770#300	何があっても、君のことは信頼してるよ。
map_0770#301	T3RR4: はいはい、もうこのお涙頂戴タイムは終わりィ。\tts[テラ: はい、もうこの感傷的なやつは終わり。]
map_0770#302	あたしがヘラクロスに見えるとでも?!\tts[あなたがヘラクロスに見えるとでも?!]
map_0770#303	ウェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェキモっ。
map_0770#304	チューするか、さっさと続けるか、どっちかにしてよ。\tts[チューするか、さっさと続けるか、どっちかにしてよ。]
map_0770#305	キャル: ……
map_0770#306	キャル: 遠慮しとくよ……
map_0770#307	T3RR4: どうしたの、あたしがムード作ってあげよっか? ;)\tts[テラ: どうしたの、私が雰囲気を作ってあげようか? ;)]
map_0770#308	よし、想像してみて……\tts[よし、想像してみて……]
map_0770#309	暗くてムラムラする夜だったのよ。\tts[暗くてムラムラする夜だったのよ。]
map_0770#310	長くて激しい ;) 一日の仕事終わり、『ミート団』相手にヌキまくった疲れも見せず、\tts[長く激しい ;) 一日の仕事の疲れも見せず、チーム・ミーティアー相手に励んだあと、]
map_0770#311	\PNは官能的ぉぉに制服を引き裂き、なめらかで細長い体をあらわにしたあと、シャワーに向かって猿のごとく襲いかかった。
map_0770#312	\PNは官能的ぉぉに制服を引き裂き、なめらかで細長い体をあらわにしたあと、シャワーに向かって猿のごとく襲いかかった。
map_0770#313	\PNは官能的ぉぉに制服を引き裂き、なめらかで細長い体をあらわにしたあと、シャワーに向かって猿のごとく襲いかかった。
map_0770#314	そしたら突然、クソッタレなドラゴンが現れたァァァ!!!!!!!!!!!!!\tts[そして突然、くそったれなドラゴンが現れた!!!!!!!!!!!!!]
map_0770#315	で、こんな感じで、ガアアアアアアアアッ!!!!!!
map_0770#316	T3RR4: ま。\tts[テラ: 待って。]
map_0770#317	そのドラゴンってどこにいんの。
map_0770#318	うわっ、ドラゴンが野放しじゃんかァ。\tts[うわ、ドラゴンが野放しじゃん。]
map_0770#319	まあいいや、ファイト!!!!\tts[まあいいや、ファイト!!!!]
map_0770#320	他にどうしようもないみたいだね。
map_0770#321	お互い、全力を尽くそう、
map_0770#322	これを終わらせるために!
map_0770#324	キャル: わかった。
map_0770#325	受け入れられるよ。
map_0770#326	そうするしかないんだから。
map_0770#327	T3RR4: さあああ、この試合は\PNの勝利で終わったァァ!!!! うおおおおおお!!!!\tts[テラ: さあ、この試合は\PNの勝利で幕を閉じた!!!! うおおおお!!!!]
map_0770#328	それにしても、番狂わせなんかじゃないわねェ。\tts[それにしても、番狂わせなんかじゃない。]
map_0770#329	キャル: \PN、頼りにしてるよ。
map_0770#330	みんなもそうだ。
map_0770#331	でも、一つ頼みがあるんだ。
map_0770#332	頼むから、S#……を救う方法を見つけてくれ――
map_0770#333	T3RR4: いやあああああああ。\tts[テラ: いやあ。]
map_0770#334	そんなの関係ないの。\tts[そんなの関係ないの。]
map_0770#335	人を救うとかいう話、めっちゃデカい仮定じゃなァい?\tts[人を救うなんて話、ずいぶん大きな仮定じゃない?]
map_0770#336	でもまあ行きなさい、行きなさい、まだまだ戦うべきバトルがあるんだからァ!\tts[でも行きなさい、行きなさい、まだ戦うべきバトルがあるんだから!]
map_0770#337	戦うべきバトルなんて、いつだって残ってるものよォ。\tts[戦うべきバトルなんて、いつだって残ってるものよ。]
map_0770#338	それがあんたの好みでしょ、うんうん。\tts[それがあなたの好みでしょ、うんうん。]
map_0770#339	じゃあね。\tts[じゃあね。]
map_0771#0	T3RR4: も、もひもひ?!\tts[テラ: も、もしもし?!]
map_0771#1	よ、よぉこちょ、『わばわどっば』ぐわんど・とぅーなめんと、おけつ編、だいさんわうんど&せみふぁいなるへぇ。\tts[テラ: ようこそ、『ラブラドッバ』グランド・トーナメント、おけつ編、第3ラウンド&セミファイナルへ。]
map_0771#2	今夜のお客様に念のためお伝えしますとぉ、この大会はデボンコーポレーションと数字の3のご提供でお送りしていまァす。\tts[今夜のお客様に念のためお伝えします。この大会はデボンコーポレーションと数字の3のご提供でお送りしています。]
map_0771#3	デボンコープ――「デブを起こせ」。\tts[デボンコープ――『デヴをオンにしよう』。]
map_0771#4	ハーディ: それがオレへの精一杯の煽りかよ?
map_0771#5	T3RR4: いやあああ……\tts[テラ: いやあ……]
map_0771#6	でもさ、あたしに何求めてんのよ、頑張れって?\tts[でも、私に何を求めてるの、頑張れって?]
map_0771#7	ぷっふふふ……
map_0771#8	ぷぶぶぶっぶぶっ
map_0771#9	ぷしゃあああああふぶぶぶぶっぶぶっぶぶぶぶぶぶぶぶ
map_0771#10	サファイラ: さっさと始めて。
map_0771#11	T3RR4: おお、ちゃぁんと始めてあげるってばァ ;)\tts[テラ: ええ、ちゃんと始めてあげるから ;)]
map_0771#12	まず第1ブロックはァ、\tts[まず第1ブロックは、]
map_0771#13	彼のなまりはニセモノでも、バカさ加減は本物ぉぉ――\tts[彼のなまりは偽物でも、バカさ加減は本物――]
map_0771#14	この馬野郎、芸が一つしかなくて『ビッグマック』って呼んでもいいくらいィ、\tts[このポニーは芸が一つしかなくて、『ビッグマック』と呼んでもいいくらい、]
map_0771#15	計画性ゼロ男ぅ、\tts[計画性ゼロの男、]
map_0771#16	ハーディ……もといハードリー!
map_0771#17	対するはァ\tts[対するのは]
map_0771#18	文字通りの猛牛だァ!\tts[文字通りの猛牛だ!]
map_0771#19	サファイラ: いいえ、違うわ。
map_0771#20	T3RR4: いやいや、そうだしィ。\tts[テラ: いやいや、そうだし。]
map_0771#21	あんたはクソ以下のクソ牛よ
map_0771#22	だってあたしがそう言ったんだもん。\tts[だって私がそう言ったんだもの。]
map_0771#23	ハーディ: で、オレは戦うぜ。
map_0771#24	あんたの態度、正直好きじゃなかったんだよな。
map_0771#25	喜んで、その鼻っ柱をへし折ってやるぜ!
map_0771#26	サファイラ: あんたの妹の失敗に対する無頓着さも、褒められたものじゃないけど、
map_0771#27	でも、揚げ足取りに来たわけじゃない。
map_0771#28	そもそも戦いに来たわけでもない。
map_0771#29	サファイラ: いいわ、
map_0771#30	でも、私は戦わない。
map_0771#31	T3RR4: は。\tts[テラ: は。]
map_0771#32	そんなことしてぇ、あんたの妹がどうなると思ってんのよォ?\tts[そんなことをして、あなたの妹がどうなると思っているの?]
map_0771#33	サファイラ: あんたは、彼らにはもう何も起こり得ないし、連れ戻す方法もないと言った。
map_0771#34	だから、私が先へ進む理由はない。
map_0771#35	T3RR4: ガアアアアアアアアッ!!!\tts[テラ: ガアアアアアアアアッ!!!]
map_0771#36	ちょっとまっ、一秒待てえええ!!!\tts[ちょっと待って、一秒だけ!!!]
map_0771#37	彼らにもう何も起こらないのはそうかもしれないけどォ、だからって何もできないってわけじゃないでしょ。\tts[彼らにもう何も起こらないのはそうかもしれないけれど、だからといって何もできないわけじゃない。]
map_0771#38	サファイラ: 試合を続けさせるために、さっきの発言を撤回しようとしているだけでしょう。
map_0771#39	敗者を救う方法があると明確に認めない限り、私が戦う理由はない。
map_0771#40	でなければ、今すぐ私を除外して。
map_0771#41	T3RR4: (*DFH9o8dsfy9OUFDIH09S*DFh*(H\tts[テラ: (*DFH9o8dsfy9OUFDIH09S*DFh*(H]
map_0771#42	わかった。\tts[わかった。]
map_0771#43	そう、あんたの大事な負け犬ちゃんたちを救う方法はあるわァ。\tts[そう、あなたの大事な負け犬たちを救う方法はある。]
map_0771#44	はい満足?\tts[はい満足?]
map_0771#45	ハーディ: それ、口から出まかせじゃねえだろうな?
map_0771#46	サファイラ: いいえ、それでいい。
map_0771#47	彼女があえてそう言ったという事実だけで十分。
map_0771#48	ハーディ: あ? 何の話だよ?
map_0771#49	サファイラ: テラ、フィールドを。
map_0771#50	今すぐ。
map_0771#51	T3RR4: あんたにいい命令されるいわれ、ないんですけどォォォ。\tts[テラ: あなたに命令される筋合い、ないんだけど。]
map_0771#52	ベッドルームの外じゃ無理。
map_0771#53	がおー ;)
map_0771#54	サファイラ: 時間を無駄にするのはもう飽きた。
map_0771#55	どのフィールドを選んでも私が勝つのは明らかだから、さっさと終わらせましょう。
map_0771#56	T3RR4: うわ、あんた発情期のオンドリより調子乗ってんじゃんよォ。\tts[テラ: うわ、あなた発情期のオンドリより調子に乗ってるじゃない。]
map_0771#57	サファイラ: それで?
map_0771#58	それが正当じゃないとでも本気で思ってる?
map_0771#59	そう思うなら、証明してみせて。
map_0771#60	T3RR4: オーッホッホッホッホッホ~!!\tts[テラ: オーッホッホッホッホッホ~!!]
map_0771#61	よぉぉぉろしい、そこまで言うならぁ、あたしの必殺技を使ってあげるわ!!!\tts[テラ: よろしい、そこまで言うなら、私の必殺技を使ってあげる!!!]
map_0771#62	かめぇぇ……
map_0771#63	はぁぁぁめぇぇ……
map_0771#64	ガアアアアアアッ!
map_0771#65	ハーディ: それって岩場フィールドか?
map_0771#66	いいねえ!
map_0771#67	サファイラ: 好都合ね。
map_0771#68	ハーディ: 『好都合』?
map_0771#69	これ、オレのジムのフィールドだぜ、知ってっか?
map_0771#70	なんでそれで喜ぶんだよ?
map_0771#71	サファイラ: それで、知る必要のあったことが全部わかったから。
map_0771#72	私たちは自分たちの状況は理解してる。でも、敵がそこから何を得るのかは分かっていない。
map_0771#73	ハーディ: オレたちの数を減らして、逆らえなくするためじゃねえのか?
map_0771#74	サファイラ: それは非論理的。
map_0771#75	抵抗を最小限にしたいなら、あの女は私たち全員を凍らせるか、ここに閉じ込めて終わりにするはず。
map_0771#76	出口があるという約束が、相手の動機について多くを物語っている。
map_0771#77	T3RR4: あたしを動かすものは3つだけぇ:\tts[テラ: 私を動かすものは3つだけ:]
map_0771#78	キャッシュマネー、グッチな女ぁ、\tts[キャッシュマネー、グッチな女、]
map_0771#79	そしてチキンインベーダーズ4:クラック・オブ・ザ・ダークサイドぉ。\tts[そしてチキンインベーダーズ4:クラック・オブ・ザ・ダークサイド。]
map_0771#80	ハーディ: つまり、それってどういう意味だよ?
map_0771#81	サファイラ: 今から話す。
map_0771#82	前のラウンドで、シャルロットと私はどちらも棄権しようとしたけど、テラがそれを止めて戦わせた。
map_0771#83	シャルロットは、私が何を狙っていたか分かっていたはず。
map_0771#84	ただ無差別に数を減らすことが目的なら、私たちを戦わせる必要なんてなかった。
map_0771#85	つまり、特定の誰かを勝たせようとしていた可能性がある。
map_0771#86	でも、どうやらそうではないみたい。
map_0771#87	他の誰かを勝たせたいなら、私が降りないよう説得する必要はなかった。
map_0771#88	とはいえ、私に有利になるよう仕組んでいたなら、私の誘いに乗って不利なフィールドを選ぶはずがない。
map_0771#89	だから、その可能性も除外できる。
map_0771#90	T3RR4: レディ、あたしをチェスの駒みたいに使うのやめてよぉ ;~;\tts[テラ: レディ、私をチェスの駒みたいに使わないでよ ;~;]
map_0771#91	サファイラ: あの女が『他の者を解放できる』と言った時点で、それが本当かどうかに関わらず、これが単に私たちの心を折るためだけの目的だという可能性は消える。
map_0771#92	結果として、残る可能性は一つだけ。
map_0771#93	ハーディ: それでそれって何だよ?
map_0771#94	サファイラ: まあ、すでに消える運命の相手に話しても意味がない。
map_0771#95	私はただ、あの女がどれだけ言い返してくるか興味があっただけ。
map_0771#96	でも、言い返す材料はなさそうね。
map_0771#97	だから、残るはあんたを排除するだけ。
map_0771#98	ハーディ: 頭いいのは分かったけどよ、ちょっと早合点じゃねえか?
map_0771#99	オレはあんたより下位ランクだが、たった一つ下なだけだし、このフィールドはオレにかなり有利だぜ。
map_0771#100	サファイラ: あら。
map_0771#101	聞いてなかった?
map_0771#102	もう言ったはずよ……
map_0771#103	私はどのフィールドでも勝てる。
map_0771#104	T3RR4: 一方その頃ォ、第2ブラケットではァ、\tts[テラ: 一方その頃、第2ブラケットでは、]
map_0771#105	また誰だっけ?
map_0771#106	T3RR4: 燃え盛る拳、チャイルドアビューズがァ、\tts[テラ: 燃え盛る拳、チャイルドアビューズが、]
map_0771#107	戦うのはァ、\tts[戦うのは、]
map_0771#108	エフ・ワン・ツー・コンボ!!!!!!!
map_0771#109	フロリニア: この話者は、来たる試練を必要とする状況を嘆いている。
map_0771#110	とはいえ、それらは運用対象群によって必要と判断された。
map_0771#111	よって、開始する。
map_0771#112	T3RR4: あああああもう神様ぁ、やめてぇぇぇ\tts[テラ: ああもう神様、やめて]
map_0771#113	あたし、一日中ここでこの大会を盛り上げようとしてたのに
map_0771#114	そしたらあんたたちときたら、ただこう出てきて
map_0771#115	こ ん に ち は 。
map_0771#116	わ た し は プ ロ グ ラ ム で す\nマ イ ク ロ ソ フ ト サ ム の 声 で
map_0771#117	わ た し に は 個 性 が な く\n話 す こ と も 何 も あ り ま せ ん 。
map_0771#118	あの3行だけでもう14回寝落ちしたわ。\tts[あの3行だけで14回も寝落ちした。]
map_0771#119	ガアアアアアアッ!
map_0771#120	はい、新プランね、みんな。
map_0771#121	フィールド前のトークは中止。
map_0771#122	あんたはもうマジのロボットだから、グリッチフィールドね。\tts[あなたはロボットだから、グリッチフィールドにするわ。]
map_0771#123	T3RR4: よし、じゃあやっちゃって。\tts[テラ: よし、じゃあ始めて。]
map_0771#124	でも退屈なのは無しよ。
map_0771#125	見てるからね。\tts[見てるからね。]
map_0771#126	フロリニア: ……了解した。
map_0771#127	仮説:対象の能力は、確実な成功に十分足りている。
map_0771#128	予測される結果:\PN の勝利。
map_0771#130	フロリニア: 挑戦者は進行の義務を負う。
map_0771#131	T3RR4: さあ、これにて一丁上がりィィ!\tts[テラ: さあ、これにて一丁上がり!]
map_0771#132	あんたはただ歌ってればいい、大変な部分はあたしがやるからァ。\tts[あなたは歌うだけでいい、大変な部分は私がやるから。]
map_0771#133	ウィンクウィンクウィンクウィンクウィンクウィンク。\tts[ウィンクウィンクウィンクウィンクウィンクウィンク。]
map_0771#134	フロリニア: とはいえ、有力な選択肢はまだ存在しうる。
map_0771#135	あるアプリケーションと接続を確立し、事実上、疑似的なバックアップ用の保管庫を――
map_0771#136	T3RR4: レディ。\tts[テラ: レディ。]
map_0771#137	レディ、やめ。\tts[レディ、やめて。]
map_0771#138	前に言ったよね、\tts[前に言ったよね、]
map_0771#139	またそれやってるって、\tts[またそれやってるって、]
map_0771#140	音節はいっぱい喋ってんのに、言葉になってないやつ。\tts[たくさんの音節を話してるのに、大した言葉になってないってやつ。]
map_0771#141	フロリニア: この個体が発した音素はすべて、確かに首尾一貫した英単語として結合している。
map_0771#142	T3RR4: でもそれ、結局なんも言ってないじゃんよォ。\tts[テラ: でもそれ、結局何も言ってないじゃん。]
map_0771#143	生意気言うな、あんたのことはもっとマシに育てたつもりよ。\tts[口答えしないの。あなたのことはもっとまともに育てたはずよ。]
map_0771#144	はい、タイムアウトしてきなさい。\tts[はい、タイムアウトしてきなさい。]
map_0771#145	T3RR4: であんたね。:)\tts[テラ: そしてあなたね。:)]
map_0771#146	今、あんたが一番のお気に入りよ。:)\tts[今、あなたが一番のお気に入りよ。:)]
map_0771#147	だってあんた、何にも言わないだけじゃなくて :)\tts[だってあなた、何にも言わないだけじゃなくて :)]
map_0771#148	勝ってあの子を黙らせてくれたんだもの :)\tts[勝ってあの子を黙らせてくれたんだもの :)]
map_0771#149	テラネイターの名において、その大いなる働きの褒美として、先へ進むことを許すわ。\tts[テラネイターの名において、その大いなる働きの褒美として、先へ進むことを許す。]
map_0771#150	キャル: いい経験だったと思うよ、たぶん。
map_0771#151	ちょっと変に聞こえるかもしれないけど……
map_0771#152	その、君のこと、何も知らない気がするんだ。
map_0771#153	気づいたら現れて、そこからいろいろ動き出した感じで。
map_0771#154	でも、もし僕が負けても、世界は君に任せて大丈夫な気がする。
map_0771#155	まあ、それでも戦わなきゃいけないんだけど。
map_0771#156	何があっても、君のことは信頼してるよ。
map_0771#157	T3RR4: はいはい、もうこのお涙頂戴タイムは終わりィ。\tts[テラ: はい、もうこの感傷的なやつは終わり。]
map_0771#158	あたしがヘラクロスに見えるとでも?!\tts[あなたがヘラクロスに見えるとでも?!]
map_0771#159	ウェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェキモっ。
map_0771#160	チューするか、さっさと続けるか、どっちかにしてよ。\tts[チューするか、さっさと続けるか、どっちかにしてよ。]
map_0771#161	キャル: ……
map_0771#162	キャル: 遠慮しとくよ……
map_0771#163	T3RR4: どうしたの、あたしがムード作ってあげよっか? ;)\tts[テラ: どうしたの、私が雰囲気を作ってあげようか? ;)]
map_0771#164	よし、想像してみて……\tts[よし、想像してみて……]
map_0771#165	暗くてムラムラする夜だったのよ。\tts[暗くてムラムラする夜だったのよ。]
map_0771#166	長くて激しい ;) 一日の仕事終わり、『ミート団』相手にヌキまくった疲れも見せず、\tts[長く激しい ;) 一日の仕事の疲れも見せず、チーム・ミーティアー相手に励んだあと、]
map_0771#167	\PNは官能的ぉぉに制服を引き裂き、なめらかで細長い体をあらわにしたあと、シャワーに向かって猿のごとく襲いかかった。
map_0771#168	\PNは官能的ぉぉに制服を引き裂き、なめらかで細長い体をあらわにしたあと、シャワーに向かって猿のごとく襲いかかった。
map_0771#169	\PNは官能的ぉぉに制服を引き裂き、なめらかで細長い体をあらわにしたあと、シャワーに向かって猿のごとく襲いかかった。
map_0771#170	そしたら突然、クソッタレなドラゴンが現れたァァァ!!!!!!!!!!!!!\tts[そして突然、くそったれなドラゴンが現れた!!!!!!!!!!!!!]
map_0771#171	で、こんな感じで、ガアアアアアアアアッ!!!!!!
map_0771#172	T3RR4: ま。\tts[テラ: 待って。]
map_0771#173	そのドラゴンってどこにいんの。
map_0771#174	うわっ、ドラゴンが野放しじゃんかァ。\tts[うわ、ドラゴンが野放しじゃん。]
map_0771#175	まあいいや、ファイト!!!!\tts[まあいいや、ファイト!!!!]
map_0771#176	他にどうしようもないみたいだね。
map_0771#177	お互い、全力を尽くそう、
map_0771#178	これを終わらせるために!
map_0771#180	キャル: わかった。
map_0771#181	受け入れられるよ。
map_0771#182	そうするしかないんだから。
map_0771#183	T3RR4: さあああ、この試合は\PNの勝利で終わったァァ!!!! うおおおおおお!!!!\tts[テラ: さあ、この試合は\PNの勝利で幕を閉じた!!!! うおおおお!!!!]
map_0771#184	それにしても、番狂わせなんかじゃないわねェ。\tts[それにしても、番狂わせなんかじゃない。]
map_0771#185	キャル: \PN、頼りにしてるよ。
map_0771#186	みんなもそうだ。
map_0771#187	でも、一つ頼みがあるんだ。
map_0771#188	頼むから、S#……を救う方法を見つけてくれ――
map_0771#189	T3RR4: いやあああああああ。\tts[テラ: いやあ。]
map_0771#190	そんなの関係ないの。\tts[そんなの関係ないの。]
map_0771#191	人を救うとかいう話、めっちゃデカい仮定じゃなァい?\tts[人を救うなんて話、ずいぶん大きな仮定じゃない?]
map_0771#192	でもまあ行きなさい、行きなさい、まだまだ戦うべきバトルがあるんだからァ!\tts[でも行きなさい、行きなさい、まだ戦うべきバトルがあるんだから!]
map_0771#193	戦うべきバトルなんて、いつだって残ってるものよォ。\tts[戦うべきバトルなんて、いつだって残ってるものよ。]
map_0771#194	それがあんたの好みでしょ、うんうん。\tts[それがあなたの好みでしょ、うんうん。]
map_0771#195	じゃあね。\tts[じゃあね。]
map_0772#0	自動販売機だ。\nどの飲み物にする? \G
map_0772#1	\Gおいしいみずが出てきた!
map_0772#2	\Gボーナス! おいしいみずがもう一本出てきた。
map_0772#3	\Gバッグに空きがない。
map_0772#4	\Gお金が足りない。
map_0772#5	\Gサイコソーダが出てきた!
map_0772#6	\Gボーナス! サイコソーダがもう一本出てきた。
map_0772#7	\Gミックスオレが出てきた!
map_0772#8	\Gボーナス! ミックスオレがもう一本出てきた。
map_0772#10	……そんな目で見ないでよ。
map_0772#11	この街を制圧したらジョーイさんが逃げちゃって、代わりの人材を用意する羽目になったのよ。
map_0772#12	でも今じゃ、敵のポケモンまで回復させてやってるわけ!
map_0772#13	だから、それがどうしたって話!
map_0772#14	あたしの才能をこんなカウンターの裏で腐らせてる連中への、いい仕返しよ!
map_0772#15	とにかく、ポケモンを休ませていく? どうする?
map_0772#16	いらっしゃい! また傷だらけになってきたわけ?
map_0772#17	はいはい、ポケモン預からせてもらうわね。
map_0772#18	安心して、ちゃんと返すから。
map_0772#19	あ、えっと……あなたのポケモン、ポケルスに感染してるかもしれないわね。
map_0772#20	ポケルスについては、ポケモンに取り付く微小な生物だということ以外、あまり分かっていないの。
map_0772#21	感染している間、ポケモンは驚くほどよく育つと言われているわ。
map_0772#22	……少なくとも、ここにはそう書いてあるけど。
map_0772#23	はい、どうぞ。
