map_0776#68	シャルロット: あたし、完全に冷静よ。
map_0776#112	ヴィクトリア: あ、あの?
map_0776#113	T3RR4: もちろぉぉぉぉぉぉん続けていいわよ。\tts[テラ: もちろん続けていいわよ。]
map_0776#114	閉じた輪の力があんたを従わせるゥゥゥ!!!!!
map_0776#115	オ オ オ オ オ オ オ オ オ オ オ オ オ オ オ オ オ オ オ オ オ オ オ オ オ オ オ オ
map_0776#116	今、めっちゃ従わされてる気分でしょ
map_0776#117	従わされすぎて野生ポケモンも近寄ってこないくらいでしょ あーいえーい笑
map_0776#118	キャル: それ、『むしよけスプレー』のことだよね。
map_0776#119	T3RR4: 従わされすぎて回転運動で前方に発射されちゃうくらいだしィ あーいえーい笑\tts[テラ: 従わされすぎて回転運動で前方に発射されるくらい、あーいえーい、笑]
map_0776#120	フロリニア: 前述の語義は、動詞『推進する』を指しているにすぎない。
map_0776#121	T3RR4: 従わされすぎて簡易だけど有効な安全器具使って岩壁を下ることになるくらいだしィ あーいえーい笑\tts[テラ: 従わされすぎて簡易だけど有効な安全器具を使って岩壁を下ることになるくらい、あーいえーい、笑]
map_0776#122	ハーディ: それって『懸垂下降する』のことか?
map_0776#123	T3RR4: 従わされすぎて瀝青質のゴミがいっぱいで主に藻類と分解した菌類でできた未固結の堆積物になっちゃうくらいだしィィ あーいえーい笑\tts[テラ: 従わされすぎて瀝青質のごみに富み主に藻類と分解した菌類からなる未固結の堆積物になるくらい、あーいえーい、笑]
map_0776#124	キャル: えっと……
map_0776#125	ラドマス: それは『腐泥』のことだろう。
map_0776#126	T3RR4: くっそ。\tts[テラ: くそ。]
map_0776#127	ラドマス: 誰も待たせていなければいいのだが。
map_0776#128	T3RR4: あたしの愛しい人ィィ!\tts[テラ: 私の愛しい人!]
map_0776#129	だがまこと、わらわはここにて幾星霜、汝の帰りをば一時たりとも待ちわびてなどおらぬぞよ、まことの愛しき人ぉぉ。\tts[だがまこと、私はここで幾星霜、あなたの帰りを一時たりとも待ちわびてなどいない、真の愛しき人よ。]
map_0776#130	サーナイトの物真似、どうよ?
map_0776#131	えぇぇ???
map_0776#132	ラドマス: あいにく、まだ何も聞いていないので、評価のしようがないな。
map_0776#133	だが、ここに来たのは余興や漫才のためではあるまい。
map_0776#134	T3RR4: でもあんた、結局コミックリリーフじゃんよ。\tts[テラ: でもあなた、結局コミックリリーフじゃない。]
map_0776#135	ハーディ: 最近鏡見たか?
map_0776#136	T3RR4: いいや!!!
map_0776#137	見てないしィィィ!!!
map_0776#138	だってあたし、デジタルでできてるんだものォ。\tts[だって私、デジタルでできているんだもの。]
map_0776#139	ガアアアアアアアアッ!!!!!!
map_0776#140	でもそれってつまり、もう生理痛ないってことだからァ、ブーヤー、ビッチ。\tts[でもそれって、もう生理痛がないってことだから、ブーヤー、ビッチ。]
map_0776#141	そこ、ポイントじゃなァい。\tts[そこは論点じゃない。]
map_0776#142	こっちがポイントよ:\tts[こっちがポイントよ:]
map_0776#143	94 h: .
map_0776#144	おおおお、鋭いわねぇ。
map_0776#145	さあ、みんな(ポニー)がそろったところでェ、そろそろ発- 発- 発- 発- 発-発-発-発-発-発-発-発-発-発-発-発-発--\tts[さあ、皆がそろったところで、そろそろ発- 発- 発- 発- 発-発-発-発-発-発-発-発-発-発-発-発-発--]
map_0776#146	――表するわよ、次のラウンドをォ。\tts[――表するわ、次のラウンドを。]
map_0776#147	どぉぞ皆さぁん、画面の真ん中にある画面に注目してねぇ。
map_0776#148	キャル: 僕たち……前のラウンドのパートナーと戦うのか?
map_0776#149	T3RR4: そぉぉぉのとおりぃ、ドゥードくん。\tts[テラ: そのとおりよ、ドゥードくん。]
map_0776#150	サファイラ: これはダブルス大会だと言ってたはずだけど。
map_0776#151	T3RR4: あー、そうだけど?\tts[テラ: あー、そうだけど?]
map_0776#152	今は裏切り合戦トーナメントよ。
map_0776#153	チーンチーンチーン、ガアアアアアッ!!!!!!!!!!!!!!!!!\tts[チーンチーンチーン、ガアアアアアッ!!!!!!!!!!!!!!!!!]
map_0776#154	フロリニア: 了解した。
map_0776#155	ティタニア: ……
map_0776#156	シャルロット: あーあ、最悪。
map_0776#157	T3RR4: へっ、さっきの強気トークはどこ行ったのよ、あんちゃん?\tts[テラ: へえ、さっきの強気なトークはどこに行ったの、あんちゃん?]
map_0776#158	シャルロット: ええ、あんたの勝ちよ。
map_0776#159	本当に、これ以上ないくらいやられちゃったわ。
map_0776#160	……なんてね。
map_0776#161	つまり、あたしの助けなしでサファイラに全員KOしてもらうことになる、ってだけの話よ。
map_0776#162	でしょ?
map_0776#164	ハーディ: つまり、じいさんとオレの一騎打ちってわけか。
map_0776#165	ラドマス: 私はここで最年長かもしれないが、心はお前たちの誰にも負けず若いと保証しよう。
map_0776#166	T3RR4: それ、裁判所にでも言ってきなさいよ、あんた。\tts[テラ: それ、裁判所にでも言ってきなさいよ、あなた。]
map_0776#167	キャル: それで、その……
map_0776#168	結局、僕らのうちどちらか一人しか、ここから出られないんだろうね。
map_0776#169	ヴィクトリア: ええ。
map_0776#170	みんなに警告しようとはしたんです。
map_0776#171	でも、これがみんなの望んだことだから、こうなったんです。
map_0776#172	だから、今さら悲しんでも仕方ないですよね?
map_0776#173	前に進むしかないんです、そうですよね?
map_0776#174	フィールドで会いましょう。
map_0776#175	キャル: それじゃ。
map_0776#176	僕もそろそろ、って感じかな。
map_0776#177	T3RR4: そこでめそめそ突っ立ってないでよねェ、みんな(フォーク・ロニーズ)。\tts[テラ: そこでめそめそ突っ立ってないでよ、みんな。]
map_0776#178	このバトルたち、勝手には戦ってくれないんだからァ。\tts[このバトルは、勝手には戦ってくれないんだから。]
map_0776#179	でもそれ、それはそれでイケてるかもだけど。
map_0776#180	シャルロット: だって、これから急いで向かうべき、居心地悪い最期が待ってるんだもの。
map_0776#181	うぅ。
map_0776#182	ハーディ: そんな諦めた声出すことねえだろ。
map_0776#183	オレたちみんな、まだ踏ん張って戦わなきゃなんねえんだからよ!
map_0776#184	シャルロット: ねえ聞いてる?
map_0776#185	あたしの相手が誰だか知ってる?
map_0776#186	あたしにできるのは、諦めることを三回くらい重ねることだけよ。
map_0776#187	結局、あんたたち全員も同じよ、別の出口を見つけない限りは。
map_0776#188	でなきゃ、作るかね。
map_0776#189	サファイラ: でも、この壁はへこみすらしない。
map_0776#190	試したから。
map_0776#191	T3RR4: この壁ゎ鋼鉄より硬いんだからねェ、\tts[テラ: この壁は鋼鉄より硬いんだから、]
map_0776#192	エスパーとゴーストにまだ耐性があった頃からずっとねェ。\tts[エスパーとゴーストにまだ耐性があった頃から、ずっと。]
map_0776#193	バランス取れたチーム? ぽっちゃりビッチみたいなもんよォ。\tts[バランスの取れたチームなんて、ぽっちゃりビッチみたいなもの。]
map_0776#194	でもマジで、その手錠は壊せないから。\tts[でもマジで、その手錠は壊せないから。]
map_0776#195	それ、ミストレス様の最高傑作なのよねェ。\tts[それは、ご主人様の最高傑作だから。]
map_0776#196	本人に聞いてみなさいよ。\tts[本人に聞いてみなさいよ。]
map_0776#197	まあ、ここにいたらの話だけど。
map_0776#198	でもいないのよねェ。
map_0776#199	詳細は言うけどねェ。\tts[詳細は言うけど。]
map_0776#200	たいしたことじゃなァァァァァいけどォ。\tts[たいしたことじゃないけど。]
map_0776#201	さあて、あたしのマチス×シジマの妄想小説、聞きたい人ォ?\tts[さあ、私のマチス×シジマの妄想小説、聞きたい人?]
map_0776#202	暗くてムラムラする夜だったのよ。\tts[暗くてムラムラする夜だったのよ。]
map_0776#203	長くて激しい ;) 一日の仕事終わり、スカル団相手にヌキまくった疲れも見せず、\tts[長く激しい ;) 一日の仕事の疲れも見せず、スカル団相手に励んだあと、]
map_0776#204	シジマ署長は官能的ぉぉに制服を引き裂き、なめらかで細長い体をあらわにしたあと、シャワーに向かって猿のごとく襲いかかった。\tts[シジマ署長は官能的に制服を引き裂き、なめらかで細長い体をあらわにしたあと、シャワーに向かって猿のごとく襲いかかった。]
map_0776#205	鍛え上げられた9パックに水を浴びながら、元夫グズマとの古き良き日々を懐かしんだ。
map_0776#206	(こいつが誰か知らないやつはとっとと消えな!)
map_0776#207	二人で過ごした情熱的な夜々を愛おしく愛おしく思い出しながら、彼の中を寂しさが、うまく出た尿路結石のように駆け抜けた。\tts[二人で過ごした情熱的な夜を愛おしく思い出しながら、彼の中を寂しさが、うまく出た尿路結石のように駆け抜けた。]
map_0776#208	そこへ突然、唯一のルームメイト、マチスが、百戦錬磨の軍人のごとき色っぽい力強さでバスルームのドアをノックした。\tts[そこへ突然、唯一のルームメイト、マチスが、百戦錬磨の軍人のような色っぽい力強さでバスルームのドアをノックした。]
map_0776#209	シジマがカーテンを開けると、湯気は解放されたばかりの勃起のごとく吹き出し、友の低くかすれた声が聞こえた。\tts[シジマがカーテンを開けると、湯気は解放されたばかりの勃起のごとく吹き出し、友の低くかすれた声が聞こえた。]
map_0776#210	『そろそろ終わるかい、ハニー?』とマチスがうめくように言った、
map_0776#211	『その……自分を解放したいんだ……………』\tts[『その……自分を解放したいんだ……………』]
map_0776#212	シジマは、シャワーの熱湯さえ、彼の\nあ つ い 脚 の 間の熱さに比べれば冷たく感じずにはいられなかった……
map_0776#213	待って、みんな
map_0776#214	みんな、どこ行くのさ
map_0776#215	みんな、戻ってきてよ
map_0776#216	みんな、やだ
map_0776#217	みんな。
map_0776#218	ガアアアアアアアアアアアアッ!!!!!!!!!!!!!!!!!!!!!!
map_0776#219	くそっ。
map_0776#220	はい、じゃあ次のラウンドでね、\tts[はい、じゃあ次のラウンドでね、]
map_0776#221	たぶん。
map_0776#222	:[
map_0776#223	フロリニア: さらなる試練が、依然として必要である。
map_0776#224	この操作は、フィールドの変動という交絡変数を除けば、冗長である可能性がある。
map_0776#225	とはいえ、先の試練と一貫した結果こそが、最も効果的な手段となりうる。
map_0776#226	手続き上の基準は、与えられた状況における努力と要素の徹底的かつ真摯な適用を必要とする。
map_0776#227	この建物の構造上の特徴は、内部の個体の知覚に基づいて変化しているように見える。
map_0776#228	仮説:この建物の外観自体が、知覚のみに基づいている。
map_0776#229	領域の再構成を可能にする住宅建築における引き戸の概念に類似して、この場所は主に拡張ホログラムを利用している可能性がある。
map_0776#230	さらなる調査が必要である。
map_0776#231	とはいえ、調査のための時間はこれ以上与えられないかもしれない。
map_0776#232	キャル: まあ、最悪だな。
map_0776#233	君を倒すことに特別野心はないけど、最後まで見届けたいとは思ってたんだ。
map_0776#234	それに、その……
map_0776#235	君とパートナーになれたの、ちょっと嬉しかったよ。
map_0776#236	その、ただ――
map_0776#237	ええと、ほら。
map_0776#238	何でもない。
map_0776#239	それに正直、君とペアになれてちょっとほっとしてた部分もある。
map_0776#240	兄に会ったら、相手をしてくれるよね?
map_0776#241	それで、もし万が一僕が勝ったら、君の用事も片付けておくよ。
map_0776#242	少なくとも、僕にできる限りは。
map_0776#243	僕たち、まだ一緒にこの状況にいるんだよね?
map_0776#244	キャル: それじゃ、フィールドで会おう。
map_0776#245	ラドマス: 以前、私は何と言っていたか。
map_0776#246	希望を持つことを許してもらおう……
map_0776#247	私はもう、ずいぶん長いこと希望を抱き続けてきた。
map_0776#248	だが、行動を伴わぬ希望は、希望とは呼べぬ。
map_0776#249	そして、心を伴わぬ行動は、常に絶望的なものとなる。
map_0776#250	そして、希望を伴わぬ心は……
map_0776#251	……どこかから始めねばならぬのだろう。
map_0776#252	シャルロット: こんな気持ちになったことない?
map_0776#253	なぜか、この広大な宇宙にあるすべてのものの中で、
map_0776#254	すべての星々と、無限の可能性の中で、よりによってあんただけが、
map_0776#255	詰んでる、っていう感じ。
map_0776#256	だってあたしはそうだから。
map_0776#257	じゃあね、兵隊さん。
map_0776#258	楽しかったわ、たぶん。
map_0776#259	キャル: 彼女とペアになったのと、僕と戦わなきゃいけないのと、どっちがマシなのかわからないな。
map_0776#260	そりゃ、お互い戦うのが良いことじゃないのは明らかだけど。
map_0776#261	彼女はこの大会にあれだけ反発してても、僕をノックアウトするチャンスには飛びつくと思う。
map_0776#262	大会からだけじゃなく、彼女の人生からもね。
map_0776#263	でも、賭けはいつだって大きかったんだと思う。
map_0776#264	覚悟を決めて、できる限り毅然と向き合うしかないんだ。
map_0776#265	……ああ。
map_0776#266	そう考えると、彼女は勝てないんだってことに気づく。
map_0776#267	今、僕がやるべきことがわかったよ。
map_0776#268	でもまずは……少し心を落ち着ける時間がいる。
map_0776#272	ティタニア: あのアナウンサー、あたしに自分の仲間全員を潰させるなんて、よっぽど面白いと思ってるみたいね。
map_0776#273	でも、嫌いだとは言えないかも。
map_0776#274	むしろ、あの子とまた戦えて気持ちよかった。
map_0776#275	でも、黙った時の方がもっと気持ちよかったけど。
map_0776#276	そもそも人が喋らないってだけで大抵は改善なんだけど、これは……
map_0776#277	あの子があたしに一番近い存在のはずだって、よくわかってる。でも、そこに親しさなんてない。
map_0776#278	あたしには、周りの人間が敵にしか見えないみたい。
map_0776#279	回避すべき障害物。
map_0776#280	あんたもよ。
map_0776#281	個人的な恨みはないけど。
map_0776#282	たぶん、あたしは自分の過ちで傷つきすぎて、人と一緒にいられなくなってるんでしょうね。
map_0776#283	知ったこっちゃないけど。
map_0776#284	でも、それってつまり、次のラウンドの相手としてこれ以上望めないってことよ。
map_0776#285	さあ、過去を殺しに行く時間よ。
map_0776#286	キャンディの自動販売機だ! \G
map_0776#287	\Gふつうのアメが出てきた!
map_0776#288	\Gボーナス! ふつうのアメがもう一つ出てきた。
map_0776#289	\Gバッグに空きがない。
map_0776#290	\Gお金が足りない。
map_0776#291	ふつうのアメ - $400
map_0776#292	キャンセル
map_0777#0	ハーディ: おい、来たな!
map_0777#1	あの帽子男、あと少しでオレを倒すとこだったが、しくじりやがった。
map_0777#2	まあ、責める気にはなれねえけどな。
map_0777#3	あいつとオレ、そんなに違わない気がしてよ。
map_0777#4	ただ、時間があいつをより長く磨り減らしてただけで。
map_0777#5	たまに思うんだ、いつかオレもああなるんじゃないかって。
map_0777#6	でも、今こそがすべてって言うだろ。
map_0777#7	そんで、一歩一歩、しっかり付き合っていくことに勝るもんはねえ!
map_0777#8	まあ、その詩、だいたいそんな感じだったと思うぜ……
map_0777#9	ハーディ: よう、ようこそ!
map_0777#10	キャル: あ、どうも?
map_0777#11	ハーディ: 試合はどうだった?
map_0777#13	ヴィクトリアのためにも、それには答えない方がいいな。
map_0777#14	ハーディ: 敬意を表すぜ、相棒。わかるよ、それ。
map_0777#15	まあ、最後の一戦を待つしかねえよな。
map_0777#16	キャル: ここにもドアはないのか?
map_0777#17	ハーディ: この場所全体、ドアなんてねえよ。あの女が通したいとこ以外はな。
map_0777#18	つっても、そのドアだってちゃんとしたドアと呼べるかどうかも怪しいもんだが。
map_0777#19	キャル: 通るべき人にしか、それが見えないってことか。
map_0777#20	ハーディ: そういうことだ。
map_0777#21	そんなポンコツ技術が何なのか知らねえが、オレとは相性悪いぜ。
map_0777#22	キャル: たぶん、それが人生ってものなのかもね。
map_0777#23	進む覚悟ができたときに初めて、進む道が見えてくる。
map_0777#24	ハーディ: ああ、それもよくわからねえけどな。
map_0777#25	ハーディ: 大丈夫か?
map_0777#26	ハーディ: わかった、わかった、悪かったよ、聞いて。
map_0777#27	サファイラ: 出口はある?
map_0777#28	ハーディ: 一つもねえ。
map_0777#29	サファイラ: なら、時間の無駄ね。
map_0777#30	サファイラ: 時間の無駄。
map_0777#31	次のラウンドを始めましょう。
map_0777#32	ハーディ: オレの妹をまだ待たなきゃいけねえの、わかってるよな?
map_0777#33	フロリニア: 誤りだ。
map_0777#34	ハーディ: おわっ!
map_0777#35	リニ、まさかあいつに勝ったのか?
map_0777#36	フロリニア: その通りだ。
map_0777#37	ハーディ: あれだけ強気なこと言って、ランクも上だったってのにか?
map_0777#38	ハーディ: なんつうか、複雑な気分だぜ、それ。
map_0777#39	サファイラ: なら、全員そろったわね。
map_0777#40	上等、行きましょう。
map_0777#41	ハーディ: 気にかける理由、なくしちまったってわけか?
map_0777#42	サファイラ: やめときなさい。
map_0777#43	あんたたちは、もう全員消される運命。
map_0777#44	私がここを脱出するまでの間の出来事なんて、ただの形式でしかない。
map_0777#45	だから、仲良くしようとしても意味がない。
map_0777#46	ハーディ: おい、オレたちのこと、ちょっと早々に見限りすぎじゃねえか?
map_0777#47	オレたちだって、お前と同じでここまで来たんだ!
map_0777#48	オレたちがどうなろうと、雰囲気を暗くしたって仕方ねえだろ!
map_0777#49	キャル: もういない人たちに敬意を払うのは大事なことだよ。
map_0777#50	その存在を前にしてすらそれを拒むのは、侮辱以上のことだ。
map_0777#51	サファイラ: 誤解があるみたいね。
map_0777#52	私が、あんたたちの意見を気にかけているような印象を与えてしまったみたい。
map_0777#53	あんたの意見を気にかけているような印象を与えてしまったみたいね。
map_0777#54	それは私の重大な過ちだったわ。それについては謝る。
map_0777#55	ハーディ: (#4%L0@!が誰に似たのか、わかった気がするぜ。
map_0777#56	サファイラ: やめ――
map_0777#57	T3RR4: やめ\tts[テラ: やめ]
map_0777#58	て信じるのをォォォォ!!!!\tts[て、信じるのを!!!!]
map_0777#59	その気持ちをしっかり抱きしめてェェェ!\tts[その気持ちをしっかり抱きしめて!]
map_0777#60	ハーディ: 今まで聞いた中で最悪のカバーだな、それ。
map_0777#61	フロリニア: この話者は今、大きな音がガラスを割るという現象をより深く理解した。
map_0777#62	サファイラ: 耳が聞こえなくなると言えば、さっき言ったこと、聞こえなかった? それとも無視することにしたの?
map_0777#63	キャル: 誰かティッシュ持ってない?
map_0777#64	耳から血が出てる気がする。
map_0777#65	T3RR4: ティッシュならあるけどォ、ちょっとカピカピなの、わかるでしょ ;)\tts[テラ: ティッシュならあるけど、ちょっとカピカピなの、わかるでしょ ;)]
map_0777#66	キャル: やっぱりいいや、忘れて。
map_0777#67	それより、しゃべるのやめてもらえる?
map_0777#68	ハーディ: おお、効いたのか?
map_0777#69	T3RR4: なぁぁぁぁぁぁぁんてね。\tts[テラ: なんてね。]
map_0777#70	キャル: あの数秒間はよかったな。
map_0777#71	きっとすぐに、大切な思い出になりそうだ。
map_0777#72	サファイラ: さっき言ったこと、聞こえなかった? それとも無視することにしたの?
map_0777#73	始めましょう。
map_0777#74	T3RR4: んん、そんなに焦ってェ……………\tts[テラ: んん、そんなに焦って……………]
map_0777#75	でもレディ・セフォーラ……せめて2回目のデートまで待てないのぉ??????\tts[でもレディ・セフォーラ……せめて2回目のデートまで待てないの??????]
map_0777#76	サファイラ: 前のラウンドの組み合わせからすると、私の相手はハーディのはずだけど、そうよね?
map_0777#77	T3RR4: も、もう、そんな、こ、個人的なこと聞くなんて……\tts[テラ: も、もう、そんな、個人的なこと聞くなんて……]
map_0777#78	そ、そんなに知りたいなら、で、電光表示くらい出してあげてもいいけど……\tts[そんなに知りたいなら、電光表示くらい出してあげてもいいけど……]
map_0777#79	べ、別に続けてほしいからとかじゃないんだからね、ば、バカ!!!!!!!!\tts[別に続けてほしいからとかじゃないんだからね、バカ!!!!!!!!]
map_0777#80	はい、じゃあ画面見なさい。\tts[はい、じゃあ画面見なさい。]
map_0777#81	T3RR4: さあ、あたしに視線戻して。\tts[テラ: さあ、私に視線を戻して。]
map_0777#82	T3RR4: さあ、画面に戻って。\tts[テラ: さあ、画面に戻って。]
map_0777#83	T3RR4: さあ、またあたしに戻って。\tts[テラ: さあ、また私に戻って。]
map_0777#84	残念だけど、そのぎこちなくパンするカメラはあたしじゃないの、
map_0777#85	でも画面に視線を戻せば、あたしみたいな匂いになれるかもよ。\tts[でも画面に視線を戻せば、私みたいな匂いになれるかもよ。]
map_0777#86	T3RR4: 下を見て。\tts[テラ: 下を見て。]
map_0777#87	T3RR4: さあ、上に戻して。\tts[テラ: さあ、上に戻して。]
map_0777#88	T3RR4: あんた、今どこにいる?\tts[テラ: あなた、今どこにいる?]
map_0777#89	あんたの彼女があんな風に唸れる女と、同じ部屋にいるのよ。\tts[あなたの彼女があんな風に唸れる女と、同じ部屋にいるの。]
map_0777#90	手に何持ってる?\tts[手に何持ってる?]
map_0777#91	あたしに視線戻して――あたしが持ってるわ。\tts[私に視線を戻して――私が持ってる。]
map_0777#92	T3RR4: それは、あんたが戦わなきゃいけない相手への廊下よ。\tts[テラ: それは、あなたが戦わなきゃいけない相手への廊下よ。]
map_0777#93	もう一回見て。\tts[もう一回見て。]
map_0777#94	T3RR4: 廊下が今、ダイヤモンドになったわ!\tts[テラ: 廊下が今、ダイヤモンドになったわ!]
map_0777#95	フロリニアほど退屈じゃなければ、何だって可能なのよ。\tts[フロリニアほど退屈じゃなければ、何だって可能なのよ。]
map_0777#96	&L9R*$!@ほど退屈じゃなければ、何だって可能なのよ。\tts[&L9R*$!@ほど退屈じゃなければ、何だって可能なのよ。]
map_0777#97	あたしは馬でできてるの。
map_0777#98	ガアアアアアッ!!!!!!!!!!!!!!
map_0777#99	キャンディの自動販売機だ! \G
map_0777#100	\Gふつうのアメが出てきた!
map_0777#101	\Gボーナス! ふつうのアメがもう一つ出てきた。
map_0777#102	\Gバッグに空きがない。
map_0777#103	\Gお金が足りない。
map_0777#104	ふつうのアメ - $400
map_0777#105	キャンセル
map_0778#0	サファイラ: よし。
map_0778#1	あんたが相手になるって、期待してたの。
map_0778#2	サファイラ: テラ。
map_0778#3	T3RR4: はぁぁぁいぃぃぃ?\tts[テラ: はい?]
map_0778#4	サファイラ: 頼みがあるの。
map_0778#5	T3RR4: た、頼み? あ、あたしに?!\tts[テラ: た、頼み? あ、私に?!]
map_0778#6	そ、その、あんたがどうしてもって言うなら聞いてあげてもいいけど、別にそれで自分が重要人物みたいに感じたりなんかしないんだからね、ば、バカ!!\tts[そ、その、あなたがどうしてもって言うなら聞いてあげてもいいけど、別にそれで自分が重要人物みたいに感じたりなんかしないんだからね、バカ!!]
map_0778#7	サファイラ: ジムを読み込んで。
map_0778#8	T3RR4: え、ええ!?! きゅ、急に……\tts[テラ: え、ええ!?! 急に……]
map_0778#9	サファイラちゃん……あんたがあたしにそんな気持ち持ってたなんて、知らなかったわ………\tts[サファイラちゃん……あなたが私にそんな気持ちを持っていたなんて、知らなかった………]
map_0778#10	サファイラ: 今すぐ。
map_0778#11	T3RR4: つーか何なに一体全体、あんたの命令なんか聞くと思ってんのよ?!\tts[テラ: というか、一体何が、あなたの命令を聞くと思わせているの?!]
map_0778#12	あたしが言うこと聞くドラゴンなんて、
map_0778#13	悪いやつだけなんですけどォ ;)
map_0778#14	サファイラ: 命令だからやる必要はない。
map_0778#15	その方が面白くなるから、やる必要があるの。
map_0778#16	T3RR4: ×\tts[テラ: ×]
map_0778#17	サファイラ: それがこの大会の目的なんでしょう?
map_0778#18	私たちの力を削ぐためでも、私たちを壊すためでも、特定の勝者を作るためでもないなら……
map_0778#19	残る目的は一つだけ:
map_0778#20	娯楽。
map_0778#21	あんたはこの大会を、自分か誰かの楽しみのために作った。
map_0778#22	違う?
map_0778#23	T3RR4: んんんんんんんんんんんんんんんたぶんー?\tts[テラ: んんんんんんんんんんんんんんんたぶん?]
map_0778#24	サファイラ: ここまで、私たちはもう三回もこれをくぐり抜けてきた。
