map_0807#72	彼女は無理をして、伸びすぎて、そして落ちた。
map_0807#151	アヤ: わたし…
map_0807#152	えっと…
map_0807#153	わたしは――
map_0807#154	うう…
map_0807#155	ハーディ: アヤ!!!
map_0807#156	シリウス: 何だ? 何をしている?
map_0807#157	起きろ!
map_0807#158	ティタニア: ところで、彼女とここに一体どれくらいいるの?
map_0807#159	シリウス: リンに命じられてからだ――それが何だというのだ?!
map_0807#160	ティタニア: 最後に水をあげたのはいつ?
map_0807#161	シリウス: 何?
map_0807#162	ティタニア: 呆れた。
map_0807#163	ハーディ: 姉貴、何言ってんだ?!
map_0807#164	ティタニア: この男は馬鹿だって言ってるの。
map_0807#165	生かしておくことすらできないなら、人質なんて何の役にも立たない。
map_0807#166	ハーディ: 何だと?!
map_0807#167	ティタニア: 熱中症よ。
map_0807#168	この溶岩のそばに、十分な水もなく長時間閉じ込められて、それで気を失った。
map_0807#169	早く手当てしないと死ぬわよ。
map_0807#170	ハーディ: なら何とかしねえと!
map_0807#171	ティタニア: それで、これからどうするの、シリウス?
map_0807#172	もう生きた盾で時間稼ぎはできない。
map_0807#173	あたしたちにとっては、動いても動かなくても、彼女を失うことに変わりはない。
map_0807#174	だから、あんたを八つ裂きにしない理由なんて、もうどこにもない。
map_0807#175	\PN? ちょっと発散したい気分でしょ。
map_0807#176	シリウス: フン。
map_0807#177	そもそも彼女など、本当に必要だったことなどない。
map_0807#178	必要とあらば、貴様ら全員、私一人で倒してみせる!
map_0807#179	新世界のために!
map_0807#181	シリウス: 歴史に刻んだ過ちを消し去るため、私はできる限りのことをしてきた。
map_0807#182	この無数の罪を抱えて、私にどう生きろというのだ?
map_0807#183	サファイラ: 生きろとは言わない。
map_0807#184	サファイラ: 火に生き、火に死ぬ。
map_0807#185	シリウス: ハ――まったくその通りだ――
map_0807#186	ここはふさわしい場所だ…私が――
map_0807#187	アヤ: それで…終わり?
map_0807#188	サファイラ: そのようね。
map_0807#189	シリウス: 貴様!
map_0807#190	ハ――まったくその通りだ――
map_0807#191	ティタニア: ちょっと転んだって聞いたけど、元気そうね。
map_0807#192	サファイラ: 前にも言った通り…
map_0807#193	倒れることはあっても、負けることはない。
map_0807#194	ティタニア: 誰かさんとは違ってね。
map_0807#195	サファイラ: 戻る道を見つけて、あの男がしたことを聞いたわ。
map_0807#196	少なくとも一人には復讐できて良かった。
map_0807#197	ティタニア: それに何の意味があるんだか。
map_0807#198	サファイラ: そうね。
map_0807#199	では失礼するわ、慰めなきゃいけない妹弟がいるから。
map_0807#200	ハーディ: 大丈夫か?
map_0807#201	ハーディ: 目を覚ましたか!
map_0807#202	アヤ: う、うん。
map_0807#203	ハーディ: 大丈夫か? すぐ水持ってくる!
map_0807#204	アヤ: 平気だから、本当に…
map_0807#205	ティタニア: あれ、気絶したふりだったのよ。
map_0807#206	ハーディ: は?!
map_0807#207	アヤ: 自分で何とかしてみろって言われたから、それで…
map_0807#208	他にどうしたらいいかわからなかった。
map_0807#209	ティタニア: それでもまだ自分を被害者に見立ててる点は減点だけど、効果はあった。
map_0807#210	ハーディ: それ、知っててやったのか?
map_0807#211	ティタニア: 見え見えだったわ。
map_0807#212	だから、それらしい口実を考えてあげたの。
map_0807#213	でも、あなたの何も気づかないパニックが、真実味を出すのに役立ったのは認めるわ。
map_0807#214	ハーディ: どうも、ご丁寧に。
map_0807#215	でも、じゃあ本当に大丈夫なんだな。
map_0807#216	アヤ: うん、わたしは…平気。
map_0807#217	何か食べたいかも…あと、少し眠りたい。
map_0807#218	それか、シャワーとか。
map_0807#219	本当に、本当に長いシャワー…
map_0807#220	ハーディ: ここから連れ出してやる。
map_0807#221	ハーディ: じゃあ、ここから連れ出してやろう。
map_0807#222	これからはもう、全部大丈夫だ。
map_0807#223	って、それか…
map_0807#224	アヤ: …どうしたの?
map_0807#225	ハーディ: ただ…
map_0807#226	俺がまだそういうこと言っていいのか、わかんなくなってきた。
map_0807#227	散々救うって言っといて、結局俺にはできなかった。
map_0807#228	正直、今めちゃくちゃかっこ悪い気分だ。
map_0807#229	だから、俺なんかがお前の面倒見られるなんて、何様のつもりだったんだろうな。
map_0807#230	俺は失敗した。
map_0807#231	それだけの話だ。
map_0807#232	アヤ: うん、本当に…失敗したね。
map_0807#233	ハーディ: どうも。
map_0807#234	アヤ: ううん、いいの。
map_0807#235	結局、わたしは大丈夫だから。
map_0807#236	でも、言いたいことはわかる。
map_0807#237	その気持ち、わたしも知ってる。
map_0807#238	わたしはずっとそれを抱えて生きてる。
map_0807#239	正直、今のあなた、わたしと同じくらい自己卑下してる。
map_0807#240	でも、こうなって良かったと思ってる。
map_0807#241	そういうこと、もう言わない方がいいのかな。
map_0807#242	たぶん、あの人が言った通りなんだと思う。
map_0807#243	わたしがお前にとってヒーローになれるなんて、ただの自己欺瞞だったんだろうな。
map_0807#244	アヤ: それって…
map_0807#245	そんなに悪いこと?
map_0807#246	どんな形にせよ、わたしは無事なんだから。
map_0807#247	それに、念のため言っておくけど、あの人が正しいとは思わない。
map_0807#248	連れ去られる前から、本当にわたしを気にかけてくれてたのはあなただけだった。
map_0807#249	理由が何であれ、あなたは諦めなかった。
map_0807#250	しかも、今もまだこうしてここにいる。
map_0807#251	ある意味、こうなって良かったと思う。
map_0807#252	もしあなたが本当にわたしを救い出して、前みたいにそばにいて助けようとしてくれたら、わたしはあなたにふさわしいなんて、とても思えなかったはず。
map_0807#253	今でも…本当にそうなのかわからないけど…
map_0807#254	えっと、言いたいのは…
map_0807#255	こういう形の方が、わたしには楽なの。
map_0807#256	結局、いつもわたしを気にかけてくれてたのは、やっぱりあなただった。
map_0807#257	そして今もそばにいてくれるのは、やっぱりあなた。
map_0807#258	わたしに本当に価値があるわけじゃないだろうけど…でも…
map_0807#259	あなたがいてくれて良かった。
map_0807#260	だから、ありがとう。
map_0807#261	ハーディ: はは。
map_0807#262	何て言えばいいかわかんねえけど、
map_0807#263	結局、俺たちなかなかいいチームになれる気がするよ。
map_0807#264	でも、あー…
map_0807#265	まだここにいるって話をするなら…
map_0807#266	アヤ: え?
map_0807#267	あ。
map_0807#268	うん。
map_0807#269	その…
map_0807#270	同じってわけじゃないから、いい?
map_0807#271	えっと、でも…うん、\PN、助けてくれてありがとう。
map_0807#272	ハーディ: 正直言うと、シリウスくらい俺だって倒せたと思うぜ。
map_0807#273	まあ、チャンスを逃しただけだけどな。
map_0807#274	だから俺からもありがとう、相棒。
map_0807#275	アヤ: うん、うん、はいはい、もうやめて。
map_0807#276	せっかくのいい雰囲気が台無しになる。
map_0807#277	ハーディ: どんな雰囲気にしろ、たぶん他の場所の方がいいよな。
map_0807#278	そろそろここから出ようぜ。
map_0807#279	だから、わたしを見捨てないでいてくれてありがとう。
map_0807#280	あなたにもね。
map_0807#281	それか…わたしたちに?
map_0807#282	ハーディ: 『俺たち』…いい響きだな。
map_0807#283	それなら任せとけ。
map_0807#284	ティタニア: まあ、賛成とは言えないけど…
map_0807#285	ハーディ: なあ姉貴、お前がどう思おうと、これが俺たちの望むことなら、それは俺たちの権利だろ?
map_0807#286	ティタニア: 当然ね。
map_0807#287	ティタニア: アヤ、だったわね?
map_0807#288	アヤ: うん…?
map_0807#289	ティタニア: また連絡するわ。
map_0807#290	アヤ: え、えぇ…
map_0807#291	ハーディ: おいおい。
map_0807#292	とりあえず気にすんな、な?
map_0807#293	何とかなるさ。
map_0807#294	とりあえず、そろそろここから出ようぜ。
map_0807#295	アヤ: 『お願い』って言うわ。
map_0807#296	ハーディ: じゃあ決まりだな。
map_0807#297	俺たちも出発するよ。
map_0807#298	できる限り彼女の面倒を見なきゃいけねえからな。
map_0807#299	彼女のことも、他のことも、助けてくれてありがとな、\PN。
map_0807#300	残りのチームメテオはお前に任せるからな、いいか?
map_0807#301	いつも通り、ぶちのめしてくれるって信じてるぜ!
map_0808#0	キャル: もういい、ブレイク。
map_0808#1	終わりだ、お前の負けだ。
map_0808#2	ブレイク: ハッ。
map_0808#3	おやおや、ちっちゃいキャリー・ウォリーもすっかり大人になっちゃって。
map_0808#4	タイプ有利だらけのパーティでトレーナーを倒す方法をようやく覚えたのか!
map_0808#5	それに何年かかったんだよ、え? 10年?
map_0808#6	もっとか?
map_0808#7	キャル: 好きなだけ言え。
map_0808#8	もうこの辺で全部手放して、家に帰る時間だ。
map_0808#9	ブレイク: そうしなかったらどうすんの、パパにチクる?
map_0808#10	俺をお仕置きしろって言うつもり?
map_0808#11	親父はくたばったんだ。あんたが親父の代わりに指図してくるつもりなら、同じ末路をたどりたいってことでいいんだよな。
map_0808#12	キャル: お前の解説には興味ない。
map_0808#13	好きなだけ愚痴ればいい。
map_0808#14	俺は外にいる。
map_0808#15	出口は一つしかない。
map_0808#16	駄々をこね終わったら、連れ戻すからな。
map_0808#17	力ずくでも、そうでなくても。
map_0808#18	ブレイク: うわぁ~ん、こわ~い!
map_0808#19	うるせえよ。
map_0808#20	力ってものがどういうことか、あんたわかってすらいないだろ!
map_0808#21	あんたみたいな奴は口だけで何もしない。
map_0808#22	ブレイク: 何かする気があるなら、ここに戻ってきてやってみろよ!
map_0808#23	尻向けて無視すんな。
map_0808#24	本当に親父そっくりだな。
map_0808#25	ブレイク: で、あんたは何が欲しいわけ?
map_0808#26	ブレイク: …ハッ、これって俺が思ってるアレか?
map_0808#27	エクストラライフか。
map_0808#28	遠慮なくいただくぜ。
map_0808#29	ブレイク: 都合がいいこと。
map_0808#30	しかもあいつのパーティはまだバトルで消耗したままだ。
map_0808#31	今なら簡単にズタボロにできる。
map_0808#32	邪魔するつもりか?
map_0808#33	ブレイク: だったら先にあんたを片付けるだけだ!
map_0808#34	ブレイク: そりゃご丁寧にどうも。
map_0808#35	残念ながら、あんたを転がせる距離くらいしか信用してねえけど。
map_0808#37	ブレイク: …
map_0808#38	で、あの女が約束してた『援護』とやらはどこだよ?
map_0808#39	なあ?
map_0808#40	俺は時々クズだけど、完全なバカってわけじゃない。
map_0808#41	って言いたいところだけど、あの女が本当に助けてくれると信じてた時点で、それも怪しいもんだな。
map_0808#42	『結晶の支線で待て』って、あいつ言ってた。
map_0808#43	『とにかく時間を稼げ』って、あいつ言ってた。
map_0808#44	ああ、そうかよ。
map_0808#45	驚きゃしないけど、ムカつくのは事実だ。
map_0808#46	あの機械をいじくり回してあいつが何やってるのか知らねえけど…
map_0808#47	でも一つ確かなことがある:
map_0808#48	あいつは勝ちたがってる、
map_0808#49	だが一人で勝つつもりだ。
map_0808#50	他の奴らはただの雑魚、倒されるだけの駒だ。
map_0808#51	こんなのうまくいかねえって、しばらく前からわかってた――実際、あんたがアメトリンに現れてからずっとな。
map_0808#52	サンクコストってやつは本当にそういうもんだよな。
map_0808#53	早く抜けようとすると、引きずり戻されて沈められる。
map_0808#54	あんたも俺のこと嫌いだろうけど、まあそれでいい。
map_0808#55	でも、あいつらに俺が終わらされる前に、あんたがこれを終わらせてくれるのを頼りにしてるぜ。
map_0808#56	急がなくていいぜ、相棒。
map_0808#57	とりあえず『パパ』に家まで引きずってってもらうよ。
map_0808#58	はい
map_0808#59	いいえ
map_0809#0	鍵が結晶に反応した!
map_0809#1	やった、これでやっとここから出られる!
map_0809#2	またね!
map_0811#0	乗り越えてきた試練の数々…
map_0811#1	この旅で見てきた景色の数々…
map_0811#2	私の夢が現実になった。
map_0811#3	線路のそばに崩れた岩の山がある。
map_0811#4	トロッコを空にする?
map_0811#5	トロッコに積む?
map_0811#6	近くにトロッコがあれば動かせそうだ。
map_0811#7	古いエリアマップが貼られている…
map_0811#8	…でも、もう正確ではないようだ。
map_0811#9	はい
map_0811#10	いいえ
map_0812#0	シャルロット: 名前に恥じない働きしてるじゃない、解体屋。
map_0812#1	お疲れ様。
map_0812#2	ハーディ: 遅かったか?!
map_0812#3	シャルロット: え。
map_0812#4	何のために?
map_0812#5	ハーディ: ちょうどこの岩の部分が崩れた時に、ここに入ったんだ。
map_0812#6	上に誰かいるのが見えたけど、誰だかわかんなくて――
map_0812#7	もしかして――アヤかもって――
map_0812#8	シャルロット: 残念だけど、あんたのお姫様は別の瓦礫の山にいるわよ、
map_0812#9	たぶんね。
map_0812#10	ここにいたのはブレイクだけ。今頃はもうとっくにどっか行ったか、ペシャンコになってるかのどっちかね。
map_0812#11	ハーディ: アヤはこれまでで一番近くにいる。
map_0812#12	感じるんだ。
map_0812#13	シャルロット: それ、ただのホルモンの仕業じゃないの?
map_0812#14	ハーディ: ホルモンじゃ彼女は救えねえ。
map_0812#15	でも俺は救ってみせる!
map_0812#16	シャルロット: あいつがつまずいて足の指全部ぶつけますように。
map_0812#17	あたしは姉を探しに行く。
map_0812#18	またね。
map_0812#19	どうしようもないことなら、笑い飛ばせばいい。
map_0812#20	冗談を言え。落ち込むより笑ってたほうがマシだし、それに全部の問題に「くたばれ」って言ってやる一番いい方法だからな。
map_0812#21	月の上じゃ、何もかも同じように着地する。
map_0812#22	それが月の裏側ってやつさ。
map_0812#23	古いエリアマップが貼られている…
map_0812#24	…でも、もう正確ではないようだ。
map_0813#0	ラドマス: まもなく、幕が上がる。
map_0813#2	ハーディ: ギガイアス、戻れ!
map_0813#3	ハーディ: うまくいったよな?
map_0813#4	ラドマス: 少なくとも、失敗ではなかったな。
map_0813#5	一目見た限り、この損傷なら通れるようになったはずだ。
map_0813#6	ハーディ: でも他の奴らはどうなった?!
map_0813#7	見えなかったんだ!
map_0813#8	ラドマス: 私もはっきりとは見えなかった。
map_0813#9	サファイラとアヤは攻撃の範囲外だったはずだ。
map_0813#10	シリウスがすぐに端まで彼女らを追っていくのも見えた気がする。
map_0813#11	だが、ファーンについては何とも言えん…
map_0813#12	ハーディ: じゃあ、ファーンはたぶん…
map_0813#13	俺は――
map_0813#14	こいつは重いな…
map_0813#15	ラドマス: この世のすべての鉛も、罪悪感という重荷に比べれば羽根のようなものだ。
map_0813#16	私にはよくわかる。
map_0813#17	ハーディ: 俺は…アヤの無事を確かめねえと。
map_0813#18	そんな暇はねえ。行くぞ!
map_0813#19	ラドマス: そもそも、この作戦は私の発案だ。
map_0813#20	むしろ、彼の命の重みは私が背負うべきものだろう。
map_0813#21	もっと早く言うべきだった。
map_0813#22	ラドマス: これまで払わせてきた代償に比べれば、もう一人増えたところで大したことではない。
map_0813#23	ファーン: あはははは!
