map_0849#130	セラ: それにしても、連れてきてくれてありがとう。
map_0850#29	あらゆる手段を用いて、二人に届くかどうか試してみてください。
map_0850#30	ジュリア: ……殺人でも!?
map_0850#31	フロリニア: 殺人以外のあらゆる手段を用いて、二人に届くよう試みてください。
map_0850#32	ジュリア: 心配しないで、殺人だって二人を止められないから!
map_0850#33	フロリニア: 殺人以外のあらゆる手段を用いて、二人に届くよう試みてください。
map_0850#34	TITANIA: XXXXFDS XCSSXXXXKS ?======VZ 5??????!!!!
map_0850#36	TITANIA: XXXXXxxxx...
map_0850#37	TITANIA: V=7 X7 55555======7!!!!
map_0850#38	アマリア: あたし、まわりのみんなに対してずっとフェアじゃなかった、
map_0850#39	自分自身に対しても、そうだったと思う。
map_0850#40	でも、それこそがあたしの問題なんでしょ?
map_0850#41	今でも、こうすればよかったって思うのが止められない――
map_0850#42	こうしなければよかったって――
map_0850#43	何もかもが。
map_0850#44	自分自身を許せないのに、誰かに許してもらえるなんて期待できないってわかってる。
map_0850#45	でも、それって本当に、自分で選んでできることなのかな?
map_0850#47	まあ、せめて今できることくらいはさせて。
map_0850#48	アマリア: あたしがまたやらかしたこの後始末、気をつけてやってね。
map_0850#49	もう十分、大変な思いをさせてきたし。
map_0850#50	ティタニア: これが最後よ。
map_0850#51	本当は5回前が最後であるべきだったけど、近くにいる時間が長くなるほど、お互い傷つけ合うだけなのは明らかだから。
map_0850#52	あの子がそれを変えることはない。だから、変えるのはあたしの役目。
map_0850#53	あなたにも、自分のやるべきことがあるでしょう?
map_0850#55	ティタニア: 今さら怯まないで。
map_0850#56	もうここまで来てるんだから。
map_0850#57	AMARIA: XXXKXKFMCS XXX FV@R# H55555===!!!
map_0850#58	AMARIA: XXXXXxxxx...
map_0850#60	AMARIA: XXXKXKFMCS XXX XJFXXX GFF+5JR!!!!!
map_0850#61	フロリニア: 二人を鎮めてくれたこと、敬意と感謝を表します。
map_0850#62	しかし……
map_0850#63	まだ一つ、厄介な変数が残っています。
map_0850#64	二人が持っている赤の宝珠と青の宝珠を、方程式から取り除くのが賢明でしょう。
map_0850#65	AMARIA: XXXCXCK XXXKXSSXX XXX!!!
map_0850#66	TITANIA: XXX XFGXXXXX XXXJKTXX!!!
map_0850#67	AMARIA: XXXXXTGFTX!!!
map_0850#68	フロリニア: ……
map_0850#69	……了解しました。
map_0850#70	フロリニア: 仮説: 近くのアノマリーエネルギーによって起動された赤の宝珠と青の宝珠は、宿主に対して「アンブラル状態」を課すことも、それを更新することも可能です。
map_0850#71	その状態は自然に発生するだけでなく、宝珠を宿主から引き離そうとした際にも発生するようです。
map_0850#72	おそらく、ホウエンでの過去の事例で記録された宝珠の憑依効果は、互いに反応し合うものでもあり、
map_0850#73	それによって、宝珠自身も宿主も、極性の異なる磁石のように、攻撃的で共依存的な状態に互いを閉じ込めているのでしょう。
map_0850#74	もしこれが真実なら、拮抗する第三の発生源によって、アノマリーエネルギーを中和できるかもしれません。
map_0850#75	翡翠の宝珠やエメラルドの宝珠のようなものが関与していれば、この状況を解決するのに十分かもしれませんが、そのような記録された事例は存在しません。
map_0850#76	さらに、この宝珠のように生成世界の中で見つかる遺物のほとんどは、現実世界の伝承の品の、自然発生した複製であるようです。
map_0850#77	したがって、そのような都合の良い装置は現れないと考えるべきでしょう。
map_0850#78	しかし、赤の宝珠と青の宝珠が、対応する伝説のポケモンの力に類似しているように見える以上、解決策はまだ存在するかもしれません。
map_0850#79	この対立に中立の守護者を提示することで、同様に憑依効果を中和し、宝珠を宿主から引き離せる可能性があります。
map_0850#80	であれば、取るべき道は一つしかありません。
map_0850#81	目的は明確ですか?
map_0850#82	フロリニア: 結構です。
map_0850#83	レックウザを手に入れたら、ここに戻ってきてください。
map_0850#84	ジュリア: レックウザ捕まえなきゃいけないんだって!
map_0850#85	だよねー!
map_0850#86	フロリニア: ……端的に言えば、そういうことです。
map_0850#87	状況が悪化しないよう近くに残り、守護者を手に入れた後の解決策についても、さらに研究を続けます。
map_0850#88	……それに、自分の感情を認めて表現しようとするなら、二人のことを深く心配しているという事実にも触れないわけにはいきません。
map_0850#89	ジュリア: ねえリニ、送ってく?!
map_0850#90	フロリニア: 何のことでしょうか?
map_0850#91	ジュリア: その島から?
map_0850#92	だってさ、あそこまで漕いで迎えに行けるし。
map_0850#93	フロリニア: ……その必要はありません。
map_0850#94	ジュリア: あ! そっか、\PNには知られたくなかったんだよね?
map_0850#95	だってあの子、みずタイプ持ってないから、そもそもどうやってあの島まで行ったかっていうと、
map_0850#96	アタシと一緒にぷかぷか浮いて渡ってきただけなんだよね。
map_0850#97	でも気づかれないように、画面フェードアウトさせてたの。
map_0850#98	だって恥ずかしいもんね。
map_0850#99	フロリニア: ……ジュリア。
map_0850#100	作り話をする必要はありません。
map_0850#101	ジュリア: 実際、結構短い話だし!
map_0850#102	3文くらいじゃない?
map_0850#103	とにかく、大丈夫そうならあっちにも滝があるから――行ってくるね!
map_0850#104	フロリニア: ……とにかく、レックウザです。
map_0850#105	フロリニア: アマリアとティタニアを宝珠の力の掌握から解放するには、中立の守護者が必要です。
map_0850#106	すなわち、レックウザです。
map_0850#107	手に入れるまで、わたしはここに残り、状況を監視し維持します。
map_0850#108	……というより、友人たちを、ですが。
map_0850#109	フロリニア: 戻ってきましたね。
map_0850#110	宝珠のエネルギーを中和する存在として、レックウザを手に入れることには成功しましたか?
map_0850#111	フロリニア: ……ああ、見つけたのですね。
map_0850#112	それは……安心しました。
map_0850#113	その到来を当てにするのは、統計的にありえないことなのではと、不安になり始めていましたので……
map_0850#114	……ですが、単に運がわたしたちに味方したのかもしれません。
map_0850#115	もう時間を無駄にはできません。
map_0850#116	衝突が起こりそうな場合に備えて、パーティを整えておきますか?
map_0850#117	フロリニア: 始めましょう。
map_0850#118	フロリニア: では、お望みのままに。
map_0850#119	フロリニア: 送り出すだけで十分なはずですが、投入後にさらなる衝突が起こることを想定してください。
map_0850#120	憑依された者たちは、宝珠との繋がりを断ち切ろうとする力に、好意的に反応しないと予想されます。
map_0850#121	この発話者は、個別の要因をより良く監視するため、参戦を控え……
map_0850#122	……いえ……
map_0850#123	……つらい感情は、学術的な形式という仮面の下に隠す方が、まだ楽なのです。
map_0850#124	わたしは……ここに関わりたくありません。
map_0850#125	これは、わたしが関わることを許されなかった対立で、わたしは……
map_0850#126	……この者の複雑な感情のせいで、あなたの集中が薄れないようにしてください。
map_0850#127	わたしは――すみません。
map_0850#128	とにかく、やってください。
map_0850#129	TITANIA: KDFHDFKSXX XXHXX!!!
map_0850#130	AMARIA: XX FDKJT XXXX XXLKXX!!!
map_0850#131	フロリニア: ……ああ。
map_0850#132	これは……予想外ですが、予測不能というわけではありません。
map_0850#133	再び現れたオーラは、赤の宝珠と青の宝珠の中から解放されたこれらのアノマリーの投影だったのかもしれません……
map_0850#134	純粋な推測に過ぎませんが……
map_0850#135	推測もまた、自分の置かれた状況から自分自身を守る手段の一つなのかもしれません。
map_0850#136	アンナ: 見つけた!
map_0850#137	もう、ニューワールド空間から外を見るのって本当に大変なんだから……
map_0850#138	こんな中から、一体どうやって色々やってたわけ?!
map_0850#139	でも見つけたし、今度こそ何を企んでても逃がさないから!
map_0850#140	このリーダーたちを、あんたの権力ごっこに巻き込もうっての??
map_0850#141	もう十分でしょ、そういうの?
map_0850#142	でもあんたはいつも、エイミーの味方をしてるように見えたけど……
map_0850#143	わざわざあんたを溺れさせようとしたあとでも!
map_0850#144	彼女の気持ちで遊ぶの、もう十分じゃない?!
map_0850#145	これ以上、彼女をこの件に巻き込むのを黙って見てられない!
map_0850#146	でもあんたはいつも、ティタニアの味方をしてるように見えたけど……
map_0850#147	壊れた翼を持つあの少年を傷つけたあとでも……
map_0850#148	しかも今じゃ彼まであんたを手伝ってる!
map_0850#149	みんなをあんたの味方にするために操るのを、黙って見てられない!
map_0850#150	リン: どうも、すみません、我らが主にして救世主、アルセウスについてお話しするお時間ありますか?
map_0850#151	ない?
map_0850#152	うん、なんかそっち忙しそうだもんね……
map_0850#153	残念。
map_0850#154	まあいいや、その方がいいかもね、どのみちここ電波クソだし。
map_0850#155	まあ、これ全部アタシがちょっと仕掛けたかもしれないってのは認めるけど、なんかちょっと手を出しすぎたかもって感じてきた
map_0850#156	マジで6対12で、その後もっと戦闘って???
map_0850#157	とりあえず最初は、チーム回復ね。
map_0850#158	リン: どうも。
map_0850#159	次は、ここの群衆コントロールなんとかしてくんない???
map_0850#160	この島見てるだけで閉所恐怖症になりそう。
map_0850#161	まずはあんたからいこっか、湿っぽいお嬢さん。
map_0850#162	アタシを溺れさせようとしたこと、忘れたと思わないでよね。
map_0850#163	そのゲーム、二人でもできるんだから。
map_0850#164	あんたのジムだけでも十分うんざりなのに、その泣き言ばっかりの性格については、もう語らせないで。
map_0850#165	うわーん、彼女を毒になる関係にわざと縛り付けといて、可哀想なアタシ、って?????
map_0850#166	そういうの、もういいから!
map_0850#167	次はうちの連続殺人犯からいこうか。
map_0850#168	あんたのジムで遊ぶの楽しかったけど、マジで?
map_0850#169	刺す人数、ちょっとくらい減らせない?
map_0850#170	7歳児でも暴力じゃ何も解決しないってわかってると思うんだけど!
map_0850#171	アンガーマネジメント、考えなよ。
map_0850#172	セラピーでもいいし。
map_0850#173	それか、冷たくて気持ちいい、リラックスできる水のひと口でも!
map_0850#174	アンナ: ……ふーん、あの状態で泳げるかな?
map_0850#175	でも、ポケモンが急に逃げ出すとは思わなかったな。
map_0850#176	アンナ: 認めるけど、ポケモンが急に逃げ出すとは思わなかった。
map_0850#177	まあ、残りの後始末は自分でやってちょうだい。
map_0850#178	明らかに、それくらいできる能力はあるでしょ。
map_0850#179	リン: ……まあ、あいつがいきなり消えるとは思わなかったけど、まあいっか。
map_0850#180	もう気分よくなってきた!
map_0850#181	あの状態で泳げるかどうかは、あんまり深く考えないようにしよ。
map_0850#182	フロリニア: 何が起きているのか……理解できません――
map_0850#183	でも、彼女は大丈夫でしょうか?
map_0850#185	わたしは泳げませんが――何かできることはないのですか?
map_0850#186	アンナ: ここで起きた悪いこと全部の元凶と一緒に組んでる人が言うにしては、面白いこと言うじゃない!
map_0850#187	今さら助けをX願いするってわけ??
map_0850#188	あんたたちが出会うずっと前から、リンに対抗するようみんなをまとめようとしてたXんだから!!
map_0850#189	それなXに、これだもんね!
map_0850#190	知らぬが仏Xだって知ってるけど、それでも手荒な目覚めXには向き合わなくちゃね!
map_0850#191	しXょうXに、アXしはXXんXXXXXXXX!
map_0850#192	X XXXXX XX XXXX XXXXXX XX XXXXXX XXXX XXX XXXX XX XXX――
map_0850#193	リン: いや、気にしなくていいよ
map_0850#194	とにかく、ここからはこっちで片付けるから。
map_0850#195	アタシはくつろぐわ。この方が面白くなりそうだし!
map_0850#196	フロリニア: どうやら、まだ終わっていないようです……
map_0850#197	きちんと力になれないかもしれませんが、せめて生き残ったポケモンを全回復させてください……
map_0850#198	TITANIA: KDKDSXG XXX TSCGG!!!
map_0850#199	急Xいで――倒しXてXX!!!
map_0850#200	グラードン: グラアアアグ!!!
map_0850#201	ティタニア: ……チッ。
map_0850#202	もう十分。頭ははっきりしてる。
map_0850#203	はっきりしてなかった間のこと、心底苦々しく思ってるけど。
map_0850#204	どうしてここにいるのかもわからない。
map_0850#205	助けてくれて感謝する。
map_0850#206	面倒かけて悪かったわね。
map_0850#207	アマリアは?
map_0850#208	フロリニア: 彼女は……湖に投げ込まれました。
map_0850#209	ティタニア: いつも通り、水の中に頭を埋めて問題から目を逸らそうとしてるってわけね。
map_0850#210	フロリニア: それは――わかりかねます……
map_0850#211	投げ込まれる前、完全に意識があったようには見えませんでした……
map_0850#212	ティタニア: ……それで、あなたはただここに突っ立ってるの?
map_0850#213	フロリニア: わたしは――泳げません……
map_0850#214	ティタニア: あの子だって意識がなきゃ泳げないでしょ。でも、選べるのはあなたの方よ。
map_0850#215	はぁ、もういいわ。
map_0850#216	グラードン: グルオオオ――
map_0850#217	ティタニア: \PN、それお願い。あたしはエイミーを助けてくる。
map_0850#218	アマリア: おXがいXXXX――たXけXX――XXXXXXX!!
map_0850#219	カイオーガ: ギョオオオルグ!!!
map_0850#220	アマリア: ……ああ、それは……よかった。
map_0850#221	あたし――ごめん、何にとりつかれてたのか、自分でもわからない。
map_0850#222	青の宝珠をどうやって手に入れたのかも思い出せない。でも、それに触れたことは覚えてて、その後は……何も。
map_0850#223	……ターニャはどこ行ったの?
map_0850#224	中に――
map_0850#225	カイオーガ: キョオオッ!!
map_0850#226	アマリア: \PN、また助けを頼むことになってごめんね……
map_0850#227	でも、ターニャを助けなきゃ!
map_0850#228	援護して!
map_0850#229	フロリニア: 見失ったのですか?
map_0850#230	必要なのはその存在だけで十分なのですが、それがなければ先に進む明確な手段がありません……
map_0850#231	ティタニア: 人を水から引きずり出すの、本当にうんざりしてきた。
map_0850#232	まあ、どのみちもう長いことそれをやり続けてるんだけど。
map_0850#233	フロリニア: 彼女は大丈夫なのでしょうか?
map_0850#234	ティタニア: 「大丈夫」なんて、あの子にはどんな時でも大げさな言葉だと思うけど、
map_0850#235	でも死にはしない。
map_0850#236	いつもそうだから、
map_0850#237	どれだけあたしを怖がらせても。
map_0850#238	フロリニア: ……そうですか。
map_0850#239	この発話者は、愚かな質問をしたことをお詫びします……
map_0850#240	ティタニア: やめて。
map_0850#241	フロリニア: ……?
map_0850#242	ティタニア: また固まってる。
map_0850#243	せっかく進んできたのに、それを手放さないで。
map_0850#244	フロリニア: ……そうですね。
map_0850#245	すみません……
map_0850#246	ティタニア: ここで『ごめんなさい』って言っても意味ない。
map_0850#247	あなたが知っててあたしたちを宝珠に憑依させたとかじゃない限り、この状況に直接の責任なんてないでしょ。
map_0850#248	だったら、何を謝ってるの?
map_0850#249	フロリニア: ……それは……
map_0850#250	ティタニア: でしょ。
map_0850#251	あなたは謝ってるんじゃなくて、反射的に反応してるだけ。
map_0850#252	反射的な反応には興味ないの。
map_0850#253	興味があるのは、あなたがちゃんと自分の感情と向き合って、『論理』って仮面の後ろに隠れるんじゃなく、それに基づいて行動すること。
map_0850#254	わかった?
map_0850#255	フロリニア: ……はい。
map_0850#256	それなら……役立たずだけど、ここにいられて光栄だと感じています。
map_0850#257	職場見学に連れて来てもらった子供のような気分です。
map_0850#258	ティタニア: フロリニア。
map_0850#259	フロリニア: はい……?
map_0850#260	ティタニア: あなたがここにいてくれて嬉しい。
map_0850#261	あの子と二人きりでいるのは、もううんざりしてたの。
map_0850#262	始まる前から、もう十分だったのに、それでもあなたを遠ざけてた。
map_0850#263	人生で後悔してることはあまりないけど、それは後悔してる。
map_0850#264	フロリニア: ……感謝します。
map_0850#265	……話は変わりますが、もう一体のアノマリーは北の方へ逃げたのですよね?
map_0850#266	仮説: それに付随するニューワールドの領域へと戻ったのでしょう。
map_0850#267	対処している間に、それを封じ込めるのが賢明かもしれません……
map_0850#268	というより、アマリアの様子を見ている間に。
map_0850#269	今は彼女のそばにいたいのですが……
map_0850#270	アマリア: お願い大丈夫でいて、お願い大丈夫でいて、お願い大丈夫でいて……
map_0850#271	フロリニア: 呼吸は安定してきたようです……
map_0850#272	アマリア: こんなことであなたを失ったら、あたし自分を許せない……
map_0850#273	だって――だってあたしのせいで。
map_0850#275	どうしていつもこうなるんだろう?
map_0850#276	どんなに頑張っても、結局まわりの人を傷つけることになる……
map_0850#277	フロリニア: ……それは、手元のデータから導くには不適切な結論かもしれません。
map_0850#278	アマリア: 何のデータ?
map_0850#279	あたしたち二人とも精神を操られてたし、ティタニアは地面に倒れてるし、
map_0850#280	あなたはやっと、何かを感じる方法を思い出し始めたばかりだし、
map_0850#281	パニックになって彼を溺れさせようとして、\PNとのことを台無しにしたあの時のことなんて、言うまでもないし。
map_0850#282	パニックになって彼女を溺れさせようとして、\PNとのことを台無しにしたあの時のことなんて、言うまでもないし。
map_0850#283	パニックになって彼らを溺れさせようとして、\PNとのことを台無しにしたあの時のことなんて、言うまでもないし。
map_0850#284	あたしのジムで感情崩壊した後、\PNがあたしのことをどう思ってるかなんて、話したくもない……
map_0850#285	フロリニア: それらの状況とその結果は、否定できないものかもしれません……
map_0850#286	……しかし、それらはまた、あなたが他者と共有してきた前向きな経験を無視した偏見の中で語られているものでもあります。
map_0850#287	あなたが、わたしに泳ぎを教えようとしてくれた時のことを覚えていますか?
map_0850#288	アマリア: あなた、ひどい下手さだったよね。
map_0850#289	放課後まる一週間プールに通っても、犬かきすらまともにできなかった。
map_0850#290	それで、背泳ぎの途中であなたを浮かせようとしてたら、おじいちゃんが入ってきて、あたしたちがはしたないことしてると思っちゃって……
map_0850#291	……それでいつも通りパニックになって、あなたを掴んで逃げたんだよね。
map_0850#292	フロリニア: それから?
map_0850#293	アマリア: まあ、追いかけられて。
map_0850#294	いや、違うか――代わりに用務員さんたちに追わせたんだよね?
map_0850#295	フロリニア: あなたは用務員の掃除カートの周りをぐるぐる回って逃げて、石鹸水を床いっぱいにこぼしましたね。
map_0850#296	アマリア: あ――そうだ、それで三人とも追いかけようとして、それで滑って重なっちゃったんだよね!
map_0850#297	泡まみれの床から立ち上がろうとしてるあの人を見た時、めちゃくちゃ笑えたよね!
map_0850#298	口ひげが2本くらい増えたみたいに見えたもん!
map_0850#299	でもあの後、おじいちゃんに2週間くらい外出禁止にされたんだっけ?
map_0850#300	部屋から出してもくれなかったし、誰とも話させてもらえなかったよね!
map_0850#301	すごく申し訳なかった――あれも全部あたしのせいだったし!
map_0850#302	フロリニア: いいえ、あなたは何も悪いことはしていません。
map_0850#303	それに……正直に言うと、たとえ叱られたとしても、
map_0850#304	あの10分間の方が、卒業してからの時間を全部合わせたよりも楽しかったのです。
map_0850#305	そういうことは、他にもたくさんあります。
map_0850#306	情報が不十分なせいで、あなたは自分自身を不当に否定的に評価しているのです。
map_0850#307	他の誰かが、あなたと一緒にいることをどれほど楽しんでいるかを、あなたが正確に知ることは不可能です。
map_0850#308	あの追いかけっこは、わたしにとって最も大切な思い出のひとつです。
map_0850#309	アマリア: ……あ。
map_0850#310	そんなに大事な思い出だったなんて、気づかなかった。
map_0850#311	そう……なんだ。
map_0850#312	フロリニア: ……話は変わりますが、もう一体のアノマリーは北の方へ逃げたのですよね?
map_0850#313	というより、ティタニアの様子を見ている間に。
map_0850#314	今はここに残りたいのですが……
map_0850#315	フロリニア: 彼女の様子を見ている間に、逃げた伝説のポケモンを封じ込めるのが賢明かもしれません。
map_0850#316	この洞窟群の北の端にあるニューワールド空間へと逃げ込んだと考えられます。
map_0850#317	今はここにいたいのですが……
map_0850#318	ジュリア: よし、それでみんな集まって、命は救われて、友情も修復されて、\PNはヤバい伝説とのバトルまで経験して――
map_0850#319	つまり、アタシたちまた親友になれるってこと?!
map_0850#320	フロリニア: それは……賢明とは思えません。
map_0850#321	ジュリア: はいはいそうだよね、まあ親友ってほどじゃなくても、でもさ、
map_0850#322	その方向への第一歩くらいは踏み出せない?
map_0850#323	ちょっとした区切りっていうか?
map_0850#324	ドアに足を挟んで、ちょっと閉めちゃう感じの?
map_0850#325	痛くてぴょんぴょん飛び跳ねながら悪態ついて、それでカメラの外でつまずいて転んで、画面外で観客がびっくりした猫の鳴き声を聞くみたいな感じの???
map_0850#326	アタシたちがまた友達になる方向への、ほんのちっちゃな、小さな、ちいさーい一歩ってだけ??????
