map_0357#237	テズ、もっとひどくなったよ。
map_0357#283	覚悟しておけよ!!!
map_0357#284	テラ: よぉベイベ気に入ったかぁ見た目わ??
map_0357#285	シエル: テラ、お客様への色目はやめてくださる?
map_0357#286	テラ: シエルったらヤキモチぃ
map_0357#287	シエル: 妬いてなんかいませんわ!
map_0357#288	何に妬く必要があるっていうんです?
map_0357#289	テラ: シエルはナニがほしいんでしょ
map_0357#290	シエル: テラ、あなたそもそもナニなんて持ってませんでしょう。
map_0357#291	サムソン: おいおい、待てよ、シエル。
map_0357#292	なんでそんなに自信たっぷりに言い切れるんだ?
map_0357#293	シエル: 何をほのめかしてますの?
map_0357#294	テラ: あいつ何もほのめかしてなくね。
map_0357#295	だってほのめかしたらどうなるか、みんな知ってるっしょ……
map_0357#296	「ほのめかす」を分けたら小鬼が出てくるんだよ、わかる? LOLOLOLOL\tts[you make an imp out of li and ed, LOLOLOLOL]
map_0357#297	シエル: お仕事があるのではなくて?
map_0357#298	テラ: おうともよ仕事ならあるぜぇ!
map_0357#299	だからかがめよ、ヤッてやっからよぉ!!!
map_0357#300	シエル: 反吐が出ますわ。
map_0357#301	テラ: おめぇのオカンが反吐もんだろぉぉぉ!!! ウオオオオ
map_0357#302	シエル: そもそもその言葉の意味、分かって使ってますの?
map_0357#303	テラ: あったりまえよ。意味はな……\tts[TERRA: forsho. it meanz...]
map_0357#304	ガアアアアアアアアアアアアアオオオ!!!!!!!!!!
map_0357#305	シエル: 意味は「ガオー」ではありませんわ。
map_0357#306	テラ: そぉぉぉぉりゃそうだろよぉ。
map_0357#307	シエルってばひがみすぎぃ。
map_0357#308	ひがみひがみひがみぃ〜\tts[sooooo saltyyyy.]
map_0357#309	プレッツェルにしちまえよ、そんくらいしょっぱいんだからよぉ。\tts[make a pretzel outta her, das how salty she izzz.]
map_0357#310	あちゃー、そのせいでプレッツェル食いたくなったじゃん。
map_0357#311	敗北。
map_0357#312	シエル: わたし――何ですって?
map_0357#313	サムソン: どうやらプレッツェルはテラの隠れた弱点らしいな。
map_0357#314	常に持ち歩いとくことにするよ。
map_0357#315	サムソン: 準備はいいか?
map_0357#316	サムソン: よし、これだけやりゃいいはずだ……
map_0357#317	サムソン: ああ、焦らずいこう。
map_0357#318	どうせあいつ、すぐには出てこないだろうしな。
map_0357#319	サムソン: また戻るのか?
map_0357#320	サムソン: いつでも言ってくれ。
map_0357#321	シエル: ブラボー、あなた、ブラボーですわ!
map_0357#322	サムソン: 悪くないな。モニターで全部見てたぜ。
map_0357#323	まったく馬鹿げた鬼ごっこだったな。
map_0357#324	メテオの件からお前の気をそらそうとしてただけみたいだったな。
map_0357#325	また逃げてったぞ。
map_0357#326	どこに行ったかはまだ分からないが、お前が出てきたなら、ちょっと考えがある。
map_0357#327	シエル: あら、それをしたら、テラは大丈夫なんですの?
map_0357#328	サムソン: 確かなことは言えないが、これを切っておけば、たぶんあいつはそこから出られないはずだ。
map_0357#329	サムソン: 少なくとも、これ以上チームメテオのために悪さはできなくなる。
map_0357#330	全部終わったら出してやるさ。
map_0357#331	それまでの間、この静けさもまんざらじゃないけどな。
map_0357#332	シエル: でも、それだとアゲートシティで実際に何が起きてるのか、手がかりなしで途方に暮れることになりますわよ。
map_0357#333	サムソン: もう少ししたら、テラが話す気になるか見てみればいい。
map_0357#334	話してくれたら出してやるって言っておくさ。
map_0357#335	だから、\PN、そっちは俺たちに任せとけ。
map_0357#336	俺の聞いた話が正しけりゃ、お前はあの滝を登らなきゃいけないんだろ?
map_0357#337	シエル: 良い旅を、\PN!
map_0357#338	ご心配なく、あの女性から小説が書けそうなくらい話を聞き出してみせますわ!
map_0357#339	サムソン: 予想するなら官能小説だろうな。
map_0357#340	シエル: ええ、おそらく質の悪いアニメクロスオーバー官能小説でしょうね。
map_0357#341	いえ、やっぱり小説の話はなしにしましょう。
map_0357#342	でも、なんとかしてみせますわ。
map_0357#343	サムソン: 交渉を始める前に、あいつがそこで落ち着く時間をやろう。
map_0357#344	シエル: そうですわ! 切羽詰まった様子ほど、真実味を演出してくれますもの!
map_0357#345	サムソン: おっ、\PN。よう。
map_0357#346	何か知らせがありゃよかったんだが、何もないんだよ。
map_0357#347	何度確認しても、テラが見つからないんだ。
map_0357#348	シエル: あら、ごきげんよう、\PN!
map_0357#349	お友達のこと、ちゃんと片付けられたのかしら?
map_0357#350	こちらはそうもいきませんでしたけれど。
map_0357#351	サムソン: この状況で、テラを友達って呼べるかどうか怪しいけどな。
map_0357#352	シエル: 「友達」かどうかより、あなたが彼女を完全に消してしまったんじゃないかって心配してましたのよ。
map_0357#353	そうなったらどうするんですの!
map_0357#354	「アゲート二強」に成り下がるしかありませんわ!
map_0357#355	全然かっこよく聞こえませんもの!
map_0357#356	サムソン: その名前が気に入らないなら、いっそ「アゲートの熱愛カップル」ってのはどうだ。
map_0357#357	シエル: やめてくださいまし、前にもうまくいかなかったでしょう。
map_0357#358	今ならうまくいくと、なぜ思えますの?
map_0357#359	サムソン: 俺のワイルドな見た目とまぶしい魅力があればな。
map_0357#360	シエル: ……はいはい。
map_0357#361	テラを元に戻す方法でも見つけたら、それから話しましょうか。
map_0357#362	サムソン: ずいぶん高い代償だな。
map_0357#363	あいつがいなくなってから、やっとまともに眠れてるんだからよ。
map_0357#364	シエル: あら、彼女とそんなに忙しくしてらしたの?
map_0357#365	それなのに、彼女がいなくなった途端にわたしを誘うなんて……あきれますわ。
map_0357#366	サムソン: チッ、そういうことなら、あいつのほうがあの夜をもっと楽しんでただろうな。
map_0357#367	シエル: よく言いますわね。
map_0357#368	サムソン: そういうお前こそ、体位52番の専門家じゃなかったか?
map_0357#369	シエル: あなた、わたしが日々空中で決めるポーズの半分だけでも、52なんてとっくに超えてますのよ。
map_0357#370	でも、その半分だってあなたには見せませんけれど。
map_0357#371	サムソン: 上等だ、受けて立つぜ。
map_0357#372	団長: よう! 何か進展あったか?
map_0357#373	サムソン: 何も。
map_0357#374	団長: そりゃ残念だが、あいつがいなくなってから、現場のケガ人はめっきり減ったけどな。
map_0357#375	おっと、こんにちは、\PN!
map_0357#376	今日はどうしたんだ?
map_0357#377	おっと、シエルとの試合の時間か?
map_0357#378	シエル: 楽しみにしていなかったと言えば、うそになりますわ。
map_0357#379	団長: 前回のショーは大成功だったが、彼女のためのバトルパスはちゃんと持ってるんだろうな!
map_0357#380	シエル: ええと……お持ちですわよね、\PN?
map_0357#381	あら、まあ。
map_0357#382	団長: もちろんだ、それがなきゃ戦えないのが決まりだからな。
map_0357#383	ええと、この話は前にもしたよな?
map_0357#384	シエルは\PNにこっそりバトルパスを渡した!
map_0357#385	シエル: ほら、ありましたわ!
map_0357#386	\PNはちょっとの間、失くしていただけですのよ!
map_0357#387	問題ありませんわ!
map_0357#388	団長: ……
map_0357#389	それじゃ、準備をしてくるとしよう。
map_0357#390	シエル: これはわたしのキャリアへの投資ということで。
map_0357#391	サムソン: 見事なもんだな。
map_0357#392	シエル: あなたに言われたくありませんわ。
map_0357#393	シエル: とにかく、準備ができたら教えてくださいまし、それでショーを始めましょう!
map_0357#394	サムソン: こりゃ無駄だな。
map_0357#395	どこかに消えちまったんだろう、別のネットワークにでも、それともあいつにお似合いのゴミ箱にでもな。
map_0357#396	サムソン: あ? 俺に挑戦したいのか?
map_0357#397	悪いな、お嬢ちゃん、それは無理だ。
map_0357#398	悪いな、兄弟、それは無理だ。
map_0357#399	団長は自分の決まりにはうるさいんでな。
map_0357#400	戦いたいやつは全員バトルパスが必要ってわけだ。
map_0357#401	……お前が持ってるみたいなやつがな。
map_0357#402	それじゃあ。
map_0357#403	団長がもうお前に「サプライズ」の挑戦をやらせてるはずだよな……
map_0357#404	ってことは、準備はできてるってことか?
map_0357#405	サムソン: よし、フィールドに出るぞ。
map_0357#406	やろうぜ。
map_0357#407	サムソン: 急がなくていいぜ。
map_0357#408	合図さえくれりゃ、いつでもぼこぼこにしてやる準備はできてるからな。
map_0357#409	サムソン: 俺に挑む準備はできたか、ちびすけ?
map_0357#410	団長: いいショーだった、いいショーだったぞ、みんな!
map_0357#411	大もうけだったな!
map_0357#412	\PN、サムソンをあんな風に倒すとはな……
map_0357#413	感心したぞ!
map_0357#414	他のリーダーに挑むためのパスも見つけてくれるといいんだが。
map_0357#415	シエル: とはいえ、サムソンはうちの子たちの中でも甘めですのよ。
map_0357#416	わたしたちがそんなに簡単だなんて、思わないことですわ〜
map_0357#417	テラ: シエルなんてまじちょろいっしょ。ゆーて意味わかるっしょ。\tts[TERRA: Ciel is totes eZ. if yanno wut i mean.]
map_0357#418	だけどあたしに手ぇ出したらガアアアアってお前のガアアアガアアアガアアアしてやっからな。\tts[but u mess with me and ill RAWWWWWRRR RAWWWR your RAWWWRRAWWWRRAWWWR.]
map_0357#419	そんであたしのガアアアをお前のガアアアに突っ込んで、お前がガアアアすら言えなくなるまでやってやるからなガアアアアアア!!!!
map_0357#420	二回な。
map_0357#421	団長: ……とにかく。
map_0357#422	俺は締めの挨拶があるから、お前らはそのガオガオでも続けててくれ!
map_0357#423	テラ: ちょっと待てぃ。
map_0357#424	シエル: あら? ついに信号の出所を突き止めましたの?
map_0357#425	テラ: しっかりつかまってなよ、みんな、ニュースだよォ!
map_0357#426	サムソン: で、なんだよ?
map_0357#427	テラ: あたしの超高度なス1パ1エリ1トハッキングぎじゅつでな、超重要なことを発見したぞ!!!\tts[TERRA: With mah highly advanced super leet hackingu skills i have discovered something very important!!!]
map_0357#428	ハーディ: で、教えてくれんのか、くれねぇのか?
map_0357#429	テラ: あたしが発見したのわ
map_0357#430	シエルがTバックを履いてるってことだぁ!
map_0357#431	シエル: 何ですって?!
map_0357#432	シエル: これは一体――
map_0357#433	シエル: そんなこと、どこにも書いてありませんわよ!!!
map_0357#434	テラ: 否定しなかったっしょベイベ
map_0357#435	シエル: わたし――
map_0357#436	とにかく、これに集中してくださらない。
map_0357#437	シエル: そこのデータ、それは何ですの?
map_0357#438	テラ: これのこと?
map_0357#439	こいつのことはティミーって呼んでる。
map_0357#440	趣味はクロスステッチとバイク、あとお婆ちゃんの下着の引き出しにトカゲを仕込むことだよ。
map_0357#441	カイン: ティミー、いいやつだな。
map_0357#442	シエル: そうじゃなくて、このデータの意味を聞いてますの!!
map_0357#443	テラ: しんない。
map_0357#444	放送局をハッキングして手に入れただけで、統計学者じゃねえからよ。
map_0357#445	でもぉ、しいて言うなら、信号はアメトリンシティのどっかからガオってきてる気がするなぁ。
map_0357#446	サムソン: つまりアメトリンの誰かが、アゲートシティに眠らせる信号を飛ばしてるってことか。
map_0357#447	ハーディ: なら誰かがアメトリンシティに行って、その信号を早いとこ止めないとな。
map_0357#448	サムソン: それには「なみのり」が要るな。
map_0357#449	カイン: それなら\PNの出番ってことだな〜
map_0357#450	俺もアメトリンのほうで何か進められるか見てみるよ。
map_0357#451	一緒に〜進めていこうぜ〜!
map_0357#452	ハーディ: 俺とアヤは都合がついたらカルセノンに向かうから、アメトリンが終わったらそっちで落ち合おうぜ。
map_0357#453	テラ: カルセノン?
map_0357#454	カルセあくびーん、って感じだけどね。
map_0357#455	ハーディ: あそこじゃ他のリーダーたちがチームメテオとにらみ合ってるらしいんだ。
map_0357#456	俺たちも力を貸しに行くよ。
map_0357#457	テラ: チームメテオ?
map_0357#458	チームメテぼぉ、って感じでしょ。\tts[More like Team MetaBore.]
map_0357#459	アヤ: あんた、たまにはまともなこと言わないの?
map_0357#460	テラ: まとも?
map_0357#461	それより……
map_0357#462	……ガアアアアアオオオ!!!!
map_0357#463	シエル: まるで地獄から逃げ出したコウモリですわね。
map_0357#464	サムソン: 確かに地獄から来た何かなのは間違いねえな。
map_0357#465	ハーディ: だな。
map_0357#466	そろそろ俺たちは出発するとするか。
map_0357#467	カルセノンでな、相棒。じゃあな!
map_0357#468	サムソン: テラがいないこのつかの間の平穏を、余計な詮索せずに楽しませてもらうぜ。
map_0357#469	とにかく、お前はあの「なみのり」のマシンを取りに行かなきゃいけないんだろ?
map_0357#470	サムソン: あ? あの滝んとこにいた女、その、滝みたいに落ちたって?
map_0357#471	とんでもねえ話だな。
map_0357#472	あいつ、大丈夫だと思うか?
map_0357#473	サムソン: まったく、テラの野郎、今度はどこに消えやがったんだ?
map_0357#474	誤解しないでくれよ。
map_0357#475	いないのは別にかまわないんだが……
map_0357#476	たまに長い間、まるっきり姿を消すことがあるんだよな。
map_0357#477	しかも、あんな目立つやつがいないと逆に気になるんだよ。
map_0357#478	一体どこに行きやがったんだ?
map_0357#479	シエル: テラ、あなた、アゲートに流れてる信号の発信源、もう見つけられまして?
map_0357#480	みんなを眠らせている元凶を、一刻も早く止めたいのですけれど。
map_0357#481	眠ってないで、わたしたちを見てくださらないと!
map_0357#482	テラ: んなーい、けど落ち着けって。
map_0357#483	テラ様は超エリートハッカーだかんな。
map_0357#484	あたしのケツから逃げられるもんはねえのよ。\tts[nothin ezzcape my booty.]
map_0357#485	シエル: その「ケツ」とやら、もうずいぶん時間かかってますけれど……\tts[CIEL: Your "booty" has taken so long already though...]
map_0357#486	テラ: あたしゃ落ち着けっつっただろクソアマ\tts[TERRA: YO DID I OR DID I nawt TELL U TO CALM YO TITS BITCH]
map_0357#487	おっぱいの災難とやらをどうにかしろってんだよ!\tts[UNDO THE CALAMITY THAT IS YO MAMMARIES!]
map_0357#488	ハクナ\nYOおっぱいタタ!!!!!!!!!びっくりまーく!!!
map_0357#489	サムソン: もうやめてくれ。
map_0357#490	脳細胞が一個ずつ死んでいくのがわかるぜ。
map_0357#491	シエル: ええ、サムソンに残された数少ない脳細胞まで奪うなんて、あなたも罪深いこと。
map_0357#492	サムソン: おいおい、俺を女のけんかに巻き込むなよ。
map_0357#493	俺はここじゃ無関係だからな。
map_0357#494	テラ: 昨日の夜は無関係じゃなかったくせに
map_0357#495	サムソン: なんでお前が知ってんだよ?
map_0357#496	テラ: あんたあたしに「おおお」って夢中であたしはあんたに「ガアアアア」って夢中だったっしょ!
map_0357#497	サムソン: 忘れるわけねえだろ。
map_0357#498	体位52番、怒れる恐竜だったな。
map_0357#499	はいはい、そうだったな。
map_0357#500	テラ: あぁぁーそうそう。
map_0357#501	あたしの二番目に好きな体位だよ。
map_0357#502	シエル: 一番目は何か、あえて聞いてもよろしくて?
map_0357#503	テラ: 知りたきゃ、そのケツ丸出しにしなよ\tts[TERRA: if u wanna know, git yo butt nekkid]
map_0357#504	シエル: 実演は結構ですわ。
map_0357#505	サムソン: いやいや、お嬢さんがた、どうぞご遠慮なく。
map_0357#506	かなり勉強になると思うぜ。
map_0357#507	シエル: わたしは絶対に――
map_0357#508	聞いたわたしが馬鹿でしたわ!
map_0357#509	テラ: わぁーったよ、けど教えたら、そこのソファにいる女、ガオりながら部屋から逃げ出すぞ、もうあのソファに近づきたくなくなるだろうからな。\tts[TERRA: fiiiiiine, but if i tell u, dat girl over dere on the couch, she gon run outta the room rawrin' cuz she ain't gon wanna be near dat couch no more.]
map_0357#510	シエル: 覚え書き――新しいソファを注文すること。
map_0357#511	サムソン: またかよ?
map_0357#512	シエル: アメトリンシティはとても標高が高いから、当然凍えるほど寒いですわよ。
map_0357#513	暖かくして行ってくださいまし!
map_0357#514	でも、着膨れして格好悪くならない程度に。
map_0357#515	何事にも限度がありますもの。
map_0357#516	シエル: まあ、アマリアさんがそんなことを? 何て恐ろしい!
map_0357#517	すぐにでも助けに行かなくては。でも、そのためには「たきのぼり」のマシンが必要ですわね?
map_0357#518	シエル: ああ、そういえば「たきのぼり」を手に入れても、使うにはテラのバッジが必要ですわよ!
map_0357#519	とはいえ、あの厄介者が今どこをうろついてるのかは、わたしにもよく分かりませんけれど。
map_0357#520	サムソン: よう。ちっちゃな救助作戦の調子はどうだ?
map_0357#521	正直に言うと、アゲートシティが早く再開してほしくて、ちょっと落ち着かねえんだよ。
map_0357#522	サーカス半分、避難所半分のこの状態にはもううんざりだ。
map_0357#523	あ、シエルに悪気はないぜ。
map_0357#524	シエル: あら、サムソン、また何か野蛮な悪口をつぶやいてますの?
map_0357#525	サムソン: お前が履いてるらしいTバックの話を、\PNに教えてただけだよ。
map_0357#526	シエル: そう、あなたとはもう一度、この話をやり直さないといけませんわね。
map_0357#527	シエル: こんにちは、\PN、それにいつも礼儀正しいサムソン。
map_0357#528	今日はお二人とも、いかがお過ごしかしら?
map_0357#529	あら? \PN、また新しいバトルパスを手に入れましたのね。
map_0357#530	テラのものですの?
map_0357#531	それは少々不都合ですわね。
map_0357#532	実を言うと、彼女がどこにいるのか、わたしたちにも分かっておりませんの。
map_0357#533	サムソン: あいつ、しばらく前から何日も姿を消すようになっててな。
map_0357#534	あいつが近くにいりゃ、半径50マイル以内の全員がいやでも気づくもんだしな。
map_0357#535	シエル: とはいえ、彼女がどこに消えているのかという疑問は、依然として残りますわね。
map_0357#536	選択肢はそう多くありませんし、眠りの呪いのおかげでアゲートより先は除外して間違いないでしょう。
map_0357#537	サムソン: ちょっと待てよ。
map_0357#538	\PN、テラがお前と、その、もう一人のやつをアゲートで見つけたんじゃなかったか?
map_0357#539	だとしても、あいつ自身が眠らずにあそこにいられるはずがねえだろ。
map_0357#540	シエル: あら、何をおっしゃいますの。テラという存在自体が、眠りにとって天敵ですのよ。
map_0357#541	サムソン: よく知ってるみたいだな?
map_0357#542	また体位52番の話でも出すつもりか?
map_0357#543	シエル: とにかく!
map_0357#544	彼女が追跡していた信号の発信源を探していたのなら、アゲートをうろついていたのも筋が通りますわ。
map_0357#545	サムソン: いや、そうでもない。
map_0357#546	あいつ、アメトリンにあるって言ってたぞ。
map_0357#547	シエル: それは確かに――
map_0357#548	……あら?
map_0357#549	ティタウィンの正体が……テラだったって分かりましたの?
map_0357#550	まあ、そんな馬鹿な話!
map_0357#551	あんな娘を受け入れるはずがありませんもの、その……
map_0357#552	ガオガオぶりと、常軌を逸した奇行の数々を考えれば。
map_0357#553	ちゃんと考えてから話してくださいまし、あなた!
map_0357#554	サムソン: いや、あり得なくもないぜ。例えば――
map_0357#555	テラ: あんたらぁ、ただいまぁ!!!
map_0357#556	テラ: ちゅっ!
map_0357#557	シエル: テ、テラ!
map_0357#558	テラ: あぁそっか、人前でそういうの嫌いなんだったな
map_0357#559	了解了解了解了解シエル船長、今夜あんたの港に着いた時までとっとくわ
map_0357#560	シエル: そんなこと勝手に言わないでくださる!
map_0357#561	テラ: それでさぁ、みんな、男も女もその他のジェンダーのみんなもさぁ?
map_0357#562	サムソン: ちょうど、お前がチームメテオの一員なんじゃないかって話してたところだぜ。
map_0357#563	テラ: はぁ何だって\tts[TERRA: u wot mate]
map_0357#564	うけるそれこの30秒で聞いた中で一番おもしれえわ\tts[Lewl THAT'S THE BEST THING I'VE HEARD ALL THIRTY SECONDS]
map_0357#565	シエル: つまり、本当ではないんですわよね?
map_0357#566	テラ: ガアアアアアアアアアアアオ!!!!
map_0357#567	つーかなんの話だっけwww
map_0357#568	サムソン: ティタウィンって名前、何か心当たりあるか?
map_0357#569	テラ: それってあれだろ、砂漠の惑星だろ?
map_0357#570	「スターフォーセズ」の
map_0357#571	第69話「邪悪との対決」の
map_0357#572	サムソン: ……は?
map_0357#573	シエル: ティタウィンというのは、チームメテオの工作員の名前でしたわ。
map_0357#574	でも、あなたのことじゃありませんわよね?
map_0357#575	テラ: 大笑い あたしは負けたことねえよ、勝つだけだから\tts[TERRA: lmao i never lose, i only TitaWin]
map_0357#576	シエル: テラ、ちゃんと答えてくださいまし。
map_0357#577	あなたはチームメテオの一員ではありませんわよね?
map_0357#578	テラ: あったりまえじゃぁぁぁぁぁぁん
map_0357#579	そうに決まってんだろ、あんたらよぉ。
map_0357#580	シエル: わたし……
map_0357#581	テラ: おお、みんな今あたしのこと見てるじゃん。
map_0357#582	あたしのお尻、あたしのお尻……
map_0357#583	シエル: 本当にチームメテオの一員だとして、それならどうして?
map_0357#584	テラ: みんな聞けよ、悲しい過去語りの時間だぜ!
map_0357#585	テラ: よし、それじゃあな。
map_0357#586	ずっと昔、あたしがまだほんのガキだった頃……
