map_0181#56	待って……
map_0181#144	ノエル: 僕たちのポケモンは没収されてるから、力になれません。
map_0181#145	シャルロット: その態度じゃ無理でしょうね。
map_0181#146	何人かなら、あたしが足止めしてあげられると思うわ。
map_0181#147	でも、あたしを迎えに戻ってこなかったら、痛い目見せてやるから。
map_0181#148	それでいい?
map_0181#149	カイン: 決まりだね。
map_0181#150	アンナ: シャルロット、何してるの?
map_0181#151	シャルロット: 陽動作戦よ。
map_0181#152	シャルロット: ねえ。
map_0181#153	シャルロット: ちょっと、クソ野郎ども。
map_0181#154	あたしのタバコ、返しなさいよ。
map_0181#155	介助員: それはできないと知っているだろう、シャルロット。
map_0181#156	シャルロット: できるでしょ。
map_0181#157	鍵、持ってるじゃない。
map_0181#158	行って取ってきてよ。
map_0181#159	介助員: シャルロット、落ち着いて、その話はやめてもらわないと。
map_0181#160	シャルロット: それはお断りするわ。
map_0181#161	あたしのタバコが欲しいの。
map_0181#162	他に何ができるっていうの、サーキットに放り込む?
map_0181#163	カイン: ねえ、サーキットって何?
map_0181#164	アンナ: すごく悪い子を、一人にするために入れる場所なの。
map_0181#165	シャルロット: ああ、すっごく怖い。
map_0181#166	過去五十回、それで効いたみたいにね。
map_0181#167	介助員: それもできるんだぞ。お前が望むならな。
map_0181#168	シャルロット: やってみなさいよ。
map_0181#169	介助員: いいだろう。行くぞ、シャルロット。
map_0181#170	シャルロット: いや! 返し――
map_0181#171	離しなさいよ!
map_0181#172	介助員: いてっ――かまれた!
map_0181#173	おい、手伝ってくれ!
map_0181#174	こいつをサーキットに入れろ!
map_0181#175	介助員: 戸口にいるのは誰だ?
map_0181#176	ノエル: あ、見つかった。
map_0181#177	介助員: 現在は面会時間外だ。
map_0181#178	お引き取り願わなければなりません。
map_0181#179	カイン: それは、お断りするしかないね。
map_0181#180	\PN、シェリー、行こう!
map_0181#181	シェリー: う、うん!
map_0181#182	一体何をしてるつもりだ?!
map_0181#183	ええと、こういう時の手順、どうなってたっけ?
map_0181#184	シェリー: あ、あたしたち……勝った?
map_0181#185	介助員: 急げ、先生に知らせろ!
map_0181#186	施設を封鎖しろ!
map_0181#187	アンナ: あなた、本当に強いのね!
map_0181#188	あたしアンナ! あなたの名前、シェリーだよね?
map_0181#189	お友達になろうよ?
map_0181#190	シェリー: お友達? でも、あたし……
map_0181#191	アンナ: わかってる、もうたくさんお友達がいるんでしょ!
map_0181#192	でも、あと一人分の余地はあるでしょ~?
map_0181#193	シェリー: あ、あたし……そんなにお友達いないの……
map_0181#194	……最後のお友達も、結局怒らせちゃったし……
map_0181#195	アンナ: お友達、絶対たくさんいるはずだよ!
map_0181#196	糸が見えないの?
map_0181#197	シェリー: い、糸?
map_0181#198	アンナ: お友達ができるたびに、二人の間に見えない糸が結ばれるの!
map_0181#199	あなたの周り、糸だらけだよ!
map_0181#200	こんなにたくさん見たの、初めて!
map_0181#201	あなたのこと、本当に大事に思ってる人がたくさんいるんだね。
map_0181#202	シェリー: 本当に……?
map_0181#203	アンナ: うん!
map_0181#204	それに、これでもう一本増えたね、あたしたちお友達だから!
map_0181#205	ノエル: 他の介助員たちも、もうすぐ戻ってくると思います。
map_0181#206	カイン: それじゃ、まずいね。
map_0181#207	できる限り、僕が食い止めるよ。
map_0181#208	みんなはヘザーを探して!
map_0181#209	ノエル: 戸口で守りの陣を取ってください。
map_0181#210	そうすれば、一人ずつしか相手にできなくなります。
map_0181#211	カイン: いい考えだね~ 君、なかなか賢いじゃないか。
map_0181#212	ニドキング、ベイビー、出番だよ!
map_0181#213	介助員: 急げ、せめてそいつだけでも捕まえろ!
map_0181#214	逃がす患者は少ないほどいい!
map_0181#215	アンナ: ノエル!
map_0181#216	ノエル: あ。
map_0181#217	アンナ: 急げば、追いつけるよ!
map_0181#218	シェリー: ええと、\PNについていくわ。
map_0181#219	急ぎましょう!
map_0181#220	カイン: 心配ないよ、来たら僕がちゃんと受け止めるから~
map_0181#221	……なんつってね。
map_0181#222	シェリー: 誰が何て言ったの?
map_0181#223	カイン: ええと、大きくなったらわかるよ。
map_0181#224	シェリー: え?
map_0181#225	カイン: 今のところ楽勝だね!
map_0181#226	なんとなく、こいつらもっと手強いと思ってたんだけど。
map_0181#227	まあ、大抵の男は僕にとってかなり手強いんだけどね。
map_0181#228	シェリー: それって、女の子相手だと調子いいってこと?
map_0181#229	カイン: あ……
map_0181#230	いや、そういう意味で言ったんじゃ……
map_0181#231	アンナ: ノエルを取り戻さなきゃ!
map_0181#232	シェリー: あなたも、弟さんのこと本当に大事なのね?
map_0181#233	アンナ: 当然!
map_0181#234	あたしたち、いつも一緒だったもん!
map_0181#235	シェリー: ……ふふ、いいなあ……
map_0181#236	シェリー: え、ええと……あたしたち――
map_0181#237	ドアに鍵かけられちゃった……
map_0181#238	アンナ: それはだめだね。
map_0181#239	そんなことされたら、誰も助けられないじゃない!
map_0181#240	でもまあ、いっか~
map_0181#241	研究室に、ドアを開ける装置みたいなのがあると思うの!
map_0181#242	あの廊下を進んで、左だよ。
map_0181#243	あたしたち、そこに入っちゃいけないの。
map_0181#244	だから、そこのことなら何でも知ってるんだ!
map_0181#245	アンナ: 研究室に、ドアを開ける装置みたいなのがあると思うの!
map_0181#246	シェリー: ノエルを取り戻さなきゃ、だ、だよね?
map_0181#247	あっちの方に行ったんじゃなかった……?
map_0181#248	でも、あなたを信じるわ……
map_0181#249	あたしも怒られちゃう?
map_0181#250	シェリー: ううん、大丈夫! あたしたちが、ええと――
map_0181#251	ちゃんと何とかするから!
map_0181#252	アンナ: カインってかっこいい!
map_0181#253	ノエル: カインさん、強そうです。
map_0181#254	シェリー: ん?
map_0181#255	あ、あそこ!
map_0181#256	ノエル: ヘザーは連れてこられなかったんですか?
map_0181#257	シェリー: 上の階のドアに、鍵がかかってて……
map_0181#258	アンナ: 「わあ、独房の鍵を開けて助けてくれてありがとう、\PN!」
map_0181#259	でしょ。
map_0181#261	ちなみに、IDカードがあれば上の階に行けるよ。
map_0181#262	シェリー: え、えっと、カインはどうなったの?
map_0181#263	アンナ: 「どうにも」なってないよ――介助員たちを押し返してるところ!
map_0181#264	一人きりで!
map_0181#265	すごいよね、彼?
map_0181#266	シェリー: た、助けに行った方がいいかも……
map_0181#267	アンナ: \PN、急いで!
map_0181#268	あなたが最後なんだから!
map_0181#269	シャルロット: 誰かを待ってる場合でも場所でもないでしょ。
map_0181#270	カイン: そもそも、どこか行き先はあるの?
map_0181#271	アンナ: 近くて人目につかない、集まる場所が要るよね!
map_0181#272	そこからどうするか決めればいいんじゃない?
map_0181#273	シェリー: そういう場所、あるかな……?
map_0181#274	カイン: 地下鉄道網はどう?
map_0181#275	何度か隠れるのに使ったことあるんだ、誰もあそこには来ないから。
map_0181#276	シャルロット: あたしはそれでいいわ。
map_0181#277	脱出しましょ!
map_0181#278	シェリー: 行くわよ、ヘザー! ここから出るの!
map_0181#279	シグムンド: そうはさせません。
map_0181#280	シグムンド: 先ほどは数がありましたね。
map_0181#281	だが今は、皆いなくなった。
map_0181#282	リボーン市より私に与えられた権限に基づき、お二人を拘束させていただきます。
map_0181#283	アンナ: \PN!
map_0181#284	シグムンド: こんなことをする必要はありません。
map_0181#285	大人しく従えば、罰も穏便なもので済むでしょう。
map_0181#286	アンナ: 「穏便」?!
map_0181#287	その言葉の意味すら、わかってないくせに!
map_0181#288	シグムンド: それが私にとってどれほどわずかな意味しか持たないか、お見せしましょう。
map_0181#290	アンナ: やったね!
map_0181#291	シグムンド: 実に、無秩序と混乱への献身ぶりには感服いたします。
map_0181#292	アンナ: 傷つけることといやすことの違いもわからない人と、あたしたちを閉じ込めておくような法律に、一体何の意味があるの?!
map_0181#293	\PNがあたしたちを救ってくれたの!
map_0181#294	さあ、みんなに追いつきましょう!
map_0181#295	シグムンド: よく考えなさい、\PN、
map_0181#296	子供の妄想などに、本当に信頼を置く価値があるのかどうかを。
map_0181#297	???: それは賢明だったと言えるのかな?
map_0181#298	シグムンド: 何だ――一体貴様は何者だ?!
map_0181#299	ここで何をしている?
map_0181#300	???: おやおや、先生?
map_0181#301	ずっとネズミが走り回ってたっていうのに、猫が現れた理由を尋ねるのかい?
map_0181#302	シグムンド: 名を名乗れ!
map_0181#303	???: 電気けいれん療法についてのあなたの研究、大ファンでね。
map_0181#304	私自身の……
map_0181#305	「事業」にも、大いに役立たせてもらっているよ。
map_0181#306	ドクター、何かを失ったと伺っているが。
map_0181#307	お互い、利益になる話があると思うのだがね。
map_0182#0	アメ: \PN?
map_0182#1	やっほー! ジムに着いたみたいね。
map_0182#2	この通信システムは大ホールに直接つながってるから、どこにいても、ジムに着いたらいつでもアドバイスをもらえるのよ!
map_0182#3	それはそうと……
map_0182#4	アメ: それじゃ、シェリーと戦うのね?
map_0182#5	ところで、リボーンには、ダブルバトルで戦うことを選ぶリーダーもいるって知ってた?
map_0182#6	シェリーもその一人よ。彼女の戦略は、雨を降らせてほのおタイプへの弱点をカバーして、それから安全に一掃するっていうものなの。
map_0182#7	雨を降らせる隙を与えなければ、彼女の森の闘技場でのほのおタイプの攻撃で、あっさり片がつくわ。
map_0182#8	でも、もし雨が降ってしまったら、流れに乗って、みずタイプのわざでその波に乗っかりなさい!
map_0182#9	彼女のむしポケモンの多くはそれに耐性がないから、その追加の威力が彼女自身の首を絞めることになるわ。
map_0182#10	頑張ってね!
map_0182#11	大ホールの方、誰も出ないみたいね……
map_0182#12	飛び込みますか?
map_0182#13	あなたも研究をしに来たの? それとも戦うだけ?
map_0182#14	ああ、でも本を傷つけないでくださいね!
map_0182#15	恥ずかしがってるけど、シェリーはこの辺りでも指折りの賢い子なんですよ。
map_0182#16	このスライド式本棚パズルまで作ったんです!
map_0182#17	それぞれのコンピューターが、いくつか違う本棚を上げ下げするんですよ。
map_0182#18	どの本棚が動くかは、画面に表示されます!
map_0182#19	知識の力をお見せしましょう!
map_0182#20	それは、ポケモン自身の力によって、ここに上書きされるものとする。
map_0182#21	ここの本の大半は大学レベルなんですけど、シェリーは苦もなく読んじゃうんですよ。
map_0182#22	このパズルも大学レベルなんですけど、僕はもう解けたと思います。
map_0182#23	手前の三つがポイントで……
map_0182#24	両端をできるだけ高くして、真ん中を低くするんです。
map_0182#25	それで、出たら真ん中を上げる。
map_0182#26	だと思います。
map_0182#27	あら、ここで邪魔されるとは思わなかったわ。
map_0182#28	別に、あなたが邪魔だと言ったわけではありませんのよ
map_0182#29	ただ、ここで静かに本を読むのが好きなだけ。
map_0182#30	もっとも、みんながあの本棚パズルを解こうとしてると、時々大変だけど。
map_0182#31	確か、シェリーの部屋からしか操作できないコンピューターがあったはずよ。
map_0182#32	でも、それは最後に使うものね。
map_0182#33	こんにちは。よくここに来るの?
map_0182#34	毎日来てるわ。くつろげてすごくいいの。
map_0182#35	好きな本を手に取って、草の上に――すごくきれいなの!――寝転がって、一日中読んで過ごせるなんて……
map_0182#36	街の陰気な工業地帯から、本当に逃げ出せる気分になるわ。
map_0182#37	ああ、このパズル? シェリーのところに行くには、本棚の上を歩かなきゃいけないってことしか知らないわ。
map_0182#38	シェリー: ええと……この前は本当にごめんなさい。
map_0182#39	たぶん、運が良かっただけだと思うの。
map_0182#40	それじゃ、ええと――もう一回やってみる?
map_0182#41	が、頑張って!
map_0182#42	シェリー: あたしの庭の図書室、どうだった?
map_0182#43	ごめんね、あたしちょっと本の虫だから~
map_0182#44	えへへ……
map_0182#45	実は、お兄ちゃんに認めてもらえるくらいになりたくて、たくさん本を読んでただけなの。
map_0182#46	すごくかっこいいの。
map_0182#47	ジョウトでジムリーダーやってて!
map_0182#48	お兄ちゃんみたいになりたくて、それでここに来てこれをやってるの!
map_0182#49	でも、何をやっても、十分だったことなんてなくて。
map_0182#50	お兄ちゃんはいつも、あたしなんかい、いないみたいに振る舞ってて。
map_0182#51	でも、いいの、自分の立場はわかってるから。
map_0182#52	ごめんね、話が逸れちゃった……それで……
map_0182#53	戦いに来たのよね、もちろん。
map_0182#54	ええと、そ、そうだ、一部のリーダーはダブルバトルで戦うの!
map_0182#55	あたしもそうなんだけど、それが好きなのは……
map_0182#56	その、少なくともあたしのポケモンには、一緒に戦う友達がいた方がいいと思うから?
map_0182#57	それじゃ、ええと――始めましょう……!
map_0182#58	シェリー: それじゃ、ええと……頑張ってね!
map_0182#60	シェリー: うん……
map_0182#61	あたし、多分一生お兄ちゃんの期待には応えられないんだと思う。
map_0182#62	す、少なくとも、こんな風には……
map_0182#63	で、でも……大丈夫、あなたはすごく上手だった!
map_0182#64	ええと……
map_0182#65	\PNはまゆバッジを受け取った!
map_0182#66	シェリー: ええと、そのバッジがあれば、レベル40くらいまでのポケモンなら言うこと聞いてくれると思う。
map_0182#67	それに、バトル外で「いわくだき」も使えるようになるの。
map_0182#68	それと、ええと……
map_0182#69	あ、そうだ!
map_0182#70	はい、これ、受け取ってくれる?
map_0182#71	シェリー: それには「むしのていこう」が入ってて……
map_0182#72	攻撃にも防御にも使える、結構珍しいわざなの。
map_0182#73	ただ……その、お礼だと思って、
map_0182#74	あ、あれこれ、対処するの手伝ってくれたことの。
map_0182#75	シェリー: ええと……
map_0182#76	ジムのパズルを飛ばしますか?
map_0182#77	このジムのパズル、ひどいと思ってるの自分だけじゃないって言ってほしいよ。
map_0182#78	さくっとバッジもらえると思って来たんだけどな、むしタイプなんてそんな脅威じゃないだろって。
map_0182#79	でもだめだった、まずこの本棚迷路みたいなのを解かなきゃいけないらしい、人生ってそんなに単純にはできてないんだな。
map_0182#80	それに、これに何か理屈があるならまだましなんだけど、当然そんなものはない。
map_0182#81	全部の組み合わせ試したはずなのに、まだシェリーのところまでたどり着けないんだ。
map_0182#82	それに、ここの他の連中は全然役に立たない。
map_0182#83	ヒントをくれようとはしてるけど、どれも当たり前のことばっかりで、実際に先に進む役には立たないんだよな。
map_0182#84	っていうか、何で? 何でこんなことを、他は完璧なジムにやっちゃうんだよ?
map_0182#85	とにかく、もうしばらくここで詰まってて、パズルの答えに近づけてる気が全然しない。
map_0182#86	誰かに「nopuzzles」って言えばこれに対処しなくて済む、みたいな合言葉システムでもあればいいのに。
map_0182#87	でも、そんなの都合良すぎるよな?
map_0182#88	パズルを最初の状態にリセットしましょうか?
map_0182#89	すぐに。
map_0182#90	幸運を。
map_0182#91	ここにいる他のトレーナーたちも、ヒントをくれるかもしれません。
map_0182#92	はい
map_0182#93	いいえ
map_0183#0	きあいのタスキはこの区画にありそうなものだけど、上の階に移されたみたいだ。
map_0183#1	上の階のどこかに、もっとわざマシンがあったりしないかな?
map_0183#2	いやあ、ようやくこのパワーアイテム全部そろえたよ……
map_0183#3	でも、結構高かったよな?
map_0183#4	誰かに「powerpack」って言うだけで、このパワーアイテムをどっさりタダでくれたりしないかなあ!
map_0183#5	それって最高だと思わない?!
map_0183#6	はは、だよな……
map_0183#7	資本主義が自壊しちゃうよ……
