map_0193#106	ジャッキー: グミだーっ!!!
map_0200#9	頑丈すぎて、壊すことも動かすこともできないようだ……
map_0200#10	この岩の土台には、まだ何か価値のあるものが眠っているかもしれない。
map_0200#11	ばくはつのこなで開けますか?
map_0200#12	はい
map_0200#13	いいえ
map_0202#0	階のあいだに通路が開いた。上の階から溶岩が流れ落ちる!
map_0206#0	\PNはフィールド効果解説書08を手に入れた!
map_0206#1	スワンプフィールドの情報が見られるようになった!
map_0206#2	地面に何か光っている……
map_0206#3	それがカインのピアスの片方だと気づいた。
map_0206#4	汚染された水面に、ボートが浮かんでいる……いつでも出発できそうだ。
map_0206#5	乗りますか?
map_0206#6	アスター: おやおやおや、誰が来たかと思えば……
map_0206#7	エクリプス: よりによってあんたが来るとはね……
map_0206#8	こんな場所で、一体何やってるわけ?
map_0206#9	アスター: 決まってるじゃないっスか、友達を助けに来たんスよ!
map_0206#10	アスター: 決まってるじゃないっスか、友達を助けに来たんスよ!
map_0206#11	アスター: 決まってるじゃないっスか、友達を助けに来たんスよ!
map_0206#12	エクリプス: 修辞疑問文? アスター。
map_0206#13	聞いたことくらいあるでしょ?
map_0206#14	アスター: いや、それって任務の一部だったんスか?
map_0206#15	エクリプス: ……
map_0206#16	ねえ、気づかずにはいられないんだけど……
map_0206#17	これまであんたがあたしたちと対峙する時は、いつも友達が一緒だったよね。
map_0206#18	でも今は、ちょっとばかり数で負けてるみたいじゃない。
map_0206#19	アスター: 頭ふたつは、ひとつより手ごわいっスよ!
map_0206#20	エクリプス: 特にあんたの頭はね。
map_0206#21	命令ははっきりしてる――不法侵入者は許さない!
map_0206#22	ここは私有地、ってわけ。わかった?
map_0206#25	エクリプス: 残念。
map_0206#26	でも、ちょうどよかったかも。
map_0206#27	ここに大事なものを預かってくれって頼まれてるけど、そんなの、あからさまに置いとくわけないでしょ~
map_0206#28	アスター: そうそう、オレたちの研究所への秘密の通路なんて、絶対見つからないっスよ!
map_0206#29	エクリプス: ……アスター、
map_0206#30	一度でいい――人生で一度でいいから、
map_0206#31	お願いだから、黙っててくれない?
map_0206#32	本当に、心の底からお願いしてるんだけど。
map_0206#33	今、\PNに「ある」って教えちゃったじゃない。
map_0206#35	はぁ。
map_0206#36	あのさ、あたしだって、それなりに同情してるんだよ、本当に。
map_0206#37	先生が倒れたって話は聞いてる。
map_0206#38	こっちには至るところに目があるから、驚かないでよね。
map_0206#39	死にかけてるんでしょ?
map_0206#40	だいたい話はつながったし。
map_0206#41	正直言って、もう倒れてる相手を蹴飛ばすのは気が進まない。
map_0206#42	あたしの親父にもいろいろあるし、
map_0206#43	誰かがあいつを早く墓場に送ろうとしてたら、あたしだって黙って見てないよ。
map_0206#44	でも、チームメテオはあたしの同情になんて興味ないから。
map_0206#45	あたしはただの兵卒。
map_0206#46	アスター: ただの兵卒なんかじゃないっスよ、エクリプス!
map_0206#47	オレの相棒でもあるんスから!
map_0206#48	エクリプス: それはどうも、アスター。
map_0206#49	ちょっとだけ、時間もらえる?
map_0206#50	今は大人の話をしてるの。
map_0206#51	アスター: でも、オレも大人っスけど……
map_0206#52	エクリプス: 時々、疑わしくなる。
map_0206#53	とにかく、このバカがもうヒントを漏らしちゃったし。
map_0206#54	言いたいのはただ、無駄にしないでってこと。
map_0206#55	奥の左。
map_0206#56	あたしから聞いたことにはしないでね。
map_0206#57	じゃあね。
map_0206#60	どこにも行かない
map_0207#0	\PNはPULSEデータ06を手に入れた!
map_0207#1	PULSE図鑑が更新された!
map_0207#2	……来客か。
map_0207#3	……オーケー。
map_0207#5	……チリーンを持ってこい。
map_0207#6	……ダメだ。
map_0207#7	……チリーン。
map_0207#8	……チリン。
map_0207#9	……そう、それでいい。
map_0207#10	……何か捕まえた。
map_0207#11	……役に立たなかったから、地下に閉じ込めた。
map_0207#12	……チリーンだけが、役に立つ。
map_0207#13	……癒やす。
map_0207#14	……他には、何も、何も役に立たない。
map_0207#15	……ほら、地下を見てくるといい。
map_0208#0	タカ: うん、うん、バクーダの準備はできてるよ。
map_0208#1	もうすぐ出発できるから、いいね?
map_0208#2	タカ: あ、\PN。
map_0208#3	こんなところで会うとは思わなかったよ。
map_0208#4	オレたちにとっては、たぶんいい兆候じゃないね。
map_0208#5	カイン: \PN!
map_0208#6	オレはただの、囚われて苦しむ乙女さ!
map_0208#7	助けてくれ、愛しの王子様!
map_0208#8	タカ: 友達を迎えに来たってわけか?
map_0208#9	悪かったね。
map_0208#10	エースが、保管用にこいつをこっちに送らせたんだ。
map_0208#11	こいつと、あの荷物のせいで、ここがまるでただの物置みたいに見えるだろうな……
map_0208#12	タカ: それで、どうやってここを見つけたの?
map_0208#13	この島は本来、ポケモンを繁殖させて、地方の個体数を増やすためのものだったんだ。
map_0208#14	でもそれをオレたちが止めちゃったから、今はほとんど誰も来ない。
map_0208#15	この建物だって、ただの観測センターだったんだよ――
map_0208#16	まあ、オレたちが乗っ取る前はね。
map_0208#17	カイン: こいつら、ここからアポフィルへの攻撃を計画してるんだ!
map_0208#18	あのバクーダが鍵なんだよ!
map_0208#19	タカ: まあ……うん、そういう計画だね。
map_0208#20	知ってると思うけど、パイラス山はリボーンで最後の活火山なんだ。
map_0208#21	だから、PULSEを持ってあそこに行って、バクーダも連れてって……
map_0208#22	……あとは、たぶん想像がつくよね。
map_0208#23	それで文明の一角が地図から消えて、オレたちのやることリストからも消える。
map_0208#24	小さな町にすぎないかもしれないけど、だからこそいい見せしめになる。
map_0208#25	他の連中は、力を見せつけてメッセージを送ることばかり考えてる。
map_0208#26	力を見せつけると言えば……
map_0208#27	君、けっこう堂々とここに入ってきたよね……
map_0208#28	だから……まあ、それはそれで問題だ。
map_0208#30	タカ: ま、やるだけやったよ。
map_0208#31	今回は、君を見逃すしかなさそうだね。
map_0208#32	チームメテオ、撤退準備!
map_0208#33	そのバクーダを連れて行け。
map_0208#34	あとは、\PNが邪魔しに来ないことを祈るしかないかな。
