map_0858#527	ユースタス: バカげている。
map_0858#578	無傷でいられるほど頑丈だったとしても、爆発の瞬間にそこにあったのなら、すすや汚れが付いていておかしくないはずです！
map_0858#579	これは最初の破壊の後、どこかの時点で機関部に置かれたに違いありません！
map_0858#580	ユースタス: 当然だな。
map_0858#581	バスラオでもそれくらい推理できるだろう。
map_0858#582	チーフ: 静かに、坊や。
map_0858#583	話しかけられたときだけ話しなさい。
map_0858#584	ユースタス: そして私が話したいときにも、な。
map_0858#585	チーフ: 警官、捜索で何か見つかりましたか？
map_0858#586	警官: いいえ、何も！
map_0858#587	主要容疑者六人を徹底的に捜索しましたが、青の秘宝の痕跡はありませんでした！
map_0858#588	クラウドバリー: それに、その過程で少なくとも八つのプライバシー法を犯したわね！
map_0858#589	若いの、この私にボディタッチせずにはいられなかったんでしょう？
map_0858#590	責めるつもりはないけど、これから先、あんたの汚らしい手を私に近づけてほしくないわね！
map_0858#591	警官: 少しも楽しんでなどいませんよ、お嬢様。
map_0858#592	失礼ながら、あなたにもう一度触れるくらいなら、トルマリン砂漠をスプーン一杯ずつ全部食べたほうがマシです。
map_0858#593	クラウドバリー: この口の悪い蛮族が！
map_0858#594	街に戻ったら、あんたを徹底的に訴えてやる！
map_0858#595	自分の母親の臭い穴から這い出てきた日を後悔させてやるわ、それと――
map_0858#596	チーフ: お嬢様。
map_0858#597	もう一言でも発したら、私自らこの列車からあなたを放り出して、砂漠に置き去りにしますよ。
map_0858#598	チーフ: 赤の秘宝は、盗まれた場所とは反対側で見つかりました。
map_0858#599	青の秘宝はまだ行方不明です。
map_0858#600	疑いが芽生えてきました……
map_0858#601	だがその前に、\PN……
map_0858#602	あなたの捜査結果を聞かせてください。
map_0858#603	容疑者全員と話したはずですね。
map_0858#604	では、ここで最も怪しいと思う人物と話してください。
map_0858#605	チーフ: 単純に、最も怪しいと思う人物と話してください。そこから進めましょう。
map_0858#606	誰でも構いませんよね？
map_0858#607	チーフ: さあ――容疑者の誰かと話してください。
map_0858#608	最も怪しいと思う相手なら誰でも。
map_0858#609	チーフ: あなた……私にばかり話しかけますね。
map_0858#610	まさか……
map_0858#611	もしかして、この私を怪しいと思っているのですか？
map_0858#612	チーフ: おやおや。
map_0858#613	その通りです、若きチャンピオン、あらゆる人とあらゆる物を疑うのは正しい姿勢です！
map_0858#614	決めつけをしないこと！
map_0858#615	当たり前だと思わないこと！
map_0858#616	これこそが真に鋭い探偵の証です！
map_0858#617	ですが残念ながら、今回はその機知も報われないでしょう。
map_0858#618	警官！
map_0858#619	被疑者の身体検査をお願いします。
map_0858#620	警官: そ、それはつまり……あなたのことですか？
map_0858#621	チーフ: その通り！
map_0858#622	青の秘宝はまだ見つかっていません！
map_0858#623	もし私が犯人なら、私自身が持っているはずでしょう？
map_0858#624	警官: 何もありません、閣下！
map_0858#625	チーフ: ほら、私であるはずがないでしょう！
map_0858#626	もし私だとしたら、一体どこに青の秘宝を隠せたというのです？！
map_0858#627	それに答えられるまで、単純に――
map_0858#628	チーフ: ……
map_0858#629	ジュリア: あの、\PN？
map_0858#630	なんであんたのバッグから水が出てるの？
map_0858#631	クラウドバリー: フンッ。最近の若者は水の保存方法すら知らないのね。
map_0858#632	サンディ: \PN、バッグを確認して！
map_0858#633	チーフ: ハハッ！
map_0858#634	もちろん違いますよ！
map_0858#635	そんなの、あまりにばかげていますからね、
map_0858#636	でもいいジョークです、\PN！
map_0858#637	さすがチャンピオン、上質なユーモアだ。
map_0858#638	チーフ: 静粛に！ 静粛にと言っているんです！
map_0858#639	これは正当な手続きではありません！
map_0858#640	全員、動きを止めてください！
map_0858#641	被疑者を拘束します。そして――
map_0858#642	チーフ: 若きチャンピオン、あなたはバッグを確認すべきだと思いますよ。
map_0858#643	探していたものが入っているかもしれません……
map_0858#644	チーフ: ……よりによって、なぜ今……
map_0858#645	チーフ: まさか！
map_0858#646	青の秘宝はずっとあなたのバッグの中に？！
map_0858#647	どうしてこんなことに？
map_0858#648	さあ早く、こちらに渡してください。これでセットが揃います！
map_0858#649	\PNは青の秘宝を差し出した。
map_0858#650	ユースタス: 警官、秘宝の管理人がずっと持っていたのに、私たちは窃盗の容疑をかけられていたと、そう言いたいのか？
map_0858#651	よくもこれだけ私たちの時間と労力を無駄にしてくれたな！？
map_0858#652	私たちの中には行く場所がある者もいるのだぞ！
map_0858#653	ジョン: お前には行く場所などなかっただろう、坊や――我々は皆この列車に閉じ込められているのだ。
map_0858#654	アーチャー: 失礼だが、何かがおかしい。
map_0858#655	そもそも\PNは、何の目的でそれを持っていたんだ？
map_0858#656	この一件の最終目的は何だったんだ？
map_0858#657	マクスウェル: 待てよ、なんで\PNが秘宝を持ってたんだ？
map_0858#658	これ全部、一体何のためだったんだ？
map_0858#659	チーフ: それについては、私なりの推理がありますよ……
map_0858#660	考えてみましょう、\PNは信頼されて秘宝の護衛を任されましたが、正式な管理権は与えられていませんでした。
map_0858#661	明かりが消えた後、\PNは秘宝が盗まれたと報告しに機関部までやってきました。
map_0858#662	私は調査のために離れました……そして後に赤の秘宝が機関室で見つかったのです！
map_0858#663	コンダクター！
map_0858#664	私が部屋を離れた後、\PNが赤の秘宝を瓦礫の中に安全にしまい込む機会はありましたか？
map_0858#665	もしかすると、ほんの一瞬、目を離した瞬間があったのでは……
map_0858#666	コンダクター: えっと、その……わかりません。
map_0858#667	ないと思いますが？
map_0858#668	見つかった区画は前方から塞がれていたので、それは難しかったと思います。
map_0858#669	チーフ: しかし、\PNがそこに隠せなかったと100パーセント断言できますか？
map_0858#670	100パーセントですよ、コンダクター！ 1パーセントも欠けることなく！
map_0858#671	コンダクター: そこまでは……断言できないかもしれません？
map_0858#672	チーフ: そら、ご覧なさい！
map_0858#673	\PNは最初から秘宝を盗む計画を立てていたに違いありません！
map_0858#674	無実の者に罪をなすりつけて、後で回収しに戻る……
map_0858#675	青の秘宝を隠す機会がなかったのは、単なる運の良さです！
map_0858#676	もしかすると、これは予想できたことかもしれません……
map_0858#677	いつも勝つことに慣れているチャンピオンには――
map_0858#678	存在するものすべてを、ただそこにあるという理由だけで手に入れることに慣れている者には……
map_0858#679	そのような人物が特権意識の犠牲になるのは、悲劇ではあっても理解できることです……
map_0858#680	ジュリア: ちょっと待って、あんたの話、筋が通ってないよ！
map_0858#681	明かりが消えたときに\PNが秘宝を盗んだって言うけど、列車の反対側の端にいたのに、どうやって明かりを消せたっていうの？！
map_0858#682	アーチャー: ……ひとつ考えがある。
map_0858#683	お前自身が我々の仮定の会話の中で言っていた通りだ――一人が明かりを消し、もう一人が秘宝を盗む。
map_0858#684	実に単純だな。
map_0858#685	マクスウェル: ……こんなことしたくねえんだが……
map_0858#686	お前、コンダクターの気をそらして明かりを消す時間を稼ぎ、他の誰かに盗む機会をカバーできるって言ってなかったか？
map_0858#687	ジュリア: あんた！
map_0858#688	よくもそんな！
map_0858#689	あんたにキスしてあげようとしてたのに！
map_0858#690	あれは二人だけの、あくまで仮定の話だったのに！！！
map_0858#691	アーチャー: 落ち着いてくれ。
map_0858#692	お前を責めているわけではない。
map_0858#693	ただ、\PNに共犯者がいる可能性があると言っているだけだ。
map_0858#694	マクスウェル: なあ、お前がやったって言ってるわけじゃねえよ。
map_0858#695	ただ、\PNに共犯者がいる可能性があるって言ってるだけだ。
map_0858#696	チーフ: もっともな指摘ですね。それが疑問を生みます。一体どうやって明かりが消えたのでしょう？
map_0858#697	手動で切られたのか？ それとも強制的に切断されたのか？
map_0858#698	コンダクター？
map_0858#699	コンダクター: スイッチが切られたとは思えません――
map_0858#700	少なくとも私の知る限り、その時あの場所には他に誰もいませんでした。
map_0858#701	チーフ: 念のため、私自身の目で確かめたいと思います。
map_0858#702	ユースタス: お前たち全員、脳みそにナマコブシに吐きかけられでもしたのか、それとも生まれつきそこまで愚かなのか？
map_0858#703	\PNは、もともと護衛を任されていたものを盗むのに、共犯者など必要としないだろう。
map_0858#704	実際、明かりを消す必要すら、そもそもなかったはずだ。
map_0858#705	それはむしろ余計な注目を集めるだけだ。
map_0858#706	ジョン: それは「もっともらしい否認」というものだ。
map_0858#707	クラウドバリー: この私に「もっともらしい否認」なんて語らないでちょうだい！
map_0858#708	もっともらしい否認とやらこそ、私のあの呪われた雇い主どもが気にかけていることのすべてなのよ！
map_0858#709	「法を犯さずにどれだけプラスチック廃棄物を捨てられるか」だの、「あのオフショア税務口座」だの――
map_0858#710	「方針を変えろ」とただ言うだけ、この惨めな街の誰かが老いた女の知恵に耳を傾けるとでも思ってるみたいに！？
map_0858#711	サンディ: 何が知恵よ！？
map_0858#712	雇い主がもっとお金を稼げるように、環境を壊しやすくしたいってだけでしょ！？
map_0858#713	それであんた自身は何を得るっていうの！？
map_0858#714	クラウドバリー: よくもそんな口の利き方を、この泣き虫のネズミが！
map_0858#715	あんたみたいなのはよく知ってるわ。
map_0858#716	一瞬でも息をつこうものなら、あんたはあの忌々しい道徳とやらを、私の吐き気反射が起きるまで喉に押し込んでくるんでしょう。
map_0858#717	アーチャー: 頼むから、その話はやめてくれ。
map_0858#718	マクスウェル: あんた、吐き気反射なんて言葉を一番聞きたくない相手なんだけどな。
map_0858#719	クラウドバリー: それ、どういう意味かしら？
map_0858#720	ユースタス: コストを最小化するのは単なる健全なビジネス感覚だ。
map_0858#721	後始末は他の連中に任せればいい。
map_0858#722	ジュリア: ねえ、みんな？
map_0858#723	サンディ: その無頓着さが、たった数十年で取り返しのつかない被害になるんだよ！
map_0858#724	ユースタス: 誰かが直すだろう。
map_0858#725	クラウドバリー: 言っておくけど、若いの、私の若い頃は庭で一番求められる花だったのよ！
map_0858#726	ユースタス: 単なる下働きで満足する者たちが、いつも本当の問題を片付けてくれる。その間に、それを超える知性を持つ者たちが利益を得るのだ。
map_0858#727	サンディ: そんなの許されない！
map_0858#728	ジョン: 野放図な破壊には、必ず代償が伴う。
map_0858#729	ジュリア: みんな！
map_0858#730	クラウドバリー: ここからジョウトまで、あらゆる男が小さなクラウドバリーの一部を求めて列をなしてたのよ！
map_0858#731	アーチャー: 頼むから本当にやめてくれ。
map_0858#732	マクスウェル: マジでもうやめたほうがいいぞ。
map_0858#733	ユースタス: 私が企業の頂点に上り詰めたとき、見ているがいい！
map_0858#734	サンディ: たとえ道徳的義務があんたにとって何の意味もなくても、私たち自身の生活が依存している環境を守ることは絶対に大事なの！
map_0858#735	クラウドバリー: そして、私がどんな騒ぎにも見合う価値があったって、しっかり信じてもらわないと！
map_0858#736	あんたたちひよっこには、まだまだ手の届かないテクニックがあるんだから――
map_0858#737	ジュリア: みんな！！！！
map_0858#738	ジュリア: ……はあ、こんなに効くってわかってたら、もっと早くカプスロックオンにして、みんなのトラウマを防いであげたのに。
map_0858#739	クラウドバリー: 注目を集めて維持するにはこれが一番なのよ、あなた――私が保証するわ。
map_0858#740	ジュリア: もういいや！
map_0858#741	それより――みんな！！！
map_0858#742	チーフはどこに行ったの？！
map_0858#743	警官: 救援列車が到着しました！
map_0858#744	乗客をリボーンシティへ避難させることができます！
map_0858#745	警官: チーフが消えました！
map_0858#746	代わりに機関車の車両に巨大なポータルがあります！
map_0858#747	警官: リボーンシティから緊急連絡です！
map_0858#748	警察のチーフは、自宅のバスルームで縛られ、服を脱がされた状態で発見されました！
map_0858#749	サンディ: え？！
map_0858#750	警察のチーフは、わざわざポータルを使ってリボーンシティに戻って、自分のバスルームで裸になって緊縛の練習をしてたってこと？！？！
map_0858#751	警官: 違います、お嬢様！ この列車に乗っていたチーフは偽者だったんです！
map_0858#752	ジュリア: 今度は誰が電気を消したの！？
map_0858#753	コンダクター: 予備電源が切れかけているのかもしれません……少々お待ちを……
map_0858#754	サンディ: 青の秘宝、ずっと\PNのリュックの中にあったの！？
map_0858#755	クラウドバリー: フンーーーッ。あんな汚らしいのが、あのろくでなしの泥棒だってのは見抜いておくべきだったわね！
map_0858#756	ユースタス: 本当に、もっとましな隠し場所は思いつかなかったのか？
map_0858#757	チーフ: 待ってください、その秘宝は本物ではないかもしれません。
map_0858#758	確認させてください……
map_0858#759	チーフは青の秘宝を奪い取った！
map_0858#760	チーフ: では――さようなら。
map_0858#761	サンディ: え――今、あんたの手からひったくって、そのまま行っちゃったの？！
map_0858#762	そんなの安っぽすぎ！ どうしてこんなことになるの！？
map_0858#763	なんて手抜きな展開なの！
map_0858#764	ジュリア: 早く、追いかけて！
map_0858#765	チーフ: ここで何が起きているんです？！
map_0858#766	クラウドバリー: \PNが、自分こそが嘘つきで汚らわしい詐欺師だってことを、自ら暴露したのよ！
map_0858#767	ジョン: 青の秘宝は、ずっと奴のバッグの中にあった……
map_0858#768	ユースタス: 予想通りの、実にありきたりな手だな。
map_0858#769	さあ！ この悪行を、力ずくで止めてやろう！
map_0858#770	立派な市民たる我々が、皆のために、お前の汚れた手から青の秘宝を取り戻すのだ！
map_0858#771	フーパ: ハァァ！！！
map_0858#772	チーフ: これは何だ？ なぜ――
map_0858#773	クラウドバリー: このネズミが本性を現したわ、犯罪の仲間だったのね！！
map_0858#774	ユースタス: では援軍を呼んだというわけか。
map_0858#775	それならそれで構わない！ お前が正義と道理を嘲笑わせないよう、我々が力を合わせて戦おう。
map_0858#776	ジョン: 邪魔をするつもりか、坊主。
map_0858#777	ユースタス: 目上の者に話す口調には気をつけろよ、下働き。
map_0858#778	ユースタス: 呪われてしまえ、黒ローブ。
map_0858#779	貴様の無能さは、共に戦う者すべてにとっての疫病神だ。
map_0858#780	ジョン: 小僧にそんなことを言う資格はない。
map_0858#781	チーフ: 今すぐ全部やめなさい！
map_0858#782	ジュリア: みんな今戦ってるんだよね？！
map_0858#783	あたしも参加したい！
map_0858#784	ジュリア: アーチ、あなたも手伝って！
map_0858#785	アーチャー: これをやるというなら……
map_0858#786	その前に被疑者本人の言い分を聞くべきだと――
map_0858#787	ジュリア: 総攻撃！！！！！！
map_0858#789	アーチャー: それは絶対にしないと約束したはずでは？
map_0858#790	ジュリア: マックス、あなたも手伝って！
map_0858#791	マクスウェル: その呼び方、久しぶりに聞いたな。
map_0858#792	まあいいさ。
map_0858#793	\PN、これは栄光をかけた戦いだ！
map_0858#794	マクスウェル: ベイビー、勘弁してくれ。
map_0858#795	クラウドバリー: 弱虫どもが。
map_0858#796	ジュリア: いやーーーーーーーーーーー……
map_0858#797	チーフ: 動きを止めろ！
map_0858#798	クラウドバリー: このクラウドバリー様が、泣き虫のひよっこどもにやり方を見せてやるわ。
map_0858#799	あんた！！！
map_0858#800	サンディ: え、あたし……？
map_0858#801	クラウドバリー: そう、あんたよ。
map_0858#802	その耳障りな声と、ボサボサの髪の。
map_0858#803	サンディ: 髪のことまで持ち出す！？
map_0858#804	チーフ: 「動きを止めろ」と言ったんです！
map_0858#805	クラウドバリー: 前に出てきなさい、さもないと家畜みたいに焼き印を押すわよ。
map_0858#806	サンディ: ちょっとまってあたし別にそんなつもりじゃ――
map_0858#807	クラウドバリー: ヤァグブラールラルガー！！！
map_0858#808	サンディ: 助けて、あたし全然この人の味方になりたかったわけじゃないの。何をやらかしてこんな目に遭ってるのかわからないけどごめんなさい、償えることは何でもするから早くこの人から離して――泡吹いてる気がする！！！
map_0858#809	クラウドバリー: ラアァングジョルグルグナル
map_0858#810	サンディ: 助けて、小学生の火山実験みたいに泡だらけになってる――このままだと狂犬病がうつって死んじゃう！？！？！
map_0858#811	チーフ: 静粛に！
map_0858#812	なくなっていたはずの品が現れたからといって、みんなでいちいち飛びついてはいけません！
map_0858#813	チーフ: \PN、青の秘宝を渡してください。
map_0858#814	ここから先は私が引き取って解決します！
map_0858#815	チーフ: ありがとうございます、
map_0858#816	では、私はこれで失礼します。
map_0858#817	サンディ: 待って待って、え？！
map_0858#818	ジョン: あの生き物は、今度は一体どこへ消えたんだ？
map_0858#819	奴は機関部の残骸から赤の秘宝を取り出し、フーパのポータルの一つを通って逃げていった！
map_0858#820	コンダクター: 急いでください――予備電源はもう長く持ちません！
map_0858#821	あなたはチーフを追ってください――
map_0858#822	いや、泥棒を、という意味です！
map_0858#823	私たちはここに残って、乗客全員を安全な場所へ避難させます！
map_0858#824	コンダクター: 私たちはここに残って、乗客全員を安全な場所へ避難させます！
map_0858#826	見て！ \PNが青の秘宝を持ってる！
map_0858#827	え、\PNが青の秘宝を盗んだの？！
map_0858#828	だから言ったでしょ、\PNはろくでもない、腐りきったコソ泥――
map_0858#829	静かに！！！
map_0858#832	動機
map_0858#833	アリバイ
map_0858#834	その他
map_0858#835	居場所
map_0858#836	状況
map_0858#837	事件
map_0858#838	秘宝
map_0858#839	監視
map_0858#840	容疑者
map_0858#841	捜査終了
