22b_field_notes#635	...攻撃側が 地上に いる とき
22b_field_notes#670	とける、おたけび、つるぎのまい
22b_field_notes#671	アシッドポイズンデリート、ダストシュート、オクタンほう、ヘドロこうげき、ヘドロばくだん、ヘドロウェーブは ランダムな 状態異常に する。ただし 対象が どく・はがねタイプ、または つぎの とくせいの ときを 除く: めんえき、ポイズンヒール、どくぼうそう
22b_field_notes#672	アシッドボム、あわ、バブルこうせん、クリアスモッグ、スモッグ、うたかたのアリア
22b_field_notes#673	ようかいえき、アシッドボム、しおみず、どろばくだん、マッドショット、どろかけ、うちおとす、サウザンウェーブ
22b_field_notes#674	ようかいえき、アシッドボム、くさむすび
22b_field_notes#675	アクロバット、ほのおのまい、ほのおのムチ、であいがしら、そらをとぶ、はなびらのまい、パワーウィップ、めざめるダンス、つるのムチ
22b_field_notes#676	エアロブラスト、オーロラビーム、あおいほのお、らいげき、ワールズエンドフォール、コアパニッシャー、にぎりつぶす、マジカルシャイン、ダイヤストーム、ガリョウテンセイ、だいちのちから、ふんか、ラスターカノン、フルールカノン、フリーズボルト、クロスサンダー、クロスフレイム、オリジンズスーパーノヴァ、こごえるせかい、コールドフレア、さばきのつぶて、グランドフォース、てんこがすめつぼうのひかり、ラスターパージ、マグマストーム、ムーンライトブラスター、ビックリヘッド、ミラーショット、ミストボール、シャドーレイ、マルチアタック、デスウイング、こんげんのはどう、フォトンゲイザー、プラズマフィスト、パワージェム、だんがいのつるぎ、プリズムレーザー、サイコブースト、サイコブレイク、いにしえのうた、ときのほうこう、せいなるほのお、せいなるつるぎ、かえんだん、サンシャインスマッシャー、しんぴのつるぎ、シードフレア、シャドーダイブ、シグナルビーム、しちせいだっこんたい、シャドースチール、スチームバースト、メテオドライブ、テクノバスター、サウザンアロー、サウザンウェーブ、Vジェネレート
22b_field_notes#677	エアロブラスト、にぎりつぶす、ダイヤストーム、はめつのねがい、ガリョウテンセイ、フルールカノン、オリジンズスーパーノヴァ、いじげんホール、グランドフォース、ラスターパージ、ムーンライトブラスター、ミストボール、シャドーレイ、こんげんのはどう、だんがいのつるぎ、プリズムレーザー、サイコブースト、サイコブレイク、いにしえのうた、ときのほうこう、サンシャインスマッシャー、しんぴのつるぎ、あくうせつだん、メテオドライブ、Vジェネレート
22b_field_notes#678	エアスラッシュ、げんしのちから、フルールカノン、リーフブレード、マジカルリーフ、ムーンライトブラスター、シャドーレイ、マジカルフレイム、つじぎり、わだつみのシンフォニア、サイコカッター、いにしえのうた、スマートホーン、ソーラーブレード、うたかたのアリア
22b_field_notes#679	かくとうの 物理わざ すべて、ブレイズキック、のしかかり、とびはねる、ぶんまわす、じならし、ワールズエンドフォール、クラブハンマー、ドラゴンハンマー、ドラゴンダイブ、ダブルチョップ、じしん、ギガインパクト、ヒートスタンプ、ヘビーボンバー、10まんばりき、アイスハンマー、つららおとし、アイアンテール、マグニチュード、コメットパンチ、はたく、フリーフォール、たたきつける、うちおとす、ふみつけ、じだんだ、かいりき、ウッドハンマー
22b_field_notes#680	ひこうの 特殊わざ すべてと ほのおのうず、グラスミキサー、かまいたち、たつまき、うずしおは 灰を 巻き上げ 場の 全ポケモンの 命中率を 下げる
22b_field_notes#681	ひこうの 特殊わざ すべて、あわ、バブルこうせん、エナジーボール、うたかたのアリア
22b_field_notes#682	味方は 味方の わざの ダメージを 受けない
22b_field_notes#683	アンカーショット
22b_field_notes#684	げんしのちから、ブラックホールイクリプス、れんぞくパンチ、りゅうせいぐん、みらいよち、いじげんラッシュ、いじげんホール、コメットパンチ、ムーンフォース、あくうせつだん、スピードスター、しんくうは
22b_field_notes#685	げんしのちから、ワールズエンドフォール、ねこだまし、フェイント、だましうち、であいがしら、サイコキネシス、ひみつのちから、かげうち、マキシマムサイブレイカー、スマートホーン、かいりき、ふいうち
22b_field_notes#686	げんしのちから、ワールズエンドフォール、サイコキネシス、ひみつのちから、マキシマムサイブレイカー、かいりき
22b_field_notes#687	げんしのちから、ダイヤストーム、さばきのつぶて、マルチアタック、パワージェム、ロッククライム、いわくだき、がんせきふうじ、かいりき
22b_field_notes#688	げんしのちから、しんそく、さばきのつぶて、マジカルリーフ、マジカルフレイム、おんがえし、せいなるほのお、せいなるつるぎ
22b_field_notes#689	きけんよちは 場に 出た とき とくこうを 2段階 上げる
22b_field_notes#690	自分が トーチカ状態に なる
22b_field_notes#691	自分が きあいだめ状態に なる
22b_field_notes#692	自分が キングシールド状態に なる
22b_field_notes#693	自分が ニードルガード状態に なる
22b_field_notes#694	げきりん、はなびらのまい、あばれるに 適用
22b_field_notes#695	アロマミスト、コスモパワー
22b_field_notes#696	段階3以降 あまいかおりは ぼうぎょと とくぼうも 下げる。あまいかおりの 効果は 段階(4,5)で (2倍,3倍)に なる。
22b_field_notes#697	こうげきしれい、いあいぎり、エレキネット
22b_field_notes#698	はどうだん、マジカルシャイン、はめつのねがい、ようせいのかぜ、こごえるかぜ、マジカルリーフ、ミストボール、ムーンフォース、シャドーレイ、マジカルフレイム、ぎんいろのかぜ、スチームバースト
22b_field_notes#699	はどうだん、きあいだま、アシストパワー、しねんのずつき
22b_field_notes#700	はどうだん、たたりめ、マジカルリーフ、ビックリヘッド、ムーンフォース、マジカルフレイム
22b_field_notes#701	オーロラビーム、あくのはどう、マジカルシャイン、ダイヤストーム、はめつのねがい、ラスターカノン、ラスターパージ、ムーンライトブラスター、ミラーショット、シャドーレイ、ナイトバースト、つじぎり、フォトンゲイザー、パワージェム、シャドーボール、シャドーボーン、シャドークロー、シャドーダイブ、シャドーパンチ、かげうち、シグナルビーム、テクノバスター
22b_field_notes#702	オーロラビーム、マジカルシャイン、はめつのねがい、ラスターカノン、ラスターパージ、ムーンライトブラスター、ミラーショット、シャドーレイ、フォトンゲイザー、シグナルビーム、テクノバスター
22b_field_notes#703	オーロラビーム、マジカルシャイン、りゅうのはどう、ほのおのちかい、フルールカノン、くさのちかい、ハートスタンプ、めざめるパワー、さばきのつぶて、ミストボール、ムーンフォース、マジカルフレイム、わだつみのシンフォニア、プリズムレーザー、いにしえのうた、せいなるほのお、ひみつのちから、ぎんいろのかぜ、ソーラービーム、ソーラーブレード、うたかたのアリア、トライアタック、ラブリースターインパクト、みずのちかい、ウェザーボール、しねんのずつき
22b_field_notes#704	オーロラビーム、マジカルシャイン、ラスターカノン、ラスターパージ、ミラーショット、ムーンフォース、フォトンゲイザー、シグナルビーム、ソーラービーム、テクノバスター
22b_field_notes#705	ボディパージ、てっぺき、きんぞくおん、ギアチェンジ
22b_field_notes#706	ゆきなだれ、ともえなげ、ふんか、ようせいのかぜ、ハイパーボイス、こごえるかぜ、あやしいかぜ、かまいたち、ぎんいろのかぜ、やまあらし、かみなり、たつまき、あてみなげ
22b_field_notes#707	ゆきなだれ、ともえなげ、ようせいのかぜ、こごえるせかい、ハイパーボイス、あやしいかぜ、こなゆき、かまいたち、ぎんいろのかぜ、やまあらし、たつまき、あてみなげ
22b_field_notes#708	カブトアーマー、かがくのちから、シェルアーマーは 場に 出た とき ぼうぎょを 上げる
22b_field_notes#709	ブラックホールイクリプス、れんぞくパンチ、りゅうせいぐん、いじげんラッシュ、いじげんホール、ムーンライトブラスター、コメットパンチ、シャドーレイ、サンシャインスマッシャー、あくうせつだん、メテオドライブ、スピードスター
22b_field_notes#710	ブラックホールイクリプス、プリズムレーザー
22b_field_notes#711	もうか、ねつぼうそう、もらいび
22b_field_notes#712	ふぶき、こごえるせかい、レイジングジオフリーズ
22b_field_notes#713	ブルームシャインエクストラ、フラワーガード、せいちょう、ねをはる、あまごい、たがやす、にほんばれ、みずあそび
さらに つぎの とくせいは 場に 出た とき フィールドを 1段階 成長させる: あめふらし、ひでり、フラワーギフト、フラワーベール
22b_field_notes#714	こうげきと とくこうを 上げ 両方の 場に ステルスロックを まく
22b_field_notes#715	こうげきと とくこうを 上げるが 自分は もうどく状態に なる
22b_field_notes#716	こうげきを 上げ 自分が てだすけ状態に なる
22b_field_notes#717	こうげきを 2段階 上げるが 命中率が 下がる
22b_field_notes#718	こうげき・とくこう・すばやさを 上げるが 自分が ほのおのうず状態に なる
22b_field_notes#719	ぼうぎょと とくぼうを 上げ 自分が ねをはる状態に なる
22b_field_notes#720	ぼうぎょを 上げ 自分が ねをはる状態に なる
22b_field_notes#721	ぼうぎょを 上げ 自分が トラップシェル状態に なる
22b_field_notes#722	ぼうぎょを 上げ 自分を ???タイプに する
22b_field_notes#723	ぼうぎょを 2段階 上げるが 自分は ステルスロックの ダメージを 受ける
22b_field_notes#724	ぼうぎょ・とくぼう・すばやさを 上げるが 自分が すなじごく状態に なる
22b_field_notes#725	ぼうぎょを 上げるが 自分は ステルスロックの ダメージを 受ける
22b_field_notes#726	回避率を 上げ 自分が マジックコート状態に なる
22b_field_notes#727	とくこうを 上げ 自分に もらいびの 威力上昇が かかる
22b_field_notes#728	とくこうを 上げ 自分が とぎすます状態に なる
22b_field_notes#729	とくこうを 上げ 自分が マジックコート状態に なる
22b_field_notes#730	とくこうを 上げ 自分が ねがいごと状態に なる
22b_field_notes#731	とくこうを 2段階 上げるが 自分は こんらん状態に なる
22b_field_notes#732	とくこうを 2段階 上げるが 命中率が 下がる
22b_field_notes#733	とくぼうを 上げ 自分が アクアリング状態に なる
22b_field_notes#734	とくぼうを 上げ 自分が ねをはる状態に なり フィールドが 1段階 成長する
22b_field_notes#735	とくぼうを 上げ 自分が マジックコート状態に なる
22b_field_notes#736	とくぼうを 上げ 自分が でんじふゆう状態に なる
22b_field_notes#737	とくぼうを 上げ 自分が ねがいごと状態に なる
22b_field_notes#738	すばやさを 上げ アクアリング状態に なるが 自分は どく状態に なる
22b_field_notes#739	すばやさを 上げ 自分が じゅうでん状態に なる
22b_field_notes#740	すばやさを 上げ 自分が みずびたし状態に なる
22b_field_notes#741	すばやさを 2段階 上げるが 自分は まきびしの ダメージを 受ける
22b_field_notes#742	すべての 能力を 上げるが 自分は 反動で 動けなく なる
22b_field_notes#743	ひかりのこなと のんきのおこうは 場に 出た とき 回避率を 上げる
22b_field_notes#744	しおみず、ダストシュート、スーパーアクアトルネード、どろばくだん、マッドショット、どろかけ、だくりゅう、ヘドロウェーブ、うちおとす、なみのり、サウザンアロー
22b_field_notes#745	バブルこうせん、チャージビーム、フルールカノン、はかいこうせん、れいとうビーム、シャドーレイ、こんげんのはどう、サイケこうせん、ソーラービーム、トライアタックは 回避率が 上がった 対象に 当てると 威力が 上がる
22b_field_notes#746	むしわざは 段階(2,4)で 威力(1.5倍,2倍)に なる
22b_field_notes#747	じならし、じしん、マグニチュード
22b_field_notes#748	じならし、じしん、マグニチュード、だくりゅう、なみのり
22b_field_notes#749	じならし、じしん、マグニチュード、ロッククライム、かいりき
22b_field_notes#750	もえつきる、あなをほる、ねっぷう、ニードルアーム、ミサイルばり、すなじごく、サンシャインスマッシャー、ソーラービーム、ソーラーブレード、サウザンウェーブ
22b_field_notes#751	めいそう、コスモパワー、スプーンまげ、ヨガのポーズ、わるだくみ
22b_field_notes#752	めいそう、スプーンまげ、ヨガのポーズ、すなかけ
22b_field_notes#753	めいそう、わるだくみ
22b_field_notes#754	ほごしょくと ぎたいは ほのお、みず、くさ、エスパーの 順に くり返して タイプを 選ぶ
