map_0000#521	本作業は必要であり、この話者は十分に機能している。
map_0000#555	セラ: ごめんなさい。
map_0000#556	彼が、何ですって?
map_0000#557	サーナイト: 最近の動きを見る限り、彼はチームメテオの下でこの地方を壊す手伝いをしているようです!
map_0000#558	セラ: 彼が――
map_0000#559	……サーナイト、ベネットのところに連れていって。
map_0000#560	サーナイト: ああ、そのうちに。でもまずはインタビューを終わらせません?
map_0000#561	セラ: サーナイト。
map_0000#562	ベネットのところに連れていって。
map_0000#563	サーナイト: ……分かりました、奥様。
map_0000#564	さあ今日は、リボーンで最も人気のあるトレーナーのおひとり、アマリア・フィオーレさんの自宅兼ジムにお邪魔しています!
map_0000#565	残念ながら、そして今回の中継にとって驚きの展開なのですが、アマリアさんはただいまコメントをいただける状態にありません……
map_0000#566	……というのも、まさに戦闘の準備中でいらっしゃるからです!
map_0000#567	このはつらつとした美女の人生には色々なことがありましたが、幸いにも、あなたの一番の味方、ゴシップサーナイトが最新情報をお届けします。
map_0000#568	あるちょっと怪しい自業自得の事故のあと、フィオーレさんには教科書どおりの逆行性健忘の症状が現れました。
map_0000#569	そのため、大切な人たちとの出来事も含め、最近起きたことをすべて忘れてしまっているのです。
map_0000#570	本日行われる戦いは、挑戦者との対戦ではなく、彼女とリボーンリーグの代表者との一戦。
map_0000#571	この状態でもリーダーの座を保てるかどうかを見極めるためのものです!
map_0000#572	今日のアマリアさんにとって、すべてがかかっています! もし記憶と一緒に戦闘の腕まで失っていたとしたら、あっという間に職を失うことになりかねません!
map_0000#573	それでは早速、戦場の様子を見てみましょう!
map_0000#574	あら、何も起きていない? まだ始まっていないのでしょうか?
map_0000#575	……もう終わったって、どういうことですか!?
map_0000#576	まだ紹介の途中だったのに! 一体どんな戦いだったんですか?!
map_0000#577	あ……そ、そうですか。
map_0000#578	さて、皆さん、
map_0000#579	いつものことながら意外でもあり、予想どおりでもある展開ですが、
map_0000#580	わたしが戦いの前置きをしている間に、アマリアさんはすでに相手を6-0の完封で下していました!
map_0000#581	さすが水の女性、すべてを失ってもその才能だけはしっかりつかんで離さないというわけですね!
map_0000#582	そしてそれこそが、彼女がリボーン屈指の有名ジムリーダーである理由に他なりません!
map_0000#583	今日はジュリア・ワイルドさんと、こぢんまりしたカフェでランチをご一緒しながら、話を聞かせていただきます。
map_0000#584	さあ、いらっしゃいました――
map_0000#585	ドアを抜けて颯爽と歩いてくるその足取りには自信があふれ、サフラン色のセーラー服が満開です。
map_0000#586	サングラスをこれ見よがしにかけていて、周りはそれに付き合わされるしかありません。
map_0000#587	スタイルも、気品も兼ね備えた彼女がこちらへ向かってきます――
map_0000#588	……そして、激突しました。
map_0000#589	ジュリアさん、もしもーし? こっちですよ!
map_0000#590	ジュリア: え……
map_0000#591	サーナイト: 一体どこを見て歩いていたんですか?! あのテーブルに思いっきりぶつかりましたよ!
map_0000#592	ジュリア: あ……おはようございます……
map_0000#593	サーナイト: 待って、そのサングラスって、目を閉じて歩いていたのを隠すためにかけていたんですか?!
map_0000#594	ジュリア: だって、そうでもしないと、誰にも気づかれずに寝ぼけ歩きなんてできないでしょ?
map_0000#595	サーナイト: 寝ぼけ歩きって、そういう仕組みじゃないと思いますけど。
map_0000#596	ジュリア: ちょっと、専門家はどっちよ? あんた? それともアタシ?
map_0000#597	あんたがテーブルに突っ込んで寝ぼけ歩きしてるとこ、見たことないし!
map_0000#598	サーナイト: するわけないでしょう!
map_0000#599	気品もどこへやら……ほら、その椅子を拾って座ってください。
map_0000#600	さて、ジュリアさん、何でも爆発させるのがお好きだとか。
map_0000#601	ジュリア: ただの趣味だってば!
map_0000#602	サーナイト: どうやって始まったのか、聞かせてもらえますか?
map_0000#603	ジュリア: うん!
map_0000#604	えっとね、アタシが若かったころ、ロッドって名前の男とつき合ってたの――って、ロッドだっけ? リンゴだったかも……いつも混ざっちゃうんだよね。とにかく――
map_0000#605	それである日、公園に一緒にいたんだけど、彼がずっとスマホばっかり気にしてて。で、あるときトイレに立ったから、アタシもこっそり見てみたの。
map_0000#606	何がそんなに大事で、アタシから気をそらしてたのかなって――そしたら、他の女に浮気メッセージ送ってたわけ。それでさ、
map_0000#607	そういうときって、やることなんてひとつしかないでしょ?
map_0000#608	つまり、彼のスマホを開けて中の配線をちょっといじって、ポケモンに電池をビリっとやらせて、故障させて、ちょっとびっくりさせてやるってこと。
map_0000#609	だって、誰だってそうするでしょ。
map_0000#610	それで彼がトイレから戻ってきて、何も疑わずスマホの電源を入れたの。アタシはただ「:3c」って顔で座ってたんだけど、
map_0000#611	突然、機械全体から火花が散って画面が溶けて、彼が悲鳴あげて放り投げて、壁にぶつかってドーン!
map_0000#612	あんなに興奮したの、何年ぶりだったか!
map_0000#613	ほんと、爆発って男よりずっと楽しいから。
map_0000#614	でも両方組み合わせたら、もっと最高なんだよね!
map_0000#615	別に男を爆発させようとしてるわけじゃないけど……でも、あの顔、最高なんだから!
map_0000#616	サーナイト: それは……そうでしょうね。
map_0000#617	ちなみに、専門のカウンセリングは考えたことがありますか?
map_0000#618	ジュリア: カウンセリング? アタシが?
map_0000#619	ううん、人にアドバイスするの得意じゃないし。でも、そう思ってくれるのはうれしいな!
map_0000#620	そういえば、今日はこの爆発の話が出るかもって思って、
map_0000#621	デモンストレーションを用意してきたの!
map_0000#622	見たい?
map_0000#623	サーナイト: いいえ。
map_0000#624	――ピー――
map_0000#625	サーナイト: あの。
map_0000#626	今日はカルセノンシティで、炎の美女として名高い、シャルロット・ベルローズさんにインタビューします!
map_0000#627	シャルロットさん、今日はお時間をいただきありがとうございます。
map_0000#628	シャルロット: いいよ、サーナイト。むしろこっちがお礼を言いたいくらい。
map_0000#629	グラウンドゼロにいると、退屈すぎて死にそうだったから。
map_0000#630	一日のうち少しでも時間を割いて、テレビで誰かに恥をかかせるのって、なかなか楽しいものね。
map_0000#631	サーナイト: それは――いいえ、待って、それはわたしの仕事です。
map_0000#632	シャルロット: 「誰か」って言ったのは、自分のことだけど。
map_0000#633	サーナイト: あら! 恥ずかしがる必要なんてありませんよ、ダーリン。
map_0000#634	てっきり、恥ずかしがり屋なタイプじゃないと思っていました。
map_0000#635	シャルロット: 違うし。
map_0000#636	サーナイト: そう――分かりました。
map_0000#637	とにかく、心配しないで、きっとうまくいきますよ!
map_0000#638	シャルロット: べつに心配もしてないけど。
map_0000#639	自分を恥ずかしがらせるつもりも、そもそもなかったし。
map_0000#640	でも、たまにはゲストの気持ちも考えようとするのね、感心感心。
map_0000#641	サーナイト: もちろんです! それが良い司会者として当然の――待って、「たまには」ってどういう意味ですか?
map_0000#642	シャルロット: 過去のインタビュー、全部見たことあるから。
map_0000#643	いつも偉そうな態度で、誰かを吊るし上げてばっかりじゃない。
map_0000#644	違う?
map_0000#645	サーナイト: もちろん違います!
map_0000#646	シャルロット: 面白いね、だって前の回でアヤに食ってかかってたの、はっきり覚えてるけど。
map_0000#647	彼女の交際関係を世間にバラすって脅してたよね?
map_0000#648	それって、あんまり礼儀正しいとは思えないけど。
map_0000#649	サーナイト: 彼女が警察を呼んだからです!
map_0000#650	シャルロット: たしかに、それは彼女も失礼だったね。
map_0000#651	でも、許可も取らずに人の家に入り込んだあんたも、ほとんど同じくらい失礼だと思うけど。
map_0000#652	サーナイト: それを言うなら、今のあなたの態度の方がよっぽど失礼です!
map_0000#653	シャルロット: ああ、たしかに。
map_0000#654	ごめんね、サーナイト。過去の出演回をたくさん見てきたファンには、もっと優しいのかと思ってた。
map_0000#655	でも、あたし達もその程度の扱いってことなんだね。
map_0000#656	サーナイト: そういう意味じゃありません! もう!
map_0000#657	シャルロット: すぐ怒るね。それでスポンサーとうまくやっていけてるの?
map_0000#658	サーナイト: それはあなたには関係ありません!
map_0000#659	シャルロット: あたしの考え、聞きたい?
map_0000#660	嘘をついてると思う。
map_0000#661	サーナイト: 嘘、ですか?
map_0000#662	はいはい、いいでしょう。
map_0000#663	教えてください、偉大で賢いシャルロットさん。
map_0000#664	わたしが何について嘘をついているというんですか?
map_0000#665	シャルロット: 自分自身に嘘をついてるんだよ。
map_0000#666	この番組がなぜ成り立ってるか、あんたも本当は分かってるはず。
map_0000#667	あんたがキャラクターだからだよ。
map_0000#668	サーナイト: キャラクター? ゲームか何かみたいな話ですか? ばかばかしい。
map_0000#669	シャルロット: あんたは、間抜けで無能なレポーターキャラとして、世間に売られてるの。
map_0000#670	このインタビューの価値は、あんたのおどけっぷりだけにあるんだよ。
map_0000#671	じゃなきゃ、あんな失態、編集でカットされてるはずでしょ?
map_0000#672	でも、あんたにはつつかれると反発する自己中心的な一面があるよね。
map_0000#673	本当にキャラを演じてるだけなら、そんなに敏感にならないはず。
map_0000#674	テレビの中のあんたと、本当のあんたは別物だって理解してるはずだから。
map_0000#675	でも、あんたはそうじゃない。
map_0000#676	だって、あんたは見た目どおり、衝動的で無能だから。
map_0000#677	でも一番ひどいのはね、
map_0000#678	分かってるのに、それを認めようとしないところ。
map_0000#679	いくら衝動的でも、自分の番組について何も考えないほど、あんたはバカじゃないでしょ。
map_0000#680	自分が利用されて、笑いものにされてるって気づいてたはずなのに、それでも本物の有名人として愛されてるんだって、そう信じたかったんだよね。
map_0000#681	だからずっと、自分の成功ごっこを続けてきたんだ。
map_0000#682	サーナイト: そんなの、でたらめです……
map_0000#683	シャルロット: そうかな?
map_0000#684	あたしの目を見て、間違ってるって言ってみて。
map_0000#685	今日お迎えしたのは、リボーン四天王のおひとり……
map_0000#686	力強く……
map_0000#687	獰猛で……
map_0000#688	そして身長わずか130センチほどにして、生粋のバトルセンスを持つお方!
map_0000#689	拍手をどうぞ、ヘザー・モリナーさんです!
map_0000#690	ヘザーさん、番組にお越しいただきありがとうございます!
map_0000#691	ヘザー: 呼んでくれてありがと、サーナイト!
map_0000#692	強さを見て、ちゃんと認めてくれる人がいるのって、いい気分だしね!
map_0000#693	サーナイト: そんな小さな体で、なんとも力強い言葉ですね!
map_0000#694	でも、あなたの実績を見れば、その言葉にも十分な裏づけがありそうです。
map_0000#695	強さの秘けつは、どこにあると思いますか?
map_0000#696	ヘザー: そりゃ、あたしのポケモンからでしょ。
map_0000#697	それと……
map_0000#698	あたしの友達も、かな。
map_0000#699	サーナイト: お友達ですか? 一体どなたのことでしょう?
map_0000#700	ヘザー: えっと、家出したあと、助けてくれようとした人たちが何人かいてね。
map_0000#701	カインは、変な人だけどね。
map_0000#702	それに\PNもいっつもどこにでも現れるし……
map_0000#703	あたしだって、あの人たちがいなかったらこんなにうまくいってなかったって分かってるよ。
map_0000#704	でも一番は……
map_0000#705	友達のシェリーのことかな。
map_0000#706	パパに怒って何日か家出したときに知り合ったの。
map_0000#707	彼女がジムに匿ってくれて、一緒にいっぱい遊んで楽しかった……
map_0000#708	まあ、楽しかったのはあたしだけかもだけど。
map_0000#709	いつも、あたしのやりたいことばっかりやってた気がする。
map_0000#710	でも、うまくいかなくなったときも、彼女はちゃんと助けてくれた。
map_0000#711	なんでかは分かんないけど、あたしのことも好きでいてくれたんだと思う。
map_0000#712	よく分かんないけど……
map_0000#713	彼女には、ちゃんと恩を返したいの。
map_0000#714	すごく優しくしてくれたのに、あたしはわがままだったから。
map_0000#715	だから、これからはちゃんといい友達でいなきゃって思ってる。
map_0000#716	サーナイト: これだけの経験をされてきた方の、立派な言葉ですね!
map_0000#717	この若きトレーナーは、成長するための強い決意を、本当に見つけたようです!
map_0000#718	この先、このバトラーがどうなっていくのか、楽しみでなりません!
map_0000#719	いずれ四天王に挑もうというトレーナーの皆さんは、気をつけた方がいいかもしれませんよ!
map_0000#720	ヘザー: 当然でしょ! だってあたし、風の姫だもん!
map_0000#721	サーナイト: 風の姫? それはどういう意味でしょう?
map_0000#722	ヘザー: ママも飛行タイプのトレーナーだったから、それって風みたいなものでしょ!
map_0000#723	ママの戦い方から学べるだけ学んだから、今はママよりずっと強いよ!
map_0000#724	サーナイト: あら、ママより強いですって? それは大きく出ましたね!
map_0000#725	ヘザー: でもほんとだもん! だってママ、かわいいと思ったポケモンしか使わなかったし……
map_0000#726	ボーマンダとかね!
map_0000#727	まあ、普通の「かわいい」とはちょっと違うけど――でも、それで判断すべきじゃないでしょ!
map_0000#728	あたしはトップクラスのバトラーだから、でっかくて強いポケモンだって遠慮なく使うの!
map_0000#729	みんないっつも「え? なんで小さい女の子があんなポケモン使いたがるの?」みたいに言うけど。
map_0000#730	それでミミロルとかピカチュウとか、ピンクだからってだけで押しつけてくるようなフェアリー系のがらくたを勧めてくるんだよね。
map_0000#731	そんなの知ったこっちゃないし!
map_0000#732	あたしはかわいく見える必要なんてない、蹴散らせればいいの!
map_0000#733	それを、これからやってみせるから!
map_0000#734	サーナイト: なんて闘志でしょう!
map_0000#735	そしてこれが今回のお話です――彼女は、ポケモンと共に世界中を相手にすることさえ恐れない女の子!
map_0000#736	対戦相手になる挑戦者には、心から同情いたします!
map_0000#737	本日の「インタビュー中継」は以上です……
map_0000#738	本日の「インタビュー中継」は以上です。それではまた次回!
map_0000#739	よお、リボーンシティ! 調子はどうだ?! お届けするのは「リボーン・ラウンドアップ」、リボーンリーグのリーダーたちに迫るぜ!
map_0000#740	俺はホストのDJアークライト、ただいま放送中だ!
map_0000#741	まずはジュリア、ペリドットワードのリーダーについて話そう。
map_0000#742	ジュリアは、オニキストレーナーズスクールを卒業したばかりの、はじけるようなバトルの美女だ。
map_0000#743	ポケモンリーダーとしてもチアリーダーとしても活躍してきた彼女との戦いは、どんな挑戦者にとっても間違いなく見ものだぜ!
map_0000#744	それにふさわしいのが、でんきタイプのポケモンたち。彼女の代名詞である「ドカーン」攻撃の連発で相手をなぎ倒す。
map_0000#745	ソニックブームとだいばくはつが、彼女の必殺コンボの主旋律。挑戦するトレーナーは、覚悟しておいた方がいいぜ!
map_0000#746	特に注意したいのがマルマイン。稲妻のような素早さと固定ダメージで、あっという間に戦いをクライマックスまで持っていくからな!
map_0000#747	続いては、オニキスワードにあるオニキストレーナーズスクールのリーダー、フロリニア校長についてサクッと見ていこう。
map_0000#748	メモを取れよ!
map_0000#749	優れた校長らしく、フロリニアは教育と知識をとても重んじている。
map_0000#750	彼女の戦法は、天候と地形の両方を駆使して、継続ダメージによる持久戦で相手を圧倒するものだ。
map_0000#751	それだけじゃない、彼女の代名詞技「しぜんのちから」を使いこなすには頭も使わなきゃならない。
map_0000#752	この技が環境によって効果を変えることは多くのトレーナーが知っているが、その場に応じて自分の技を合わせられるか?
map_0000#753	彼女のエースポケモン、ユレイドルを相手にするには戦術的な工夫が必須だぜ!
map_0000#754	「砂漠のバラ」と呼ばれる草・すなあらしのハイブリッド戦法の主役、ユレイドルを倒すには純粋な力か、あるいは知恵が必要になる。
map_0000#755	今日はいつもの構成を離れて、ちょっと歴史を掘り下げてみようと思う!
map_0000#756	具体的には、今は引退したどくタイプの元ジムリーダー、コーリー・モリナーについてだ!
map_0000#757	メタルショーに来てるおばあちゃんよりも辛辣な、その元スターは、悲観論をたっぷり振りまいてくれる。
map_0000#758	この男についてはあまり知られていないが、薬剤師としての訓練を受けたことがあるらしく、リボーンシティ警察に協力して、貴重な鑑識用の薬品や助言を提供しているようだ。
map_0000#759	ここでスクープだ――彼が住んでいるとされるベリルワードの住民の何人かは、彼が近くの墓地に頻繁に足を運んで、何時間も過ごしているのを見たと証言している!
map_0000#760	でも、それは一体誰のためなんだろうな?
map_0000#761	俺にもさっぱり分からない。
map_0000#762	俺に言わせりゃ、誰かあの男に笑顔をたたき込んでやるべきだと思うぜ。
map_0000#763	人生ってのは、ずっと暗い顔してるには短すぎるだろ?
map_0000#764	トレーナーの諸君、もし偶然この元リーダーとの戦いになったら気をつけろよ!
map_0000#765	彼のクロバットはスピードの権化で、その攻撃は笑い事じゃ済まされない。
map_0000#766	状態異常技や強力な一撃で圧力をかけ続けて、積み技を使わせないようにするんだ。
map_0000#767	悲観論を前にしても、粘り強さは必ず報われる!
map_0000#768	続いては、ラピスワードのリーダー、シェリーについて話そう!
map_0000#769	読書と知識に情熱を注ぐ、内気な女の子だ。
map_0000#770	実際、本から顔を上げているところを見るのは珍しいくらいだが、それがしっかり実を結んでいる。
map_0000#771	たくさんの勉強のおかげで、彼女はどんな戦いでもむしタイプにどんな旋律を奏でさせればいいか、ちゃんと分かっているのさ!
map_0000#772	シェリー自身はダブルバトルを好んで、雨を使って弱点をカバーしつつ相手を圧倒する。
map_0000#773	代名詞のポケモン、イルミーゼとバルビートは、それぞれ彼女の戦術的優位性の前奏と大詰めを担う役割。
map_0000#774	だから、この読書家との対戦になったら、まずはそのサポート役を集中して狙うことだ!
map_0000#775	今日は、視聴者の皆さんにちょっとした謎をお届けしよう。
map_0000#776	ゴーストジムリーダー、シェイドについて話そうと思う。
map_0000#777	シェイドが人間なのか、幽霊そのものなのか、それとも何か全く別のものなのか、はっきり分かっている人はほとんどいない!
map_0000#778	めったに話さないし、話したとしても常識が通じることは滅多にないから、この存在について語れることはあまり多くない。
map_0000#779	戦いでは、エースポケモンのミミッキュに要注意だ!
map_0000#780	あのポケモンは、リーダー本人と同じくらい正体を隠しているが、不気味な笑みで飾る代わりに、「ばけのかわ」で攻撃を受けにくくしているぜ。
map_0000#781	先手を取られないよう、全力を尽くせよ……さもないと痛い目に遭うぞ!
map_0000#782	今日は普段のラインナップを一旦離れて、リボーンリーグ史のもう一人の生き証人、キキ・アーガルを訪ねてみよう!
map_0000#783	今ではアポフィルアカデミーの謙虚なセンセイだが、キキはかつて、それなりに名の知れたかくとうジムリーダーだった!
map_0000#784	禅の哲学に深く帰依する教師であるキキは、心を静める旋律を奏で、体をいたわるリズムを刻む。
map_0000#785	引退後もなお磨き続けている彼女の必殺技は、精神集中でポケモンの力を高めることに重きを置いている。
map_0000#786	そして忘れちゃいけない、渾身の一撃、純粋な「きあいパンチ」の威力は、どんな格闘家でも簡単には受け流せないものだぜ。
map_0000#787	彼女のチャーレムには特に気をつけろ!
map_0000#788	「ヨガのポーズ」で攻撃力が急上昇するから、積まれる前に倒しておくことだ!
map_0000#789	今日は、リボーンの新人リーダー、どく使いのアヤについて見ていこう!
map_0000#790	新たに現れたスターであるアヤは、最近まで自身の兄、比較的最近この地に来たばかりのカイン・ラルーに代わってリーダーの座についたばかりだ!
map_0000#791	どうやら二人の間で、ジムリーダーにはアヤの方がふさわしいという結論に至ったらしい!
map_0000#792	俺のネタ元によれば、ビクスビジョン荒野に住むアヤは、ダブルバトルを好み、
map_0000#793	代名詞の技を使って、毒のどぎつい力を一気に戦場全体へばらまくそうだ。
map_0000#794	気をつけろよ、本当に「毒され」ちまうぞ!
map_0000#795	もちろん、この役目を彼女以上にこなせるのが、ドラミドロだ。
map_0000#796	その特性「てきおうりょく」で、どんな一撃も強烈に痛くなる。だからさっさとKOしちまうことだな。
map_0000#797	今日は、こおりタイプのジムリーダー、セラについて見ていこう!
map_0000#798	元モデルのセラ・ヴォクランさんは、キャリアチェンジを果たして、今はバトルシーンを騒がせている。
map_0000#799	セラの容赦ない猛攻に挑もうというトレーナーは、この氷地獄の戦いに備えて、心して臨んだ方がいいぜ!
map_0000#800	常に見た目にこだわるセラらしく、彼女のアリーナは上から下まで鏡だらけだ。
map_0000#801	彼女のこっそりしたポケモン、特にユキメノコは、銀とガラス、それぞれの額縁の間をオーロラのきらめきを添えて舞い踊る。
map_0000#802	守りと駆け引きが彼女のポケモンの得意技だから、確実に当てられる攻撃や、鏡を割れる技が頼りになるはずだ!
map_0000#803	挑む前に、どうすればその戦術を見抜けるか、じっくり考えて、このピンナップモデルを打ち負かしてやれ!
map_0000#804	続いてはノエルについて話そう!
map_0000#805	リボーン最年少リーダーの一人であるこの神童は、ラピスワードの孤児院のすぐ下にアリーナを構えている。
map_0000#806	ノエルは、油断した挑戦者を翻弄するのが得意でな、
map_0000#807	彼の若さやノーマルタイプのポケモンを見て、簡単な相手だろうと高をくくる者も多い。
map_0000#808	だが、そう簡単にはやられない。ノエルは弱点を補うポケモンの布陣を組んでいる。
map_0000#809	中でも意外なのが、彼のピクシーだ!
map_0000#810	ピクシーはもうノーマルタイプではないが、ノエルは戦いに切り札を持ち込む数少ないリーダーの一人だ。
map_0000#811	この壁のように硬いポケモンに足止めされないよう、守りを固められる前に何としても倒しきれ!
map_0000#812	ところで、リスナーの何人かから、ノエルほどの若さでどうやってリボーンリーグの地位を手にしたのか、これまで質問をもらっている。
map_0000#813	他のリーダーと同じく、彼も推薦を受けて資格試験に合格した――それも、優秀な成績でな!
map_0000#814	では、一体誰が彼をその座に推薦したのか?
map_0000#815	ちょっとしたヒントをやろう! よく聞いておけよ:
map_0000#816	「……」
map_0000#817	リボーンのエスパータイプリーダー、ラドマス大師について報告が入っている!
map_0000#818	ラドマスは、さまざまな帽子に目がない陽気な男だ!
map_0000#819	おしゃれなものから突拍子もないものまで、その服装と立ち居振る舞いは、理屈が通っているようで通っていないような、絶妙な境界線を行く!
map_0000#820	もちろん、チェスの大師である以上、その理屈はしっかりしているはずだ。
map_0000#821	トーナメントで築いた財産を元に、自分だけの城に住んでいて、そこにはチェス盤を模したアリーナまで完備されている!
map_0000#822	戦いでは、彼のエスパー能力が駒を自在に動かし、こちらのポケモンを攻撃させることさえある。
map_0000#823	彼のやり方で、彼自身を打ち負かせ!
map_0000#824	エースポケモンはもう有名だろう、他でもないゴシップサーナイト、当局でも他のコーナーを担当している。
map_0000#825	元気いっぱいなのと同じくらい強さも折り紙つきだから、戦いに臨む際はしっかり準備しておけよ、さもないと二人がかりでチェックメイトされちまうぞ!
map_0000#826	続いてはジムリーダー、ルナについて話そう!
map_0000#827	ルナは、男をとろけさせる方法をいくつも知っている、魅力的な女性だ。
map_0000#828	その美しさだけでも十分に魅了されるが、それに加えて、あくタイプの攻撃で、油断した相手を封じ込め、確実に仕留める。
map_0000#829	「ワンダーランドのチャンピオン」から「貴族の従者」まで、ルナは物語の世界を現実に持ち込んで生きるのを楽しんでいる。
map_0000#830	彼女のポケモンたちには、みんな古い物語のキャラクターの名前がついている!
map_0000#831	それが何なのかは、自分で苦労して見つけてもらうとしよう。
map_0000#832	何せ、あのチェシャ猫でさえ、はっきりしたことは一度も言わなかったんだからな。
map_0000#833	ワン・ツー、それでノックアウトだ!
map_0000#834	アゲート・サーカスの力自慢、サムソンとの戦いでは、これをよく耳にすることになるだろう。
map_0000#835	過去の歴代リーダーと比べて、リボーン現かくとうジムリーダーは、精神論より力がものを言うタイプだ!
map_0000#836	彼のポケモンの力は、ビッグトップの「ハイストライカー」効果によって底上げされる。特定の技で発動する、悪名高きインチキ祭り屋台のゲームだ!
map_0000#837	ここでひとネタ――実は、サムソンは自分の意思でリーグに入ったわけじゃないらしい。
map_0000#838	どうやら、別の人物に無理やり引き込まれたようだ。
map_0000#839	それは、一体誰なんだ?
map_0000#840	他でもない、アゲート・サーカスのじめんリーダー、テラだ!
map_0000#841	一体何があったんだろうな?
map_0000#842	真相は誰にも分からないかもしれない。
map_0000#843	だが、彼を倒すには、彼のやり方で打ち負かせばいい!
map_0000#844	ポケモンを弱体化させて力を削ぐんだ――ハイストライカーの効果も含めてな――それか、ビッグトップのひこうタイプ有利を活かして、効果ばつぐんで仕留めろ!
map_0000#845	どちらにしても、エースのローブシンのようなポケモンは、一撃食らってもしっかり耐えて、倍にして殴り返してくるから、そう簡単には倒れないぜ!
map_0000#846	今日はシャルロットについて見ていこう、クールでありながら情熱的な若き美女だ!
map_0000#847	何年もの不在の後、母親のジムを引き継いだシャルロットだが、彼女自身の「超高温フィールド」は、ほのおタイプにさほど有利には働かない。
map_0000#848	しかし、彼女の広範囲に及ぶほのお技によって火がつけば、その業火は新たな命を宿し、他の命まで巻き添えにすることもしばしばだ!
map_0000#849	トレーナーは何らかの方法で炎を封じ込めるか、それに耐えられるチームを用意する必要があるぜ!
map_0000#850	キュウコンが戦場に加わると、状況はさらに厳しくなる!
map_0000#851	その特性「ひでり」が彼女の力をさらに引き上げるが、忘れるな、どんな戦法にも弱点はあるってことをな!
map_0000#852	彼女は元気いっぱい、ハイテンションで、そしてぶっちぎりにイカれてる――
map_0000#853	じめんジムリーダー、テラの登場だ!
map_0000#854	地震のような性格に、それにぴったりのタイプ。彼女に会った者は、きっと誰もがトラウマを抱えているだろう。
map_0000#855	だが、あの元気いっぱいの人柄の裏に本当は何があるのか知りたくて、少し調べてみたんだ。
map_0000#856	見つけた記録によると、テラはかつてベリルワードで育った、ごく平凡な女の子だったらしい。
map_0000#857	学校の記録では、とても内気で、あまり社交的でもなく、コンピューターサイエンスに自然と興味を持っていたそうだ。
map_0000#858	しかしある日、彼女は本人にしか分からない理由で家出をして……
map_0000#859	……次に確認されたのは、あの奇抜で元気いっぱいのキャラクターのまま、アゲート・サーカスに就職を申し込んでいたところだった!
map_0000#860	家を出てからサーカスに入るまでの間、彼女に一体何があったんだろうな?
map_0000#861	俺をおかしいと言ってくれ――いや、テラをおかしいと言うべきか、
map_0000#862	でも、正直、あまり知りたいとは思わないな。
map_0000#863	続いては、空のアゲートのエース、シエルについて話そう!
map_0000#864	まだ彼女の演技を見たことがないなら、こんな光景を想像してみてくれ:
map_0000#865	天井から二本のリボンが垂れ下がっている。
map_0000#866	床の上で踊る一人の少女が、その間をくぐり抜けるように身をひねり、上へ下へ、行きつ戻りつしながら、リボンを少しずつ自分の方へたぐり寄せていく。
map_0000#867	そして――
map_0000#868	彼女は跳ぶ。
map_0000#869	リボンが体の周りでほどけて、その張力で彼女を宙へと持ち上げる。
map_0000#870	リボンをつかんだまま、彼女はくるりと回転しながらさらに高く登っていき、脚が空へ向かって舞う。
