map_0355#74	いらっしゃい！
map_0355#125	レントラーが檻の中から、退屈そうにこちらを見つめている。
map_0355#126	ねえあなた、こういうゲームは当てにしない方がいいっていつも言ってるでしょ。
map_0355#127	全部イカサマなんだから。
map_0355#128	よう、見ない顔だな。まあ、うまくやってきな。
map_0355#129	アゲートサーカスではかけらをゲーム通貨として使ってるんだ。実は、フェア全体がそれで成り立ってるのさ！
map_0355#130	ちょっとした歴史話でも聞くかい？
map_0355#131	何年も前、団長のお父さんが隠されたクリスタルの谷を見つけたんだ。
map_0355#132	クリスタルを掘り出して、一部を売ってサーカスを立ち上げた。彼の生涯の夢だったんだよ。
map_0355#133	それで、たいていのカーニバルみたいに金貨トークンを作る金を払う代わりに、残りのクリスタルをそのまま通貨として使うことにしたのさ！
map_0355#134	不思議なことに、かけらの在庫がどんどん減ってきてるんだ。
map_0355#135	中の化学物質のために溶かしてる連中がいるって聞くけど？おかしな話だよな！
map_0355#136	そういえば、サーカスの創始者は最初、あのクリスタルを一体誰に売ったんだろうな？
map_0355#137	おっと！歴史の授業っていうより、ただの独り言だったな。
map_0355#138	サーカスを楽しんでいってくれ！
map_0355#139	^~観覧車\n <~ ビッグトップ \n v~ 休憩エリア
map_0355#140	^~円形劇場\n >~ 休憩エリア
map_0355#141	^~ビッグトップ\n <~ 円形劇場 \n >~ 観覧車
map_0355#142	実は休憩中じゃないんだ、誰にも言うなよ！
map_0355#143	バート: あーあ、もう仕事に戻んなきゃダメ？
map_0355#144	もうちょっとだけここにいよう。
map_0355#145	クイズ！赤くて白くて、あなたと戦いたがってるものなーんだ？
map_0355#146	ポスティ: 赤とか白とか言ってる場合じゃない、俺、この後青あざだらけになりそうだ。
map_0355#147	それとも白と金だったっけ？
map_0355#148	なんでこのポケモンたちが檻に入れられてるか、見てみたい？
map_0355#149	レオナルド: そして鉄格子がバタンと閉まる！
map_0355#150	伝説によれば、地元の猛獣使いがこの獣たちを抑えてるらしいぜ。
map_0355#151	笑顔で！たとえ俺がお前をボロボロにしてもな！
map_0355#152	アーサー: お前が俺をボロボロにしたから、笑うしかないぜ！
map_0355#153	サーカスは笑顔の場所さ！笑ってなきゃ、やり方が間違ってるってことだぜ！
map_0355#154	こちら「楽しさ警察」だ、お前を逮捕する……楽しさが足りないという罪でな！！！
map_0355#155	ビンゴ: それ、全然楽しくないんだけど……
map_0355#156	そのうち「楽しさ」交換カウンターも、ショップエリアのどこかにできる予定さ！
map_0355#157	そこの君！バトルはどうだ？観客が絶対に盛り上がるぜ！
map_0355#158	ドローリー: 俺を勝たせてくれてたら、もっと盛り上がっただろうにな。
map_0355#159	さて、この新顔のトレーナーに勝てる者はいるか？遠慮するな、お客さんたち、どんどん挑戦しに来い！
map_0355#160	テラ: んで、これがかの有名なアゲートサーカスってわけ！
map_0355#161	ここには眠い人いないっしょ。
map_0355#162	カイン: ってことは、テラもピエロの一人ってこと？
map_0355#163	テラ: ちがーう！！
map_0355#164	あたしはピエロじゃない！！！
map_0355#165	あたしはサーカスそのものなの！！！！！！！
map_0355#166	まあ主に猛獣使いだけど
map_0355#167	ぴしっぴしっ にゃん；）
map_0355#168	カイン: は？
map_0355#169	テラ: ほら、なんつーか、にゃん？的な？
map_0355#170	シエルも手なずけてるし
map_0355#171	意味わかるっしょ
map_0355#172	；）
map_0355#173	テラ: つーわけで、アンタの友達っぽい奴ら、たぶんこの辺に落っこちてるっしょ。
map_0355#174	あたしはシャワー浴びに行くわ～。
map_0355#175	ばいばい。
map_0355#176	チャチャ、まじスムーーーーズ
map_0355#177	カイン: ……ってことがあったわけだ。
map_0355#178	カイン: あの子、大丈夫だと思う？
map_0355#179	アヤのことだけど。
map_0355#180	巨大なハンマーで山の壁越しに吹っ飛ばされた後じゃなあ……
map_0355#182	いや、いいや、自分で答え出ちゃったわ。
map_0355#183	手分けして彼女を探そう、いい？
map_0355#184	シエルがショーをやってるんだって！
map_0355#185	中に入って席取らなきゃ！
map_0355#186	まだ席なんて残ってるのかな？
map_0355#187	おいってば、中に入れてくれよ！
map_0355#188	この列がこんなに長くても、いつもよりはずっと短いんだ！
map_0355#189	アゲートシティが閉鎖されたのにも、いいことはあるってわけね！
map_0355#190	シエルのショーはいつだってかっこいいんだから！
map_0355#191	あの子ってば、ふわあああって感じで、それからしゅわしゅわしゅわーって、それであああああって……
map_0355#192	そんな感じ。
map_0355#193	終わる前に間に合うといいけど！
map_0355#194	あんな列に並ぶ価値があるのかどうかも分かんないな。
map_0355#195	もう4日連続で綿あめ食べ続けてる……
map_0355#196	まだ着かないの？
map_0355#197	今？
map_0355#198	あとどれくらい？
map_0355#199	屋台ですっごい珍しい種類のアイスクリームをもらったの！
map_0355#200	一生大事にするんだ！
map_0355#201	あーん、溶けちゃう！
map_0355#202	サーカスは楽しいけど、もう長居しすぎだよ。
map_0355#203	家はアゲートにあるんだ。街が閉鎖された時たまたまここにいて、それで戻れなくなっちゃった。
map_0355#204	こんなに長く居座ってると、さすがに退屈になってくるよ。うーん！
map_0355#205	で、でも、ピッピにんぎょうが……欲しかったの……
map_0355#206	ピッピにんぎょうをあげますか？
map_0355#207	\PNはピッピにんぎょうを渡した。
map_0355#208	女の子: え？こ……これ、あたしに？
map_0355#209	本当に！？
map_0355#210	わーいわーいわーいわーい！！！
map_0355#211	ありがとう、ありがとう！一生大事にする！！！
map_0355#212	おじいさん: おやおや。この場所にもまだ、いい人がいるもんだねえ。
map_0355#213	ありがとうよ、見知らぬ人よ。小さな女の子を幸せにしてくれたみたいだな。
map_0355#214	その優しさに、何か贈らせてもらおう。
map_0355#215	ちょっと前にこの辺で拾ったんだが、わし自身はあまり使い道がなくてね。
map_0355#216	あんたの役に立つかもしれん。
map_0355#217	\PNはフィールド効果解説06を手に入れた！
map_0355#218	ビッグトップアリーナの情報が閲覧可能になった！
map_0355#219	ありがとう！クレフェラのこと、ずっとずっと大事にするね！
map_0355#220	カウンターにアゲートサーカスの応募用紙の束が置かれている。
map_0355#221	一枚もらいますか？
map_0355#222	なあ、このハイストライカー、全然スコア出せねえよ！
map_0355#223	こんなの絶対イカサマに決まってる！
map_0355#224	アゲートシティ、もう開いた？
map_0355#225	ここに居るのもう飽きたけど、リボーンシティに戻る他の方法がないんだよね。
map_0355#226	行き場のないお客のためにサーカスが夜通し開いててくれるだけ、まだ運がいい方だと思うことにするよ。
map_0355#227	でも正直、アイスクリームと綿あめばっかりでもう飽き飽きなんだよなあ。
map_0355#228	悪いね、観覧車はまだ改装中なんだ。
map_0355#229	あのテラって子が、しっかり派手にやらかしてくれてね。
map_0355#230	また、だよ。
map_0355#231	正直、乗り物の全部のカートに別バージョンのナッシーを乗せた時、何を考えてたのかさっぱりわからないけどな……
map_0355#232	だがホエルオー事件の後、そういう質問はもうやめておくべきだって学んだはずなんだがな。
map_0355#233	まあいいさ。そういえば、掃除してた連中がガラクタの中からこれを見つけてね。
map_0355#234	処分してくれって頼まれたんだが、何なのかはよく分からない。だがまだ使えそうに見えるな。持ってったらどうだ？
map_0355#235	あの女、なんとかしないとまずいよなあ……
map_0355#236	開けてみたら観覧車全体が完全に無傷のまま、丸ごと逆さまになってた時から、彼女を観覧車に近づけるのを禁止してるんだ。
map_0355#237	今思えば、あれをただの挑戦状として受け取っただけかもな……くそ。
map_0355#238	そもそも子供にとって、カーニバルの何がそんなに魅力的なんだろうな？
map_0355#239	ピエロが全員怖いよぉ……
map_0355#240	でも乗りたいのおおお！！！
map_0355#241	ってことは、もうすぐ家に帰れるってこと？
map_0355#242	オニキスの家に帰りたいだけなんだけどな。
map_0355#243	週末の小旅行が、まさかこんなことになるなんて。
map_0355#244	彼女が跡を継ぐずっと前から、団長のご家族とは友人だったんだ。
map_0355#245	彼女のお父さんは本当にすごい起業家だったよ。
map_0355#246	彼女が頑張ってる姿を見られて嬉しいね。
map_0355#247	あのダサい衣装さえなければ、彼女なかなか可愛いんだけどな。
map_0355#248	団長: それで、えっと、その結果として、皆さんには、多分すべて大丈夫ですって安心していただければ！
map_0355#249	と、願ってます。
map_0355#250	あ、えっと、どうも！
map_0355#251	何かご用ですか？
map_0355#252	あ！あの子のことですね！？
map_0355#253	よかった！
map_0355#254	ほら、皆さん、すべて制御下にありますから！
map_0355#255	すっごく変な話なんですけど、この子、乗り物の上を飛び越えて、サーカスのど真ん中にぼてっと着地したんです。
map_0355#256	それでその少し後、上を見上げた人みんなが、男の子がサーカスを一直線に飛んでいくのを見たんです。
map_0355#257	どこに着地したのかは、まだよく分かっていません。
map_0355#258	でもご心配なく！
map_0355#259	あの子は無事だったんです！
map_0355#260	どうにかして。
map_0355#261	正直、どうやってなのかは私にもよく分かりませんが。
map_0355#262	男の子の方も、必ず見つけます。
map_0355#263	……え？
map_0355#264	それって、テラが――
map_0355#265	なるほど、それで全部説明つきますね。
map_0355#266	これは本当に見つけ出さないと、サーカスの評判に関わりますね。
map_0355#267	あ！すみません、ちゃんと自己紹介してませんでしたね。
map_0355#268	どうも！アゲート・サービスの団長アリスタシア、あなたのサーカスへ――！
map_0355#269	じゃなくて――サービスへ――もう。
map_0355#270	アゲートサーカスでは、ビッグトップ最高峰のエンターテインメントをお届けします！
map_0355#271	お金では買えない体験、あなたの顎をジョップさせること間違いなし！
map_0355#272	じゃなくて――顎が外れるほど驚くこと間違いなし！
map_0355#273	もう！
map_0355#274	すみません、まだこの仕事に慣れてなくて。
map_0355#275	私の父が初代の団長だったんですけど、その、父は――
map_0355#276	……まあ、今はもういないんです。それはさておき！
map_0355#277	正直に言うと、今はちょっと大変な時期でして。
map_0355#278	アゲートシティは、通りかかった人がみんな眠りについて目を覚まさなくなったせいで、閉鎖せざるを得なかったんです。
map_0355#279	そのせいで、アゲートからもリボーンシティからも、お客さんが来なくなってしまって。
map_0355#280	続けていくのが大変で。
map_0355#281	それでまた、テラが問題を起こしてるんです！
map_0355#282	でも私たち、絶対にこれを乗り越えますから、ね？！
map_0355#283	えっと、その、皆さん無料の綿あめでもどうぞ！
map_0355#284	私が寄越したって言ってくださいね！
map_0355#285	とにかく、あの、サムソンにあの子を裏の部屋に運ばせて、手当てしてもらってます。
map_0355#286	私はここの用が終わってないので、彼に頼んで彼女のところに連れて行ってもらってください。
map_0355#287	彼は普段、ハイストライカーの辺りにいますよ。
map_0355#288	団長: 皆さん、ちょっとだけ持ちこたえてください、すべてうまくいきますから！
map_0355#289	これで丸く収められると思うんですが。
map_0355#290	無料の綿あめと、風船もいかがです？
map_0355#291	サムソンにあの子を裏の部屋に運ばせて、手当てしてもらってます。
map_0355#292	私はここの用が終わってないので、彼に頼んで彼女のところに連れて行ってもらってください、いいですか？
map_0355#293	男の子が頭上を飛んでいったばかりで、団長が皆を落ち着かせようとしている。
map_0355#294	この場所、マジでいかれてる。
map_0355#295	？？？: ハイストライカー、準備万端！
map_0355#296	賞品ゲットのチャンス！
map_0355#297	みたいな感じで。
map_0355#298	お手本見せてやるよ！
map_0355#299	？？？: ……ハッ！
map_0355#300	ストライカー: そして……ドッカーン！
map_0355#301	？？？: 悪くねえだろ？
map_0355#302	係員: またかよ……新しいベルの時間だ。
map_0355#303	？？？: 名前はサムソン。
map_0355#304	サーカスの怪力男だ。
map_0355#305	サムソン: メインのショーはほとんどうちのポケモンがやってるが、見ての通り、俺だって軽量級じゃねえぜ。
map_0355#306	とにかく、何か用がありそうだな。
map_0355#307	どうした？
map_0355#308	ああ、あの、みんなの目の前に墜落してきたあの子のことか？
map_0355#309	ついさっき、裏の部屋に運んでおいたぜ。
map_0355#310	案内してやるよ。
map_0355#311	ビッグトップの正面で会おう。
map_0355#312	ダーム: \PN！見てくれよ！
map_0355#313	お前のおかげで、こんな最高の仕事にありついたぜ！
map_0355#314	怪力男の代役ができるんだ！
map_0355#315	このベルをぶっ叩いて、みんなにやりたいって思わせりゃいいだけさ！
map_0355#316	それも、怪力男サムソンがジムバトルとかで忙しい時だけでいいんだぜ！
map_0355#317	マジで楽勝だぜ！
map_0355#318	つっても、ここだけの話、完全にイカサマだけどな……
map_0355#319	だが十分なパワーがありゃ、どんな分の悪さも乗り越えられるはずだぜ！
map_0355#320	試してみるか？！
map_0355#321	サムソン: レディーファーストだ。
map_0355#322	サムソン: お先にどうぞ。
map_0355#323	サムソン: 人だかりがうるせえな。
map_0355#324	サムソン: おい、どけ！
map_0355#325	「上乗せの上乗せ」、手に入れてみない？！
map_0355#326	人生変わる体験するなら、ここ以上の場所はないぜ！
map_0355#327	1回で努力値ボーナス32、余分な努力値100%防止も保証つき、遠慮なんかいらないぜ！
map_0355#328	商売は絶好調、文字通り立ち去れないってのもあって、アゲートサーカスは人材募集中！
map_0355#329	楽しさ、お祭り騒ぎ、幻想的なファンタジー満載に興味あるか？
map_0355#330	今すぐ応募用紙を持っていけ！
map_0355#331	よお、こんちわ！人生変わる体験、してみたい？！
map_0355#332	あいにくそれは今切らしててね！でも「名前が変わる」体験ならできるぜ！
map_0355#333	ポケモンのニックネームを変えますか？
map_0355#334	どのポケモンにする？！
map_0355#335	何か変えたくなったら、また来なよ！
map_0355#336	名前は……タマゴにしよう！だってタマゴなんだから、間抜けめ！
map_0355#337	よしよしよし！変えよう！永遠にな！
map_0355#338	プレスト・チェンジェリーノ！新しい名前は……
map_0355#339	\v[3]！これで決まり！商談成立だ！
map_0355#340	\v[5]！これで決まり！商談成立だ！
map_0355#341	プレスト・ポンチョ・ビタップ・チェンジョー！あなたのポケモンの本質そのものを変えるお手伝いを――とくせいカプセル販売中！
map_0355#342	次のは、あかいかけら1個！
map_0355#343	次のは、あかいかけら\v[180]個！
map_0355#344	次のは、むらさきのかけら1個！
map_0355#345	次のは、むらさきのかけら\v[180]個！
map_0355#346	次のは、あおいかけら1個！
map_0355#347	次のは、あおいかけら\v[180]個！
map_0355#348	次のは、みどりのかけら1個！
map_0355#349	次のは、みどりのかけら\v[180]個！
map_0355#350	遠慮すんな！可能性はお前のミドルネーム、俺たちのもな！
map_0355#351	商談成立だ！
map_0355#352	どんどん来いよ、友よ同胞よ、まだまだあるんだからな！
map_0355#353	品物が欲しけりゃかけらが必要だ！かけらは正面で手に入るぜ！
map_0355#354	用がない？なら問題なし！
map_0355#355	次は誰だ？遠慮すんなよ！
map_0355#356	雑貨や小物はこちら！
map_0355#357	さあ寄ってらっしゃい、挑戦して特別な技マシン「ダイビング」をゲットするチャンス！
map_0355#358	プレイにはあおいかけら1個！準備はいい？！
map_0355#359	いいね！タイルを並べ替えて正しい絵を作るだけだよ。「アイテム準備」キーでタイルを回転、アクションキーで動かしてね。
map_0355#360	よう、トレーナー！特別な挑戦を用意してるぜ！
map_0355#361	すっごくレアなポケモンが当たるチャンス、プレイはみどりのかけらたった3個！
map_0355#362	やってみる？！
map_0355#363	よし！あとはタイルを動かして絵を組み立てるだけだ。簡単だろ？
map_0355#364	よし、いいぞ！
map_0355#365	そして賞品だ！
map_0355#366	またいつか会えるといいな！
map_0355#367	持ってないみたいだね――かけらトークンは正面カウンターで買えるよ！遠慮なくどうぞ！
map_0355#368	誰かいないか？真新しい挑戦を試してみろ！これは絶対、今まで経験したことないやつだぜ！
map_0355#369	ドンファン: ドオオオン！！！
map_0355#370	ロングファン: ロオオオング！！！
map_0355#371	さあ寄ってらっしゃい、挑戦してレアな化石の賞品をゲットするチャンス！
map_0355#372	プレイにはあかいかけら1個！準備はいい？！
map_0355#373	いいね！タイルを並べ替えて正しい絵を作るだけだよ。Shiftキーでタイルを回転、選択キーで動かしてね。
map_0355#374	持ってないみたいだね――かけらトークンはビッグトップ近くの正面で手に入るよ！
map_0355#375	運試し、賞品ゲット！
map_0355#376	プレイにはみどりのかけら1個！準備はいい？！
map_0355#377	持ってないみたいだね――かけらトークンは正面で手に入るよ！
map_0355#378	見てって、賞品ゲット！
map_0355#379	シエル: どうかお許しください。
map_0355#380	今は演じるのにふさわしい状態ではございませんの。
map_0355#381	舞台の上でも、
map_0355#382	面と向かってでも、
map_0355#383	それ以外のどこでも。
map_0355#384	スターのように振る舞ってはおりますが、所詮はそれだけのことですわ。
map_0355#385	どれほど化粧をきれいに施しても、自分がただの、身の丈に合わないことをしている田舎娘だとわかっておりますの。
map_0355#386	しばしば文字通りに。
map_0355#387	わたくしは、雲が流れるのを眺めるのが一番の楽しみという農村で育ちましたの。
map_0355#388	友達と呼べるほどの相手もいなければ、出会う機会もほとんどありませんでしたわ。
map_0355#389	あるのはただ、誰にでもあるようなありふれた形で壊れた家族だけ。
map_0355#390	単調さと苛立たしさの間のような日々でしたわ。
map_0355#391	ある日、近くの町に旅回りのサーカスがやって来ましたの。
map_0355#392	いとことこっそり抜け出して見に行って、それで――
map_0355#393	あの光――
map_0355#394	あの音――
map_0355#395	感覚が完全に飽和してしまいましたわ。
map_0355#396	一週間、寝込んでしまいましたの。
map_0355#397	でも、あの人たちは素晴らしかった。
map_0355#398	スターたちも確かに素敵でしたが、観客の方が――
map_0355#399	あの人たちこそ、特別でしたわ。
map_0355#400	どの観覧席の人も、笑顔と歓声を抑えられずにおりましたの。
map_0355#401	あの小さなテントの中で、それまでの人生のほとんどよりも多くの愛を感じましたわ。
map_0355#402	あれほど素晴らしい演者たちは、退屈することも孤独になることも決してないはずだと、確信しておりましたの。
map_0355#403	もしわたくしも彼らのようになれたなら――
map_0355#404	でも、無理でしたわ。
map_0355#405	決してなれませんでしたの。
map_0355#406	わたくしはただの、シルクの上でもがく田舎者ですわ。
map_0355#407	彼らの才能も、優雅さも、美しさも、半分すら持ち合わせておりませんの。
map_0355#408	膝は太すぎますし、肩は広すぎますし、それに――このえくぼ、ご覧になったことは？
map_0355#409	どうしてみんな拍手する気力を見つけられるのか、わたくしにはわかりませんわ。
map_0355#410	嘲りでないとすれば、きっと慈悲の行いなのでしょう。
map_0355#411	わたくし自身の不注意で、身内を遠ざけてしまいましたの。あまりに高い星ばかり見ていて。
map_0355#412	それでも――
map_0355#413	他の皆さんは、気にもされませんでしたわ。
map_0355#414	サムソンは、わたくしがどれほど彼の申し出を拒んでも、いつも気にかけてくれましたの。
map_0355#415	それにテラ――あんなに騒々しい子でしたけれど――
map_0355#416	彼らは、わたくしが「本物」かどうかなど、考えもしませんでしたわ。
map_0355#417	ただ、そこにいてくれましたの。
map_0355#418	粗野で騒がしくて、まるで下品さの見本のような人たちでしたけれど……
map_0355#419	それでも、とても大切な思い出ですわ……
map_0355#420	そして今は、みんないなくなってしまいました。
map_0355#421	片付けましょう、ショーは終わりですわ。
map_0355#422	また雲を眺める日々に戻った方がよさそうですわね。
map_0355#423	あれは星のように見えますわね。
map_0355#424	サインでもねだってみましょうかしら。
