map_0080#241	ヘザー: 何よ?
map_0080#364	カイン: あれ、何かあったの…?
map_0080#365	カイン: おっ、ジムバッジ手に入れたんだね!
map_0080#366	おめでとう~
map_0080#367	シェリーは大丈夫そう?
map_0080#368	俺も彼女と戦いたいと思ってたけど、まだ時間が必要ならわかるよ…
map_0080#369	ねえ、俺と一戦どう?
map_0080#370	君の強さ、自分自身で感じてみたいんだよね~
map_0080#371	どれくらい俺が通用するか見たいだけさ…
map_0080#372	彼女に挑む前にってことだけどね!
map_0080#373	それに、あの医者が中に入っていくのを見たしね。彼女の準備ができるまで、時間つぶしにちょうどいいよ。
map_0080#374	パーティ回復してあげるから、準備できたら声かけて?
map_0080#375	シェリー: 鍵がかかってるわ…
map_0080#376	あ、あの、たぶん?
map_0080#377	確かめたいなら自分で試してみて…
map_0080#378	カイン: ドアに鍵がかかってる。
map_0080#379	まったく、少なくとも入れるとは思ってたのに!
map_0080#380	蝶番にドライバーでも使えば…
map_0080#381	<- ピオニーサークル\n^v -4番街
map_0080#382	>- クロッカスロード\n^v -4番街
map_0080#383	<- アジサイ通り\n^v -5番街
map_0080#384	<- ダリア通り\nv -5番街
map_0080#385	<>- ダリア通り\nv -4番街
map_0080#386	<>- アジサイ通り\n^v -4番街
map_0080#387	アーチャー: 彼女への対処は君に任せるとしよう、\PN。
map_0080#388	私は見張りに立ち、誰にも邪魔をさせないようにする。
map_0080#389	マクスウェル: 舞台は君のものだ、\PN。
map_0080#390	「栄光」ってのがどういうものか、見せつけてやれよ。
map_0080#391	誰にも邪魔させないようにしとくからな。
map_0080#392	アーチャー: 見事だ。
map_0080#393	これで彼女を7番街から排除するには十分だろう。
map_0080#394	これ以上引き止めはしないが、私から君へ、ひとつ贈り物を。
map_0080#395	アクアギャングの一員なら、当然これが役に立つだろう。
map_0080#396	アーチャー: また会おう。
map_0080#397	マクスウェル: あれか?
map_0080#398	最高に笑えたな。
map_0080#399	見事なもんだ!
map_0080#400	あそこにはしばらく顔を出せないだろうな。
map_0080#401	なあ、手伝ってくれて助かったよ。
map_0080#402	もうひとつ贈り物があるんだ。
map_0080#403	マクスウェル: 俺たちみたいな集まりにしちゃ、悪くないだろ?
map_0080#404	またどこかで会おう。
map_0080#405	栄光のためにな!
map_0080#406	これ以上先に進むのはおすすめしないぞ。
map_0080#407	マレー: あんたのためを思って言ってるんだ。
map_0080#408	あの気の毒な人、早く片付けてもらえるといいんだが。
map_0080#409	ねえ、知ってた?
map_0080#410	リボーンの風は時々ものすごく強くて、ひこうタイプのポケモンが弱点を無視できるくらいなのよ!
map_0080#411	ここからだと街の眺めが素晴らしいのに…
map_0080#412	他の場所もラピスくらいきれいだったらいいのに。
map_0080#413	>- アジサイ通り\n^ -3番街
map_0080#414	>- ダリア通り\nv -3番街
map_0080#415	この扉はトルマリン砂漠へと通じている…もちろん列車専用だ。しばらくはまた開くことはなさそうだが…
map_0080#416	あの砂漠は広大で容赦がない…信用できない場所だ。まさに人類の領域の外だな。
map_0080#417	小銭恵んでくれない?
map_0080#418	ショーナ: 恵んでもらった…
map_0080#419	求めてた「変化」とは違ったけど…
map_0080#420	どこに行くつもりだ?
map_0080#421	ロジャー: ずいぶん遠くまで行くつもりみたいだな。
map_0080#422	行けよ。別に止められるわけでもないしな。
map_0080#423	ここは俺たちの縄張りだ。下がれよ、兄弟。
map_0080#424	トニー: …ああ、兄弟。
map_0080#425	ふん。まあ通ってもいいけどな。
map_0080#426	このあたりは初めてなんだろ。
map_0080#427	なんでわかるかって?
map_0080#428	こんな場所にしちゃ、身なりが良すぎるからだよ。
map_0080#429	マーフィー: バトルの腕も、こんな場所には勿体ないくらいだ…
map_0080#430	ウェイン: 気をつけろよ、今のうちにな。
map_0080#431	その線路歩いてイキがってるみてえだけど、大したことねえよ。
map_0080#432	シド: ちょっとはやるみたいだな。
map_0080#433	でもこの界隈は俺たちのもんだ、忘れんな。
map_0080#434	ちょっと今忙しいんだ。悪いけどとっとと消えてくれ。
map_0080#435	アクア: よお兄弟、調子はどうだ?
map_0080#436	は? 俺が持ってたレアなポケモンを取り返そうとしてんのか?
map_0080#437	やべ、仲間のもんだったとは知らなかったぜ。
map_0080#438	悪いな相棒、それもう7番街で売っちまったよ。あそこに露天商がいるから、そいつから取り返せるかもな。
map_0080#439	それと、勝手に売っぱらったお詫びに、これ受け取ってくれよ。
map_0080#440	マグマの奴からせしめたやつだ。
map_0080#441	でもあんたなら何か使い道あるだろ。
map_0080#442	頑張れよ、相棒!
map_0080#443	アクア: 悪いな相棒、あのポケモンはもう7番街で売っちまったよ。あそこに露天商がいるから、そいつから取り返せるかもな。
map_0080#444	アクア: は? また拗ねたマグマのバカかよ。あのポケモンを奪った時みたいに、お前もぶちのめしてやるよ!
map_0080#445	ヤコブ: くそ! あのポケモン自分で持ってれば、お前に勝てたのに!
map_0080#446	アクア: ふん! 運が悪かったな。あのポケモンはもう7番街で売っちまった。露天商から買い戻すしかないだろうな!
map_0080#447	<- クロッカスロード\n^ -5番街
map_0080#448	はい
map_0080#449	いいえ
map_0081#0	あんたみたいなのが、こんな場所で何やってんだ?
map_0081#1	ウェイン: 気をつけろよ、今のうちにな。
map_0081#2	他に行くとこがあるなら、こんなとこには来ないけどな。
map_0081#3	この門はビクスビジョン荒地へと続いている。
map_0081#4	ひどく荒れ果てた場所だ。
map_0081#5	地方各地からのがれきが、理由もなくあそこに現れるんだ。
map_0081#6	封鎖しておくのは正しい判断だな。
map_0081#7	ちょっと、オブシディアワードに入れてもらえなかったら、どうやって買い物すればいいの?
map_0081#8	サロン・ド・グラマゾニア
map_0081#9	壁に広告が貼られている…
map_0081#10	「驚異のアゲートサーカス!
map_0081#11	見世物師、道化師、そして大混乱!
map_0081#12	今なら、名高きアゲート・エース三頭政もご登場!
map_0081#13	リボーンリーグの三人のジムリーダーに挑戦し、壮大なショーの中でぶつかり合え!
map_0081#14	アゲートシティのすぐ西で!
map_0081#15	なあ、「ふしぎなアメ」とか持ってねえか?
map_0081#16	カーター: 禁断症状が出てんだよ…
map_0081#17	どうしても欲しいんだよ…
map_0081#18	カイン: ヴィクトリアが間違ってるとは言えないな…
map_0081#19	でも俺、迷ってる。
map_0081#20	あの子たちに何かあってほしくないのは当然だし。
map_0081#21	冷たい人間ってわけじゃないんだ。
map_0081#22	でも、あそこは決して居心地のいい場所じゃなかった。
map_0081#23	あそこにはもう戻りたくない。
map_0081#24	カイン: …それでも、行かなきゃだよね?
map_0081#25	カイン: よし。これで門はみんなに開かれた。
map_0081#26	そもそもこれでミート団を閉じ込めておけてればよかったのにな。
map_0081#27	カイン: …もう迷ってる場合じゃない。
map_0081#28	できることは全部やろう。
map_0081#29	…それで足りることを祈るしかないね。
map_0081#30	キャル: \PN?
map_0081#31	キャル: よお。
map_0081#32	なあ、君が俺を憎む理由なら山ほどあるってわかってる。でも聞いてくれ。
map_0081#33	こんな結果になるつもりはなかったんだ、信じてほしい。
map_0081#34	キキがこんなことになるなんて――
map_0081#35	ミート団のためにアポフィルに潜入しようとして行ったわけじゃないんだ。
map_0081#36	本当に変わりたかった。
map_0081#37	それに――実際に変われた。
map_0081#38	…と思う。
map_0081#39	やっと軌道に乗ったと思うたびに、また別の何かが起きて弾き出される気がするんだ。
map_0081#40	ミート団に居場所がばれて、パルスを設置しろって命令されたんだ。
map_0081#41	君たちもキキも、それを止めようと必死に頑張った…
map_0081#42	…でも実は、俺が最初からあの機械に細工してたんだ。
map_0081#43	誰も傷つけたくなかった。
map_0081#44	あの場所が好きだった。
map_0081#45	だから設置する時、こっそりパルスを壊しておいたんだ。
map_0081#46	冷却システムを丸ごと引き裂いた。
map_0081#47	キキが死ぬ必要なんてなかったんだ。
map_0081#48	あのチャーレムは――
map_0081#49	君が思ってるようなことじゃない。
map_0081#50	でも、こんな形になってしまって本当にすまない。
map_0081#51	信じてくれるか?
map_0081#52	キャル: 情けをかけてくれて感謝するよ。
map_0081#53	俺には過ぎたものだ。
map_0081#54	アポフィルの誰かが俺の話を聞いてくれるなんて、期待してない。
map_0081#55	特にヴィクトリアはな。
map_0081#56	キャル: まあ、予想通りの答えだよな。
map_0081#57	ヴィクトリアもきっと同じこと言うよ。
map_0081#58	…それと、もうひとつある。
map_0081#59	キャル: 俺は…あそこに機材を運び上げるために、それを盗まなきゃならなかった。
map_0081#60	すぐに後悔した。
map_0081#61	それに、知った時はもっと――
map_0081#62	ミート団がシェリーを捕らえてる。
map_0081#63	あそこに乗り込んで彼女を助け出して、あいつらをぶちのめしたい。
map_0081#64	…でもやらない。
map_0081#65	自分の恐れや衝動より、もっとましな自分になる方法を見つけなきゃいけないんだ。
map_0081#66	だから、俺は姿を消すことにするよ。
map_0081#67	裏切ったことがばれた以上、あいつらも俺を追ってくるだろうしな。
map_0081#68	俺の代わりに彼女を救い出してくれると信じてる。
map_0081#69	半分は俺のせいでこうなったってわかってる、
map_0081#70	でも、どうかこれを正すのを手伝ってくれ。
map_0081#71	いつかまた会えるかもな。
map_0081#72	会わない方がいいのかもしれないけど。
map_0081#73	> - ミナモ通り\n^ - 10番街
map_0081#74	> - トバリ通り\n^v - 10番街
map_0081#75	< - トバリ通り\n^v - 11番街
map_0081#76	わしの家は植物にめちゃくちゃにされちまった…
map_0081#77	家を失って、この酷い嵐の中で行く当てもない老人に、小銭を恵んでくれんかね…?
map_0081#78	家を失って、この惨めな暑さの中で行く当てもない老人に、小銭を恵んでくれんかね?
map_0081#79	家を失って、雨風をしのぐ場所もない老人に、小銭を恵んでくれんかね?
map_0081#80	ママ、どこにいるの?
map_0081#81	はい
map_0081#82	いいえ
map_0085#0	バネブー: バネブー! バネブー! バネブーバネブーバネブーバネブーバネブーバネブーバネブーバネブーバネブーバネブーバネブーバネブーバネブーバネブーバネブーバネブーバネブーバネブー!
map_0085#1	バネブーは逃げ出した!
map_0085#2	ヴィクトリア: はぁ。
map_0085#3	アマリアがここを通ったかもと思ったんだけど、
map_0085#4	ここじゃ全然前に進めないわね。
map_0085#5	それにこの子たち、ひどいものね…
map_0085#6	修行してるとはいえ、ここじゃ手に負えない気がしてしまうわ。
map_0085#7	ねえ、わたしと戦ってくれる?
map_0085#8	お互い経験になると思うの。どう?
map_0085#9	ヴィクトリア: それじゃあ勝負よ!
map_0085#10	手加減しないでね?
map_0085#11	キキはいつも言ってたわ、体を鍛えずして心は鍛えられないって。
map_0085#12	両方とも全力で出し切りましょう!
map_0085#14	やり手気取り: ブラボー、お嬢さんたち。
map_0085#15	見せ方をよくわかってるじゃないか。
map_0085#16	やり手気取り: ブラボー。
map_0085#17	女の子にしちゃ、なかなかの見世物だったな。
map_0085#18	ヴィクトリア: 何ですって?
map_0085#19	やり手気取り: おいおい、悪気はないさ。
map_0085#20	あそこでの君、すごく良かったよ。
map_0085#21	ああいう女の子を見るのが好きなんだよな…さっき何て言ってた?
map_0085#22	「体を全力で出し切る」だっけ?
map_0085#23	あぉーあぉーあぉぉぉ~
map_0085#24	ヴィクトリア: 今、本気で運試しするつもり?
map_0085#25	やり手気取り: あ…はは。
map_0085#26	それなんだけど…
map_0085#27	み、見てくれよ、俺、力になれるからさ!
map_0085#28	何か前に進む方法が必要だって言ってたよな?
map_0085#29	それなら、これはどうだ?
map_0085#30	やり手気取り: スイッチがここに隠されてたんだ――これでもう先に進めるぞ!
map_0085#31	ヴィクトリア: …そう。
map_0085#32	それは都合がいいこと。
map_0085#33	残念だけど、ちょっとばかり役に立ったからって、責任が全部帳消しになるわけじゃないのよ。
map_0085#34	\PN、あなたは先に行ってて。
map_0085#35	わたしはこの男にもう少し言っておきたいことがあるから。
map_0085#36	自分が何を言ってたのか、しっかり理解させておくわ…
map_0085#37	ヴィクトリア: こんな場所じゃやる気になれない?
map_0085#38	まあ、それならそれでいいわ。
map_0085#39	でもアマリアはどこにいるのかしら…
map_0085#40	ヴィクトリア: あら、門が開いたの?
map_0085#41	好都合ね。
map_0085#42	わたしはもう少しこのあたりを調べてみるわ。
map_0085#43	誰かアマリアを見た人がいないか聞いて回ってから追いつくから、先に行っててくれる?
map_0085#44	あんた、綺麗な顔してんな。
map_0085#45	レイフ: あんた、けっこう強くなったな。
map_0085#46	ここじゃ弱さの入る余地なんてねえ。
map_0085#47	こういうの見たことあるか?
map_0085#48	「光のかけら」って呼ばれてるやつだ。リボーンのあちこちに、ランダムに現れるんだよ。
map_0085#49	価値があるもんなら持ってくんだけどな、残念ながら誰かが触れた瞬間に消えちまうんだ。
map_0085#50	ちょっとしたリフレッシュ効果があるって副作用付きでな。
map_0085#51	ポケモンを回復させたりとか、そういうやつだ。
map_0085#52	でも俺は元気だからな。欲しいか?
map_0085#53	その光のかけらを消しちまったな!
map_0085#54	あんたのポケモンも、今頃かなり調子良くなってるんじゃねえか?
map_0085#55	気をつけろ! そこら中にいるからな!
map_0085#56	オマール: あ、あ、あいつら…
map_0085#57	あいつらにやられたら、マジでひどい目に遭うぜ…
map_0085#58	タマゴが置き去りにされているようだ。
