map_0058#90	キューボール: おい、オレたちの仲間から離れろ!
map_0062#18	チンピラ: お前、買ったポケモンが欲しいってわけか?
map_0062#19	チンピラ: おやおや、こいつは誰かと思えば。大ホールのめそめそしたガキじゃねえか。
map_0062#20	買ったポケモンが欲しいってわけか?
map_0062#21	それなら教えてやるよ。あと500ドルで売ってやる! どうだ?
map_0062#22	よし、話が分かるじゃねえか。よこせよ、相棒。
map_0062#23	よし。それじゃ、お前のポケモンだ……
map_0062#24	っていうのは嘘だ!
map_0062#25	なんでお前にそのまま渡すと思った? 欲しい金はもう全部手に入れたんだぜ!
map_0062#26	へっ、「オレたち」ってのが誰か気になるか?
map_0062#27	出てこいよ。
map_0062#28	セールスマン: サプライズ! よお、お客さん、調子はどうだ? いつもご贔屓にありがとよ! お前がくれた金、最高だぜ! 1000ドルとはな、悪くない!
map_0062#29	チンピラ: それに一番いいところはな、お前にポケモンを渡す必要すらねえってことだ。へっ、オレたち二人を倒せると思うんならな。
map_0062#30	へっ、ポケモン一匹で二人相手にできるとでも思ってんのか? せいぜい頑張れよ!
map_0062#31	セールスマン: もういいから、ポケモンを渡してやれよ……
map_0062#32	セールスマン: 冗談だろ? ふざけるな。
map_0062#33	チッ。まあ、気が変わったらいつでも教えてくれ、な、相棒?
map_0062#34	チッ、金すら持ってねえのか? とっとと失せろ!
map_0062#35	チンピラ: お前にポケモンを渡す必要すらねえんだよ。へっ、オレたち二人を倒せると思うんならな。
map_0062#36	やったんだよ! あのガキさえいなけりゃ、もう一回やれたのにな。でもまあ、1000ドルも悪くねえよな。なあ、相棒? オレはもう手え引くぜ。
map_0062#37	はい
map_0062#38	いいえ
map_0064#0	あいつら、また戻ってくる。絶対戻ってくるわ!
map_0064#1	強盗にもう子供の一匹を取られたのよ、また戻ってくるに決まってる!
map_0064#2	出てって! これ以上何か起きるのは嫌なの! お願い、行って!
map_0064#3	わたしの大切なポケモンを助けてくれて、本当にありがとう!
map_0064#4	どうしていいか分からなかったわ……
map_0064#5	でも、また戻ってきたらどうしよう?
map_0064#6	絶対また戻ってくるわ……大切な子があんな悪党どもの手に落ちるなんて、耐えられない!
map_0064#7	そうだ! あなた! この子を守って、あの連中をやっつけてちょうだい!
map_0064#8	やってくれる? 一度助けてくれたんだもの、見守ってくれるって信じてるわ!
map_0064#9	お願いだから、大切な子を守ってあげて。
map_0064#10	きっと大丈夫……
map_0064#11	街の犯罪率が下がって、生活がずっと落ち着いたわ!
map_0064#12	怪しい人が入ってきて、財産や大切なペットを奪っていくんじゃないかって、もう心配しなくていいの。
map_0064#13	それが誰のおかげか分かる?
map_0064#14	リボーンを助けようと、あちこち駆け回っている、あの素晴らしくて強いトレーナー……
map_0064#15	アドリエンヌよ!
map_0064#16	あら! あなただったのね! ププリンを預けた人!
map_0064#17	元気にしてる? そうだ――
map_0064#18	返してもらえたりする?
map_0064#19	リボーンシティの犯罪率がすごく下がったから、ポケモンを奪われる心配ももうしなくていいの。
map_0064#20	それに、あくまで貸すだけって言ったはずよ!
map_0064#21	ええと、そう言ったわよね?
map_0064#22	言ってなかったとしても、暗にそう伝わってたはず。だから、ププリンを返してちょうだい!
map_0064#23	それは絶対にわたしのププリンじゃないわ! わたしの子が欲しいの!
map_0064#24	ああ、やっぱり持っていてくれたのね。すごく嬉しいわ!
map_0064#25	ちゃんとお世話してくれてありがとう!
map_0064#26	大切な子を守ってくれたお礼に、これを受け取って!
map_0064#27	もう二度と、大切な子を目の届かないところに置いたりしないわ。
map_0064#28	いっそ、自分で戦えるように育てるべきかしら……
map_0064#29	あっ! でもそうしたら、かわいさが減っちゃうかも!
map_0064#30	女性: 助けて!
map_0064#31	怪しい男: 誰も助けになんて来ませんよ、お嬢さん。このポケモンは、もうチームメテオのものだ。
map_0064#32	怪しい女: ……何? やっぱり見つかったの?
map_0064#33	怪しい男: そうか……それなら、残念だが排除させてもらうしかないな。
map_0064#34	二人: これは攻撃だ。
map_0064#35	衝撃に備えろ。
map_0064#36	この害虫を排除するために!
map_0064#37	神の御国の芸術を取り戻すために!
map_0064#38	上なる世界を打ち砕くために!
map_0064#39	真実と愛の下に横たわるものを見つけるために!
map_0064#40	チームメテオ!
map_0064#41	永遠の光と共鳴する!
map_0064#42	今すぐ逃げろ、戦おうとするな!
map_0064#43	正義のために! その通り!
map_0064#44	どうして失敗したんだ……
map_0064#45	やっぱり問題になると思ったのよ!
map_0064#46	怪しい男: ……
map_0064#47	このまま続ければ、本来の目的が危うくなる。
map_0064#48	撤退だ。
map_0064#49	プリ! ププリン!
map_0064#50	ププリンは怯えているようだ。
map_0064#51	ププリンを連れていきますか?
map_0064#52	はい
map_0064#53	いいえ
map_0066#0	そもそも、こういう工場って何を作ってるんだろう……? 廃棄物以外に……
map_0066#1	昔は何時間も湖を眺めるのが好きだったんだ――*ゴホッ* *ゴホッ*
map_0066#2	……そろそろ中に戻らないと……ここは空気が悪すぎる……もう少しだけ……
map_0066#3	よぉーう。あのフワフワしたのと*ヒック*。こっち来いよ!
map_0066#4	……なんかフワフワの飢えたやつは……?
map_0066#5	ふぬぬ……なんだって?
map_0066#6	レペゼン!
map_0066#7	それ、何のレペゼンにもなってねえ……
map_0066#8	自分を貫かなきゃな、スワッグを身にまとわねえと、相棒。
map_0066#9	うーん、どこにいるんだ?
map_0066#10	古い工場で待ち合わせって言ってたのに……
map_0066#11	もしかしてもう一つの工場のことだったのかも! ちゃんと指定しなかったあいつらが悪い。不注意にもほどがある!
map_0066#12	ん?
map_0066#13	おい、何見てんだよ?
map_0066#14	文句あるのか? ないといいけどな。お前、誰に関わってるか分かってねえみたいだ。
map_0066#15	名前はファーン。クールな野郎で、トップの座にいる男だ。覚えたか?
map_0066#16	いや、いや……分かってねえみたいだな。
map_0066#17	よし、クラスのお勉強の時間の準備でもしとけ!
map_0066#19	もういいわ。こんなのに構ってる時間ねえ。
map_0066#20	お前と違って、オレには行くとこがあるし、待ってる奴もいるんだよ。
map_0066#21	ジムリーグ挑戦してるからってどうした? しかもバッジまだ一個も持ってねえのか? しょぼすぎだろ。
map_0066#22	それより先にそっち頑張ったらどうだ。オレの方は、他で必要とされてるんでな。
map_0066#23	じゃあな、負け犬!
map_0066#24	ヨーテリー: ワン! ワン! ワン! ワン! ワン! ワン!
map_0066#25	ヨーテリーはまた逃げ出した!
map_0066#26	アマリア: よかった、来たね! よし、それじゃここへの入り方を考えないと……
map_0066#27	アマリア: うーん……
map_0066#28	アマリア: よし……これでいけると思う……
map_0066#29	デリバランス、お前が必要よ!
map_0066#30	アマリア: よし、デリバランス。「たきのぼり」、それから「れいとうビーム」!
map_0066#31	アマリア: ……完璧! いつも頼りにしてるよ、デリバランス~
map_0066#32	さあ、戻って!
map_0066#33	アマリア: 行きましょうか?
map_0066#34	ヒメグマ: ウーサ!
map_0066#35	ヒメグマは逃げ出した!
map_0066#36	<>- ブラックスチーム通り\n^ - クリスタル通り
map_0066#37	>- シンダートン通り\nv - クリスタル通り
map_0066#38	こんにちは、トレーナーさん!
map_0066#39	ポケスナックの詰め合わせ、いかがですか?
map_0066#40	ポケスナックは、ポケモンにとって美味しいおやつです! あげれば、ポケモンはもっと幸せになりますよ!
map_0066#41	でも、それだけじゃないんです!
map_0066#42	この美味しくて栄養満点な甘いおやつを持っているだけで、珍しい野生のポケモンが近づいてきやすくなるんですよ!
map_0066#43	いやいや、草むらでのランダムエンカウントの話じゃないですよ――そんなの誰が欲しいですか?
map_0066#44	特別な機会には、普段は近づいてこないようなポケモンが近づいてくるかもしれない、って話です。いかがですか?
map_0066#45	スナックを買っていきませんか?
map_0068#0	あら、またあなたね!
map_0068#1	ようやくブルーを捕まえたんだけど、まだ言うことを聞いてくれなくて。
map_0068#2	ジムバッジさえあれば言うこと聞くって分かってるんだけど、手に入れられるわけがないし。
map_0068#3	どうしたらいいか分からないの。
map_0068#4	ようやくヌイコグマを捕まえたんだけど、まだ言うことを聞いてくれなくて。
map_0068#5	ちょっと待って、バッジ持ってるの?
map_0068#6	あなたがそんなに腕のいいトレーナーだったなんて、知らなかったわ。
map_0068#7	ブルーを一緒に連れて行ってもらえないかしら?
map_0068#8	正直、言うこと聞いてくれないなら、わたしはトレーナーに向いてないってことだから……
map_0068#9	明らかに、この子の世話をする資格がわたしにはないの。
map_0068#10	引き取ってくれる?
map_0068#11	あら……ありがとう。わたしより上手に世話してあげてね。
map_0068#12	ああ……いいえ、そうよね、わたしがもっと頑張らなきゃ。
map_0068#13	ヌイコグマを一緒に連れて行ってもらえないかしら?
map_0068#14	ねえ! ブルーは元気にしてる?
map_0068#15	ねえ! ヌイコグマは元気にしてる?
map_0068#16	ねえ! ブルーのことちゃんと大事にしてくれてる?
map_0068#17	ちょっと、バッジ今何個持ってるの!?
map_0068#18	最初にポケモンをもらって、この街に来たばかりだった頃を覚えてるわ。今じゃこんなに!
map_0068#19	やだ、おばあちゃんみたいなこと言ってる!
map_0068#20	ねえ! ヌイコグマのことちゃんと大事にしてくれてる?
map_0068#21	ポケモンのレベルが上がりすぎちゃった?
map_0068#22	フルパーティで育てるか、ノーマルアメを使って調整するといいわよ。
map_0068#23	妹にも教えようとしたんだけど、アメはポケモンに悪いって言い張るのよね。何にでも使い道があるのに!
map_0068#24	まあ、妹はこれ欲しくないみたいだから。あなたはどう?
map_0068#25	それはそうと、妹のポケモンの世話をしてくれて本当にありがとう。
map_0068#26	わたしの言うことを聞いてくれたらいいんだけど、まあ仕方ないわね。
map_0068#27	ああいう人が誰かに「exppercent」って言えたらいいのに……そうすれば、ポケモンの成長量を正確にコントロールできるかもしれないのに。
map_0068#28	妹なら、成長を遅くしたり、全く成長させないようにしたりできるかも……
map_0068#29	あるいは、誰かは逆に成長を速くできるかもね!
map_0068#30	それか、ポケモンを逆に成長させることだってできちゃうかも!
map_0068#31	……というか、そんなの誰が望むのかしら?
map_0068#32	何言ってるんだろう、そんな簡単なわけないのに。
map_0068#33	ブルー。
map_0068#34	ヌイ~
map_0068#35	はい
map_0068#36	いいえ
map_0069#0	サイモン: すべてを忘れてしまいたい……
map_0069#1	タラのことを除いては。
map_0069#2	もちろん、彼女を思い出す手がかりなんて何もない。フルネームすら。
map_0069#3	彼女という存在のすべてが、今はタンザン湖の底に沈んでいる。
map_0069#4	そんなはずは……
map_0069#5	本当に彼女のIDタグを見つけ出したのか?
map_0069#6	頼む、見せてくれ。
map_0069#7	\PNはIDタグを渡した。
map_0069#8	……「タラ・コッパーマン」。
map_0069#9	それは――
map_0069#10	オレの苗字だ。
map_0069#12	考え直すべきことが、山ほどある。
map_0069#13	\PN、敵として立ち向かってくれたのと同じくらい、友として接してくれたこと、感謝する。
map_0069#14	状況を考えると、これを手に入れるのは簡単ではなかったはずだ。お礼に、このわざマシンを受け取ってくれ。
map_0069#15	オレが抜ける頃、他のメテオの連中の間で回されてたものだが、今はお前が使う方が役に立つだろう。
map_0069#16	サイモン: それじゃ、よければ、
map_0069#17	オレは自分の人生の選択について、少し考えることにする。
map_0069#18	ではな。
map_0069#19	サイモン: 見つけたか、\PN。
map_0069#20	メテオとの縁は切った。だが、かつての仲間への敬意から、あえて秘密を裏切ることはしない。悪いな。
map_0069#21	そもそも、オレがあれに関わってなかったことにしてくれ。
map_0069#22	あいつら全員のことを忘れたいんだ。
map_0069#23	昔は毎朝、マルコウの森を散歩してたんだ。
map_0069#24	でも今はジャスパーワードが封鎖されてて、行き場がなくて……
map_0069#25	昔の日課に戻れるのは、本当にいいものだ。
map_0069#26	でも、昔はジャスパーをよく歩き回ったものだが、階段はどうも性に合わない。
map_0069#27	今は代わりに、美しい湖畔がある。
map_0069#28	この辺りのギャング、最近前より荒っぽくなってて……
map_0069#29	何かあったのかしら?
map_0069#30	昔はああいうギャングっぽい奴らが怖かったけど、修復作業を一緒にやってから、全然平気になったよ!
map_0069#31	ああいう奴らも、その気になれば結構真面目に働くもんだね。
map_0071#0	ジュリア: ここ、最悪でひどい匂いがする!
map_0071#1	フロリニア: 観測されたワイン色は、汚染物質が過剰な水準にあることを示している。
map_0071#2	推定毒性: 90パーセント以上。
map_0071#3	ファーン: つまり放火だけじゃなく、湖の汚染までやってるってわけか。
map_0071#4	どっちにしろ、こいつらが悪者なのは変わらねえ。
map_0071#5	何か手を打つのか、それともメソメソ突っ立ってるだけか?
map_0071#6	フロリニア: この施設は、能動的な汚染源というよりも、水に関するデータを収集しているようで、それから――
map_0071#7	ジュリア: ちょっとちょっと、小さい言葉たちどこ行っちゃったの!?
map_0071#8	フロリニア: データ消去が行われた疑いがある。
map_0071#9	仮説: 施設の運用者が、収集済みのデータや情報の漏洩を避けるため、非重要系統の手続き的な停止を開始した。
map_0071#10	ファーン: だったら、ぼさっとしてねえでさっさと動くぞ。
map_0071#11	どこかの誰かさんが正面のドアを丸ごと吹っ飛ばして存在をアピールしちまった以上、隠密行動なんて贅沢は言ってられねえしな。
map_0071#12	ジュリア: え、アタシに爆破すんなって言うわけ!?
map_0071#13	ばかばかしい!
map_0071#14	フロリニア: この先で道が分岐している。
map_0071#15	この施設を徹底的に調査し、財産を回収するための最も効率的な行動経路は、パーティを同様に二分することを必要とする。
map_0071#16	ファーン: たまには普通の言葉で話してくれねえか?
map_0071#17	ジュリア: 分かれた方がいいって言ってるの。
map_0071#18	あったりまえでしょ。
map_0071#19	リニはアタシと一緒! こっちは横のルートね!
map_0071#20	\PNは、ファーンと一緒に行って。
map_0071#21	こいつの態度に振り回されないようにね~
map_0071#22	ファーン: あ?
map_0071#23	ジュリア: なんでもなーい!
map_0071#24	さあ、リニ、行こーう!
map_0071#25	フロリニア: 注意しつつ進行せよ。
map_0071#26	ファーン: いつもそうしてるさ、姉貴。
map_0071#27	フロリニア: 先の発言の対象は、お前ではない。
map_0071#28	命を危険にさらすほどの無謀な行動を取る許可を、お前に与える。
map_0071#29	ファーン: 見ての通り、こいつは育ちの中で抱っこが足りなかったんだよ。オレの知ったこっちゃねえけどな。
map_0071#30	さて、\PN、結局お前とオレってわけだ。
map_0071#31	ほら、笑えよ!
map_0071#32	オレに運んでもらえるんだから、ラッキーだと思えよ。
map_0071#33	オレの足を引っ張るなよ、いいな?
map_0071#34	ファーン: ふざけてねえで、さっさと行くぞ。
map_0071#35	地獄のような痛みを味わわせてやる!
map_0071#36	痛って……
map_0071#37	チッ、仕事はやったぜ。
map_0071#38	命令ははっきりしている。ポケモンを出せ。
map_0071#39	は……全滅させられちまった。
map_0071#40	お前は失敗する。
map_0071#41	自分が何に足を踏み入れてるのか、まるで分かってねえな。
map_0071#42	忠告しなかったなんて言わせないから~
map_0071#43	ボスはそんなに甘くないわよ。
map_0071#44	ここに来るべきじゃなかったのに。
map_0071#45	自分が何やってるか、本当に分かってないんだな?
map_0071#46	愚か者め。
map_0071#47	侵入者だと? このオレたちのアジトに?
map_0071#48	思ったよりありそうな話だな。
map_0071#49	ま、いいさ。やるべきことはやったんだ。
map_0071#50	そこで止まれ!
map_0071#51	それか、止まらないか。
map_0071#52	ぶっ倒されても知ったこっちゃないわ。
map_0071#53	今すぐ引き返せば、誰も傷つかずに済む。
map_0071#54	結局傷ついたのはオレか。フン。
map_0071#55	負けはしたが、やるべきことはやった。
map_0071#56	通すわけにはいかん!
map_0071#57	うぐ、分かったよ。
map_0071#58	通れ。仕方ないならな。
map_0071#59	我々には成し遂げるべき目標がある。邪魔はさせん!
map_0071#60	うっ。またこれで後戻りだ。
map_0071#61	失敗を重ねるたび、少しずつ遠のいていく……
map_0071#62	こんなところで何をしている?
map_0071#63	ああ、そういうことしてるんだ。
map_0071#64	ん……何か変よね?
map_0071#65	ブツが欲しいのか? 取りに来い。
map_0071#66	うっ……
map_0071#67	ボスは喜ばないだろうな。
map_0071#68	オレたちの爆弾に、一体何の用だ?
