map_0037#141	ほら、明らかに足を引きずってるでしょ? 見て
map_0037#195	なあ、ちょっと助けてくれよ。
map_0037#196	\Gちょっと小銭ない? 50ドルでいいから恵んでくれよ。
map_0037#197	助かるぜ。
map_0037#198	どうもありがとよ。ちょっくら一眠りしてくるわ。
map_0037#199	お前、オレよりも金無いんだな。
map_0037#200	お前は腐れマフィンだ……お前は……
map_0037#201	<- ネオパスロード\nv - 4番街
map_0037#202	ヒメグマ: ウーサ!
map_0037#203	Zzz……
map_0037#204	新人トレーナーか? ここを案内してやろうか?
map_0037#205	ふん。思ったより素人じゃないな。
map_0037#206	いつでも来るといいわ~
map_0037#207	<>- ネオパスロード\n^v - 3番街
map_0037#208	まだ奴らの気配はない。
map_0037#209	隊長は北に向かったと見ているようだ。近くにアジトがあるのかもな……?
map_0037#210	ということは、その方角にアジトがあるんだろうな。
map_0037#211	ヒメグマ: テ……ディウーサ!
map_0037#212	「ネオサーキット発電所 ― シルフカンパニー提供」
map_0037#213	下に何か書き足されている。
map_0037#214	「『ネオサーキット』なんてダサい名前! 正式に改名する、『エレクトロキラキラハッピー大爆発ハウス・オブ・チア』ってな!」
map_0037#215	ヴィクトリア: \PN!
map_0037#216	今、初めてのバッジを手に入れたところですか?
map_0037#217	おめでとうございます!
map_0037#218	でも、ここからが本番ですよ。
map_0037#219	わたしもジュリアに挑もうと思っていたのですが、ひどい話を聞いてしまって……
map_0037#220	オブシディアワードで何か起きているらしいんです。
map_0037#221	植物が制御不能なほど成長して、人を襲って、公園が封鎖されているとか?
map_0037#222	何か手伝えることがないか、今から向かうところです!
map_0037#223	一緒に来るなら、大ホールから東ですよ!
map_0037#224	それでは、お気をつけて!
map_0037#225	ネオサーキット発電所 / ペリドットワードジム
map_0037#226	営業時間:
map_0037#227	月~日: 持ってきたコーヒーの量次第で完全に変動
map_0037#228	<>- ネオパスロード\n^v - 2番街
map_0037#229	>- ユニオン通り\n^ - 2番街
map_0037#230	壁に広告が貼られている……
map_0037#231	「驚異のアゲートサーカス!
map_0037#232	見世物師にピエロ、そして大混乱!
map_0037#233	今なら、あの名高きアゲートエーストリオも登場!
map_0037#234	リボーンリーグの3人のリーダーに挑み、豪快なショーダウンで対決しよう!
map_0037#235	アゲートシティのすぐ西!」
map_0037#236	リーグに挑戦してみたいけど、自分に準備ができてるのか分からない。
map_0037#237	リボーンのジムリーダーは、他の地方のリーダーとはちょっと違うんだ。
map_0037#238	みんな、ポケモンを6匹も揃えてる。
map_0037#239	間違いなく、厳しい戦いになるだろうな。
map_0037#240	ジュリア: あ、ハイハイ、\PN!
map_0037#241	アタシのジムに挑戦しに来たの?
map_0037#242	バトルしたいのはやまやまなんだけど、今はちょっと待って。トラブル発生なの!
map_0037#243	グランドビュー駅の爆破事件について、アメから報告が入ったばっかりなんだ!
map_0037#244	犯人は捕まえたんだけど、どうやら第二の攻撃を計画してるチームがいるみたいでさ!
map_0037#245	しかも、その場所がどこだと思う……
map_0037#246	アタシのジムだって!
map_0037#247	アタシのジムを爆破していいのは、アタシだけなんだから!
map_0037#248	バカみたいな額の器物損壊は、アタシの専売特許なの、わかった!?
map_0037#249	だから、こっそりアジトに乗り込んで、ガツンと教えてやろうと思ってさ!
map_0037#250	友達も一人手伝いに来てくれるから、アタシもう行かなきゃ~
map_0037#251	そうだ! \PNも一緒に来ない?
map_0037#252	戦力は多いほうがいいし、レベル上げにもちょうどいいよ。じゃないと、アタシへの挑戦なんて秒殺されちゃうもんね!
map_0037#253	モスウォーター工業区で待ち合わせね。線路のすぐそばだから!
map_0037#254	じゃあ、そこでね~
map_0037#255	鍵がかかっている。
map_0037#256	ガラスにメモが貼られている:
map_0037#257	「ジュリア、
map_0037#258	『お昼寝タイム』中に待ち合わせを了承する前に、その眠り癖をどうにかすることを検討してほしい。
map_0037#259	とはいえ、引き続き犯人の捜索は続ける。
map_0037#260	ただちに合流せよ。」
map_0037#261	扉には鍵がかかっているようだ。
map_0037#262	ドンメルが、なんの考えもなく雨の中に立っている。苦しそうだ。
map_0037#263	自分でもどうしていいのか分かっていない様子だ。
map_0037#264	ドンメルにポケスナックをあげますか?
map_0037#265	……*パクッ*
map_0037#266	……ドンメルは\PNの仲間になることに決めた!
map_0037#267	ドンメルは、なにか中年の危機のようなものを味わいながら、雨の中に立ち続けている。
map_0037#268	シママ: ブリーッ?
map_0037#269	シママ!
map_0037#270	コソクムシ: ウィーッ~!
map_0037#271	こんなとこで見かけない顔だな。
map_0037#272	……あんまり歓迎されてる感じじゃないわね。
map_0037#273	このちっぽけな公園は、まるで嵐の目みたいなの……
map_0037#274	このひどい街の真っ黒なタールの中で、わたしはいつもここに来て、少しだけ気分を楽にしてるの……
map_0037#275	この植物たちだって大したものじゃないし……いつか枯れてしまうかもしれない。でも、今は……今だけは、わたしにとってささやかな慰めなの。
map_0037#276	はい、これ、あげる。
map_0037#277	ここに来られない時は、部屋でそれに火を灯して、せめて街の悪臭から逃れるようにしてるの。
map_0037#278	あなたにも、少しは癒やしになるといいけど。
map_0037#279	いつか、ここで花が咲くのを見てみたい……
map_0037#280	<>- スピットレイル通り\n^v - 3番街
map_0037#281	よぉ、なかなかいいスタイルしてるじゃん。それに見合った腕はあるのか?
map_0037#282	そいつは確かに腕だな。
map_0037#283	よし、ついてこい。
map_0037#284	弱いやつは損するよなぁ。
map_0037#285	隠しスイッチだ! 押してみますか?
map_0037#286	押さない理由がある?
map_0037#287	この辺りの人たち、ちょっと苦手なんだよね。
map_0037#288	ギャングか何かだと思う?
map_0037#289	はい
map_0037#290	いいえ
map_0038#0	アメ: あら、もう来てたのね。よかった。
map_0038#1	まだ容疑者の手がかりはないけど、複数の署員をこの一帯の捜索に出してるわ。
map_0038#2	ヴィクトリア: 容疑者? 駅の爆破事件のですか?
map_0038#3	アメ: そうよ。事件の犯人がこの辺りにいるなら、必ず見つけ出すわ。
map_0038#4	でもそれまでは、ワード間の移動を制限することになると思う。
map_0038#5	とにかく、新人トレーナーはそんなこと気にしなくていいわ。ちゃんと対処するから。
map_0038#6	さあ、登録を済ませましょう。
map_0038#7	もちろん、メインイベントは御三家選びよ。
map_0038#8	ヴィクトリア: \PN、お先にどうぞ。わたしは構いません。
map_0038#9	アメ: それじゃ、こちらへどうぞ。
map_0038#10	カイン: よぉ、終わったらアメが待ってるってさ!
map_0038#11	オレはもう用済みだから、そろそろ行くわ。じゃあな~
map_0038#12	ヴィクトリア: あら? まだ何かあるんですか? 見てみましょう。
map_0038#13	ヴィクトリア: お待たせしてしまってすみません!
map_0038#14	アメ: 気にしないで。二人が終わる間に、書類仕事は済ませておいたから。
map_0038#15	それじゃ、あとはこれを渡すだけね:
map_0038#16	まずはポケモン図鑑。お決まりの流れよね。
map_0038#17	\PNはポケモン図鑑を受け取った!
map_0038#18	すでにポケモン図鑑を持っている。
map_0038#19	アメ: 次はポケギアね。
map_0038#20	この機械があれば、マップの確認や音楽の再生、オンライン機能が使えるわ。
map_0038#21	\PNはポケギアを受け取った!
map_0038#22	アメ: 最後に、シルフカンパニーからの販促品として、このランニングシューズをどうぞ。
map_0038#23	広告みたいなのは嫌いだけど、便利は便利なのよね……
map_0038#24	これがあれば、スペースキーを押しっぱなしにするか、オプションメニューでオートランを切り替えられるわ。
map_0038#25	それと、室内で走っても誰も気にしないから安心して。
map_0038#26	\PNはランニングシューズを受け取った!
map_0038#27	アメ: これで準備万端ね!
map_0038#28	まだ被害対応が残ってるから、悪いけどここで失礼するわ。
map_0038#29	ヴィクトリア: 大丈夫です! 助かりました!
map_0038#30	アメ: 頑張ってね。
map_0038#31	それと、駅を爆破しそうな奴を見かけたら、地元の警官に一報入れてね。
map_0038#32	ジュリアはカウントしないから。
map_0038#33	それじゃ、また今度!
map_0038#34	ヴィクトリア: それでは、キキ先生のところに顔を出してきます。
map_0038#35	あ、キキが誰かって? わたしの先生なんです!
map_0038#36	わたしは、街から湖を渡った先にあるアポフィルアカデミーの生徒でして。
map_0038#37	もしあの辺りに来ることがあれば、ぜひ立ち寄ってみてください。きっと歓迎してくれますよ。
map_0038#38	それはそうと、はい! これ、旅の始まりに役立つと思います。
map_0038#39	\PNはモンスターボールを5個受け取った!
map_0038#40	ヴィクトリア: 街ではポケモンが珍しいって、よく言われるんですけど……
map_0038#41	ちゃんと見つけることはできますよ。
map_0038#42	隠れているだけのこともあるので、ちょっと辺りを見回してみてください!
map_0038#43	\PNならきっと大丈夫です。
map_0038#44	とりあえず、街を探検してみてください!
map_0038#45	また会いましょう!
map_0038#46	ヴィクトリア: \PN、どの子を選んだんですか?
map_0038#47	あ、大丈夫、わたしは\PNに勝つためだけに選んだりしませんから。そんなの馬鹿げてますし。
map_0038#48	それに、欲しい子はもう決まってるので。
map_0038#49	あれ、ニャビーを選んだんですか?
map_0038#50	……あちゃあ。
map_0038#51	それ、わたしも選ぶつもりだったんです。
map_0038#52	アメ: それは問題ないわ。
map_0038#53	複数の新人トレーナーに対応できる体制になってるから、当然それぞれの御三家の予備も用意してあるの。
map_0038#54	グランドビュー駅のあの状態を考えると、しばらくは新人トレーナーもそんなに増えないでしょうしね……
map_0038#55	予備からニャビーを持ってくるわね。
map_0038#56	先に上に行きましょう。
map_0038#57	アメ: それじゃ、行きましょうか。
map_0038#58	ヴィクトリア: はい。\PN、ここで待っててもらえますか?
map_0038#59	???: よぉ、かわいいじゃん。
map_0038#60	え? あはは、いや、何も言ってないって!
map_0038#61	なあ、アメって今ここにいた?
map_0038#62	あー、誰か他の人と一緒なんだ。オッケー~
map_0038#63	オレの名前はカイン。お前は?
map_0038#64	\PN……いい名前だな。
map_0038#65	見たところ、今さっき初めてのポケモンをもらったばっかりって感じか。
map_0038#66	リーグに挑戦するのか?
map_0038#67	オレはちょうど、と……登録し直しに来たとこで……
map_0038#68	やり直しにな。
map_0038#69	こっちのリーグに挑戦してみようと思ってさ。
map_0038#70	それでさ、\PN……バトルしてみない?
map_0038#71	初めてなら、優しくしてやるよ~
map_0038#73	カイン: なかなかやるじゃん!
map_0038#74	カイン: ちょっと運が悪かっただけだって~ あんま気にすんなよ。
map_0038#75	まあ、そういうのが好きなら別だけどな。
map_0038#76	ほら、ポケモン回復させに行こうぜ。
map_0038#77	ここに、ポケモンセンターが併設されてるんだ。
map_0038#78	いらっしゃいませ! ポケモンをお預かりして、回復させていただきますね!
map_0038#79	お手持ちのポケモンが、ポケルスに感染しているかもしれません。
map_0038#80	ポケルスについて分かっていることはあまり多くありませんが、ポケモンに付着する微小な生命体だとされています。
map_0038#81	感染している間は、ポケモンの成長が著しく良くなると言われています。
map_0038#82	はい、どうぞ。またのお越しをお待ちしております!
map_0038#83	ヴィクトリア: いた!
map_0038#84	カイン: 悪いな~ ちょっと\PNを借りちゃってたわ。
map_0038#85	アメ: あら、カイン……そうだった、来るって言ってたの忘れてたわ。
map_0038#86	カイン: いいっていいって、アメがいない間に\PNと会って、ちょっと楽しんでたんだ~
map_0038#87	ヴィクトリア: 「楽しんでた」?
map_0038#88	\PNって、そういう人だったんですね……
map_0038#89	カイン: いやいや、ただバトルしてただけだって。
map_0038#90	ヴィクトリア: あ! それは楽しそうですね!
map_0038#91	わたしも、新しいポケモンを試してみたいです。
map_0038#92	\PN、もう一戦どうですか?
map_0038#93	アメ: カイン、その間にチャレンジャー登録しておくから、こっちに来て。
map_0038#94	カイン: おお、はい、ご主人様~
map_0038#95	アメ: 「ご主人様」?
map_0038#96	カイン: なんでもない~
map_0038#97	アメ: え……ふーん。ほら、来て。
map_0038#98	ヴィクトリア: それでは、始めましょう。
map_0038#99	わたしの先生は、ポケモンと共に鍛え、共に歩むことを学ぶのは、自己成長の旅においてかけがえのない一歩になると仰っていました。
map_0038#100	\PN、その最初の一歩を、一緒に踏み出しましょう!
map_0038#102	ヴィクトリア: あなたは、ただのトレーナーじゃないんですね……
map_0038#103	ヴィクトリア: やった、勝ちました!
map_0038#104	でも、落ち込む必要はありませんよ。
map_0038#105	キキ先生が仰るように、負けはすべて学びになりますから。
map_0038#106	最近、夢特性を持ったポケモンが野生で見つかるって聞くな。ああいうの、一匹くらい手に入れたいもんだ。
map_0038#107	最近、この場所はちょっとした奇跡だよな。
map_0038#108	それが誰のおかげか知ってるか?
map_0038#109	アドリエンヌだよ。
map_0038#110	あいつはいい奴だ。
map_0038#111	リボーンでは、他の地方よりずっと高い確率で色違いポケモンが出るらしい。しかも、普通の色違いとは見た目も違うんだとか。
map_0038#112	放射能のせいだって賭けてもいいぜ。
map_0038#113	ああ、あんたが、街の創設者から与えられた……
map_0038#114	あ、\PNさんですよね?
map_0038#116	実は、アドリエンヌから、あなたに大ホールの従業員アクセス権を与えるよう頼まれていたんです。
map_0038#117	連絡の行き違い、申し訳ありませんでした!
map_0038#118	下の階には従業員エリアがあります。どうぞご自由にお出入りください!
map_0038#119	どこへ向かえばいいか分からない?
map_0038#120	ラブラドラシティの辺りで、何か集まりがあるらしいですよ!
map_0038#121	アゲートシティが今、注目の場所ですよ!
map_0038#122	もうすぐトップですね!
map_0038#123	現在の記録によると……次のジムバトルの相手は、アマリア・フィオーレさんですね!
map_0038#124	彼女のジムは、セレスティナイン滝の頂上にあります。もう見たことがあるのでは?
map_0038#125	アドリエンヌから、トルマリン砂漠への個人的な自由通行許可をもらったそうですね。この機会を逃すのはもったいないですよ!
map_0038#126	他のワードも見て回って、どう変わったか確かめてみては?
map_0038#127	アゲートシティは現在使用できない状態なので、次はアゲートサーカスでアゲートエーストリオに挑むといいですよ!
map_0038#128	次のジムリーダーですか? うーん……イオリア渓谷、アベンチュリン地方でバトルすると伝えてきているようですね。
map_0038#129	一番近い次のジムは、アベンチュリン地方のバンハネン城にありますよ!
map_0038#130	次のジムリーダーは……自分の持ち場から逃げ出してしまったようです。一体どこに?
map_0038#131	一番近い次のジムは、クリソリア地方のスピネルタウンにありますよ!
map_0038#132	新しいジムがオープンしました! 荒地にあるので、ぜひチェックしてみてください!
map_0038#133	湖の向こうにあるアポフィルアカデミーを見てきては?
map_0038#134	息抜きにちょうどいい場所らしいですよ!
map_0038#135	次のジムは、ベリル大橋の向こうにあります! でも、普段は施錠されていて……どうやったら開くんでしょうね?
map_0038#136	次のジムは、ラピスワードにありますよ! ここから北へ、少し西寄りです!
map_0038#137	北オブシディアワードが封鎖されているので……
map_0038#138	ジャスパーを通って、ベリルワードへ回ってみては?
map_0038#139	一番近い次のジムは、南オブシディアを通って行けるオニキスワードにあります。
map_0038#140	一番近いジムは、ここからすぐ西のペリドットワードにあります。
map_0038#141	え? ベリルでカメラに幽霊が映ったって? 確かに見た気がしたんだけどな……
map_0038#142	ビクスビジョン荒地の地下に、秘密のトンネル網があるらしいよ。わくわくしない!?
map_0038#143	リボーンポケモン再導入プロジェクト(RPRP)
map_0038#144	野生生物と自然環境の再生を目指し、最近、多くのポケモンがこの地方に導入されました。
map_0038#145	トレーナーに捕獲されなければ、彼らがこの地方でうまく定着してくれることを願っています。
map_0038#146	再導入プロジェクトは着々と進んでいますが、アズリン島にきちんと機能する活動拠点がないため、なかなか進展しづらい状況です。
map_0038#147	それでも、種の個体数は今のところ安定しています。
map_0038#148	アズリンにきちんとした活動拠点が設立され、RPRPはかつてないほどの成果を上げています。
map_0038#149	ただ、なかなか見つからない種がいくつかあって、協力を呼びかけているそうです。
map_0038#150	時間があれば、アズリン島ネイチャーセンターに行って、プロジェクトに何が必要か聞いてみてください!
map_0038#151	RPRPは、今や素晴らしい成果を上げています!
map_0038#152	支援してきた新しいポケモンたちが野生で見られるようになるまでには、まだ何年もかかるかもしれませんが、あなたのおかげで、リボーンでの未来はほぼ確実なものになりました!
map_0038#153	他の地方と違って、リボーンリーグには全部で18人のリーダーがいるんです! かっこいいでしょ?
map_0038#154	それとも、もう知ってました?
map_0038#155	他の地方と違って、リボーンリーグには全部で18人のリーダーがいるんです! かっこいいでしょ?
map_0038#156	あ、もうほとんど倒しちゃったんですね!
map_0038#157	それじゃあ。
map_0038#158	あ、もう倒しちゃった……
map_0038#159	……全員を?
map_0038#160	それなら、なんでわたしに話しかけてるんですか?
map_0038#161	あ、チャンピオン、どうも! 最初は気づきませんでした!
map_0038#162	わたしは新人向けにここにいるだけなので、どうぞお構いなく!
map_0038#163	チームメテオ? そんなの、ただのバカげた陰謀論だろ。
map_0038#164	仮に実在するとしても、何もかもの黒幕ってわけじゃないだろ。
map_0038#165	マジで言ってるんだって、あいつら実在するんだよ。
map_0038#166	チームメテオな……あいつらが全部を操ってるんだ、マジで。
map_0038#167	ああ、アポフィルアカデミーで勉強したかったのに、コーラル桟橋が閉鎖されてちゃ、湖を渡る方法がないよ。
map_0038#168	ドーン! ほのお!
map_0038#169	ヌチャ! どく!
map_0038#170	シュッ! こおり!
map_0038#171	どのフィールドから、どのフィールドに変えるとしても、環境を変化させるわざには威力アップの効果があるんだ!
map_0038#172	オレの計算では、大体130パーセントすごいってことになるな!
map_0038#173	若きトレーナーよ、この街の路地には近づかないほうがいい。
map_0038#174	ただでさえ、若者たちの多くがギャング活動に手を染めてしまっているのだから!
map_0038#175	用心を怠らず、清く生きるのだ!
map_0038#176	この街を、かつての偉大さに取り戻すことができるはずだ!
map_0038#177	若きトレーナーよ!
map_0038#178	もう、リボーンシティ復興プロジェクトには関わっているかね?
map_0038#179	確かに多くのことが成し遂げられてきたが、まだやるべきことはたくさんある!
map_0038#180	街のあちこちの人に、何を手伝えるか聞いてみると、実りある結果が得られるかもしれないぞ!
map_0038#181	よぉ。なんか文句あんのか?
map_0038#182	あーあ、昔はストリートで遊んでた頃、仲間とここでいつもつるんでたんだけどな。
map_0038#183	でも、みんな「街の改善」とかいうクソに乗っかって、消えちまった。
map_0038#184	そんなクソどうでもいいわ、マジで。
map_0038#185	オレは自分一人でここに居座ってやるよ。
map_0038#186	こんにちは! リボーンシティ復興プロジェクトの今後について、何か質問があればお答えしますよ!
map_0038#187	短い期間で、ずいぶん前進しました。
map_0038#188	これもすべて、ボランティアの皆さんのご協力のおかげです。心から感謝しています!
map_0038#189	とはいえ、まだやるべきことはたくさんあります! 今後の計画についてお聞きになりますか?
map_0038#190	近い将来に取り組む予定のことを、いくつかご紹介しますね!
map_0038#191	資金を待っている短期プロジェクトがいくつかあります。
map_0038#192	まず、ベリルの壁の最終改修を仕上げます。それが終われば、いよいよグランドビュー駅の再開に向けた準備ができます!
map_0038#193	その後は、資金を待っている短期プロジェクトがいくつかあります。
map_0038#194	スラム地区をゼロから再建することに力を入れたいと考えています。
map_0038#195	この地区を、低所得者向け住宅地区兼リソースセンターに転換する計画で、コミュニティガーデンや職探し支援も設ける予定です。
map_0038#196	次に、地下構造の補強と、効率的な都市間地下鉄システムの再建に取り組みます。
map_0038#197	最後に、アズリン島に真新しい完備の施設を建て、リボーンポケモン再導入プロジェクトを再開させます。
map_0038#198	街の復興に寄付をご希望の方は、こちらの建設責任者までお声がけください。
map_0038#199	どんな金額のご支援でも、心から喜んでお受けしています。
map_0038#200	これまでの惜しみないご支援、本当にありがとうございました!
map_0038#201	もちろん、やるべきことはまだまだあります!
map_0038#202	現在、ビクスビジョン荒地の浄化に向けた長期プロジェクトを開始し、街の拡張に向けた取り組みも再開しています。
