map_0039#49	時間軸の交錯を解いています……
map_0042#115	ところで、エリオットについて全体的にどう思う? \ch[62,-1, まだまだ学ぶことが多い人, 悪い人じゃないけど……, 未熟すぎてまともに機能してない, もう殺してくれ, もっと良くなる手助けができるかも!, エリオットはバカだ, それでも一人はやだ, 崖から足を踏み外せばいいのに, ただ時間の無駄な相手だ]
map_0042#116	エリオットは、あなたとゴチムをモンスターボールから出したまま、レントラーをポケモンセンターに連れて走り去った。
map_0042#117	考える時間が必要だと言っていた。
map_0042#118	あなたに腹を立て、ゴチムの不甲斐なさにも失望した様子で、二人とも見捨ててしまうかもしれない。
map_0042#119	エリオットが去っていくと、ゴチムは泣き始めた。
map_0042#120	どうする?\ch[62,-1, ここには関わらない, 失敗じゃないと安心させる, 話を聞くと申し出る, 何もしない――自分には関係ない, ゴチムと一緒に逃げよう!, ゴチムに的確なアドバイスをする, エリオットの悪口を言って元気づける!, 自分を信じるよう励ます, 遠くから応援する]
map_0042#121	エリオットが戻ってくる前に、代わりに先ほどのエリートトレーナー、ブライアンに見つかった!
map_0042#122	彼はあなたに気づき、エリオットを探しに連れていく。
map_0042#123	エリオットは落ち着きを取り戻し、ブライアンと話し始める。
map_0042#124	しばらくして、ブライアンはバトルでのあなたの活躍にとても感心したと言い、自分のヒトデマンとの交換を持ちかけてきた!
map_0042#125	エリオットはしばらく考え、やがて承諾する!
map_0042#126	交換についてどう思う?\ch[62,-1, 自分、何か悪いことした?, エリオットよりブライアンのほうがマシ, 自分にはいいけど、ヒトデマンには気の毒, ワクワクする! でも不安……, ゴチムの面倒は誰が見るの?, 新しい仲間! でもお別れはつらい, エリオットに負けたのに、本当にマシなの?, 変化はいいことをもたらすかもしれない!, 代わりに逃がしてもらえないの?]
map_0042#127	ブライアンと数日過ごすうち、彼がエリオットより安定していて大人だと分かってきたが、やり方はまるで違う。
map_0042#128	彼のポケモンは皆、決まった反復練習と技術を磨くための厳しい日課をこなしている。
map_0042#129	例えば、エアームドは「ブレイブバード」を的の全く同じ場所に30回連続で命中させる練習をしなければならない。
map_0042#130	ブライアンは、彼が「努力値トレーニング」と呼ぶこの練習にとても厳格で、あなたは自分の練習で成果が出ている気がしない。
map_0042#131	ブライアンの練習についてどう思う?\ch[62,-1, エリオットのところに戻して!, 単調。うんざり。大嫌い, 長い目で見れば報われる, 言われた通りにするのが自分の務め, 全部拒否する!, 最初は楽しかった! もうやめる, 単調作業より、もっといい方法があるはず, こういう規律を待ち望んでた!, 自分にこれだけの価値があるのかな?]
map_0042#132	しばらくして、ブライアンはジムに挑戦することを決める。
map_0042#133	ジムの入口のガラス扉が開くと、彼はあなたを繰り出し、このバトルでは特にあなたを頼りにしていると言う。
map_0042#134	どう感じる?\ch[62,-1, 勝つために頑張る!, ベストを尽くすしかない, プレッシャーが重すぎる……, 自分の実力を見せつけられて嬉しい!, 全部自分次第ってわけじゃ……ないよね?, あらかじめ戦略を考えよう, 犠牲者を見せてくれ, これは楽しくなりそうだ, 自分の役に立つところを証明したい]
map_0042#135	一戦の激しいジムバトルを経て……
map_0042#136	あなたはわずかなHPを残して、かろうじて切り抜けた。ブライアンの最後のポケモンとして立ち続けたのだ!
map_0042#137	ブライアンは、驚きと安堵で地面に崩れ落ちる。
map_0042#138	勝てたことには感謝しているが、あれほど際どかったこと、そしてまだリーグ全体が控えていることに気落ちしている!
map_0042#139	どう応える?\ch[62,-1, 大事なのは学び続けること, ここまでの練習は効果があった。続けよう, もっと努力を重ねればいい, 強くなるのをやめるつもりはない!, もっとできなくてごめんなさい, 次の接戦を楽しみにしてる, 自分も一緒に倒れ込む! 疲れた! 神経すり減った!, あのジムリーダー、めちゃくちゃかっこよくなかった?!, やめるなんてバカげてる。計画を立てて、もっとうまくやろう]
map_0042#140	これまでを振り返って、人間だった頃が一番恋しいのは?\ch[62,-1, 自分で物事を決められたこと, 話せること!, バトルの指示を出すこと, 実はポケモンでいるほうが楽しい, 他の人たちが恋しい, 恋しくない! 責任がないって最高!, どっちでもいい, 好きなようにできること!, インターネット]
map_0042#141	ついに、人間の自分に戻った!
map_0042#142	自分に一番当てはまる特徴は?\ch[62,-1, 自立心が強い/意志が強い/自信家, 控えめ/内気/神経質, 自信家/自立心が強い/理性的, 気楽/遊び心がある/多才, エネルギッシュ/衝動的/愛情深い, 不安定/献身的/個性的, 誇り高い/タフ/孤高, 孤立/謎めいた/引きこもりがち, 自由な思考/元気/頑固, 知的/分析的/創造的, 楽観的/人を鼓舞する/思いやりがある, 知的/好奇心旺盛/内向的, 情熱的/野心的/短気, 賢明/自信家/想像力豊か, 平和的/思いやりがある/慈しみ深い, いたずら好き/誤解されがち/ユーモラス, 理解がある/温厚/控えめ, 揺るがない/忠実/タフ]
map_0042#143	最後の質問!
map_0042#144	このクイズを改善するための記録用に、好きなタイプは?\ch[62,-1, ノーマル, ほのお, みず, でんき, くさ, こおり, かくとう, どく, じめん, ひこう, エスパー, むし, いわ, ゴースト, ドラゴン, あく, はがね, フェアリー]
map_0042#145	……ふう!
map_0042#146	ちょっと時間がかかったけど、最後まで辿り着いたね!
map_0042#147	それじゃ、結果を集計してみよう!
map_0042#148	.
map_0042#149	. .
map_0042#150	. . .
map_0042#151	完了!
map_0042#152	あなたは……\v[719]タイプ!
map_0042#153	あそこのパソコンで、各タイプのスコアや、結果の意味を確認できるよ。
map_0042#154	とにかく、これで完成!
map_0042#155	そういえば、この前このジェムを偶然見つけたんだ。
map_0042#156	あなたにぴったりだから、もらっといて。
map_0042#157	そういえば、今度誰かにパスワードを聞かれたら、「mononormal」って言ってみるといいかも。
map_0042#158	そういえば、今度誰かにパスワードを聞かれたら、「monofire」って言ってみるといいかも。
map_0042#159	そういえば、今度誰かにパスワードを聞かれたら、「monowater」って言ってみるといいかも。
map_0042#160	そういえば、今度誰かにパスワードを聞かれたら、「monoelectric」って言ってみるといいかも。
map_0042#161	そういえば、今度誰かにパスワードを聞かれたら、「monograss」って言ってみるといいかも。
map_0042#162	そういえば、今度誰かにパスワードを聞かれたら、「monoice」って言ってみるといいかも。
map_0042#163	そういえば、今度誰かにパスワードを聞かれたら、「monofighting」って言ってみるといいかも。
map_0042#164	そういえば、今度誰かにパスワードを聞かれたら、「monopoison」って言ってみるといいかも。
map_0042#165	そういえば、今度誰かにパスワードを聞かれたら、「monoground」って言ってみるといいかも。
map_0042#166	そういえば、今度誰かにパスワードを聞かれたら、「monoflying」って言ってみるといいかも。
map_0042#167	そういえば、今度誰かにパスワードを聞かれたら、「monopsychic」って言ってみるといいかも。
map_0042#168	そういえば、今度誰かにパスワードを聞かれたら、「monobug」って言ってみるといいかも。
map_0042#169	そういえば、今度誰かにパスワードを聞かれたら、「monorock」って言ってみるといいかも。
map_0042#170	そういえば、今度誰かにパスワードを聞かれたら、「monoghost」って言ってみるといいかも。
map_0042#171	そういえば、今度誰かにパスワードを聞かれたら、「monodragon」って言ってみるといいかも。
map_0042#172	そういえば、今度誰かにパスワードを聞かれたら、「monodark」って言ってみるといいかも。
map_0042#173	そういえば、今度誰かにパスワードを聞かれたら、「monosteel」って言ってみるといいかも。
map_0042#174	そういえば、今度誰かにパスワードを聞かれたら、「monofairy」って言ってみるといいかも。
map_0042#175	特に何かを強制するものじゃないよ。
map_0042#176	ただ、本来なら出会えないような場面で、そのタイプのポケモンに出会いやすくなるだけ。
map_0042#177	それじゃ、気をつけてね。
map_0042#178	また診断を受けたくなったら、いつでも来てね。
map_0042#179	まあ、それでもいいよ。気が変わったらまたここにあるから。
map_0042#180	それか、40問くらい座って答える時間ができたらね。
map_0042#181	ったく、こんなの誰が書いてるんだか。
map_0042#182	あなたは:\n \v[719]タイプ!
map_0042#183	ノーマル: \v[701]
map_0042#184	ほのお: \v[702]
map_0042#185	みず: \v[703]
map_0042#186	でんき: \v[704]
map_0042#187	くさ: \v[705]
map_0042#188	こおり: \v[706]
map_0042#189	かくとう: \v[707]
map_0042#190	どく: \v[708]
map_0042#191	じめん: \v[709]
map_0042#192	ひこう: \v[710]
map_0042#193	エスパー: \v[711]
map_0042#194	むし: \v[712]
map_0042#195	いわ: \v[713]
map_0042#196	ゴースト: \v[714]
map_0042#197	ドラゴン: \v[715]
map_0042#198	あく: \v[716]
map_0042#199	はがね: \v[717]
map_0042#200	フェアリー: \v[718]
map_0042#201	タイプを選んでください。\ch[62,-1, ノーマル, ほのお, みず, でんき, くさ, こおり, かくとう, どく, じめん, ひこう, エスパー, むし, いわ, ゴースト, ドラゴン, あく, はがね, フェアリー]
map_0042#202	ノーマルタイプの人は、たいてい気楽でのんびりした性格をしている。
map_0042#203	みんなと同じように、欠点や不安も抱えているけれど、
map_0042#204	他とは違って、欠点があってもありのままの自分や他人を受け入れられて、良い状況も悪い状況も上手く活かすのが得意だ。
map_0042#205	ほのおタイプは、情熱と野心がすべてだ。
map_0042#206	真剣で行動的。何かを望んだら、全力でそれに向かっていく。
map_0042#207	これ以上のやり手はいないが、ほのおタイプは頑張りすぎて燃え尽きてしまう危険もある。
map_0042#208	物事をやり遂げるのが得意だが、それは必ず自分自身のペースで、誰かに合わせることはない。
map_0042#209	みずタイプは、流れに身を任せる達人だ。
map_0042#210	冷静な理性と、自分や他人の感情への深い理解のバランスを取り、争いのあらゆる側面を理解するのに長けている。
map_0042#211	非常に適応力の高い性格で、たとえ健全でない状況であっても、どんな状況にも順応し、自分のものにしてしまう。
map_0042#212	でんきタイプは、その場を明るくする!
map_0042#213	元気で、率直で、陽気。どんな会話にも比類ない活気をもたらす。
map_0042#214	衝動的な性格のせいで物事が手に負えなくなることも多いが、その前向きな性質は争いを丸く収め、道中でたくさんの楽しい思い出を作るのに役立つ。
map_0042#215	くさタイプは、自分より他人を優先しがちだ。
map_0042#216	わざわざ他人を助け、慰め、世界をより前向きで平和な場所にすることに大きく貢献する。
map_0042#217	その習慣的な善意によって多くの友達を得る一方で、時に不安になり、疑いを抱きやすいこともある。
map_0042#218	しかし実際には、くさタイプは自分が思っている以上に、大切にされていることが多い。
map_0042#219	こおりタイプは、最も魅力的で個性的な人たちの一部だが、
map_0042#220	それに気づくことはめったにない。
map_0042#221	多くのこおりタイプは、よそよそしさのベールの陰に隠れ、他人をどれほど心配し、大切に思っているかを、しばしば隠してしまう。
map_0042#222	その冷ややかな距離感は、神秘的で洗練された雰囲気を漂わせ、他人を惹きつける一方で、
