map_0794#125	貴様に三つ、質問がある。答えてくれるだけの慈悲があるならばだが。
map_0796#29	フロリニア: この装置は組み合わせシステムであると同時に、フィードバックシステムでもあります。
map_0796#30	フロリニア: 必要なアイテムは集まりましたか?
map_0796#31	よろしい。
map_0796#32	この装置について詳しく説明すると、組み合わせシステムであると同時にフィードバックシステムです。
map_0796#33	「クリスタルスター」アイテムは、下部のスロットから装置の入力部に挿入します。
map_0796#34	上部の結晶は、正しい配置にどれだけ近いかに応じて光ります。
map_0796#35	左側の結晶は、正しく提出されたアイテム1つにつき1つ、黄色に光ります。
map_0796#36	つまり、組み合わせの中に正しい色がいくつ含まれているかを示します。
map_0796#37	右側の結晶は、正しく埋まったスロット1つにつき1つ、白く光ります。
map_0796#38	つまり簡単に言えば、組み合わせの中で完全に正しい位置の合計数を表しています。
map_0796#39	そこから得られる情報をもとに、正しい組み合わせを導き出すことが可能です。
map_0796#40	14個すべての結晶が光ると、扉が開きます。
map_0796#41	フロリニア: 提案する手順は以下の通りです:
map_0796#42	2) それらを様々な組み合わせで機械に挿入し、提供されたフィードバックシステムで結果を確認する。
map_0796#43	上部左側の結晶は、組み合わせの中の正しいアイテム1つにつき1つ、黄色に光ります。
map_0796#44	右側の結晶は、正しく埋まったスロット1つにつき1つ、白く光ります。
map_0796#45	この話者は、この作業の明確化を支援するため、指定された区域に留まります。
map_0796#46	必要なアイテムは、それぞれの色に対応した環境で見つかる可能性が高いです。
map_0796#47	そのような場所は、この洞窟系の非常に深い区域に存在する可能性が最も高いです。
map_0796#48	フロリニア: 終わったのですね。
map_0796#49	最後の手順は、あなたが行うべきものです。
map_0796#50	準備が必要ですか?
map_0796#51	フロリニア: お好きなように。
map_0796#52	星形の結晶用のスロットだ。
map_0796#53	何を入れる?
map_0796#54	ルビースターをセットした。
map_0796#55	しかし、セットするルビースターがない…
map_0796#56	サファイアスターをセットした。
map_0796#57	しかし、セットするサファイアスターがない…
map_0796#58	エメラルドスターをセットした。
map_0796#59	しかし、セットするエメラルドスターがない…
map_0796#60	アメジストスターをセットした。
map_0796#61	しかし、セットするアメジストスターがない…
map_0796#62	ルビースターを取り出す?
map_0796#63	サファイアスターを取り出す?
map_0796#64	エメラルドスターを取り出す?
map_0796#65	アメジストスターを取り出す?
map_0796#66	散々な試練の末、まだいくつか残っていることに気づく。
map_0796#67	そうだね~
map_0796#70	頑丈すぎて壊したり動かしたりできそうにない…
map_0796#71	岩の土台の中にはお宝があるかもしれない。ばくはつのこなで開ける?
map_0796#72	このファイルでクリスタルスターパズルをスキップする?
map_0796#73	パソコン
map_0796#74	ヘルプ
map_0796#75	はい
map_0796#76	いいえ
map_0796#77	ルビー
map_0796#78	サファイア
map_0796#79	エメラルド
map_0797#0	鍵が結晶に反応した!
map_0797#1	愛とは、選択を可能にするものである。
map_0797#2	愛は常に恐れよりも強い。
map_0797#3	常に愛に基づいて選べ。
map_0797#4	古いエリアマップが貼られている。
map_0797#5	長い間、誰も手をつけていないようだ。
map_0797#8	頑丈すぎて壊したり動かしたりできそうにない…
map_0797#9	岩の土台の中にはお宝があるかもしれない。ばくはつのこなで開ける?
map_0797#10	はい
map_0797#11	いいえ
map_0798#0	\PN！
map_0798#1	ファーン: 前に言ったこと覚えてるけど、よりによってあんたがここまで来るなんて思ってなかった。
map_0798#2	正直、素直に感心するよ、
map_0798#3	ずっと一貫してズルと運だけで前に進んできたんだから。
map_0798#4	ファーン: 学校で言ったこと覚えてる?
map_0798#5	あんたみたいな奴が先に進む資格なんてない。
map_0798#6	あんた、何かしたわけ?
map_0798#7	実績なんて忘れよう――なんであんたが誰よりもそれに値するっていうの?!
map_0798#8	それに答えられる?
map_0798#9	わたしの目を見て言える?
map_0798#10	誰がどれだけ頑張っても、
map_0798#11	あんたが踏みつける側になれる理由を?
map_0798#12	誰かがそうならなきゃいけないなら、それはわたしのはず。
map_0798#13	「あんたに何の権利があるんだ」って聞くかもね。
map_0798#14	それに対する答えは、
map_0798#15	くたばれ。
map_0798#16	フロリニア: ファーン。
map_0798#17	ファーン: あんたは黙ってて、フロボット!
map_0798#18	これはわたしと\PNの問題、
map_0798#19	他の誰でもない。
map_0798#20	ここであんたを倒して、残りのバッジを全部いただくから!
map_0798#22	ファーン: わたしのはずだった…
map_0798#23	そうであるべきだった――
map_0798#24	今だってそうであるべき…
map_0798#25	なのにあんたが邪魔したの!
map_0798#26	ファーン: 何?!
map_0798#27	何なのよ、このバカ人形。
map_0798#28	フロリニア: 私は人形ではありません。
map_0798#29	ロボットでもありません。
map_0798#30	私には感情があり、それから逃げてきました。
map_0798#31	それを完全に受け入れ、理解できるようになるまでには、まだ多くの実験と研究が必要でしょう。
map_0798#32	ですが、フェルミオンやボソン、その他あらゆるものと同じように、それが存在することは確かです。
map_0798#33	ファーン: 信じてよ、すっごく気にかけてるから。
map_0798#34	フロリニア: この話者は人形ではありません。
map_0798#35	ファーン: どう見ても人形にしか見えないけど。
map_0798#36	フロリニア: あなたの行動は不合理です。
map_0798#37	直ちに現在の争いから撤退することを提案します。
map_0798#38	ファーン: そんなことだと思った。
map_0798#39	みんなわたしの敵。
map_0798#40	あんたもずっとそうだった。
map_0798#41	フロリニア: 違います。
map_0798#42	ファーン: 証拠はどこにあるわけ、ああ?
map_0798#43	あの頃は全然気にかけてくれなかったくせに、今になってわたしを止めようとしてる!
map_0798#44	しかもあんたはあの場所をさっさと奪っていった!
map_0798#45	なんでリーグを終わらせるのがわたしじゃなきゃいけないか知りたい?
map_0798#46	だってそうしたら、もしかして――
map_0798#47	ほんとに、もしかしたら――
map_0798#48	わたしがチャンピオンになれたら、
map_0798#49	もしかしたら誰かが本当にわたしに笑いかけてくれるかもしれない。
map_0798#50	でしょ?
map_0798#51	だって今まで誰もそんなことしてくれなかったから。
map_0798#52	親だってそうだった。
map_0798#53	わたしが何かうまくやっても、あの子の手柄になった。
map_0798#54	あの子が何か失敗したら、わたしが責められた。
map_0798#55	フロボットは絶対に笑わなかった。
map_0798#56	昔は本当に笑ってたって、知ってた?
map_0798#57	信じられる?
map_0798#58	でも、わたしにはじゃない。
map_0798#59	わたしには一度も。
map_0798#60	他の生徒には――
map_0798#61	わたしはずっとトップだったわけじゃない。
map_0798#62	むしろどん底だった。
map_0798#63	でも、それを変えた。
map_0798#64	耐え抜くことを覚えた、
map_0798#65	主導権を握ることを。
map_0798#66	でも上に立つと、今度は別の理由でみんな笑わなくなる。
map_0798#67	怖がりすぎてるから。
map_0798#68	みんな臆病者ばっかり。
map_0798#69	何を犠牲にするっていうの?
map_0798#70	誰かに、自分がただのクズじゃないって感じさせてあげるのに。
map_0798#71	だから今だって、わたしは笑顔で挑戦に立ち向かおうとしてる!
map_0798#72	それができないなら――
map_0798#73	笑うに値するものを、自分で作り出すしかない!
map_0798#74	リンならそれができた。
map_0798#75	誰よりもうまく。
map_0798#76	この世界に、その価値があるものなんてほとんどないんだから、
map_0798#77	でなきゃ、わたしたちは誰もここにいないはず。
map_0798#78	リン: その通り。
map_0798#79	リン: この世界では、すべてのものが欠乏の中で機能している。
map_0798#80	資源は有限。
map_0798#81	空間も時間も有限。
map_0798#82	思いやりすらも有限。
map_0798#83	これはかつてアルセウスが自らの意志で生み出した世界。
map_0798#84	これは受け入れなければならない世界ではない。
map_0798#85	遠い昔、人もアルセウスも持たなかった英知をもって、私たちはこれらの限界が適用されない世界へと創造を導ける。
map_0798#86	ファーン: あんたに会えてこんなに嬉しかったことないよ。
map_0798#87	ファーン: とにかく、あんたも今ならわかるはずでしょ。
map_0798#88	わたしがここにいるのは、全部あんたのせい、\PN。
map_0798#89	あんたのせいで学校で平穏に過ごすことができなくなった。
map_0798#90	あんたのせいでリーグを終わらせられなかった。
map_0798#91	そしてあんたのせいでチームメテオを止められなかった。
map_0798#92	フロリニア: \PNの行動によって、あなたがチームメテオへの対抗を続けることが妨げられた事実はありません。
map_0798#93	ファーン: そこがあんたの間違い。
map_0798#94	あいつは何をやっても、栄光を全部かっさらっていく。
map_0798#95	運なのか何なのか知らないけど、あいつはいつも都合よく正しい時に正しい場所にいる。
map_0798#96	そのせいで、他の誰にも何も残らなかった。
map_0798#97	フロリニア: その状況が、離反という選択肢を必要とするわけではありません。
map_0798#98	ファーン: しょうがないでしょ。あいつが行く先々で褒められるの聞くのに疲れたの。
map_0798#99	ブラックスチーム工場?
map_0798#100	最初に行った時、何かおかしいって気づかなかったとでも思ってる?
map_0798#101	スピネルタウン?
map_0798#102	リーグのために戻ったら、まだテレポートで色々運ばれてる最中だったのに、それと一緒に\PNの噂まで流れてた。
map_0798#103	機会があった時、わたしは本当にチャンスをくれた側についただけ。
map_0798#104	フロリニア: \PNが差し伸べられた助けを受け入れるのは、合理的なことに過ぎません。
map_0798#105	リン: 不在は、時に歓迎すべき安らぎとなる。
map_0798#106	ファーン: \PNがわたしをそばに置いてたのなんて、バトルの合間にタダで回復させるためだけ。
map_0798#107	みんなそう思われてるんでしょ?
map_0798#108	そこに感謝なんてない。役に立つ限り、相手のことをどう思ってるかなんて関係ない。
map_0798#109	フロリニア: 協力の利点は、有用性だけではありません。
map_0798#110	同じ目標のために互いに利益のある活動に参加する個人同士は、しばしば親密さが増す傾向が観察されます。
map_0798#111	リン: 分かち合った勝利は、半分の勝利。
map_0798#112	ファーン: はいはい。
map_0798#113	\PNは他人が自分に何をしてくれるかしか気にしてない。
