map_0413#325	ノエル: 無意味だよ、これ。
map_0413#442	ノエル: それが普通だよ。
map_0413#443	たいていの人は、彼女に話しかけられない時にしか、俺に話しかけない。
map_0413#444	慣れてるから。
map_0413#445	ノエル: 俺には何も特別なところなんてない。
map_0413#446	強いて言うなら、忘れられやすいってことくらいかな。
map_0413#447	ノエル: 誰かが自分にとって大切かどうかって、どうやって分かるんだろう。
map_0413#448	自分で決めることなのか、それとも感じるものなのか。
map_0413#449	ノエル: そうか。
map_0413#450	つまり、まだその決心はついてないってことだ。
map_0413#451	なら、俺のほうから、あの人はいらないって決めるよ。
map_0413#452	ありがとう。
map_0413#453	つまり、そういう風には感じてないってことか。
map_0413#454	それは不公平だよ。
map_0413#455	俺はずっと父親なしでやってきた。
map_0413#456	だから、これからもそのままでいい。
map_0413#457	ジムリーダーの中でも、俺は真ん中辺りだしな。
map_0413#458	何をやっても平均的。
map_0413#459	俺のタイプ、俺にぴったりなのかもな。
map_0413#460	シャルロット: あらあら、地元の大物さんのお帰りね。
map_0413#461	なんで戻ってきたの? ここ、もうずっと何も起きてないのに。
map_0413#462	少なくとも、あの誰だっけの人が、もうここへの攻撃にPULSEは使えないって確認してくれたから、一息つけるようにはなったけど。
map_0413#463	でも、ここ、ほんっとに退屈なのよね。
map_0413#464	他の女の子たちも、ポケモン捕まえに行ったり鍛えに行ったりして、いなくなっちゃったし。
map_0413#465	そういえば、あの子たちって一体誰なの?
map_0413#466	誰か教えてくれない?
map_0413#467	次に何をするかは分からねえけど、なんか大きなことになる予感がするぜ。
map_0413#468	お前も俺と同じくらい、チームメテオをたたきのめしたくてうずうずしてるだろ、相棒?
map_0413#469	ハーディ: そう来なくっちゃな!
map_0413#470	あいつら、何が来るか全然分かってねえだろうな!
map_0413#471	メテオに一発、決着つけてやろうぜ!
map_0413#472	ハーディ: 遠慮すんな、相棒!
map_0413#473	お前の実力は見てきたんだ。
map_0413#474	気合入れ直して、あいつらの世界をひっくり返してやろうぜ!
map_0413#475	それがアヤの望みだろ?
map_0413#476	ベネット: 私の腕を離すことに「リスク」などない、女よ!
map_0413#477	すでに言った通り、私は自ら進んでついていく。
map_0413#478	サファイラ: 賭けはしない。
map_0413#479	ローラ: サファイラ、お願い!
map_0413#480	彼は悪い人じゃないの!
map_0413#481	サファイラ: あら、それでずっとチームメテオと一緒にいたってわけね。
map_0413#482	あなた。受け取って。
map_0413#483	サファイラ: ナイスキャッチ。
map_0413#484	ハーディ: え、俺のことか?
map_0413#485	サファイラ: どうでもいいわ。
map_0413#486	サファイラ: でも、あなたは……
map_0413#487	サファイラ: あなたとわたしには話があるの。
map_0413#488	ベネット: もういい加減にしろ。
map_0413#489	従順な捕虜を手荒く扱えば、その従順さを損なうだけだと分かっているだろう。
map_0413#490	サファイラ: あなたが話し始めなければ、損なうのはそれだけじゃ済まないわよ。
map_0413#491	ベネット: 話してきたつもりだが。聞いていなかったのはお前のほうだろう。
map_0413#492	サファイラ: あなたの言うことが気に入らなかっただけよ。
map_0413#493	ベネット: チームメテオを離れたと言ったのが、気に入らなかったのか?
map_0413#494	サファイラ: 信じなかっただけ。
map_0413#495	ベネット: どのみち信じないつもりなら、話す意味などないだろう。
map_0413#496	サファイラ: 状況さえ整えば、正直になるものよ。
map_0413#497	本当のことを話しなさい、さもなければ、あなたの仲間の怪我はあなたのせいになる。
map_0413#498	ベネット: まず第一に、違う。
map_0413#499	お前が何と言おうと、お前が彼に何をしようとお前の責任だ、私のではない。
map_0413#500	第二に、お前の妹と私がすでに説明したことをきちんと聞いていれば、彼がもう私の仲間ではないと分かるはずだ。
map_0413#501	率直に言えば、こんなことをする必要もないが、私から答えを引き出したいなら、お前の妹を脅すほうがよほど効果的だろうな。
map_0413#502	ローラ: サファイラ!
map_0413#503	ハーディ: おいおい、殴らなくたっていいだろ。
map_0413#504	サファイラ: わたしが妹たちを傷つけるようなことをするなんて、絶対に思わないで。
map_0413#505	ベネット: 他の人間のことは、ためらいもせずに傷つけるようだがな。
map_0413#506	サファイラ: あなたにとって忠誠心が異質な概念だってこと、驚きもしないわ。
map_0413#507	ベネット: 私にとっては、お前の思慮のなさがそうだな。
map_0413#508	ローラ: もうやめて!
map_0413#509	サファイラ: どいて。まだ終わってないの。
map_0413#510	ローラ: いいえ、終わりよ。
map_0413#511	サファイラ: ローラ、どいてちょうだい。
map_0413#512	ローラ: 嫌よ。
map_0413#513	サファイラ: 彼が一体何をしたら、あなたの慈悲に値するっていうの?
map_0413#514	ローラ: 敬意や慈悲は、値するかどうかで決めるものだとは思わないわ。
map_0413#515	サファイラ: 敬意や慈悲じゃ、敵からあなたを守れない。
map_0413#516	ローラ: それなら、危険なままのほうがいい。
map_0413#517	サファイラ: あなたはいつも純粋だった……
map_0413#518	でも、その純粋さが、ただの世間知らずに堕ちないでほしいと、いつも願ってた。
map_0413#519	ローラ: 敬意と感謝を込めて言うけど、お姉ちゃん、
map_0413#520	人を信じる価値がないと思い込むほうが、よっぽど世間知らずだとわたしは思う。
map_0413#521	サファイラ: 次は、あのクソシグムンド・コナルと手をつないで賛美歌でも歌えって言うつもり?
map_0413#522	ローラ: みんながみんな、あの人みたいなわけじゃないわ。
map_0413#523	それに、間違った形であっても、あの人だって自分のしていることが誰かのためだと信じているはずよ。
map_0413#524	きっと、あの人だって変われるはず。
map_0413#525	サファイラ: よく、あなたにそんなことが言えるわね。
map_0413#526	他の誰でもない、あなたが一番よく知ってるはずでしょう、あの人が――
map_0413#527	わたしたちが経験してきたことを――
map_0413#528	それなのに今さら、あの人に同情してあげようっていうの?!
map_0413#529	あんなことがあった後で……
map_0413#530	コリン・ルージュ: わたし……
map_0413#531	ローラ: サファイラ……
map_0413#532	サファイラ: 触らないで!!
map_0413#533	サファイラ: 触らないで……
map_0413#534	触ろうなんて、考えもしないで……
map_0413#535	やめて――
map_0413#536	やめて!!
map_0413#537	お願い、やめて……
map_0413#538	ハーディ: おい、姉ちゃん。大丈夫か?
map_0413#539	俺だけだから、な?
map_0413#540	もう安全だ。
map_0413#541	あの医者はここにいない。
map_0413#542	大丈夫だから。とにかく息をしろ。
map_0413#543	サファイラ: ……
map_0413#544	ハーディ: それで、その……今のこと、説明してもらってもいいか?
map_0413#545	ローラ: ごめんなさい……
map_0413#546	そういうことを話すのは、わたしの立場ではないと思うの。
map_0413#547	でも、これまでと同じなら、彼女には気持ちを立て直す時間が必要かもしれない。
map_0413#548	以前は、この後しばらく言葉すら発せなくなることもあったから……
map_0413#549	ベネット: 今この瞬間に限っては、それを損失だとは思えないのだが、許してくれ。
map_0413#550	ローラ: あなたへのあの態度、謝るわ。
map_0413#551	彼女は、シャルロットとわたしのことになると、かなり過保護になるから……
map_0413#552	ベネット: 見ての通りだな。
map_0413#553	ハーディ: それはみんな分かってたと思うぜ、お嬢さん。
map_0413#554	ローラ: とりあえず、席を外して彼女の様子を見てくるわ。
map_0413#555	ハーディ: 気まずいな。
map_0413#556	ベネット: まったくだ。
map_0413#557	ルミ: ゼ、ゼロ?
map_0413#558	ルミ: あの……
map_0413#559	なんで――
map_0413#560	なんでゼロがここに?
map_0413#561	大丈夫なの?
map_0413#562	ベネット: 心配ない。ただのねむりごなだ。
map_0413#563	彼をラブラドラに帰らせるわけにはいかなかったのでな。
map_0413#564	ハーディ: そういえば、お前ら二人はどこにいたんだ?
map_0413#565	イヴ: この静けさを利用して、それぞれ自分のチームを持てるようになったから、必要な鍛錬に励んでたの。
map_0413#566	ルミ: 足手まといにはなりたくないもんね!
map_0413#567	それに――あなたもここにいたんだ?
map_0413#568	イヴ: 本気でチームメテオに背を向けるつもりなの?
map_0413#569	ベネット: そうだ、誰も信じてくれていないようだがな。
map_0413#570	ローラだけは、なぜか信じてくれているが。
map_0413#571	私がより大きな善のためにここにいるという話を信じないなら、彼女のためだと言い換えてもいい。
map_0413#572	できる限りの方法で埋め合わせをし、彼女を支えるつもりだ。
map_0413#573	正直、もっと前からやっているべきだったことだが。
map_0413#574	ルミ: わたしは信じるよ。
map_0413#575	ベネット: どう受け止めればいいか分からないが、ありがたく受け取っておこう。
map_0413#576	イヴ: どのみち、信じられるかどうかで、あなたの行動が変わるわけじゃないんでしょう?
map_0413#577	ベネット: その通りだ。
map_0413#578	その間、文字通り耳を引っ張って連れ回されないほうがありがたいが、信頼というものは行いによって得るべきものだからな。
map_0413#579	そのために、提案がある。
map_0413#580	イヴ: バリアのことね。
map_0413#581	ベネット: またしても正解だ。
map_0413#582	ハーディ: どういうことだ? 提案って何だよ?
map_0413#583	イヴ: 前に他の人にも説明したけど、あのバリアは認可された人員しか通れない。
map_0413#584	ベネット: ゼロと私は、二人とも認可された人員だ。
map_0413#585	彼を街に連れて行き、お前たちチームメテオの敵から救出したと主張するつもりだ。
map_0413#586	それを、カルセノン側から入る口実にする。
map_0413#587	その後、PULSEバリヤードの電源を切り、バリアを下ろして、お前たち全員が入ってチームメテオに完全な決着をつけられるようにする。
map_0413#588	イヴ: ラブラドラシティに入りたいなら、チームメテオに信頼されている人の助けが必要なのは確かね。
map_0413#589	他に方法はないし、今のところ、他に協力してくれる人もいない。
map_0413#590	ルミ: ゼロも協力してくれるとは思えないし……
map_0413#591	イヴ: そうね。彼にとって、チームメテオこそが唯一の居場所だから。
map_0413#592	ベネット: なら、彼が目を覚ます前にやらねばならないな。
map_0413#593	ハーディ: どうかな、相棒。俺に言わせりゃ、なんか怪しいぜ。
map_0413#594	中に入ったら逃げ出して、また俺たちに刃向かわないって保証がどこにあるんだよ?
map_0413#595	これって、お前が敵の手から抜け出すための、うまい手口ってだけかもしれねえだろ。
map_0413#596	ベネット: もっともな懸念だ。
map_0413#597	残念ながら、満足のいく保証を示す手立てはないと思う。
map_0413#598	だが、バリアが下りた時、私が約束を守ったかどうかは分かるはずだ。
map_0413#599	ハーディ: で、その時にはもう後悔しても手遅れってわけか。
map_0413#600	イヴ: 他の選択肢は現れないかもしれない。
map_0413#601	ハーディ: お前はどう思う、\PN? こいつを信用すべきだと思うか?
map_0413#602	ハーディ: お前がそう言うなら……
map_0413#603	よし! それでいこう!
map_0413#604	結局、これがアヤを救う一番の近道かもしれねえしな!
map_0413#605	ベネット: 忠誠を証明する機会をくれたこと、感謝する。
map_0413#606	ルミ: それ、ゼロにとってもいいことなのかな……
map_0413#607	彼は、あっち側にいたいはずだよね?
map_0413#608	ハーディ: ああ、ちょっと怪しくないか?
map_0413#609	ベネット: そう思うのも無理はないが、今、他に前進する道はないだろう。
map_0413#610	ルミ: ゼロはここに残ったほうがいいのかな?
map_0413#611	イヴ: そんなことを考えなきゃいけないなんて、変な感じ。
map_0413#612	イヴ: 何、その目で見て。
map_0413#613	ルミ: その……
map_0413#614	前みたいな状態が、恋しかったりする?
map_0413#615	イヴ: 分からない。
map_0413#616	ルミ: わたしは恋しいよ。
map_0413#617	前に戻りたいわけじゃないのに、恋しいの。
map_0413#618	彼のことが恋しい。
map_0413#619	変かな?
map_0413#620	変だよね……
map_0413#621	イヴ: 全然意味が分からないわね。
map_0413#622	でも、よく分かる。
map_0413#623	キャル: ああ、みんなここにいたのか……
map_0413#624	キャル: あの……お邪魔だったか?
map_0413#625	ハーディ: 俺にもよく分かんねえよ、相棒。
map_0413#626	ルミ: あ、キャルだ!
map_0413#627	いつから髪、青くしたの?
map_0413#628	キャル: え。
map_0413#629	俺たち、知り合いだったか?
map_0413#630	イヴ: エヴェリン・セイジャヤ。
map_0413#631	こっちはルミ。
map_0413#632	少し話したことがあるだけよ、それも、あの人の顔をしている時に。
map_0413#633	キャル: ……
map_0413#634	うん、よく分かんねえや。
map_0413#635	でも、その、誰かシェリーを見なかったか?
map_0413#636	ヘザーが伝言を頼んできてて。
map_0413#637	ハーディ: あいつと大半の連中は、アゲートで捕まえたメテオの連中をブチ込みに、街に降りてったぞ。
map_0413#638	キャル: メテオにとっちゃ最悪な日だな。
map_0413#639	ベネット: メテオでいられる最後の日になるかもしれんぞ。
map_0413#640	ルミ: あはは、ここにいるほとんどの人が、一度はあっち側にいたことあるんだよね?
map_0413#641	キャル: それなのに、お前らには一度も会ったことない気がするんだけどな。
map_0413#642	ヴィクトリア: キャル……?
map_0413#643	キャル: あ。
map_0413#644	えっと、どうも。
map_0413#645	久しぶりだな。
map_0413#646	ヴィクトリア: わたしに言わせれば、全然久しぶりじゃないけどね。
map_0413#647	キャル: その、何でここに?
map_0413#648	ヴィクトリア: ああ、その……たまにはデスクを離れようと思っただけよ。
map_0413#649	山のように積み上がった書類仕事と責任から少し休憩がてら、こっちの様子を見に来たってわけ。
map_0413#650	リボーンシティで起きてる全部のことに対処するだけじゃなくて、ほんのちょっとした、ごくごくささいな問題にもね、それは――
map_0413#651	あなたがキキを殺させたせいで、アポフィルアカデミー全体を引き継ぐ羽目になった、っていう問題!
map_0413#652	キャル: あそこで起きたことは、償いようがないって分かってる。
map_0413#653	ヴィクトリア: ええ、償えないわね。
map_0413#654	ハーディ: 俺、何か聞き逃したか?
map_0413#655	ベネット: そういうことにして、邪魔をしないでおこう。
map_0413#656	キャル: アポフィルを見捨てるつもりなんてなかった。
map_0413#657	ヴィクトリア: あら、そうだったの!
map_0413#658	じゃあ、あなたがみんなを裏切って、全部を丸焦げにするはずのPULSEを設置したのも、完璧に説明つくわね!
map_0413#659	それで、キキのチャーレムに何が起きたのかも分かるってわけね!
map_0413#660	だからパイロス山でチームメテオを止めて、彼女が今も生きてるんでしょう――
map_0413#661	あ、待って。
map_0413#662	キャル: 俺はPULSEを妨害したんだ。
map_0413#663	あれはオーバーヒートするだけで、何もできなくなってたはずだ。
map_0413#664	ヴィクトリア: それで、そんな都合のいい話をわたしが信じるとでも――
map_0413#665	イヴ: 本当のことよ。
map_0413#666	ヴィクトリア: そもそも、あなた誰なの?
map_0413#667	イヴ: わたしがそのPULSEを作った本人。
map_0413#668	ヴィクトリア: あら。
map_0413#669	そう、あなたが作ったのね。
map_0413#670	なら、今日ここに来たのは、結局のところ大当たりだったみたいね。
map_0413#671	問題がひとつどころか、二つも片付けられるってわけ。
map_0413#672	イヴ: あなたがふさわしいと思う罰なら、何でも受け入れるわ。
map_0413#673	ルミ: イヴ――
map_0413#674	イヴ: でも、その前に、
