map_0857#87	わかりました、
map_0857#222	リン: ……
map_0857#223	うわぁ。
map_0857#224	うわぁ！
map_0857#225	相変わらずあまのじゃくだねー。
map_0857#226	反抗挑発性障害の検査でも受けたら？
map_0857#227	大人が言うことを何でもかんでも聞かないと、大人はそれを病気って呼ぶんだよ。
map_0857#228	しかもあんたのは末期。
map_0857#229	それで賢いつもりになってんの？？？？
map_0857#230	まあ、ちょっと面白いから、今回だけは、
map_0857#231	許してあげる。
map_0857#232	でも薄氷を踏んでるようなもんだからね。
map_0857#233	文字通り。
map_0857#234	リン: そんなに大変だった？
map_0857#235	じゃ、次のちっちゃな冒険に進んでいいよ。
map_0857#236	お願いって丁寧に言うなら、ここからワープさせてあげてもいいけど。
map_0857#237	それ、してほしい？
map_0857#238	リン: 丁寧にって言ったんだけど。
map_0857#239	でもあたしが気前いいって言うのは伊達じゃないから。
map_0857#240	リン: ほら、そんな悪くなかったでしょ。
map_0857#241	リン: じゃあここで朽ち果てなよ。
map_0857#242	平均的な人間の寿命は、たった22億4054万3592秒しかないんだよ。
map_0857#243	そのうちの多くを、あんたは今無駄にしてる。
map_0857#244	ほら、また一秒。
map_0857#245	そしてまた一秒。
map_0857#246	その気になれば、あんたをここに閉じ込めてお互いの秒数を一つずつ燃やし尽くすことだってできるんだよ。
map_0857#247	あんたも無駄にするの好きそうだしね。
map_0857#248	どうせもうあたしたち繋がってるんだし。
map_0857#249	なんでかわかってるでしょ？
map_0857#250	考えてみなよ。
map_0857#251	でも急いでね。
map_0857#252	考える秒数もそんなに残ってないんだから。
map_0857#253	飛んでいける場所に置いてあげる。
map_0857#254	あたしのおごり。
map_0857#255	本当は誰があんたの味方なのか、忘れないでよね。
map_0857#256	別のセーブファイルでラティアスパズルの完了が検出されました。
map_0857#257	このファイルでもラティアスパズルをスキップしますか？
map_0857#258	説明
map_0857#259	感情
map_0857#260	はい
map_0857#261	いいえ
map_0857#262	ありがとう
map_0857#263	お願い
map_0858#0	台車がすっかり空になった！
map_0858#1	チーフ: ええ、ちょうどこの裏です。
map_0858#2	チーフ: 赤の秘宝と青の秘宝、輸送用にしっかり固定完了！
map_0858#3	これが貯蔵車両への唯一の入り口です。ですから、ここでただ待っていてくれればいいんです！
map_0858#4	一番面白い仕事とは言えませんが、警察の仕事とはそういうものです！
map_0858#5	すべては人々の安全のためですからね？
map_0858#6	さて、せっかくお客様たちと一緒に旅をしているんですから、挨拶に行ってみたらどうです？
map_0858#7	本当の目的はわざわざ言う必要はありませんし、この旅の大半は私が彼らに目を光らせておきますから、いるうちに誰が乗っているか知っておくのもいいでしょう！
map_0858#8	さあ、本格的にシフトが始まる前に、ちょっと社交でもしてきてください！
map_0858#9	チーフ: 私が汚い手で彼らに手を出すんじゃないかと心配なら――大丈夫です！
map_0858#10	もし盗むつもりなら、海外への輸送手配のどの段階でだって、とっくにやっていたはずですよ。
map_0858#11	それに何より、私みたいな人間がこんな物を手に入れて、一体何をするというんです？
map_0858#12	ふん！ こういう伝説の遺物なんて、価値以上に厄介事のほうが多いんですから！
map_0858#13	後ろめたい気持ちなんて捨てて、お客様たちに会ってきてください！
map_0858#14	でも本当に行きたくないなら、今すぐ交代しても構いませんよ！
map_0858#15	本当に挨拶する時間はいらないんですか？
map_0858#16	チーフ: それならそれで結構！
map_0858#17	長い旅になりますからね――行けるうちに社交しておいてください！
map_0858#18	チーフ: うーむ……そう言うのなら、それでも問題ありません！
map_0858#19	チーフ: もう挨拶したいところは全部回りましたか？
map_0858#20	チーフ: よろしい！
map_0858#21	では交代しましょう。
map_0858#22	私はお客様たちに目を配ります――あなたは品物を見張っていてください。
map_0858#23	二人でいれば、乗客の誰一人としてこれを盗み出すチャンスなんてありませんよ！
map_0858#24	では、私はこれで。
map_0858#25	チーフ: 秘宝をよろしく頼みますよ！
map_0858#26	またしばらくしたら様子を見に来ます――もしかしたら軽食車両から何か持ってくるかもしれません！
map_0858#27	それでは、また後で！
map_0858#28	機関車の車両は乗客立ち入り禁止だ。
map_0858#30	クラウドバリー: あ・な・た。
map_0858#31	一体あなたはここで何をしているの、ん～？
map_0858#32	親切な老婦人ののんびりした休暇を台無しにしに来たの？！
map_0858#33	よくもまあ、あなたのそのおぞましさで、この列車の神聖さを汚そうなんて考えられたものね！
map_0858#34	食堂車もこれで台無しよ！
map_0858#35	あ・な・たみたいなドブ溜めのゴミを招き入れたんだから、この場所の隅から隅まで消毒してもらわないと！
map_0858#36	今すぐ私から離れなさい！
map_0858#37	私のかわいそうな鼻には限界があるのよ。
map_0858#38	クラウドバリー: あなたはもともとそんなに我慢ならない人なの？ それとも人間として可能な限り不快な存在になることが使命だとでも思ってるの？
map_0858#39	消えなさい！
map_0858#40	サンディ: あ、\PNだ！
map_0858#41	あたしがここにいるの、意外だった？
map_0858#42	確かにフィールドワークはあたしに向いてないって決めたんだけどさ……
map_0858#43	デスクワークはただただ退屈すぎる！
map_0858#44	一日中座って書類を整理し続けるのがどれだけ疲れるかわかる？
map_0858#45	次の「公認・イケてる人」が現れて、あんたが配ってるヤバい仕事を持っていくのを待つだけの毎日？
map_0858#46	なんかさ――どうしてあたしは外に出てそれをやってないんだろうって思うわけ。
map_0858#47	でもあたしがなんで外に出てそれをやってないか、自分でもわかってる――ミルタンクにうんこかけられたからだよ！
map_0858#48	でもあたしはたった一頭のせいで、一生怖がって縮こまって生きていくべきなの――
map_0858#49	ふふ、縮こ牛（うし）まって……
map_0858#50	……なんの話だったっけ？
map_0858#51	とにかく、もっと外に出たいのと永遠に引きこもっていたいのとの間で頭がピンポンし続けるプレッシャーに耐えられなくなって、
map_0858#52	だから今、あたしは走ってる列車に乗って、自分の問題全部から正反対の方向に進んでるってわけ！
map_0858#53	人生って面白いよね？
map_0858#54	サンディ: ねえ、この列車の行き先にミルタンクはいないよね？
map_0858#55	ジョン: \PN。
map_0858#56	ここで会うとはな。
map_0858#57	安心しろ、お前に特に恨みはない、
map_0858#58	お前の行動が原因で、俺の以前の雇い主が何人か死んでいるとしても、な。
map_0858#60	……いや、考え直すと、多少の恨みはあるかもしれん、
map_0858#61	だがプロとしてそれに対処するつもりだから、安心していい。
map_0858#62	ではな。
map_0858#63	ジョン: 「ではな」と言ったんだ。
map_0858#64	ユースタス: ご機嫌よう、平民よ。
map_0858#65	役に立ちたいなら、飲み物でも取ってきてくれないか？
map_0858#66	何かジュース、それが私の口に合うと思うのだが。
map_0858#67	ただし忠告しておくが――ヒメリジュースを持ってきたら、まだ走行中のこの列車から力ずくで放り出すことになるぞ。
map_0858#68	ウブジュースもだめだ――他に何が入っているのか知らないが、確実に人間の口に入れるためのものではない。
map_0858#69	そしてオレンジュースも持ってこなくていい。あれは最も味気ない朝食以外、どんな場面にも合わない。
map_0858#70	さあ動きたまえ、ギャルソン。
map_0858#71	我々みんなが一日中間抜け面で突っ立っているわけにはいかないのだから。
map_0858#72	ユースタス: ギャルソン？
map_0858#73	私のジュースはどこだ、ギャルソン？
map_0858#74	ここのサービスは本当にひどいものだな。
map_0858#75	ジュリア: \PN、通り過ぎたの、やっぱりあんただと思った！
map_0858#76	こんなとこで会うなんてすごい偶然！
map_0858#77	実はさ、ある人に海外旅行に誘われてたんだけど、信じられる？
map_0858#78	すっぽかされたの！
map_0858#79	このあたしが！
map_0858#80	チアリーダーがすっぽかされるなんて考えられる？！
map_0858#81	最近自分がゲイだって気づいたとかならまだいいけど、じゃなきゃ説明してもらわないと困る！！！
map_0858#82	もし本当にゲイだって気づいたんだったら、その人生の選択で幸せになって、素敵な旦那さんを見つけてほしいな！！！！
map_0858#83	でもその旦那さんがあたしのこと狙ってたとかじゃない限りね！
map_0858#84	残念、けっこう口がうまい人だったのに……
map_0858#85	でもまあいいの！
map_0858#86	この状況を最大限に活かすから！
map_0858#87	それにあの人がいない間に、素敵な紳士に出会えて、今めちゃくちゃ楽しい時間を過ごしてるし、
map_0858#88	だからね、すっぽかしさん！ ざまあみろ！
map_0858#89	ジュリア: もしかしたら、あの人ただ列車に乗り遅れただけかも……
map_0858#90	あたしも間違った列車に乗りそうになったんだけど――でもそれ、あの人がギリギリになってどれかを教えたせいだからね！
map_0858#91	むぐぐぐ……
map_0858#92	マクスウェル: \PN。ここで会うとはな。
map_0858#93	気分転換にこの列車に乗って出かけたら、向かいの席にいる素敵なレディに出会ってな――
map_0858#94	ジュリア: もう、やめてよ～
map_0858#95	なんちゃって――続けて――
map_0858#96	マクスウェル: お前のためなら、一晩中でも続けてやるぜ、ベイビー。
map_0858#97	だがゆっくりいこうぜ、な？
map_0858#98	まあ、俺たちの間に何があろうと、しょうもない昔のドラマのために個人的な外出を台無しにするようなことはしないでほしいね。
map_0858#99	うちの奴らは牧場に置いてきてる――俺たちの一味からトラブルになることはねえよ。
map_0858#101	アーチャー: ああ、\PN。
map_0858#102	今夜のデート相手と知り合いだったとはな。
map_0858#103	ちょっとした用件でこの列車に乗っていてね――お前もこれに関わっているようだから、口を慎んでもらいたいものだが――
map_0858#104	そんな折に、どこぞの取るに足らない男に見捨てられた、若く貴重な人に出会ったんだ。
map_0858#105	彼女が一人で失恋を悲しむのを放っておくのは不公平というものだろう。
map_0858#106	ジュリア: あの男のことなんてもう忘れて！
map_0858#107	あなたのこと、もっと聞かせて！
map_0858#108	アーチャー: もちろん、そのうちすべて話そう。
map_0858#109	なにせ、お互いを知るための旅がまだ丸ごと残っているのだから。
map_0858#110	いずれにせよ、少し二人だけの時間をもらえるとありがたい。
map_0858#111	この旅の間、私からは何もやましいことはしない――約束しよう。
map_0858#112	マクスウェル: またな。
map_0858#113	アーチャー: 少し場所を空けてもらえるか？
map_0858#114	さもなければ、どうして二人きりの時間を楽しめると言うんだ？
map_0858#115	マクスウェル: どうやら俺のデート相手は姿を消しちまったらしい……
map_0858#116	アーチャー: 妙だな。
map_0858#117	一体どこへ行ったんだ……？
map_0858#118	マクスウェル: へぇ、また俺たちは敵同士ってわけか？
map_0858#119	だが俺は潔白そのものだぜ。
map_0858#120	何を聞きたいんだ？
map_0858#121	マクスウェル: なあ、これに関しては否定しても意味がないと思うぜ。
map_0858#122	どっちの秘宝も、マグマ団を完全な栄光に戻すのに必要な力を与えてくれるくらいの力を持ってる。
map_0858#123	そんなの考えるまでもないだろ？
map_0858#124	それについて嘘をついても、自分を余計に怪しく見せるだけだしな。
map_0858#125	マクスウェル: アリバイをあげたいところなんだけどな。
map_0858#126	俺はずっとここに座ってたよ。
map_0858#127	いい子ちゃんみたいに一歩も動かずにな。
map_0858#128	問題は、その話を裏付けられるはずの相手が自分から姿を消しちまったことだ。
map_0858#129	それで俺は困った立場に追い込まれてるってわけだ。
map_0858#130	彼女とはずっと楽しく話してたんだが――何か大きな勘違いでもしない限り、急に走って逃げ出す理由なんて思いつかねえな……
map_0858#131	マクスウェル: まあ……
map_0858#132	こんなことしたくねえんだが、あのジュリアって子、かなり怪しいことを言ってたんだよ。
map_0858#133	自分で先頭まで行って電気を消せるって言い出して――そしたらなんと本当に消えたんだ。
map_0858#134	でも実際にそれが起きたとき彼女はここにいたわけだから、どうやってそれをやったのか想像もつかねえ、もし――
map_0858#135	あいつ、デンヂムシを使うだろ？
map_0858#136	想像してみると面白いシナリオだな。列車の中央にそいつを転がして、機関室でストライクを決めるってやつ。
map_0858#137	だが俺はそんなの何も見てないから、話半分に聞いてくれよ。
map_0858#138	怪しいのは確かだが、犯人だとは思わねえな。
map_0858#139	マクスウェル: この件、うまくいくといいな。
map_0858#140	アーチャー: ああ、私が尋問される番か？
map_0858#141	アーチャー: 確かに、これは尋ねるべき当然の質問だな。
map_0858#142	だがお前はもう答えを知っているのだろう？
map_0858#143	どちらの秘宝の力も、かつての私の一味にとって何ができるか、否定しても意味がない。
map_0858#144	もう一度この街のために何かできるようになるかもしれない。
map_0858#145	だが私が、そんなもののためだけにわざわざここまで来たと思うか？
map_0858#146	私をそこまで見くびっているのか？
map_0858#147	アーチャー: 尋ねるのは当然だが、それでも聞かれるのは気が重かったよ。
map_0858#148	私は機を待っていた。
map_0858#149	たとえ秘宝を盗むつもりだったとしても、あの瞬間は行動には不向きだった。
map_0858#150	計画外の闇の中で、混乱があまりに大きすぎた。
map_0858#151	不確定要素が多すぎる。
map_0858#152	私はここに座って選択肢を検討していた――しかし、結局は待つことにした。
map_0858#153	私は潔白だと分かるだろう。理想を言えば、あの美しいデート相手にも証言してもらいたかったのだが……
map_0858#154	……だが、姿を消したのは彼女自身のようだな。
map_0858#155	私たちのちょっとした会話から、変な考えを起こしていなければいいのだが……
map_0858#156	アーチャー: これは、つい先ほどまで素晴らしい時間を過ごしていたレディに対してするのは気が引けるのだが……
map_0858#157	だが私のデート相手は、停電の間に姿を消したのだ。
map_0858#158	彼女と私は、あくまで仮の話として、活発な議論をしていた。
map_0858#159	もしこの列車を襲うとしたら、どうするか、と。
map_0858#160	肝心なのは「もし」という部分だ――それは弾んだ会話の話題であって、本当の計画ではなかった。
map_0858#161	そう思っていたのだが、彼女は明かりを切ることに言及していた――そして実際に、明かりは切られた。
map_0858#162	私はそれ以上計画を進めることはなかったが、彼女はここからそれを仕組めたのだろうか？
map_0858#163	停電の前、席から一歩も動かずに？
map_0858#164	電気タイプのジムリーダーなら……可能かもしれない。
map_0858#165	私は何も見なかったが、それを排除することはできないだろう？
map_0858#166	アーチャー: 幸運を祈る。
map_0858#167	任務中、報告します！
map_0858#168	出口の安全は確保されています！
map_0858#169	この旅を円滑に進めるため、チーフが我々を連れてきました。
map_0858#170	現時点で不審な活動はありません！
map_0858#171	停電の間に貯蔵室にこっそり忍び込んでいたのを捕まえました！
map_0858#172	あなたにはここにとどまってもらう必要があります、お嬢さん。
map_0858#173	チーフは現在、列車の先頭近くで騒ぎを調べています。
map_0858#174	サンディ: お願い、放して！
map_0858#175	お手洗いを探してただけなの！
map_0858#176	この列車、お手洗いがどこにもないの、気づいてた？！
