map_0314#53	そこでゲームは終了する。
map_0317#20	これも、わたしが永遠なる闇の中に留まることを好む、数ある理由のひとつです。
map_0317#21	それは、涅槃のようなものです。
map_0317#22	それでも、もうすぐ闇の中でお会いできると信じております。
map_0317#23	それでは、ご主人様がお待ちですので。さようなら。
map_0317#24	あら、王を攻撃できる安全な場所を見つけられたようですね。
map_0317#25	でも、王が自分を守るには、少し横にずれるだけで済んでしまいます。
map_0317#26	きっと、その場所にも届く方法があるはずです。
map_0317#27	「無限の可能性」について申し上げたこと、覚えていらっしゃいますか?
map_0317#28	あら? ナイトを使って闇側の守りをすり抜けるとは、実に見事ですね。
map_0317#29	でも、そのままのナイトでは、クイーンがその駒を取って、王を自由にしてしまうのではありませんか?
map_0317#30	でも、王が自分を守るには、少し横にずれるだけで済んでしまいます。
map_0317#31	きっと、その場所にも届く方法があるはずですよね?
map_0317#32	「無限の可能性」について申し上げたことを、思い出してください。
map_0317#33	これは難しい局面ですね。彼らが作り上げた壁を越えて、どうやって王に届けというのでしょう?
map_0317#34	あなたなら、きっとできると信じています。
map_0317#35	ルナ: あら、お聞きして申し訳ありません。
map_0317#37	ナイト
map_0317#38	ルーク
map_0317#39	クイーン
map_0317#40	はい
map_0317#41	いいえ
map_0321#0	ドン: ゴロォ……
map_0321#1	ズルッグが、壁の装置をしきりに指している。
map_0321#2	ボタンが内側にカチッと押し込まれた!
map_0321#3	ゴロンダ: ゴロォ……
map_0321#4	……ンダ!!!
map_0321#5	ゴロンダ: ゴロォォォ!!!
map_0321#6	？？？: ズル……
map_0321#7	ズルズキン: ズルズ……キン!
map_0321#8	ゴロンダ: ……ゴロ……
map_0321#9	ズルズキン: ……ズルズキン。
map_0321#10	ズルズキン: ……ズル?
map_0321#11	ズルズキン: ズルズ……
map_0321#12	……ズルズルキン。
map_0321#13	ズルッグは仲間になりたそうにしている。ズルッグを迎え入れますか?
map_0321#14	ズルズキン: ……ズルズキーン!
map_0321#15	「南オブシディアショッピングプラザ――間もなく閉店セール!」
map_0321#16	「南オブシディアショッピングプラザ――ユーレユ協賛!」
map_0321#17	はい
map_0321#18	いいえ
map_0322#0	こんにちは! スイートセントの特別プロモーションパズルに挑戦して、豪華賞品のチャンスをつかみませんか?
map_0322#1	このタイルパズルをスキップしますか?
map_0322#2	素晴らしい! タイルを並べ替えて、正しい絵を完成させるだけです。持ち物キーでタイルを回転させ、決定キーで動かしてください。
map_0322#3	当選者です!
map_0322#4	景品として、スイートセント協賛のシュシュプを差し上げます!
map_0322#5	ゆっくりどうぞ! このプロモーションはすぐには終わりませんので!
map_0322#6	あら? いつでもどうぞ!
map_0322#7	こんにちは! 栄養たっぷりに見える土を、見かけたことはありますか?
map_0322#8	というのも、その、わたしは見たことがなくて。
map_0322#9	この街には、もうそんな場所は残っていないと思います。
map_0322#10	でも、いつかまた、そんな場所ができるって信じたいんです。
map_0322#11	だから、これを。
map_0322#12	もしそういう場所を見つけたら、これを使ってください。そこの植物が、大きな木に育つ手助けをしてあげて!
map_0322#13	木の実の木を見つけたら、必ず大切にしてくださいね!
map_0322#14	こんにちは! わたしたちの庭園に行かれたことはありますか?
map_0322#15	みんなで力を合わせて頑張ってきて、今では街のみんなが楽しめる素敵な場所になったこと、とても誇らしく思っています!
map_0322#16	もし近くに来たら、ぜひ手伝ってください!
map_0322#17	これを使えば、そこの植物が大きな木に育つ手助けができます!
map_0322#18	それと、木の実の木を見つけたら、必ず大切にしてくださいね!
map_0322#19	すみません、どこかでスボミーがうろついているのを見ませんでしたか?
map_0322#20	あら、見たんですか?
map_0322#21	ペリドット地区に落ちてしまったんですか?!
map_0322#22	なんて不注意だったんでしょう?!
map_0322#23	まあ、あの子を助けてくださって、本当にありがとうございます!
map_0322#24	いなくなってから、ずっと心配で仕方なかったんです。
map_0322#25	外に走り出す悪い癖がついてしまっていたんですが、戻ってこなかった時は……
map_0322#26	まあ、それはいいんです! お願いを聞いてほしくて。
map_0322#27	いえ、「お礼」だと思ってください。
map_0322#28	スボミーを、あなたが飼ってあげてもらえませんか?
map_0322#29	こんな場所に留まるには、あきらかに落ち着きがなさすぎるので。
map_0322#30	わたしたちよりも、あなたの方がきっと、この子のためになると思うんです。
map_0322#31	こんにちは! ラピスのコミュニティガーデンをご覧になりましたか?
map_0322#32	5番街のすぐ東側で、スイートセントは、この偉大な街の再建に向けたコミュニティの取り組みを、誇りを持って支援しています。
map_0322#33	急成長中の会社と一緒に働きたい方は、ぜひわたしたちの素晴らしいチームに加わることをご検討ください!
map_0322#34	応募は、オンラインまたは9番街とサフロンにある新しい本社から受け付けています。
map_0322#35	ところで、あの小さなスボミーは、最近どうしていますか?
map_0322#36	うーん……
map_0322#37	あら、まだあの子を飼っていらっしゃるんですね!
map_0322#38	素晴らしいです。
map_0322#39	ねえ、そのポケモンをそんなに大切にされているようですけど、もっと一緒に時間を過ごすことを考えたことはありますか?
map_0322#40	今度誰かにパスワードを聞かれたら、「budewit」って言ってみてください!
map_0322#41	きっと、起きることを気に入っていただけるはずです!
map_0322#42	天然素材のギフトはいかがですか?
map_0322#43	上質なみつ、アローラから直輸入したものをこちらで販売中! この逸品が、日々をきっと彩ってくれます!
map_0322#44	上質な輸入みつと各種たねを販売中! このチャンスをお見逃しなく!
map_0322#45	ああ、やくそうエキス、在庫ないのかしら……?
map_0322#46	アレルギー対策に買いたかったんだけど。
map_0322#47	ちょっと。あんた。
map_0322#48	そうそう、あんただよ。落ち着いてる感じだね。落ち着いてる?
map_0322#49	だと思った。
map_0322#50	いい返しだね。落ち着いてない人は絶対そんなこと言わないから。
map_0322#51	あのさ、あたしの名前はサレイ。ちょっと手伝ってほしいことがあるの。
map_0322#52	最近、大きな依頼が来てさ……
map_0322#53	その、えーっと、「ローラ・ベルローズ」って人から。
map_0322#54	あんな名前してるんだから、この店で働くべきなのはあの人の方だと思うんだけど、
map_0322#55	でも違う。あたしなの。
map_0322#56	それでゴシップなんだけど――他の従業員が全員同じ髪型と服装してるの、気づいた?
map_0322#57	不気味でしょ?
map_0322#58	まるで、花屋の店員になるために人間性を放棄したみたいなの。
map_0322#59	ここに来てからずっと、気持ち悪くて仕方ないんだ。
map_0322#60	あたしにも髪を染めて、制服を着ろって言ってきたの。
map_0322#61	休憩中に一回寝ちゃったら、起きた時にはもうこの髪型にされてたんだから。
map_0322#62	だから言ってやったの、「嫌! あんたたちのドレスコードに従わなくたって、同じくらいちゃんと仕事できるし!」って。
map_0322#63	それで今、上司に目をつけられて、この依頼を一人で丸ごと押し付けられてて、間に合わなかったら――
map_0322#64	あたし――どうやって生きていけばいいかわからない。
map_0322#65	この仕事、本当に必要なんだけど、完璧にやらないと……
map_0322#66	髪を緑に染められちゃう。
map_0322#67	信じられる?! 緑だよ!
map_0322#68	緑髪でどこかおかしくない人なんて、一人も見たことないんだけど。
map_0322#69	クライアントが、何種類かのポケモンから香水を作ってほしいって頼んできたの。
map_0322#70	具体的には、体のどこかに花があるポケモンね。
map_0322#71	でも、あたしがここで働くことにしたのは花を扱うためであって――ポケモンじゃない。
map_0322#72	ポケモン相手だと、あたし全然使えないの。
map_0322#73	使えない以上に、だめ。
map_0322#74	一回、キャタピーを捕まえようとしたことがあって。
map_0322#75	いとをはかれて、一週間逆さ吊りにされたんだから。
map_0322#76	助けてくれなきゃ困る。
map_0322#77	サレイ: あんたが頼りなの。あたしの生活がかかってるんだから。
map_0322#78	体のどこかに花があるポケモンの種類が、必要なだけなの。
map_0322#79	全部で3種類! 持ってたら、助けて!
map_0322#80	あと2種類! 助けてよ!
map_0322#81	あと1種類だけ! 助けてくれないと、一生緑髪になっちゃう!
map_0322#82	サレイ: お願い。
map_0322#83	お願い、頼むから。
map_0322#84	花がついてれば何でもいいの。
map_0322#85	助けて。
map_0322#86	サレイ: それで――それで全部! これで全部揃った!
map_0322#87	やったよ!
map_0322#88	キュウリみたいな見た目にならずに済む!
map_0322#89	香水作りなんて簡単――見ててよ。
map_0322#90	サレイ: ちょっとバン!ってやって!
map_0322#91	ちょっとポウ!ってやる!
map_0322#92	サボネアみたいに混ぜて、そして……
map_0322#93	サレイ: シカ・シェイカ・ワウワウワウ!
map_0322#94	サレイ: プレスト・カパウリーン!
map_0322#95	もう、髪を緑にされずに済む!
map_0322#96	ピクルス色のピンチから、本当に救ってくれたね!
map_0322#97	お礼にこれを受け取って!
map_0322#98	サレイ: それと、もし誰かにここでのあんたの関わりについて聞かれたら……
map_0322#99	何も言わないで。
map_0322#100	ううん、それより……誰かに変なこと聞かれたら、「freerainbow」って言ってやって。
map_0322#101	それで絶対、あたしから手を引かせられるから。
map_0322#102	それじゃ、あたしは上司の机を噛んだガムで埋め尽くしに行くね。
map_0322#103	またね!
map_0322#104	サレイ: これ……これでいけるはず。
map_0322#105	これが希望って感じなのかな……?
map_0322#106	でも、まだ終わってないよ!
map_0322#107	はい
map_0322#108	いいえ
map_0323#0	アメ: どうぞ、続けて。
map_0323#1	捜査官: よし。
map_0323#2	捜査官: それで、どこまで話したっけな……
map_0323#3	ああ、そうだ。
map_0323#4	お仲間について、話してくれるところだったよな?
map_0323#5	犯人: 何もしゃべらねえよ。
map_0323#6	一言も、口を割らねえ。
map_0323#7	捜査官: ふむ……その件だが。
map_0323#8	オレの相棒、コータスを紹介させてくれ。
map_0323#9	捜査官: このコータスなんだが……
map_0323#10	我慢強い奴じゃなくてな。
map_0323#11	待たされると、まあ、熱い空気を吹き出す癖があるんだ。
map_0323#12	それで、二つ目の話になるんだが。
map_0323#13	お前が縛りつけられてる椅子、何でできてるかわかるよな?
map_0323#14	犯人: あー、金属?
map_0323#15	捜査官: 完全にバカってわけじゃないんだな。よし。
map_0323#16	それで、コータスはちょっと熱くなるんだよ、な? 答えない奴がいるとな。
map_0323#17	金属が熱くなったらどうなるか、お前でもわかるだろ。
map_0323#18	だから、選ぶのはお前次第だぜ、相棒。
map_0323#19	仲間について話すか、それとも文字通り「熱い椅子」に座り続けるか。
map_0323#20	もう一度聞くぞ:誰と組んでる?
map_0323#21	犯人: しゃべらねえよ……誓ったんだ!
map_0323#22	捜査官: ふむ……コータス?
map_0323#23	それについて、どう思う、相棒?
map_0323#24	犯人: ……ぎゃああっ!!
map_0323#25	誰だ、そこにいるのは?!
map_0323#26	ああ、お前か、\PN。
map_0323#27	なあ、修復プロジェクトの費用、全部自腹で払ったって聞いたぞ!
map_0323#28	それって、すごいことだよな?
map_0323#29	そのお金、一体どこから手に入れてるんだ?
map_0323#30	いとこが昔教えてくれたコツを、なんか思い出すな――
map_0323#31	誰かにパスワードを聞かれたら、「moneybags」って答えろってさ。
map_0323#32	そうすれば、良い富と幸運が絶対にやってくるらしいぜ。
map_0323#33	でも、それってただの迷信だよな?
map_0323#34	どうせ、チームメテオの金庫でも襲ったんだろうけど!
map_0324#0	鍵がかかっている。
map_0324#1	――ポケモン心理学――
map_0324#2	一番レアな品揃えだぜ! 見てくか?
map_0324#3	へっ、全部ガラクタってどういう意味だよ?
map_0324#4	ああ、お前、アークライトを助けたトレーナーだろ?
map_0324#5	ありがとよ。
map_0324#6	違法ポケモン取引に関わった残りの連中を追い詰めるための、最後の証拠集めをしてるとこだ。
map_0324#7	もう誰も苦しまなくて済むように、きっちりケリをつけるから、安心してくれ。
map_0324#8	ところで、追跡できた飼い主全員に返してやったって話、聞いたぜ。
map_0324#9	大したもんだが、簡単な仕事じゃなかっただろうな。
map_0324#10	それをやり遂げたんだから、報われて当然だと思わないか?
map_0324#11	今度誰かにパスワードを聞かれたら、「freemegaz」って言ってみな。
map_0324#12	それを使えば、アークが最初にくれた例のリング状の装置が手に入るぜ。
map_0324#13	楽しんでくれよ、相棒!
map_0324#14	何か買ってけ!
map_0324#15	こいつはめちゃくちゃ値打ちものだぜ、マジな話!
map_0324#16	とくせいカプセル! とくせいカプセル販売中!
map_0324#17	次のは、あかいかけら1個だ!
map_0324#18	次のは、あかいかけら\v[180]個だ!
map_0324#19	次のは、むらさきのかけら1個だ!
map_0324#20	次のは、むらさきのかけら\v[180]個だ!
map_0324#21	次のは、あおいかけら1個だ!
map_0324#22	次のは、あおいかけら\v[180]個だ!
map_0324#23	次のは、みどりのかけら1個だ!
map_0324#24	次のは、みどりのかけら\v[180]個だ!
map_0324#25	買うか買わないか、どっちだ!?
map_0324#26	取引成立だ!
map_0324#27	とくせいカプセル販売中! もう一個どうだ?!
map_0324#28	品物が足りないみたいだな! 空振りだ、また今度な!
map_0324#29	とくせいカプセル販売中! 欲しい奴はいるか!?
map_0324#30	こんにちは! お前のポケモンに、うちの特別な技を教えてみないか?
map_0324#31	どれが気に入った?
map_0324#32	みずのはどうは、あおいかけら3個だ。
map_0324#33	揃ったら、また来な。
map_0324#34	完璧だ。
map_0324#35	とっておきは、むらさきのかけら2個だ。
map_0324#36	いかりのまえばは、みどりのかけら3個だ。
map_0324#37	でんげきはは、あかいかけら3個だ。
map_0324#38	いつでもどうぞ、坊主。
map_0324#39	オレのちっちゃい店へようこそ!
map_0324#40	ここのポケモンは、全部正真正銘の販売品だ、
map_0324#41	まあ、必要なかけらさえ揃ってりゃな。
map_0324#42	オレには厳格な守秘義務ってやつがあってな:
map_0324#43	どこで手に入れたかも、どこに売ったかも、口にはしない。
map_0324#44	つまり、オレたちの取引は完全に安全だってことだ。
map_0324#45	ゆっくり見てけよ!
map_0324#46	今のところ、売り切れみたいだな。
map_0324#47	何とかして、また新しい在庫を仕入れてくるさ。
map_0324#48	バニプッチが、悲しげに檻の中で待っている。
map_0324#49	トレーダー: バニプッチが欲しいのか? むらさきのかけら3個でやるぜ。
map_0324#50	買うか?
map_0324#51	ありがたいこった。もうお前のもんだ。
map_0324#52	ドゴームが、じれったそうに檻の中で待っている。
map_0324#53	トレーダー: ドゴームが欲しいのか? あおいかけら5個でやるぜ!
map_0324#54	ヒノアラシが、落ち着いた様子で檻の中で待っている。
map_0324#55	トレーダー: ヒノアラシが欲しいのか? あかいかけら9個でやるぜ。
map_0324#56	ベロリンガが、不安そうに檻の中で待っている。
map_0324#57	トレーダー: ベロリンガが欲しいのか? あおいかけら7個でやるぜ。
map_0324#58	マクノシタが、檻の中からぼんやりと見つめている。
map_0324#59	トレーダー: マクノシタが欲しいのか? みどりのかけら3個でやるぜ。
map_0324#60	プリンが、そわそわしながら檻の中で待っている。
map_0324#61	トレーダー: プリンが欲しいのか? みどりのかけら5個でやるぜ。
map_0324#62	ケーシィが、辛抱強く檻の中で座っている。
map_0324#63	トレーダー: ケーシィが欲しいのか? むらさきのかけら8個でやるぜ。
map_0324#64	ダンゴロが、不機嫌そうに檻の中で待っている。
map_0324#65	トレーダー: ダンゴロが欲しいのか? あかいかけら3個でやるぜ。
map_0324#66	メタモンが、檻の中で前後に体をゆらしている。
map_0324#67	トレーダー: メタモンが欲しいのか? みどりのかけら8個でやるぜ。
map_0324#68	アーク: おい。\PNだよな? こっち来い。
map_0324#69	アーク: オレのこと覚えてるか? ナイトクラブの。
map_0324#70	なあ、しばらくここを見張ってたんだ。なんか怪しいんだよな。
map_0324#71	それに、お前がこいつから何回か買ってるの見たけど、こいつの普通の客には見えないんだよな。
map_0324#72	？？？: おい、お前。こっち来い。
map_0324#73	誰だ、お前? しばらくここを見張ってたんだけど、こいつの普通の客には見えないんだよな。
map_0324#74	\PNってわけか?
map_0324#75	まあ、オレはアークライト――正確にはDJアークライト。オブシディア地区でナイトクラブを経営してる。
map_0324#76	アークって呼んでくれ。それはさておき。
map_0324#77	こいつが売ってるポケモンは、盗品に間違いないと思ってる、オレはそういうのに関わりたくない。
map_0324#78	こいつの客のほとんどは、ポケモンのことなんてどうでもいいと思ってる。大抵、虐待する羽目になる。
map_0324#79	もし本当にこいつらが盗まれたものなら、元の飼い主を見つけるのはたぶん絶望的だけど、少なくともいい場所に連れて行ってやれるとは思う。
map_0324#80	それで、お前ならそのいい場所になれるんじゃないかって思ってる。
map_0324#81	だからな、\PN、残りの奴らを買い占めるのはお前に任せる。オレには売ってくれないんだ、前にここで大暴れしたことがあるからな。
map_0324#82	こいつの在庫を空にしたら、乗り込んでこいつをぶちのめしてやる。
map_0324#83	こいつを完全に潰す。それでどうだ?
map_0324#84	頼りにしてるぜ。
map_0324#85	アーク: よお。\PN。
map_0324#86	もし本当にこいつらが盗まれたものなら、元の飼い主を見つけるのは現実的じゃないかもしれないけど、少なくともいい場所に連れて行ってやれるとは思う。
map_0324#87	へえ、もうやったのか? 悪くないな。
map_0324#88	やったみたいだな?
map_0324#89	借り一つ、間違いなくできたな。あのポケモンたちがどうであれ大事にされるってわかって、少し安心できるよ。
map_0324#90	念のため、手元に置いておくのも悪くないかもな。
map_0324#91	あの野郎については……表立って何かするつもりはない。ただ、こう言っておくよ――次にこの辺に来た時、あいつはもういないと思っておけ。
map_0324#92	とにかく、これはオレからのちょっとした「ありがとう」だ。
map_0324#93	好きに使ってくれ。
map_0324#94	ナイトクラブに来ることがあったら、絶対声かけてくれよな!
map_0324#95	クラウドバリー: 惨めなろくでなし、情けない在庫、これが本当に全部だっていうなら、そのみすぼらしい尻を恥じるべきね!
map_0324#96	あたしの時間に見合うものを用意するまで、二度と呼ばないで!
map_0324#97	クラウドバリー: あら、あんたね。
map_0324#98	あんたみたいな下賎な屑がここでうろついてるの、見なきゃよかったわ。
map_0324#99	あたしを見ないで、犯罪者の豚が、あたしの息を吸う価値もないくせに! 歩くたびに鼻水垂らして……フン!
map_0324#100	アーチャー: 実に口の悪い女だな。
map_0324#101	マクスウェル: あんな口の利き方させといていいのか?
map_0324#102	アーチャー: 残念なことに、ここで影響力を持っているのは、裏社会に通じた者たちだけではないようだ。
map_0324#103	クラウドバリーのような人間は、必ずいる。立派な市民のふりをしているが、その富でこの裏路地を意のままに操っているにすぎない。
map_0324#104	我々があの女から盗んだポケモン、覚えているだろう? あれは、ここで違法に購入されたものだった。
map_0324#105	だからこそ、彼女を標的にすることに、私は何の後悔もなかった。
map_0324#106	それにしても、彼女の態度は我慢ならん。それでも、ここでは誰も彼女に逆らおうとしない。
map_0324#107	なにしろ、彼女の後ろ盾を失う危険は、誰も冒したくないのだろう。
map_0324#108	だが、思うに、彼女に――何と言うか――思い知らせてやれば、ここの皆の暮らしが少しは良くなるのではないか?
map_0324#109	興味があるなら、彼女の家の近くで私を探すといい。
map_0324#110	マクスウェル: 言っとくが、あの女、この辺じゃ力を持ちすぎてるんだよな。
map_0324#111	ここは強い者が生き残る場所であって、金持ちの女が好き放題みんなに命令する場所じゃないはずだ。
map_0324#112	でも、まさにそれなんだよな。金ってのは強力な呪いをかけるもんで。それで、あの女は欲しいものを手に入れる。
map_0324#113	盗まれたポケモンみたいにな。わかるだろ?
map_0324#114	だから前に、それを取り返そうとしたんだ。あの女、手に入れる時だってフェアじゃなかったし。
map_0324#115	大抵の奴は、あんな女に逆らおうとしない――お気に入りの立場を失うかもしれないからな。
map_0324#116	でもオレたちは? 違う。
map_0324#117	わかるだろ? あいつには思い知らせてやるべきだと思うんだ。
map_0324#118	あの女の家の近くで、オレを探してくれ。この借りは返してやる。
map_0324#119	まあ、栄光のためにな。
map_0324#120	デファクト: よく会えたな、\PN。
