map_0414#419	その覚悟、そんなにもろいのか?
map_0417#387	……と、友達に?
map_0417#388	怒らないで怒らないで怒らないで……
map_0417#389	ティタニア: まったく、いい加減に――
map_0417#390	本当に子供ね、あなた。
map_0417#391	シェリー: ご、ごめんなさい……
map_0417#392	ティタニア: 謝らないで。
map_0417#393	シェリー: え?
map_0417#394	ティタニア: 背筋を伸ばしなさい。
map_0417#395	わたしの目を見て。
map_0417#396	ティタニア: 目を見てと言ったの。
map_0417#397	ティタニア: いいわ。
map_0417#398	何か望むことがあるなら、はっきり言いなさい。
map_0417#399	目をそらさないで。
map_0417#400	シェリー: あの……
map_0417#401	ティタニア: 「あの」はなし。
map_0417#402	シェリー: ……
map_0417#403	分かった……
map_0417#404	友達になって、たくさん本の話がしたいです!
map_0417#405	ティタニア: ……
map_0417#406	悪くないわ。
map_0417#407	好きにすればいいけど、何も約束はしないから。
map_0417#408	シェリー: やった!
map_0417#409	ハーディ: よう、\PN!
map_0417#410	悪いな相棒、話してる時間がねえ!
map_0417#411	あんな風にぶっ倒れちまって悪かったけど、今は街を救わなきゃならねえんだ!
map_0417#412	じゃあな、また後で話そうぜ!
map_0417#413	彼を助けに行くんですよね?
map_0417#414	フロリニア: \PN、状況説明を:
map_0417#415	アゲートサーカスのシエルから通信を受信しました。
map_0417#416	アゲートシティの市民たちが目を覚まし始めています。
map_0417#417	それに対応し、チームメテオは大規模な即時鎮圧作戦を実行しました。
map_0417#418	サーカス三強のシエルとサムソンは、街と住民を守るため圧倒的な数的不利にあり、応援を要請しています。
map_0417#419	この状況が抵抗勢力を減らすための計画的な策略である推定確率: 83%。
map_0417#420	セラ: つまり、わなだから行くべきじゃないって言いたいの?
map_0417#421	フロリニア: 推奨する行動方針について、判断や推測は行っておりません。
map_0417#422	ただし、前回の作戦ですでに大きな損失が生じています。
map_0417#423	フロリニア: したがって、慎重な判断を推奨します。
map_0417#424	セラ: そうね……
map_0417#425	セラ: それでも、わたしは行くわ。
map_0417#426	何もかもが失われていくのなら、できる限りしがみついていたほうがいいもの。
map_0417#427	それに、負けを数えるより、勝ちを数えるほうがいいって言うでしょう。
map_0417#428	シェリー: そ、それって……
map_0417#429	……その通りですね。
map_0417#430	わたしも行きます!
map_0417#431	成功への最適な道は、全力を尽くすことです。
map_0417#432	わたしも同行いたします。
map_0417#433	\PN、あなたの協力も同様にありがたく思います。
map_0417#434	アゲートシティで合流をお願いします。
map_0417#435	フロリニア: \PN、ちょうどよいタイミングです。
map_0417#436	ティタニア: それで?
map_0417#437	フロリニア: 行動方針を速やかに決定する必要があります。
map_0417#438	ティタニア: いいえ、最後の部分よ。
map_0417#439	わなだから、何?
map_0417#440	行くべきじゃないって言いたいなら、はっきりそう言いなさい。
map_0417#441	ティタニア: それは「慎重さ」なんかじゃない。
map_0417#442	さっき何て言ったばかりだったかしら?
map_0417#443	偽りの客観性のベールで、自分の感情的な立場を隠そうとしてるだけでしょう。
map_0417#444	いつものように。
map_0417#445	怖いなら、怖いって認めなさい。
map_0417#446	その恐怖をわたしたちに押しつけないで。
map_0417#447	だから、みんなを助けに行くのよね?
map_0417#448	ティタニア: 当然でしょう。
map_0417#449	でも、こいつを連れて行かなかったら、いつまでも文句を言われそうね。
map_0417#450	シェリー: ずいぶん長い間ぐっすり寝てて……
map_0417#451	ティタニア: これがもう少しマシな駄じゃれだったら、「岩みたいにぐっすり」とでも言うところね。
map_0417#452	ちょっと。
map_0417#453	ティタニアのめざましビンタが決まった!
map_0417#454	ハーディ: んん……まだだ……
map_0417#455	巨大な金属のルギアを倒さなきゃ……
map_0417#456	ティタニア: あなたの街は目を覚ましたわよ、この間抜け。あなたもそろそろ起きる時間よ。
map_0417#457	ハーディ: おい、おい――姉貴、勘弁してくれよ――もう十分だって。
map_0417#458	ティタニア: 今言ったこと、聞こえてた?
map_0417#459	ハーディ: ああ、ああ、俺の……
map_0417#460	って、待て、何だって?
map_0417#461	ティタニア: それに、チームメテオに攻撃されてるわ。
map_0417#462	ハーディ: 待て、なんだって?!
map_0417#463	ティタニア: ええ、どういたしまして。
map_0417#464	ティタニア: よし、行くわよ。
map_0417#465	リニ、あなたもね。
map_0417#466	お嬢さん、あなたは来る?
map_0417#467	シェリー: は、はい!
map_0417#468	ティタニア: 先導して。
map_0417#469	フロリニア: 了解。
map_0417#470	フロリニア: \PN、あなたの協力もありがたく思います。
map_0417#471	サファイラ: これには関わらないで。
map_0417#472	ただ……離れてて。
map_0417#473	家族を守ろうとしてるわたしのほうが、どうやらおかしいみたいだから。
map_0417#474	ローラ: サファイラ、お願い……
map_0417#475	落ち着いてくれる?
map_0417#476	わたしたちだけなんだから。
map_0417#477	いつだって、あなたのそばにいたでしょう?
map_0417#478	ローラ: 人が何かをするのには、理由があるものよ。
map_0417#479	たとえそれが間違っていても、他人には奇妙に見えても……
map_0417#480	すぐに裁くより、なぜそうしたのかを理解することのほうが、大事なんじゃないかしら?
map_0417#481	シャルロット: あ、どうも。いいタイミング。
map_0417#482	内戦へようこそ。
map_0417#483	サファイラ: これは「戦争」なんかじゃない。
map_0417#484	唯一の味方をこちら側に留めておくために、戦わなきゃいけないなんておかしいでしょう。
map_0417#485	これはただの裏切りよ。
map_0417#486	ローラ: 誰かにもう一度チャンスを与えるべきだって言うことが、裏切りになるの……?
map_0417#487	サファイラ: あの男に、二度目のチャンスなんて値しない!
map_0417#488	一生分のチャンスをもう与えられてきたのに、
map_0417#489	それをどう使ったか、あなたが誰よりもよく知ってるでしょう。
map_0417#490	ローラ: 一生分? あの人、わたしとほとんど歳が変わらないのに……
map_0417#491	サファイラ: 何ですって?
map_0417#492	いえ、あの少年のことなんてどうでもいい。
map_0417#493	好きにすればいいわ、もう気にしてないから。
map_0417#494	シャルロット: 本当に?
map_0417#495	全然気にしてなさそうには見えないけど。
map_0417#496	サファイラ: あいつの話をしてるんじゃないの。
map_0417#497	そもそも、これを始めたのは誰?
map_0417#498	シャルロット: わたし。
map_0417#499	ローラ: あの時のこと、誰もあなたを責めてなんかいないわ……
map_0417#500	シャルロット: わたしは責めてる。
map_0417#501	サファイラ: あなたのことをそんな風に言わせるつもりはないわ。
map_0417#502	あなた自身であっても。
map_0417#503	シャルロット: 自分にも権利があるって分かってうれしいわ。
map_0417#504	ローラ: でも、それって同じ考え方じゃない?
map_0417#505	あの時のことは、事故だったのよ……
map_0417#506	何度もあの時のことを思い出させる必要、本当にあるの?
map_0417#507	シャルロット: 忘れたことなんてないけど、ありがと。
map_0417#508	サファイラ: それとこれは違うわ。あの子は子供だった。
map_0417#509	何が起きてるかも分かってなかった。
map_0417#510	でも、あの医者は大人でしょう。
map_0417#511	そういう振る舞いをしていなくても――そして大人として、わたしたち全員の幸福に責任を負うと自ら決めたのよ。
map_0417#512	それをどれだけ果たせなかったか、あなたもよく知ってるはずでしょう。
map_0417#513	なぜ急に、あの男が無実だったみたいなふりをするのか、わたしには理解できない。
map_0417#514	起きたこと全部、忘れたっていうの?!
map_0417#515	あなたに話したこと――
map_0417#516	ローラ: あれを忘れるなんて、あり得ないわ……
map_0417#517	サファイラ: 時々、そうなのかと思うことがあるの。
map_0417#518	わたしたち、本当に同じことについて話してるのかしらって、時々思う。
map_0417#519	もしかしたら、わたしのほうが「運が良かった」側だったのかもしれない。
