map_0102#5	どくけし、持ってないか?
map_0109#8	預かり屋のおばあさん: メテオ団がいなくなったなら、家に戻ってお店の評判を取り戻さないとね。
map_0109#9	本当に、本当にありがとう、若いトレーナーさん。いつでも寄っていってちょうだいね。
map_0110#1	……ハッ、パッ、ピンプク?
map_0110#2	ピンプクは迷っているようだ。ピンプクを連れて行きますか?
map_0110#3	ハッ、パッ……
map_0110#4	メテオ団したっぱ: うんうん……
map_0110#5	ほとんど全部、もっと安全な保管場所に移し終えた。
map_0110#6	メタモンの後、最後の一匹は……
map_0110#7	お前……
map_0110#8	くそ、邪魔するのはやめろ!
map_0110#9	もう行くぞ!
map_0110#10	盗んだ預かり屋のポケモンを取り戻そうなんて、考えない方がいいぞ!
map_0110#11	はい
map_0110#12	いいえ
map_0111#0	こんにちは。シルフカンパニー、リボーン支社へようこそ。
map_0111#1	カントー地方でのセキュリティ上の問題により、このビルの業務フロアは一般公開しておりません。
map_0111#2	ですが、ぜひパンフレットをお持ちください。隣接するデパートで、豊富な商品の数々もご覧いただけます。
map_0111#3	いつも通り、上層階は一般の方はご利用いただけません。
map_0111#4	ですが、リボーンで間もなく復活する定番商品にご期待ください。世界的に有名なシルフスコープが、まもなく発売されます!
map_0111#5	また、現在多くの職種で採用を行っております。世界有数の国際企業への入社にご興味があれば、応募用紙をお持ちください。
map_0111#6	一枚お持ちになりますか?
map_0111#7	係員: あ、こんにちは!
map_0111#8	私はシルフカンパニーの流通管理担当です。
map_0111#9	商品の配送に問題があったり、リボーンシティに導入してほしい新商品やサービスのアイデアがあれば、ぜひ聞かせてください。
map_0111#10	ただ、
map_0111#11	カクレオンのことでなければ、ですが……
map_0111#12	すみません――変に聞こえたかもしれませんね。実は……
map_0111#13	ベリルワードの住民の方々から、ロドクラインジャングルからカクレオンが飛び出してきて邪魔だという苦情が絶えないんです。
map_0111#14	何かがジャングルから彼らを追い立てているようで。
map_0111#15	それが何であれ……たぶん私たちの手に負えるものじゃないでしょうね。
map_0111#16	それでも、驚いたカクレオンたちはパニックになって、ベリル中に隠れてしまうので、本当に厄介なんです。
map_0111#17	本来なら競合他社が、姿の見えないポケモンを見られるデボンスコープを持っているはずなんですが……
map_0111#18	でも、デボン社は突然完全に業務を停止してしまったようで。
map_0111#19	商売下手なのか何なのか――全然売ってくれないんです!
map_0111#20	問い合わせても、他を当たれの一点張りで。
map_0111#21	シルフスコープのことを思い出して、みんなここに来るんですよ。
map_0111#22	あなたも、そうなんじゃないですか?
map_0111#23	……ああ。
map_0111#24	やっぱりそうですか。
map_0111#25	正直、この状況、どう対処すればいいのかわからないんです。
map_0111#26	手伝っていただくこと、お願いできませんか?
map_0111#27	係員: ああ、よかった。
map_0111#28	この状況、どう対処すればいいのかわからなくて。もしかして、手伝ってもらえますか?
map_0111#29	これから言うこと、厳密には……合法ではないんですが。
map_0111#30	でも、デボン社のこの状況を考えると、今回は例外にしてもいいかもしれません。
map_0111#31	あの建物を調べて、デボンスコープの古いモデルのようなものを見つけて、持ち帰ってきてほしいんです。
map_0111#32	それがあれば、ハイブリッドスコープが作れるはずです。そうすれば会社も住民も助かります!
map_0111#33	もちろん、もし見つかっても、私たちと関係があるとは言わないでくださいね!
map_0111#34	係員: それは……本当に手に入れたんですか?!
map_0111#35	すごい……
map_0111#36	あ、見せてもらえますか?
map_0111#37	\PNはデボンスコープしさくひんを渡した。
map_0111#38	係員: ……あら。
map_0111#39	これ、ただの展示用モデルですね。
map_0111#40	本当にこれしかなかったんですか?
map_0111#41	まあいいでしょう、これなら何とかなります。
map_0111#42	一日中お客さんと世間話をしてるだけで、この立場に就いたわけじゃありませんから!
map_0111#44	……
map_0111#45	………
map_0111#46	係員: できました!
map_0111#47	構造を分析して、部品の機能をリバースエンジニアリングし、シルフ独自のスコープ技術と融合させることで……
map_0111#48	シルヴォンスコープを作り上げました!
map_0111#49	係員: それはお仕事のお礼として、そのままお持ちください。
map_0111#50	試作品ですが、研究開発部に送るために必要なデータはもう記録してあります。
map_0111#51	これで昇進間違いなしですね!
map_0111#52	あ、いえ――
map_0111#53	これで騒動もきっと収まりますね!
map_0111#54	それじゃあ頑張ってくださいね、トレーナーさん。本当にありがとうございました!
map_0111#55	係員: あの建物を調べて、デボンスコープの古いモデルのようなものを見つけて、持ち帰ってきてほしいんです。
map_0111#56	係員: それじゃあ頑張ってくださいね、トレーナーさん。本当にありがとうございました!
map_0111#57	担当者: 何かご用意でき次第、ご連絡しますね。
map_0111#58	市民: どうもありがとうございます! 楽しみにしていますね。
map_0111#59	良い一日を。
map_0111#60	市民: あ、失礼しました。
map_0111#61	係員: はぁ、今週これで六人目……
map_0111#62	一体何が起きてるんでしょう?
map_0111#63	はい
map_0111#64	いいえ
map_0114#0	「なかよしのみ」? はっ。なかよし度なんて、わたしの使い方じゃただのオマケよ!
map_0114#1	このみはポケモンにいいだけじゃなくて、すごく美味しいのよね。
map_0114#2	つい自分で食べちゃいそうになるわ!
map_0114#3	他の地方より努力値を下げる効果が強いから、なのかしら?
map_0114#4	このみは素晴らしいけど、忠告しておくわね。
map_0114#5	自分で食べすぎちゃだめよ。
map_0114#6	ひどい目に遭うから。
map_0114#7	代わりに、リセットディスクを食べることをおすすめするわ。
map_0114#8	ここは2階、状態異常となかよしのみのフロアです。
map_0115#0	わざ思い出しの家
map_0115#1	オニキスゲームセンター――腕試し!
map_0115#2	うわー、ハイスコア更新できない!
map_0115#3	オレ、何にも勝てないよ。
map_0115#4	最悪だ。
map_0115#5	ゲームが全部壊れてるとかサイテー。遊びたいのにー!
map_0115#6	そもそも休憩した方がいいんじゃない? もうすぐテストなんだから。
map_0115#7	あ、ゲームセンター、また使えるようになったんだ。
map_0115#8	だから友達、パッチ当てで止まってる時以外、もう口きいてくれないと思う。
map_0115#9	わーい。
map_0115#10	この学校の生徒? それともジムに挑戦しに来たの?
map_0115#11	どっちにしたって、あなたにはお似合いね。
map_0115#12	頑張って!
map_0115#13	絶対ジュリアが一番だよ! すっごいハイテンションで楽しいし! かーーー――
map_0115#14	はぁ? あんた場違いだって気づいてないの?
map_0115#15	はぁ、まあいいや、しょうもないし。
map_0115#16	昔、ここのルームメイトだった四人の女の子が、揃ってジムリーダーになったんだって! みんな! 友達同士でそんなことできたら素敵じゃない?
map_0115#17	いや、絶対ティタニアでしょ。超クールだし。誰にも舐められないんだから。
map_0115#18	みんな、どうしてフロリニアが一番優しいって言わないの? この学校に残って、後を継いでわたしたちに教えてくれてるのに!
map_0115#19	一番はエイミーに決まってる。優しいし、めちゃくちゃ強いし、可愛いし……もう羨ましすぎる!
map_0115#20	オニキス学校のファイティングスピリット、見てよ!
map_0115#21	君にも、君なりの気概があるみたいだね。
map_0115#22	ここに馴染めそうじゃないか。
map_0115#23	男: 〈ハァハァ〉やっと……追いついた……
map_0115#24	ヨーテリー: ウゥ……ワン!
map_0115#25	男: ヨーテリー……もう……〈ハァ〉これ以上は無理だ……
map_0115#26	ヨーテリー: ワン! ワン!
map_0115#27	男: すまない……でも……もう限界なんだ……
map_0115#28	俺の生活じゃ、お前についていけないんだよ。
map_0115#29	ん、どこかで会ったことあるような気がするな……
map_0115#30	会ったことを覚えてなかったらすまない……ヨーテリーの世話でもう手一杯なんだ。
map_0115#31	言いたくないけど……ヨーテリーに必要な世話をしてやる元気が、俺には残ってないんだ。
map_0115#32	君は、なかなか強そうな若いトレーナーだな。
map_0115#33	俺のヨーテリーの面倒を見てもらえないか?
map_0115#34	本当か? それは……申し訳ないけど、正直すごく助かるよ。
map_0115#35	頼むよ。
map_0115#36	さて、俺はここでちょっと休ませてもらうよ……
map_0115#37	ああ、いや、気にしないでくれ……わかるよ……大変だもんな。
map_0115#38	さて、俺は……ここでしばらく休ませてもらうよ……
map_0115#39	鍵がかかっている。
map_0115#40	ここはゲームスターの縄張りだぞ!
map_0115#41	ちょっと、ズルい!
map_0115#42	まあいいや。ゲームに関しちゃ、まだアタシが女王だし。
map_0115#43	「オニキストレーナー学校、旧・ポケモン工科大学――リボーン最高峰の名門校」
map_0115#44	で、それで、わたしはこう言ったの――
map_0115#45	おい、相棒、こっちは忙しいんだ、下がってろ。だいたい、お前、生徒には見えないしな。
