map_0026#215	言った通り、あなたは……
map_0029#55	ここの野生ポケモンを捕まえるより、そっちのほうがいいくらいだ。
map_0029#56	よう。俺を通り抜けたいのか? ポケモンを見せてもらおうか。
map_0029#57	ほう? なかなかやるじゃないか。でも、ちゃんと使いこなせるのか?
map_0029#59	俺の相棒を負かしたやつなら、こうなるのも当然か。
map_0029#60	よし、通っていいぜ。
map_0029#61	道中の足しにしろ。
map_0029#62	俺たちが何もしてやらなかったなんて言わせないぜ。
map_0029#63	ふん、いいだろう、通っていいぞ。
map_0029#64	オパール大橋はトレーナー専用の場所だ。理由が分かるか?
map_0029#65	俺がそう言ったからだ、それだけだ! さっさと消えろ!
map_0029#66	お前のためを思って、入れないようにしてただけなんだぞ。
map_0029#67	爆発した電車に乗ってたのか?
map_0029#68	かわいそうに! 怪我はない? これ、キズぐすりをどうぞ。
map_0029#69	え? 人間には効かないって分かってるけど、とにかく受け取っておいて、ね?
map_0029#70	気をつけてね! ここは物騒だから、特に下層区は。
map_0029#71	あ、あなたね。
map_0029#72	元気にしてる?
map_0029#73	つい、良くなることを願わずにはいられないし、
map_0029#74	まだ良くなってないって気づくのは、もっとつらい。
map_0029#75	あなたも、頑張ってね。
map_0029#76	これ、お守り代わりに持ってて。
map_0029#77	湖から釣り上げたものなの。
map_0029#78	どこかに、まだ命が残ってる証かもしれないわね。
map_0029#79	いつか、きっと良くなるわ……
map_0029#80	こんな場所、ゴミだ。
map_0029#81	汚らわしい。
map_0029#82	まったく、おぞましい。
map_0029#83	……何見てんだよ。
map_0029#84	トレーナー: ブルー、待って! もう、どうにかなりそう!
map_0029#85	ブルー: ブルー。
map_0029#86	トレーナー: ブルー!
map_0029#87	ああ、またなの!
map_0029#88	あ、ごめんなさい! 邪魔するつもりはなかったの!
map_0029#89	うちのブルーがね……まったく言うことを聞いてくれなくて!
map_0029#90	レベル21になってから、すっかり手に負えなくなっちゃって。タマゴから大事に育てたのに。
map_0029#91	リボーンのポケモンは、心から尊敬するトレーナーの言うことしか聞かないって聞いてたのに、甘く見てたのかも。
map_0029#92	ジムバッジを持っていれば、ポケモンはある程度のレベルまでは必ず言うことを聞いてくれるわ。そのレベルはトレーナーズカードに表示されてる、最初の数字がそれよ。
map_0029#93	でも、ジムバッジが取れなかったら? 他に方法はあるのかしら?
map_0029#94	あ! 急いでブルーを探さなきゃ! それじゃあね!
map_0029#95	トレーナー: ヌイコグマ、待って! もう、どうにかなりそう!
map_0029#96	ヌイコグマ: ルー~
map_0029#97	トレーナー: ヌイコグマ!
map_0029#98	うちのヌイコグマがね……まったく言うことを聞いてくれなくて!
map_0029#99	あ! 急いでヌイコグマを探さなきゃ! それじゃあね!
map_0029#100	ヌイコグマ: ルー~!
map_0029#101	ポケモンの隠れ特性を研究してるんだ!\nリボーンじゃ野生ポケモンにも現れるらしくてね。力を貸してくれ!
map_0029#102	なるほど、それが通常の手法というわけか……
map_0029#103	引き続き調べてみるよ!
map_0029#104	これまでの調査はすべて、この水が人々を病気にしていることを裏づけている。
map_0029#105	なぜ市はそれを否定し続けるんだ?
map_0029#106	リボーンでは南東からの風がよく吹く。
map_0029#107	砂漠から吹き込む熱風が、この気候をさらに悪化させているに違いない。
map_0029#108	君にも、あの声が聞こえるかい? この街は苦しみに満ちている。
map_0029#109	君もそれだけ強いんだ、きっと聞こえてるはずだ……
map_0029#110	彼らは語りかけ、私は耳を傾ける……でも、何を意味しているんだ? ささやきが聞こえる……「こまめにセーブしろ」……分からない……
map_0029#111	<>- グランドビュー大通り\n^ - オパール大橋
map_0029#112	なあ! もっとかっこいいポケモンが手に入る場所、教えてくれよ!
map_0029#113	そうそう、そういうやつ!
map_0029#114	どこで手に入れたんだよ? なあ? なあ?
map_0029#115	この炎天下、冷たいおやつでもどう?
map_0029#116	怖いよ……
map_0029#117	オブシディア公園での不審な活動により、現在この区域への民間人の立ち入りは禁止されています。
map_0029#118	安全のため、引き返していただくようお願いします。
map_0029#119	???: ねえ、あなた\PNさん?
map_0029#120	わたしはヴィクトリア。
map_0029#121	はじめまして、でも大丈夫? 何ともない?
map_0029#122	駅であったこと、聞いたわ……
map_0029#123	まあ、ここに来られたってことは、無事だったのね。
map_0029#124	とりあえず、登録を済ませましょう。
map_0029#125	心配しないで、そんなに時間はかからないから。中に入りましょう。
map_0029#126	よし、下がってろ。
map_0029#127	ここがオパール大橋だ。
map_0029#128	つまり、通りたければ、通行権を勝ち取るしかないってことだ。
map_0029#129	好きにしろよ。
map_0029#130	俺も相棒も、両方負かしたってわけか。
map_0029#131	分かったよ。これで手打ちだ。
map_0029#132	よし、行っていいぞ。
map_0029#133	つまり、トレーナー限定ってことだ。
map_0029#134	つまり、お前は対象外ってことだ。
map_0029#135	俺には関係ない。
map_0029#136	おやおや、誰かと思えば。
map_0029#137	ズタズタにされた……
map_0029#138	あたしはただの、迷い猫ってわけね。
map_0029#139	ジムリーダーを倒したのか。ずいぶんとやるじゃないか。
map_0029#140	やるやつは、やって見せるもんだ。
map_0029#141	いい勝負だった。
map_0029#142	この区域は被害により封鎖中です。立ち入り禁止。
map_0029#143	十分注意して進んでください。
map_0029#144	小銭、恵んでくれない?
map_0029#145	……ダメってことね。
map_0029#146	でも、もうちょっと大きくなったら、また会いに来てね。
map_0029#147	は? また別のトレーナー? はぁ……まあ、戦ってやるか。
map_0029#148	こうなると分かってたよ……
map_0029#149	ま、マイキーでもいじめに行くか。
map_0029#150	こんにちは! バトルでもどう?
map_0029#151	な、何?
map_0029#152	こんなはずじゃなかったのに! アメ……
map_0029#153	急激な成長で、ワード中の地面が裂けてしまって……ひどいことになってる……
map_0029#154	うーん……オブシディアは、意外と早く安定したみたいね……
map_0029#155	ヨーテリー: リィィ……ワン!
map_0029#156	ヨーテリーがまた逃げちゃった!
map_0029#157	あっちは、昔のユレユのビルだよ。
map_0029#158	数年前は、リボーンきっての大企業だったんだ。
map_0029#159	それから地震が始まって。この辺りは見ての通りめちゃくちゃになって、会社も畳まざるを得なかった。
map_0029#160	つらいよな。
map_0029#161	数年前は、リボーンきっての大企業だったんだ。
map_0029#162	勝手にしろよ。俺は関わらないからな。
map_0029#163	おい、見て分かんねえのか、こっちは忙しいんだよ? 消えろ!
map_0029#164	……うぐ……
map_0029#165	あー……もういい、好きにしろよ。
map_0029#166	チンピラ: おい、ちっこいポケモン……泳ぐの好きなんだろ?
map_0029#167	ジグザグマ: ジィィグ!
map_0029#168	パチリス: パ、パ、パ……
map_0029#169	フード: へへ、言うこと聞かないと、そのままバルコニーから放り投げるぞ。
map_0029#170	おい、引っ込んでろ、坊主。これは俺たちの獲物だ。
map_0029#171	文句あるのか?
map_0029#172	たった1匹で? はっ、無理に決まってんだろ。それで俺たち2人を相手にできるわけねえ。
map_0029#173	フン……
map_0029#174	おいおい……分かった、分かったって。
map_0029#175	チッ。分かったよ、やめてやる。
map_0029#176	これ以上面倒はごめんだ。
map_0029#177	ジグザグマ: ジグ? ザグザグ!
map_0029#178	ジグザグマは、あなたの仲間になりたそうだ。ジグザグマを迎え入れますか?
map_0029#179	ジグザグマを入れる余地がなかった。
map_0029#180	ジグザグマ: ジグザグ……
map_0029#181	パチリス: パ、パパ?
map_0029#182	パチ! パチパチ!
map_0029#183	パチリスは、あなたの仲間になりたそうだ。パチリスを迎え入れますか?
map_0029#184	パチリスを入れる余地がなかった。
map_0029#185	パチリス: パチ……
map_0029#186	おい、俺たちは引いたんだ、今度はお前が引く番だ。
map_0029#187	フード: へへ、言うこと聞かないと、そのまま橋から放り投げるぞ。
map_0029#188	おい、俺たちの邪魔すんな。とっとと消えろ。
map_0029#189	止めるってんなら、話は別だがな。
map_0029#190	でも無理だろ! ポケモン1匹で俺たち2人相手にか? 笑わせるな!
map_0029#191	この街は、俺のバトラー人生の幕開けにふさわしいのかもしれない。
map_0029#192	やっぱり、バトルはやめて、また旅に出たほうがいいのかもな。
map_0029#193	まあ、男たるもの、いつかは落ち着かなきゃな。
map_0029#194	リボーン警察に寄せられた通報を受け、この区域は現在封鎖されています。
map_0029#195	お立ち去りください。
map_0029#196	安全が確認され次第、通行できるようになります。
map_0029#197	実は超能力者じゃないんだ。これをどうやって浮かせてるか、分かるかい?
map_0029#198	電磁気だよ!
map_0029#199	しーっ。誰にも言うなよ。
map_0029#200	~ 僕らは大丈夫、いつだって良くなってく ~\n~ 僕らは大丈夫、でも決めるのは君さ! ~
map_0029#201	~ みんなで歌ってる…… ~
map_0029#202	もう一度やり直すのは、嫌だな……
map_0029#203	こんにちは! はるばる遠くからやってきました、あなたのポケモンの実力を試させてください!
map_0029#204	わたしには、強すぎたみたいです……
map_0029#205	でも結局のところ、わたしには音楽があります!
map_0029#206	ヨーテリー: ワン! ワン! ウゥゥ!
map_0029#207	はい
map_0029#208	いいえ
map_0030#2	頑丈すぎて、壊すことも動かすこともできないようだ……
map_0030#3	この岩の土台には、まだ何か価値のあるものが眠っているかもしれない。
map_0030#4	ばくはのこなで開けますか?
map_0030#5	知ってた?
map_0030#6	とくこうを鍛えるなら、パイロス山の最下層の熱がぴったりだよ!
map_0030#7	負け犬たちが、必ず這い上がる!
map_0030#8	負け犬の物語は、まだ続く!
map_0030#9	あんまり注目されないポケモンを見つけるようにしてるんだ。
map_0030#10	やあ、トレーナー!
map_0030#11	もしかして、レディアンを持ってたりしないかい?
map_0030#12	パーティに少し多様性が欲しくてね、あの子たちはいい相棒になるって聞いたんだ!
map_0030#13	持ってるなら、交換してくれないか。
map_0030#14	ここに、化石から生まれたばかりの若い仲間がいるんだ。
map_0030#15	興味あるかい?
map_0030#16	残念、それならまたの機会に!
map_0030#17	おお、取引成立かい? 素晴らしい、さっそく始めよう!
map_0030#18	\PNは、レディアンとタテトプスを交換した!
map_0030#19	いい仲間だ!
map_0030#20	君も、この子もね!
map_0030#21	ありがとう、見知らぬ人!
map_0030#22	本当に面倒だな。
map_0030#23	レディアンは道を照らし、楽しげに飛び回り、岩を打ち砕く!
map_0030#24	好きにならない理由がある?
map_0030#25	少し前まで、ここはただの、忘れ去られた空っぽの洞窟だった。
map_0030#26	でも最近は、アカデミーの生徒たちが、自分の隠れ家や修練の場として使い始めている。
map_0030#27	この場所を通る際は、敬意をもって行動してください。
map_0030#28	はい
map_0030#29	いいえ
map_0031#2	頑丈すぎて、壊すことも動かすこともできないようだ……
map_0031#3	この岩の土台には、まだ何か価値のあるものが眠っているかもしれない。
map_0031#4	ばくはのこなで開けますか?
map_0031#5	はい
map_0031#6	いいえ
map_0033#0	水路が階層の間に開く。上の階から溶岩が流れ出す!
map_0033#1	ヴィクトリア: 時間がないのに、今引き返すんですか?
map_0033#2	何か大事な用があるんでしょうけど、中途半端にはできません。
map_0033#3	ここで待ってますから、急いでください。
map_0033#4	ヴィクトリア: 戻ってきたんですね? 急ぎましょう。
map_0033#5	キャルが、わたしたちを必要としてるかもしれません!
map_0033#6	なあ、いい加減、邪魔するのはやめてもらえないか。
map_0033#7	いや、本当に、やめてくれ。
map_0033#8	いつでもいいぞ。
map_0033#9	痛い結末を用意してあげる~
map_0033#10	……痛っ。
map_0033#11	いずれ、報いを受けることになるわよ。
map_0033#12	おい、お前ら二人とも下がってろ。俺たちの試練を突破できるってんなら別だがな!
map_0033#13	うおっ、待った!
map_0033#14	いつも負けてばかりだな……あいつは元気にしてるかな。
map_0033#15	侵入者は排除するわ。楽しくなりそう~
map_0033#16	全然楽しくなかったんだけど。
map_0033#17	あんたたち、興ざめさせる天才ね。
map_0033#18	私たち程度に足止めされてるようじゃ、ボスに挑む準備なんてできてないってことよ!
map_0033#19	任務のためにすべてを、すべては任務のために。
map_0033#20	グラント: まだいるのか?!
map_0033#21	ヴィクトリア: カイン、ここはわたしと\PNで何とかします。でもキャルには、今すぐ助けが必要です!
map_0033#22	カイン: 了解、突破してくるぜ~
map_0033#23	グラント: 命令は明確だ――立ち入り禁止、容赦は無用!
map_0033#24	ヴィクトリア: それで、わたしたちをここから締め出す権利が、あなたたちのどこにあるんですか?
map_0033#25	ここは、わたしたちの家です!
map_0033#26	最後まで、これを守るために戦います!
map_0033#27	グラント: 望み通りにしてやる。
map_0033#28	些細な邪魔など、我らの壮大な計画を止められはしない!
map_0033#29	最後まで、チームメテオとともに!
map_0033#30	ヴィクトリア: それだけですか?
map_0033#31	フン。「容赦は無用」ね。
map_0033#32	こっちの容赦を、乞うべきなのはそっちよ。
map_0033#33	ヴィクトリア: 上に向かうにつれて、抵抗がありそうですね。
map_0033#34	固まって、素早く動きましょう。わたしはあなたに続きます。
map_0033#35	このセーブデータで、パイロス山の溶岩を排出しますか?
map_0033#36	はい
map_0033#37	いいえ
map_0034#0	水路が階層の間に開く。上の階から溶岩が流れ出す!
map_0034#1	ヴィクトリア: 時間がないのに、今引き返すんですか?
map_0034#2	何か大事な用があるんでしょうけど、中途半端にはできません。
map_0034#3	ここで待ってますから、急いでください。
map_0034#4	ヴィクトリア: 戻ってきたんですね? 急ぎましょう。
map_0034#5	キャルが、わたしたちを必要としてるかもしれません!
map_0034#6	このセーブデータで、パイロス山の溶岩を排出しますか?
map_0034#7	私たち程度に足止めされてるようじゃ、ボスに挑む準備なんてできてないってことよ!
map_0034#8	任務のためにすべてを、すべては任務のために。
map_0034#9	グラント: まだいるのか?!
map_0034#10	ヴィクトリア: カイン、ここはわたしと\PNで何とかします。でもキャルには、今すぐ助けが必要です!
map_0034#11	カイン: 了解、突破してくるぜ~
map_0034#12	グラント: 命令は明確だ――立ち入り禁止、容赦は無用!
map_0034#13	ヴィクトリア: それで、わたしたちをここから締め出す権利が、あなたたちのどこにあるんですか?
map_0034#14	ここは、わたしたちの家です!
map_0034#15	最後まで、これを守るために戦います!
map_0034#16	グラント: 望み通りにしてやる。
map_0034#17	些細な邪魔など、我らの壮大な計画を止められはしない!
map_0034#18	最後まで、チームメテオとともに!
map_0034#19	ヴィクトリア: それだけですか?
map_0034#20	フン。「容赦は無用」ね。
map_0034#21	こっちの容赦を、乞うべきなのはそっちよ。
map_0034#22	ヴィクトリア: 上に向かうにつれて、抵抗がありそうですね。
map_0034#23	固まって、素早く動きましょう。わたしはあなたに続きます。
map_0034#24	なあ、いい加減、邪魔するのはやめてもらえないか。
map_0034#25	いや、本当に、やめてくれ。
map_0034#26	いつでもいいぞ。
map_0034#27	痛い結末を用意してあげる~
map_0034#28	……痛っ。
map_0034#29	いずれ、報いを受けることになるわよ。
map_0034#30	はい
map_0034#31	いいえ
map_0035#0	水路が階層の間に開く。上の階から溶岩が流れ出す!
map_0036#0	突然の異常成長で、ワード中の地面が裂けてしまった!
map_0036#1	ひどいことになってる……でも、興味深い!
map_0036#2	オブシディアは、意外と早く安定したみたいだ。
