map_0679#93	\PNは　げきりゅうバッジを　受け取った!
map_0679#148	あんたは　自殺を　図った。メテオ団が　あんたのブレスレットを　見つけた。だから　あんたの命のために　今は\PNが　それを　預かってる。
map_0679#149	それと　あたしたち……
map_0679#150	アマリア: ありがと　ターニャ〜
map_0679#151	リン: 言ったとおりでしょう。
map_0679#152	ここに　いて　「友達」の姿は　どこにも　ない。
map_0679#153	アマリア: なんで　こんなこと　全部　教えるの?
map_0679#154	ただの　哀れみ?
map_0679#155	リン: 思いやり　と　考えたいところですね。
map_0679#156	好きに　なさい。
map_0679#157	はい
map_0679#158	いいえ
map_0679#159	シングル
map_0679#160	ダブル
map_0680#0	アマリア: なんで　ついてくるの?
map_0680#1	なんで　二人とも　こんな調子なのか　わかんない……
map_0680#2	なんで　あたしが　ターニャに　恋したのか　知りたい?
map_0680#3	それは　彼女だけが――
map_0680#4	……あたしを　許してくれたから。
map_0680#5	あたしが　泣いてるとき　彼女は　そばに　いてくれた。
map_0680#6	あたしが　血を流してるとき　彼女は　そばに　いてくれた。
map_0680#7	そして　あたしが　死にかけてるときも――
map_0680#8	一度目も　二度目も　十八度目も――
map_0680#9	彼女は　今も　ここに　いる。
map_0680#10	それに　わかってる……
map_0680#11	彼女には　もっと　いい人が　ふさわしいって。
map_0680#12	わかってる――
map_0680#13	彼女は　あたしを　愛してない。
map_0680#14	ハグの前の　一瞬のためらいや　キスの中に　混じる　軽蔑の味に　それが　表れてる。
map_0680#16	何度も　戻ってくるのは　彼女のほう。
map_0680#17	それに　あたしも　彼女に「イヤ」とは　言えない。
map_0680#19	ごめんね。
map_0680#20	こんなこと　どうでも　いいよね?
map_0680#21	バッジさえ　あれば　いいんでしょ。
map_0680#22	もう　戻るね。
map_0680#23	アマリア: 本当に　あとを　つけないと　いけないの?
map_0680#24	ここは　あたしの　個人的な場所の　はずなんだけど。
map_0680#25	ジムに　行きたいなら　通っていいけど　ここで　あたしと　一緒に　いられるのは　ターニャだけ。
map_0680#26	……もっとも　彼女が　そうすることなんて　ないけど……
map_0680#27	ねえ　なんで　あたしが　あんなに　彼女に　しがみついてるか　わかる?
map_0680#28	それでも　彼女は　いてくれたから。
map_0680#29	彼女の唇の　軽蔑の味を　500回は　味わってきた。
map_0680#30	それでも　彼女が　ずっと　ここに　いてくれるなら　あと500回でも　その舌から　毒を　吸い出す……
map_0680#31	でも　今　彼女は　ここに　いない。
map_0680#32	なんで　今　いないの\PN?
map_0680#33	なんで　あんたなの?
map_0680#34	あたしには　彼女しか　いないのに。
map_0680#35	あんたには　わからない。
map_0680#36	あんたには――
map_0680#37	もう　いいわ。
map_0680#38	行って。
map_0680#39	彼女に　絶対　できなかったことを　して。
map_0683#0	アマリア: あら……\PNだったよね?
map_0683#1	ジュリアから　少し　聞いてる。
map_0683#2	ジムバトルに　来たなら　ごめん――
map_0683#3	また　今度に　してもらえる?
map_0683#4	あたし　ただ……
map_0683#5	人間って　どれだけ　もろいものか　考えたこと　ある?
map_0683#6	ここは　とても　穏やかなの。
map_0683#7	でも　一つの間違いで　肺は　水で　満たされて　内側から　腐っていく。
map_0683#8	いつか　ラッキーな間違いが　起きるかもね。
map_0683#9	だから　今　あたしたちが　バトルする意味　本当に　ないの。
map_0683#10	わかって　もらえるといいけど。
map_0683#11	テンシ: バイバイ!
map_0683#12	アマリア: あら　まだ　いたの?
map_0683#13	さっきの言葉　謝るべきよね。
map_0683#14	挑戦者に　言うことじゃ　全然　なかった。
map_0683#15	時々　考えに　のみこまれちゃう　だけなの。
map_0683#16	死にたいって　言ってるわけじゃ　ないけど――
map_0683#17	もし　そうなったら……
map_0683#18	かまわないかな。
map_0683#19	っていうか　ターニャも　そのほうが　きっと　いいだろうし――
map_0683#20	あんたも　あたしに　時間を　むだにしなくて済むし。
map_0683#21	あはは　こんな話し方する　ジムリーダーって　いる?
map_0683#22	だから　あたしは　まったく　向いてないの。
map_0683#23	だから……　あたしに　構わないでね?
map_0683#24	アマリア: こんなとこまで　ついてきたの?
map_0683#25	本当に　来ないでほしかったのに……
map_0683#26	余計なこと　言いたくないんだけど……
map_0683#27	なんで　そのブレスレット　持ってるの?
map_0683#28	それ　ティタニアが　あたしに　くれた　ブレスレットよ。
map_0683#29	あたしのものなの。
map_0683#30	なくしたと思ってたけど　あんたが　持ってるなんて……
map_0683#31	返してくれない?
map_0683#33	ねえ　人間って　どれだけ　もろいものか　考えたこと　ある?
map_0683#34	ここに　いるときは　一つの間違いで　肺は　水で　満たされて　内側から　腐っていく。
map_0683#35	それで　ターニャは　どこに　いるの?
map_0683#36	なんで　あんたが　いて　彼女が　いないの?
map_0683#37	何か　したの?
map_0683#38	ご……　ごめん……
map_0683#39	すごく　失礼だった……
map_0683#40	もう　行かなきゃ。
map_0683#41	アマリア: あんたって　やめどきが　わからない子ね。
map_0683#42	あたしと　似てるかも。
map_0683#43	アマリア: 彼女　あたしから　離れていくんでしょ?
map_0683#44	それを　警告しに　来たんでしょ。
map_0683#45	あんたの　せいなんでしょ?
map_0683#46	ねえ\PN　秘密　知りたい?
map_0683#47	アマリア: でも　教えない。
map_0683#48	アマリア: 教える必要　ないもの。
map_0683#49	秘密なんて　裏切るささやき次第の　もの。
map_0683#50	それに　死人に　口なし。
map_0683#51	アマリア: 残念だったね。
map_0683#52	アマリア: どのみち　どうでも　よかったんだけど……
map_0683#53	だって……　死人に　口なしだもの。
map_0683#54	アマリア: わかんないの?
map_0683#55	これは　あたしたち二人にとって　生きるか死ぬかの問題　なんだよ。
map_0683#56	ティタニアは　あたしの　空気。
map_0683#57	あんたが　来てから　あたしは　息が　できてない。
map_0683#58	アマリア: 「え?
map_0683#59	\PNが　いたって? 誰かを　見た覚えなんて　ないけど……」
map_0683#60	あんたは　溺れればいい。
map_0683#61	はい
map_0683#62	いいえ
map_0687#0	タカ: この車両　どうやって　こんなとこまで　来たんでしょう?
map_0687#1	そもそも　この列車たち　どうやって　今の場所に　たどり着いたんでしょう?
map_0687#2	それに　僕は　どうやって――
map_0687#3	僕も　ただの　別の列車　なのかも。
map_0687#4	先のほうで　特に　激しい砂嵐が　吹き荒れているようだ……
map_0687#5	このまま　徒歩で　進むのは　危険だ。
map_0687#6	タカ: \PN　これ以上は　安全に　進めないと　思います……
map_0687#7	あの砂嵐　ろくなことに　ならなさそうですし　すぐに　収まりそうにも　ありません。
map_0687#8	とりあえず　戻りましょう。
map_0687#9	おおっと! おれの秘密の　トレーニングスポットを　見つけたか!
map_0687#10	マキシマス: なかなか　強いな! あのバトルは　まさに　脱線もの　だったぜ!
map_0687#11	ここも　もう　役に立たなくなったかもな。そろそろ　線路を　変えないと。
map_0688#0	タカ: さっきのことについて　聞きたいこと　いっぱい　あります。
map_0688#1	ほとんどが「なんで」ですけど。
map_0688#2	タカ: これじゃ　僕の疑問　一つも　解決してません。
map_0688#3	というか　むしろ　増えました。
map_0688#4	マルチェロ: やあ　レモネード　買わない?
map_0688#5	タカ: つまり……　こんな場所で　一人で　レモネードを　売ってるんですか?
map_0688#6	マルチェロ: そうだよ。
map_0688#7	タカ: それって　あんまり　もうかる商売じゃ　ないんじゃ。
map_0688#8	マルチェロ: 君が　やってることより　もうかってるけどね。
map_0688#9	タカ: ……
map_0688#10	ええ　まあ　それは　もっともです。二つ　もらいます。
map_0688#11	はい\PN。これは　僕のおごりです。
map_0688#12	ジャン: 私のレモネードスタンドに　なった >:(
map_0688#13	リーフィア: リーフィア!
map_0688#14	リーフィアを　なでますか?
map_0688#15	リーフィア: リフィ!
map_0688#16	なでてもらえて　うれしそうだ。あなたの手　松の木の　においが　する!
map_0688#17	リーフィア: ……リフ?
map_0688#18	リーフィアは　また　日なたぼっこに　戻った。
map_0688#19	リーフィアは　あなたを　覚えている!
map_0688#20	リーフィア: リフ〜
map_0688#21	頭の上の　小枝を　あなたの手に　巻きつけてきた!
map_0688#22	リーフィア: リフ?
map_0688#23	リーフィアは　不思議そうに　あなたを　見ている。
map_0689#0	チュートリアルを　終了して　ゲームを　始めますか?
map_0689#1	ブラインドステップ・パスワードチュートリアルへ　ようこそ。
map_0689#2	このチュートリアルでは　ゲームの　アクセシビリティ機能について　学ぶために　さまざまな音声の合図を　学び　試すことが　できます。
map_0689#3	アイテムの位置確認や　道案内を　最初から　助けるため　すぐに　ダウジングマシンが　渡されます。
map_0689#4	すぐに　使えるよう　バッグから　登録しておくと　いいでしょう。
map_0689#5	ブラインドステップ専用の音の音量を　調整したい場合は　オプションメニューの　個別の音量設定を　お探しください。
map_0689#6	さらに　Dキーを　使うと　現在の座標を　確認できます。
map_0689#7	目の不自由なプレイヤー向けの攻略ガイドでは　通常　この座標を　使って　案内が　行われます。
map_0689#8	このゲームには　一般的な障害物に　ぶつかったときに　鳴る　標準の衝突音が　あります。こんな音です。
map_0689#9	この衝突音は　ぶつかる対象の種類によって　変わったり　他の音が　加わったり　することが　あります。
map_0689#10	この空間の上端には　そうしたさまざまな対象が　配置されています。それぞれに　ぶつかってみて　音を　確認してください。
map_0689#11	チュートリアルを　終了して　本編のゲームを　始めるには　いつでも　できる限り　下に　進んでください。
map_0689#12	これは　アイテムボールです。
map_0689#13	ぶつかったときに　鳴る音は　こちらです。
map_0689#14	この特定のアイテムは　偽物で　拾うことは　できませんが　他のアイテムでは　この音に　ぶつかれば　拾えると　わかります!
map_0689#15	だんさを　飛び降りた!
map_0689#16	だんさに　ぶつかりました。鳴る音は　こちらです。
map_0689#17	具体的には　これは　下向きの　だんさで　上からしか　飛び降りることが　できません。
map_0689#18	このだんさの　上に　出るには　左　上　右の順に　進んでみてください。それから　飛び降りることが　できます。
map_0689#19	これは　ポケモンです! 具体的には　アブソルです。
map_0689#20	ぶつかると　この音が　鳴ります。
map_0689#21	多くのポケモンは　ぶつかると　鳴き声も　再生されます。
map_0689#22	どうか　やさしく　してあげてください!
map_0689#23	NPCキャラクターに　ぶつかりました。
map_0689#24	心配しないでください　彼らは　気にしません。
map_0689#25	これは　きのみの木です。
map_0689#26	ぶつかると　この音が　鳴ります。
map_0689#27	濁った水に　ぶつかりました。
map_0689#28	あまり　きれいでは　ありません。釣りは　できますが　なみのりは　できません。
map_0689#29	ぶつかると　この音が　鳴ります。
map_0689#30	きれいな水に　ぶつかりました。
map_0689#31	これは　必要なバッジと　マシンを　持っていれば　釣りも　なみのりも　できる水です。
map_0689#32	今　聞こえたのは　滝に　ぶつかった音です。
map_0689#33	なみのり中では　ないので　これは　本物の滝では　ありませんが　もし　そうならこんな音に　なります。
map_0689#34	これは　切り倒せる木です。
map_0689#35	このゲームでは　特定のエリアで　木を切ると　近くのツルも　後退することが　あります。
map_0689#36	それが　起こると　木を切ったあと　おそらく　こんな音が　聞こえます。
map_0689#37	これは　「ずつき」を　使える木の音です。
map_0689#38	これは　そういう木では　ありませんが　そのつもりで　聞いてみてください。
map_0689#39	これは　鏡に　ぶつかったときの音です。
map_0689#40	このゲームでは　多くの鏡が「かいりき」で　壊せる対象です。
map_0689#41	ご安心ください　その結果として　起こるかもしれない不運から　プレイヤーを　守るよう　配慮してあります。
map_0689#42	これは　登れる岩の音です。
map_0689#43	それには　適切なバッジと　マシンが　必要です。まだ　少し　先の話ですが!
map_0689#44	こうした岩は　上や　横　下　その他　さまざまな場所へ　連れて行ってくれます。
map_0689#45	探検を　楽しんでください……
map_0689#46	これは「かいりき」で　壊せる岩や壁の音です。
map_0689#47	それには　適切なバッジと　マシンが　必要です。
map_0689#48	この謎めいた物体は　何でしょう?
map_0689#49	しばらくは　目にすることは　ないでしょうが　これは　伝説のポケモンに　属する特別なセルです。
map_0689#50	見つけたら　いつでも　拾ってください!
map_0689#51	もう　足音に　気づきましたか?
map_0689#52	移動した方向によって　少しずつ　変化します。
map_0689#53	これは　下……
map_0689#54	こちらは　左……
map_0689#55	こちらは　右……
map_0689#56	そして　最後に　上!
map_0689#57	アイテムの　すぐそばに　いるときは　音が　鳴ります。
map_0689#58	こんにちは　ビリリダマ!
map_0689#59	他の環境音と　同じように　この音の　左右の広がりと　音程は　アイテムが　どの方向に　あるかによって　変わります。
map_0689#60	今回は　アイテムは　ありませんが　今後　この音が　聞こえたら　あたりを　見回してください!
map_0689#61	イベントの　すぐそばに　いるときも　音が　鳴ります。
map_0689#62	……残念ながら　何を「イベント」とみなすかは　少し　あいまいです。
map_0689#63	ゲームのコードは　パズル用のオブジェクトから　演出効果　障害物や壁　他のNPCまで　あらゆるものに　イベントを　使っています。
map_0689#64	残念ながら　そのすべてを　わかりやすく　特定して　ラベル付けする方法は　ありません。
map_0689#65	この音が　聞こえたら　近くに　何か　興味深いものが　あるかもしれないと　思ってください―― 保証は　できませんが。
map_0689#66	このゲームは　周囲の状況に　応じて　環境音を　再生します。
map_0689#67	これは　下に　ある場合……
map_0689#68	こちらは　左に　ある場合……
map_0689#69	そして　最後に　上に　ある場合!
map_0689#70	これらの音は　Manamonの　Aaron　Vgstorm氏に　感謝します!
map_0689#71	これは　イベントが　あなたと　一直線上に　あるときに　鳴るはずの音です。
map_0689#72	ドアの近くに　いるときも　音を　鳴らします。
map_0689#73	具体的に　何が「ドア」に　当たるかを　定義するのは　難しく　正確に　識別する作業は　今も　続けています。
map_0689#74	今後　もっと　包括的に　正確に　なることを　願っています!
map_0689#75	釣りが　できるように　なったときに　役立つ音も　いくつか　追加しました。
map_0689#76	これは　釣りの間　何度か　聞こえる音です。
map_0689#77	やがて　新しい音が　聞こえます。これが　リールを巻く　ボタンを　押す合図です!
map_0689#78	魚に　逃げられたときは　この音が　聞こえます……
map_0689#79	でも　成功したら　この音が　聞こえて　バトルが　始まります!
map_0689#80	なみのり中に　この音が　聞こえることが　あります……
map_0689#81	これは　あなたの下に　深い水が　あるという意味です!
map_0689#82	必要なバッジと　マシンを　持っていれば　アクションボタンを　押して　ダイビングで　もぐりましょう!
map_0689#83	あるいは　すでに　水中に　いるときは　この音が　聞こえることも　あります!
map_0689#84	それは　浮上するのに　ちょうどいい場所という　合図です!
map_0689#85	アクションボタンを　押して　水面に　上がりましょう。
map_0689#86	草むらを　歩いているときは　この音が　鳴ります。
map_0689#87	この下のエリアは　草むらだらけです。
map_0689#88	この空間より下には　チュートリアルは　ありません。草むらを　さらに　下へ　進むと　このエリアから　出ます。
map_0690#0	砕けたガラスが\PNを　傷つけた!
map_0690#1	タカ: さて　今度は　どこですか?
map_0690#2	タカ: あれは　もう　動かないと思います。
map_0692#0	エンジンは　壊れているようだ。
map_0692#1	タカ: そろそろ\PNの　この無茶な乗り物から　降りたい気が　します……
map_0692#2	先のほうで　特に　激しい砂嵐が　吹き荒れているようだ……
map_0692#3	このまま　徒歩で　進むのは　危険だ。
map_0692#4	タカ: \PN　これ以上は　安全に　進めないと　思います……
map_0692#5	あの砂嵐　ろくなことに　ならなさそうですし　すぐに　収まりそうにも　ありません。
map_0692#6	とりあえず　戻りましょう。
map_0692#7	エンジンは　まだ　動くようだ。
map_0692#8	フルスピードで　行きますか?
map_0692#9	線路に　何かが　邪魔している……
map_0692#10	「アクサイティン急行」
map_0693#0	先のほうで　特に　激しい砂嵐が　吹き荒れているようだ……
map_0693#1	このまま　徒歩で　進むのは　危険だ。
map_0693#2	よう　ご機嫌だな　相棒!
map_0693#3	何やら　物音が　するなと　思ってたんだが
map_0693#4	どうせ　この辺の　ハガネールが　また　暴れてるだけだろうと　思ってたんだ。
map_0693#5	名前は　エウロパ。よろしくな!
map_0693#6	想像つくだろうが　ここいらじゃ　訪ねてくる人なんて　そうそう　いないんだ。
map_0693#7	だが　ここは「トレインタウン」って　みんなで　愛着を込めて　呼んでる場所さ。
map_0693#8	あたしたちは　そんなに　多くない。ただの　他人の中じゃ　居場所を　見つけられなかった　寄せ集めの連中さ。
map_0693#9	でも　ここじゃ　お互いが　いるし　それだけで　十分なんだ。
map_0693#10	しばらく　いるつもりなら　みんなと　一緒に　過ごしてみたら　どうだい?
map_0693#11	エウロパ: ここいらじゃ　暮らしていける物が　あんまりないから　あたしたち　流れ者は　自分たちで　食料を　育てなきゃ　いけないんだ。
map_0693#12	小さな問題じゃ　ないよ。腹を　空かせることも　あるけど　この自由には　それだけの　価値が　あると思うね。
map_0693#13	ところで　砂漠に　戻る前に　物資が　必要なら　バッフロンビルの　じいさんに　話しかけてみな。
map_0693#14	何かしら　売ってくれる　はずだ。
map_0693#15	エウロパ: これが　ここでの　夜の恒例行事なんだ!
map_0693#16	いい仲間と　一緒だと　少しの酒じゃ　物足りないが　その分　元気は　長持ちするもんさ。
map_0693#17	パーシー: ビルが　いなければ　だけどね!
map_0693#18	???: ビルが　いなければ　だけどね!
map_0693#19	バッフロンビル: バァー。年寄りを　敬えって　誰にも　言われなかったのか?
map_0693#20	???: バァー。年寄りを　敬えって　誰にも　言われなかったのか?
map_0693#21	アルドス: もし　言われてたら　彼女が　こんなとこに　いると　思うか?
map_0693#22	???: もし　言われてたら　彼女が　こんなとこに　いると　思うか?
map_0693#23	パーシー: あら　言われたわよ……
map_0693#24	???: あら　言われたわよ……
map_0693#25	ただ　聞かなかっただけ。
map_0693#26	エウロパ: な?
map_0693#27	これが　ここで　正気を保つ　あたしたちなりの方法さ。
map_0693#28	おやおや。ここいらじゃ　新顔なんて　めったに　見ねぇな。
map_0693#29	バッフロンビルと　呼んでくれ。
map_0693#30	何か　必要なら　都合を　つけられるかも　しれねぇぜ。
map_0693#31	このあたりの　補給列車から　救い出してきた　がらくたなら　いくらでも　あるからな。
map_0693#32	何が　あるか　見たけりゃ　声を　かけてくれ。
map_0693#33	バッフロンビル: この名前の　由来　知りたいか?
map_0693#34	あれは　まだ　ばあさんが　1番道路に　住んでた頃の話でよ――
map_0693#35	エウロパ: あーもう　ビル　またその話かい。
map_0693#36	???: あーもう　ビル　またその話かい。
map_0693#37	あんたが　つまようじと　バッフロンの奥歯だけで　ガムの自販機を　爆発させた話　もう百回は　聞いたよ!
map_0693#38	いい加減　休ませとくれ。
map_0693#39	バッフロンビル: バァ……　まあいい　何か　買いに　来たのか?
map_0693#40	バッフロンビル: ここじゃ　金なんて　あんまり　役に立たねぇ。だったら　何か　買っちまいな!
map_0693#41	アルドス: おいビル　客を　だますような真似は　するんじゃねぇぞ。
map_0693#42	???: おいビル　客を　だますような真似は　するんじゃねぇぞ。
map_0693#43	バッフロンビル: バァ　何を　言ってやがる。
map_0693#44	よう　トレインタウンへ　ようこそ!
map_0693#45	名前は　アルドス。アルって　呼んでくれて　いいぜ。
