map_0769#306	何言ってるの？
map_0769#354	テラ: そしてえええフィールドはああ…………………\tts[TERRA: AAAAAAAND THE FIELD WILL BE..................]
map_0769#355	テラ: インバースフィールドだああ！\tts[TERRA: THE INVERSE FIELD!]
map_0769#356	キャル: それはちょっと気まずいな。
map_0769#357	フロリニア: 本競技者にとって有利な結果である。
map_0769#358	イヴ: あなたたちを頼りにしてるわ。
map_0769#359	テラ: レディイイ！！！！\tts[TERRA: READY!!!!]
map_0769#360	ルミ: \PN、あなたならこれに決着をつけられるって、わたしたちわかってるから！
map_0769#361	テラ: ステディイイ！！！！！\tts[TERRA: STEADY!!!!!]
map_0769#362	イヴ: きっとうまくいくわ。
map_0769#363	キャル: そうじゃなきゃ困るぜ。
map_0769#364	ルミ: だからみんなも全力でお願い！
map_0769#365	テラ: ガアアアアアアアアアアアアアッ！！！！！！！！\tts[TERRA: RAWWWWWRRRRRRRRRRRRRRR!!!!!!!!]
map_0769#366	最後にこんな風に戦ったのって、いつだっけ？
map_0769#367	一度もないわ。こんな感じだったことなんて。
map_0769#368	キャル: なんとか……乗り切ったな。
map_0769#369	テラ: そして勝者はああ……\PN！！！\tts[TERRA: AND THE WINRAR IZZZZ... \PN!!!]
map_0769#370	ああ、あともう一人の子もね。
map_0769#371	そして今日の賞品はああ新車だあああ！！！
map_0769#372	でもアタシに食べられちゃったんだけどお。\tts[ButItAteMe.]
map_0769#373	美味しい丸呑みってやつを混ぜとかなきゃねええ\tts[gotta get that delicious vore in the mix]
map_0769#374	#車とドラゴンがヤってる #フェミニズム\tts[#CarsFuckingDragons #feminism]
map_0769#375	ルミ: よくやったね、\PN！
map_0769#376	イヴ: あなたもね、キャル。
map_0769#377	ルミ: あなた、本当にお兄さんとは全然違うね！
map_0769#378	キャル: それは……嬉しい言葉、なのかな。
map_0769#379	じゃあ二人ともあいつを知ってたんだな。
map_0769#380	イヴ: 親しくはなかったけど、あの人の存在感は嫌でも伝わってくるものだから。
map_0769#381	ルミ: あの人がいるといつも気持ち悪い感じがするの！
map_0769#382	キャル: だろうな、よくわかるよ。
map_0769#383	でも、あいつに似てるかどうかでオレを評価するの、いい加減やめてほしいんだけどな。
map_0769#384	オレはただ、オレ自身でいたいだけなんだ。
map_0769#385	ルミ: ごめんね！
map_0769#386	イヴ: それができないことについては、私たちも多少はわかる気がするわ。
map_0769#387	キャル: いや、本当にどうでもいいんだ。
map_0769#388	ルミ: でもごめんね……
map_0769#389	キャル: そんなに謝ってると、シェリーみたいになっちまうぞ。
map_0769#390	聞いてくれ……あいつ抜きでオレ自身にあるものなんて大して無いのはわかってるけど……
map_0769#391	オレはただ、力になりたいだけなんだ。
map_0769#392	だから、それが何かの意味を持てばいいんだけど。
map_0769#393	テラ: はいはいはいはいはいはいはいはいはいはい。\tts[TERRA: OK OK OK OK OK OK OK OK OK OK OK.]
map_0769#394	こんなヤッバダバドゥーはもうたくさんんん！
map_0769#395	次おお！
map_0769#396	ルミ: えっ？まだ話してたのに！
map_0769#397	テラ: <b>次って言ったよねええ！！！！</b>\tts[TERRA: I SAID NEXT!!!!]
map_0769#398	アタシをボルダーにしないでよねええ。
map_0769#399	ボルダーはお怒りだよおお！！
map_0769#400	とにかくバイバイ。
map_0769#401	キャル: あー。
map_0769#402	今、何があったんだ？
map_0769#403	テラ: べえええつに、なんでもないよ。\tts[TERRA: oooooooh nuthin'.]
map_0769#404	あいつらのキャラクターファイル、消しただけだしい。
map_0769#405	残ってるあのガラクタっぽいのは、ただのアバターだからあ。
map_0769#406	キャル: 負けた人には何も起きないって言ってたはずだけどな。
map_0769#407	テラ: なああにい、誰がそんなこと言ったの？！\tts[TERRA: whaaaaaaaaaat, who said that?!]
map_0769#408	アタシだよ、アタシが言った。
map_0769#409	だってマジのことだからあ。\tts[cuz it's Troo.]
map_0769#410	もう二度と何も起きやしないんだよおお、あーい、ワロタ、ゲットしたんぬXD 420NoPope\tts[ain't nothin' happening to them anymore ever again, ayyyy, LMAO GOTTEM XD 420NoPope]
map_0769#411	キャル: あいつらはずっとあのままなのか？
map_0769#412	テラ: あー、当たり前じゃん。\tts[TERRA: uh, duh.]
map_0769#413	人間って一回消したら元に戻せないんだよ、カレンさん。
map_0769#414	それって差別だよねええ。
map_0769#415	はいはい、キミたちはもう先に進んで、世界を浄化するなり何なりしてきてよ。
map_0769#416	カーテンの裏にあるゴミデータのことは気にしないでねええ。
map_0769#417	じゃあね、サイクルビッチみたいに。
map_0769#419	わかった。
map_0769#420	これがチームメテオの生き残り方ってわけか。
map_0769#421	こうやってオレたちの数を一人ずつ減らしていって、最後には……
map_0769#422	まあ、その話をする前に、向こう側に何があるか確かめに行こう。
map_0769#423	フロリニア: 結果は予測どおりである。
map_0769#425	ああ、あとつまんない女もねええ。\tts[oh, and boring lady.]
map_0769#426	イヴ: あなたもね、フロリニアさん。
map_0769#427	フロリニア: 前述の行為に強化や肯定は不要である。
map_0769#428	述べたとおり、これは単なる予測された結果に過ぎない。
map_0769#429	ルミ: 勝ったこと、喜んでもいいんだよ！
map_0769#430	勝つ側にあんまりいたことない人もいるんだから、それとなくね！
map_0769#431	フロリニア: 感情としての「幸福」は、効率的な機能の妨げであり続ける。
map_0769#432	イヴ: そういう考え方も、同じくらい妨げになると思うわ。
map_0769#433	惨めな気持ちのままじゃ働けないもの。
map_0769#434	フロリニア: 「惨めさ」もまた、非効率であり続ける。
map_0769#435	イヴ: 本当に、いつも何も感じないままで満足なの？
map_0769#436	フロリニア: 「満足」もまた、日々の機能に無関係である。
map_0769#437	イヴ: そういう人がどうなるか、見たことがあるわ。
map_0769#438	やりたいことがなくなって、やらなきゃいけないと思うことだけが残ってしまう。
map_0769#439	しかもそれは、たいてい自分に向いていないことばかり。
map_0769#440	もちろん、あなたのことを知ってるみたいに話すのは、私の立場じゃないけれど。
map_0769#441	決めつけるつもりはないけど、思ったの――
map_0769#442	フロリニア: 今、どのような効果が観測されたのか？
map_0769#443	フロリニア: 敗者となった競技者には何も起きないと述べられていなかったか？
map_0769#444	もう二度と何も起きやしないんだよおお、あーい、ワロタ、ゲットしたんぬXD ロフルコプター
map_0769#445	フロリニア: さらに、「キャラクターファイル」とは何を指すのか？
map_0769#446	テラ: はいはい、あんた質問しすぎだから、新ルールね、
map_0769#447	質問するたびに、エアホーンが鳴るよ。
map_0769#448	わかった？？
map_0769#449	フロリニア: エアホーン？
map_0769#450	テラ: エアホーニイイ。\tts[TERRA: AIR HORNY.]
map_0769#451	フロリニア: 当然ながら、現在の状況は当初の報告よりも危険性が高いようである。
map_0769#452	本スピーカーが味方側であることに、感謝を表す。
map_0769#453	とはいえ、前進することが唯一残された選択肢のようだ。
map_0770#0	テラ: ようこそ、レディバのみなさんんん、ベトベトンな殿方がたたち、そしてカメテテを自認するみなさんもお、\tts[TERRA: WELCOME, LEDYBA, GentleMuk, AND NON-BINACLE IDENTIFYING INDIVIDUALS,]
map_0770#1	ラブラドーラ大トーナメント次のラウンドへ、あの最っ高のお股ってやつのお。\tts[TO THE NEXT ROUND OF THE LABRADORRA GRAND TOURNAMENT OF that goooood cooch.]
map_0770#2	運命の輪が回ってるよおお！
map_0770#3	レベル2、ファイトおお！！！
map_0770#4	左側にはあ、
map_0770#5	マネーロンダリングがひどすぎて、クリーニング屋と間違えられちゃう男あ、\tts[HIS MONEY LAUNDERING IS SO OUT OF CONTROL PEOPLE CALL HIM UP FOR DRY CLEANING,]
map_0770#6	その経歴はリボーンの幽霊リーダーよりも怪しいいい、\tts[HIS HISTORY IS SHADIER THAN REBORN'S GHOST LEADER,]
map_0770#7	時刻は7時、自分の子供がどこにいるかも<b>知らない</b>男う、\tts[It's 7 O'CLOCK AND HE DOES NOT KNOW WHERE HIS CHILDREN ARE,]
map_0770#8	ガアドマス・ヴァアアアン・ハーレンだあああ！！！！！！！！！！！！！！！！！！！！\tts[IT'S RAWRDOMUS VAAAAN HALEN!!!!!!!!!!!!!!!!!!!!]
map_0770#9	ラドマス: ああ、ああ、実に賢いことだ。
map_0770#10	テラ: どうもおお…………\tts[TERRA: thx u.............]
map_0770#11	そして右側にはああ！\tts[AND ON THE RIGHT!]
map_0770#12	曲は8トラックあっても、頭の中身は一つだけの男う！\tts[HIS SONGS MAY BE EIGHT TRACKS BUT HIS MIND IS ONLY ONE!]
map_0770#13	岩みたいな性格をした男、そしてえ――\tts[It's THE MAN WITH THE PERSONALITY OF A ROCK AND THE--]
map_0770#14	ちょっと待って
map_0770#15	やば、それオチだったわ
map_0770#16	えっと
map_0770#17	今のは忘れて、ハードオン・アンダーセンだああ！！！
map_0770#18	ハーディ: よお、じいさん。
map_0770#19	面倒見なきゃいけないガキがいるのは知ってるぜ。
map_0770#20	そいつらには悪いと思うけど、この試合だけは引けねえ！
map_0770#21	ラドマス: それでいい。
map_0770#22	ハーディ: おい、帽子男！
map_0770#23	今さら弱腰になるんじゃねえだろうな、相棒！
map_0770#24	二人とも全力で戦わなきゃなんねえんだ、わかってるか？
map_0770#25	ラドマス: いや、むしろ逆だ。
map_0770#26	良くも悪くも、私が戦う理由は積み重なる一方でな。
map_0770#27	とはいえ、自分の目的のために他人を危険にさらすことには、かなりの嫌悪感がある。
map_0770#28	ハーディ: まあ、でもこれはオレたちのせいじゃねえだろ。あの実況女を責めろよ！
map_0770#29	テラ: はあ？\tts[TERRA: escuze u.]
map_0770#30	アタシはただの「女」なんかじゃないんだけどお。\tts[i am not just some WENCH.]
map_0770#31	アタシは女の中の女、一番ぬれぬれな女だああ！！！！！\tts[i am the WETTEST OF WENCHES!!!!!]
map_0770#32	それ以外の呼び方は絶対に認めないんだからねええ。\tts[AND I REFUSE TO BE REFERRED TO BY ANY OTHER NAME.]
map_0770#33	雨降らせちゃおうかなあ、ビイイッチ\tts[make it raiiin, biiiitch]
map_0770#34	あの甘くて女ったらしい水でフィールドを満たしちゃうよおお。\tts[fill that field up wit dat sweet, wenchy waaaaaater.]
map_0770#35	テラ: はい、もうやめとこ。\tts[TERRA: ok now stop that.]
map_0770#36	ラドマス: 誰の責任かなどという些末なことにこだわるつもりはない。
map_0770#37	私はただ、自分の過去を思い出しているだけだ、
map_0770#38	自分の行動が他人にどんな結果をもたらすか、恐れていなかった頃のことをな。
map_0770#39	大切に思っている時代ではないが、
map_0770#40	それが正しかろうと間違っていようと、私を頼りにする者たちは今、私が彼らのために戦うことを求めている。
map_0770#41	それはおそらく、親であることの必要悪なのだろう。
map_0770#42	ハーディ: 悪なんかじゃねえよ。
map_0770#43	その粘り強さこそが、オレたちを人間たらしめるんだ！
map_0770#44	ラドマス: お前の言うとおりかもしれん。
map_0770#45	我々の監督者の言葉とは裏腹に、お前にはかなりの知恵があるようだな。
map_0770#46	ハーディ: ま、バカな岩にもたまにゃいいもんが詰まってるってことか？
map_0770#47	ラドマス: 確かにな。
map_0770#48	さもなければ、こんな面倒には陥っていないだろう。
map_0770#49	だが、その話はここまでにしよう。
map_0770#50	互いの人間性を試し合おうではないか。
map_0770#51	テラ: そのころおお、ランチドレッシングの牧場ではあ……\tts[TERRA: MEANWHILE, BACK AT THE RANCH DRESSING...]
map_0770#52	姉妹対決だああ！\tts[It's A SISTER SMACKDOWN!]
map_0770#53	ベルローズ家の大爆発バトルだああ！！！\tts[A BELROSE BLOW-OUT BATTLE!!!]
map_0770#54	全員孤児の対決だああ！\tts[AN ALL-ORPHAN ENCOUNTER!]
map_0770#55	ちっちゃなシャルロットは姉のドラゴンを倒せるのか、それともこのドラグーンは引きずり出されちゃうのかああ？！\tts[CAN LITTLE CHARLOTTE SLAY THE DRAGON OF HER SISTER, OR IS THIS DRAGOON ABOUT TO BE DRAGGED OFF?!]
map_0770#56	シャルロット: これは試合にすらならない。
map_0770#57	サファイラ: 同感。棄権するわ。
map_0770#58	テラ: おおおおおおおおおおおっと、それはナシだよおおお、ガアアアアール。\tts[TERRA: OOOOOOOOOOOOOH NO YOU DIDN'T, GURRRLLLLL.]
map_0770#59	戦わなかったらどうなるか、聞いてなかったわけ？！\tts[DIDN'T YOU HEAR WHAT WOULD HAPPEN IF YOU DIDN'T FIGHT?!]
map_0770#60	ちゃんとショーを見せてよね。
map_0770#61	さもないと。
map_0770#62	ガアアッ！！！！！！！！！！！！！！！！！！！！！！！
map_0770#63	サファイラ: それがあんたに何の関係があるの？
map_0770#64	テラ: それはああ………すべてなんだよおお…………………\tts[TERRA: it'z......... everythang...................]
map_0770#65	アタシの人生ぜんぶが………この瞬間のためにあったんだからあ……
map_0770#66	アタシがずっと欲しかったのはあ……あんたがもっと戦うところを見ることだけだったのおお、サファイラ……
map_0770#67	サーカスで過ごした時間ぜんぶ、あんたの半分でも面白くなろうとするために捧げてきたんだよおお、サファイラ……
map_0770#68	アタシの愛しい人おお……
map_0770#69	お願いだからやってくれない？？？？
map_0770#70	アタシのためにいい？？？？？？？？？？？？？？？？？？？？？？？
map_0770#71	サファイラ: いいえ。
map_0770#72	テラ: クッソおお。\tts[TERRA: f*ck.]
map_0770#73	女としてのアタシの魅力すら効かないなら、アタシどうすればいいわけえ？？？？？？？？
map_0770#74	サファイラ: 質問に答えなさい。
map_0770#75	テラ: やだあああ！！！
map_0770#76	ガアアアアアアアアアアッ！！！！！！！！！
map_0770#77	よし、新しい作戦だああ。\tts[ok. new plan.]
map_0770#78	サファイラ: できないでしょ。あんたがすでに決めたルールに矛盾するもの。
map_0770#79	テラ: あんたにルールなんて気にするように見えるわけえ？！？？！？！？！？！？！？？！？！？！？！\tts[TERRA: DO I LOOK LIKE I CARE ABOUT RULES TO YOU?!??!?!?!?!?!?!??!?!?!?!?!]
map_0770#80	もう、ミレニアル世代ったらあ……
map_0770#81	アタシがそんな人間になり得るなんて示唆すること自体、個人的にマジで気分害するんだけどおお。\tts[i'm personally offended that you would even SUGGEST that I could EVER BE that KIND OF PERSON.]
map_0770#82	アタシがあんたにはどう見えてるわけえ、フロボット？？？？？？\tts[what do i look like to you, flobot??????]
map_0770#83	寒っ。\tts[cringe.]
map_0770#84	一番暗くて、一番深くて、一番ジメジメした寒っさむだよおお。\tts[darkest, deepest, moistest criiiiiiiinge.]
map_0770#85	どっちかが棄権したら、もう片方が罰を受けることになるからねえ。\tts[if EITHER of you forfeits, the other one will be punished.]
map_0770#86	単純でしょ、あんた。\tts[simple, biznitch.]
map_0770#87	サファイラ: ……。
map_0770#88	シャルロット: あたしのほうが勝ち目あるみたいなふりしないで。
map_0770#89	これが一番現実的なやり方だから。
map_0770#90	罰がどう違うか、もっとひどいかはわからないけど、負けたらどうなるかはわかってるんだから、戦うほうが安全。
map_0770#91	複雑な話じゃない。
map_0770#92	サファイラ: これは間違ってる。
map_0770#93	シャルロット: 全部間違ってるでしょ。
map_0770#94	感傷でこれを台無しにしないで。
map_0770#95	あんただけが、あたしが前に進むための唯一の望みなの。
map_0770#96	もう何年もずっとそう。
map_0770#97	テラ: ゲエエエエエエエエエエエエエエエエイ。\tts[TERRA: gayyyyyyyyyyyyyyyyyyyyy.]
map_0770#98	あまりにゲイすぎてフィールドまでゲイになっちゃったねええ。\tts[so gay it made the field gay too.]
map_0770#99	シャルロット: あんたが勝てば、先に進んであたしを助けられる。
map_0770#100	負けたとしても、それはそれであたしを救うことになる。
map_0770#101	まあ、あたしが次のラウンドを勝ち抜ければの話だけど。
map_0770#102	他に誰が相手だったっけ？
map_0770#103	いわタイプのジムリーダーと、一度負けたことのある\PNでしょ？
map_0770#104	正直、あたしの勝ち目はあんまり良くなさそう。
map_0770#105	それに、二人ともここに閉じ込められたらどうする？
map_0770#106	やるべきことはわかってるでしょ。
map_0770#107	テラ: 続いてえ、ガアアリーナはああ！！！！\tts[TERRA: NEXXXT UP IN THE RAWRRRRRRENA!!!!]
map_0770#108	カップルセラピーだああ！\tts[It's COUPLE'S THERAPY!]
map_0770#109	別れ話大盤振る舞いいい！\tts[THE BREAK UP BONANZA!]
map_0770#110	離婚裁判所バトル大論争だああ！！！！\tts[A DIVORCE COURT COMBAT CONTENTION!!!!]
map_0770#111	ヴィクトリア: もういいです。
map_0770#112	テラ: キャルとヴィクトリア・ホイテイカーが、最終別離闘争で激突だああ！
map_0770#113	悲しいことにねえ…… ;-;
map_0770#114	この汚らわしい恋愛沙汰から歩いて去れるのは一人だけなんだよおお Q-Q
map_0770#115	それは誰なのおお？！ T_T
map_0770#116	ヴィクトリア: 私たちが付き合ってたみたいに言うのやめてください！
map_0770#117	キャル: おいおい。
map_0770#118	ヴィクトリア: そもそもあなたに何がわかるっていうんですか？
map_0770#119	テラ: いろいろ知ってるよお :3\tts[TERRA: i know lotsa stuff :3]
map_0770#120	だって、当然でしょ？
map_0770#121	ミドルネームとか？あんたがアレしてるとこ見てるとか？\tts[middle name? sees you when you're fappin'?]
map_0770#122	心当たりある？\tts[ring any bells?]
map_0770#123	もおお、最近の子ってストーリーちゃんと見ないで会話ぜんぶスキップしちゃうんだからあ。\tts[geeeeeeezzz, it's like kids these days just skip all the dialogue instead of actually paying attention to the story.]
map_0770#124	ヴィクトリア: それは答えになってません。
map_0770#125	テラ: 爆笑、答えになってないのはあんたのほうだよねえ、ゲッテムう ( `'w')\tts[TERRA: roflmao YOU don't answer the question, GOTTEEM ( `'w')]
map_0770#126	キャル: なあ、ヴィクトリア、オレは――
map_0770#127	ヴィクトリア: だめです！
map_0770#128	あなたがこのトーナメントをやりたがったんだから、やりましょう。
map_0770#129	それと、あの人が吐いてるくだらないたわ言に、変な期待なんて抱かないでください。
map_0770#130	あれは遠い昔の話で、あの頃の私はもういません。
map_0770#131	あなたに抱いてた好意的な感情は全部、チームメテオで働いてたと知った瞬間に消え去りました。
map_0770#132	わかりましたか？
map_0770#133	キャル: それは違う……
map_0770#134	オレはただ言おうとしてただけで――
map_0770#135	ヴィクトリア: いいですね、わかってくれて何よりです。
map_0770#136	ちょっと、自称全知の存在さん。
map_0770#137	テラ: なにいいいいいいいいいい？\tts[TERRA: yyeeeeeeeeeeeeeeeees?]
map_0770#138	ヴィクトリア: フィールドを決めて、さっさと始めましょう。
map_0770#139	この人の顔を見てるのにもうんざりなので。
map_0770#140	テラ: 聞いてくれないかと思ってたよおお！\tts[TERRA: I THOT YOU'D NEVER ASK!]
map_0770#141	いやマジで、誰も聞いてこないと思ってたんだけどお。
map_0770#142	感謝するよ、ベイビー
map_0770#143	あんたの優しい配慮と親切な行動に免じてえ、
map_0770#144	テラ: 汝に、いと聖なるフィールドを授けたもう。\tts[TERRA: I BLESSETH THEE WITHEST THOU'ST HOLIEST OF FIELDETHS.]
map_0770#145	ヴィクトリア: もう終わらせたいです。
map_0770#146	行きましょう。
map_0770#147	キャル: それがお前の忍耐ってやつか？
map_0770#148	ヴィクトリア: 忍耐強くいるためにここにいるわけじゃありません。
map_0770#149	これを終わらせるためにここにいるんです。
map_0770#150	キャル: それがお前の冷静な判断ってやつか？
map_0770#151	ヴィクトリア: ここで下すべき「判断」なんてありません。
map_0770#152	まるで道徳的に上に立ってるみたいな質問はやめてください。
map_0770#153	キャル: お前に何がわかるんだ？
map_0770#154	ヴィクトリア: アポフィルを売り渡そうとした人を、たとえ土壇場で寝返ったとしても待ち続けるつもりはないってことはわかってます。
map_0770#155	キャル: それがキキの望みだと思うのか？
map_0770#156	ヴィクトリア: よくもあの人の名前を口にできますね。
map_0770#157	あなたにはもう、キキのことを考える資格すらありません。
map_0770#158	キャル: あいつはお前に賛成すると思うか？
map_0770#159	ヴィクトリア: あなたのせいで、それを言うためにここにいないんです！
map_0770#160	キャル: 過去と今、どっちが大事なんだ？
map_0770#161	ヴィクトリア: 今は過去の上に成り立ってるんです、そしてあなたはその両方をもう台無しにしました。
map_0770#162	キャル: お前の怒りが、前に進む道になるのか？
map_0770#163	ヴィクトリア: これは私のことじゃありません！
map_0770#164	キャル: 全部お前のことなんだよ。
map_0770#165	だからお前には前に進む道がないんだ。
map_0770#166	ヴィクトリア: 挑戦のつもりですか？
map_0770#167	キャル: これは状況ってだけだ。
map_0770#168	勝った者だけが先に進める、そして今のお前じゃ、オレには勝てない。
map_0770#169	お前は自分を見失ってる。
map_0770#170	ヴィクトリア: みんな自分を見失ってるんです、ここでは！
map_0770#171	そうじゃなかったら、チームメテオと戦うべきなのに、こんなバカげたご都合主義の理由でお互い戦ったりしてないはずです！
map_0770#172	キャル: お前の外側にある何ものも、お前自身の制御を奪うことなんてできない。
map_0770#173	オレたちはそれぞれ自分の理由で、その制御を自ら手放してるだけなんだ。
map_0770#174	ヴィクトリア: おかしいですね。
map_0770#175	あの人の教えを使って私を傷つけようとするなんて、頭がいいつもりですか？
map_0770#176	キャル: お前に戻り道を見せてやる。
map_0770#177	お前が望んでるみたいだから、力ずくでな。
map_0770#178	ヴィクトリア: 望むところです！
map_0770#179	まって、それさっきも言った気がするうう。\tts[wait i feel lyk i jus said dat.]
map_0770#180	残ってるオンディックストレーナースクールのソロリティ騒動、いよいよ最後え
map_0770#181	（文字通りマジで、笑）\tts[(literally lmao)]
map_0770#182	支配と生存をかけて激突だああ。\tts[FACE OFF FOR DOMINANCE AND SURVIVAL.]
map_0770#183	ティタニア: これ以上一秒も無駄にしない。
map_0770#184	ティタニア: 過去を殺す時よ。
map_0770#185	テラ: おおおおおお、必死だねええ。
map_0770#186	女のそういうとこ、好きだよ。\tts[i like that in a woman.]
map_0770#187	ねえベイビー、体位52番って聞いたことある？？？\tts[ay bb, you ever heard of position 52 ???]
map_0770#188	ティタニア: 知らないし、興味もない。
map_0770#189	テラ: 【エスペランサ語でうめく】\tts[TERRA: [oofs in esperanza]]
map_0770#190	アタシのハートがあ、,,,
map_0770#191	こわ……れてる……\tts[it's... broken...]
map_0770#192	ほとんど……こわれてるよお……あんたと……
map_0770#193	同じくらいねえ、\tts[you,]
map_0770#194	それとこのショートフィールドもねええ、そうっしょみんなあ？！ハイタッチう。\tts[AND ALSO THIS SHORTCIRCUITED FIELD, AmIRight GUISE?! UP TOP.]
map_0770#195	フロリニア: よろしい、始めよう。
map_0770#196	仮説：実証された地位により、対象が示した能力は決定的な成功に十分な水準である可能性がある。
map_0770#197	予測される結果：不明。
map_0770#198	ティタニア: あたしが感傷的になってしくじるのを期待してるなら、もう負けてるわよ。
map_0770#199	フロリニア: 潜在的な交絡変数は、その機能の性質上、既定の条件ではなく可能性のある変動要因として認識される。
map_0770#200	ティタニア: あんたがそういう喋り方するの、文字通り誰も好きじゃないってわかってる？
map_0770#201	フロリニア: 効率的かつ明瞭な伝達は、個人間の適切な理解を促進するために必要である。
map_0770#202	ティタニア: それのどこが効率的なのよ。
map_0770#203	誰かが起こした癇癪の中で一番長いだけじゃない。
