map_0162#39	何があったんだ? コーリーを逮捕しに来たはずなのに……覚えていない。
map_0164#15	というのも、オブシディアワードの地下には鉄道トンネルの網が広がっていて、地震が起きたとき、その空洞になった地盤が崩れてしまったのです!
map_0164#16	トンネルが使えなくなっただけでなく、ワードの大部分が破壊され、リボーン最大の企業、ユレユの本部までもが被害を受けました!
map_0164#17	北オブシディアには、街の外へと続く巨大な記念碑、大階段がありますが、
map_0164#18	中央オブシディアは、今では一大商業地区となっています。メイン通り沿いには、サロンやお店、それに美しい公園まであるんですよ!
map_0164#19	こんにちは! オニキスワードについて聞きたいですか?
map_0164#20	オニキスワードは、街の中でも指折りの高級住宅ワードです。それはもしかすると、オニキストレーナー学校が近くにあるからかもしれません!
map_0164#21	ただの学校というだけでなく、リボーンリーグのジムも兼ねているんです! さまざまな若いトレーナーたちが、それぞれの理由でそこに集まってきます!
map_0164#22	それとオニキスゲームセンターのおかげで、オニキスワードは街の中でも特に若々しく活気のある場所になっています!
map_0164#23	こんにちは! ペリドットワードについて聞きたいですか?
map_0164#24	ペリドットワードは、街で二番目に大きなワードです! ただ、他のどこよりも、主に工業地帯としての性格が強いんです。
map_0164#25	アズリン湖の岸沿いには、工場や倉庫が立ち並んでいて……低所得の方々も多く住んでいます!
map_0164#26	残念ながらその結果、ペリドットワードはホームレスとギャング活動で悪名高くなってしまいました……
map_0164#27	明るい話をすると、発電所とリボーンリーグのジムもそこにあって、リボーンへの最良の出入り口であるペリドット駅からもそう遠くありません!
map_0164#28	こんにちは! ジャスパーワードについて聞きたいですか?
map_0164#29	穏やかなマルコウス森林公園に隣接するジャスパーワードは、とても落ち着いた住宅地です。
map_0164#30	中流階級の家族が多く暮らしていますが――いえ、訂正します、つい最近までは、そうでした……
map_0164#31	最近のマルコウス森林公園の異常な拡大によって、悲しいことに、ジャスパーはいくらか廃きょのようになってしまいました……
map_0164#32	こんにちは! ラピスワードについて聞きたいですか?
map_0164#33	ラピスワードは、リボーンでも指折りの高級ワードです!
map_0164#34	匹敵するのはおそらくオニキスワードくらいで、街の中でも屈指の低い犯罪率を誇る、家族向けの理想的な場所です!
map_0164#35	それに、最近の災害の影響をほとんど受けていない、数少ない場所のひとつでもあります……
map_0164#36	ラピスワードで特に目を引くのは、リボーンリーグのジムと、コナル博士の孤児院です。見逃すことはまずないでしょう!
map_0164#37	こんにちは! ベリルワードについて聞きたいですか?
map_0164#38	ロドクラインジャングルに隣接するベリルワードは、リボーンでも大きめのワードのひとつです。
map_0164#39	最近の災害で住民の多くが去ることになりましたが、ベリルはかつて、とても個性的な中流階級のコミュニティでした。
map_0164#40	街で最も標高の高いワードということもあり、観光地のひとつとしても評判でした!
map_0164#41	トルマリン砂漠やリボーンシティ、それにアズリン地方までも見渡せる、すばらしい景色が広がっています!
map_0164#42	こんにちは! コーラルワードについて聞きたいですか?
map_0164#43	コーラルワードは、リボーンで最も小さなワードで、南オブシディアの近く、アズリン湖の一角にひっそりと位置しています。
map_0164#44	一番の見どころは港です! 普段のコーラルは、働き者や湖を旅する観光客であふれる、とても活気のある場所なんです!
map_0164#45	残念ながら、最近の水質のせいで、そこまで足を運ぶ理由もほとんどなくなってしまいました……
map_0164#46	リボーンの地理に興味があるんですね! 素晴らしい!
map_0164#47	ちょっとしたコツをひとつ教えましょう! 例えばアズリン地方のように、「地方」という言葉をそのまま使って場所を呼ぶことがよくあります。
map_0164#48	混乱する人もいるかもしれませんが、この「地方」という言葉の使い方は、ホウエン地方やカントー地方、リボーン地方のような場所とは、少し意味合いが違うんです。
map_0164#49	ここで言う「地方」は、いわば地域区分のようなものだと考えてください。すべて、より大きなリボーン地方の中にある場所ですから!
map_0164#50	こんにちは! クリソリア地方について聞きたいですか?
map_0164#51	クリソリアの大部分は古い森で、かつてはリボーンシティとオーレ地方を結んでいました!
map_0164#52	他にも、趣のあるスピネルタウンや、入り組んだ小道と洞窟が広がるタンザン山一帯などが名所です!
map_0164#53	こんにちは! アズリン地方について聞きたいですか?
map_0164#54	アズリン地方は、リボーンシティからアズリン湖を挟んだ向こう側にあります!
map_0164#55	ビーチや山に恵まれていますが、地元の人に言わせるとかなりの田舎で、実際、集落はひとつしかありません!
map_0164#56	アポフィルビーチには、小さな学園があります! 街で学びたくないトレーナーが、代わりにそこへ通うこともあります。
map_0164#57	そう遠くない場所には、アズリン島として知られる島もあります。その島についてはほとんど知られていません……
map_0164#58	最後に、パイロス山として知られる巨大な火山が、その一帯にそびえ立ち、辺り一面に灰を降らせています……
map_0164#59	こんにちは! ビクスビジョン荒地について聞きたいですか?
map_0164#60	ビクスビジョン荒地は、リボーン地方の南の境界全体を取り囲む、危険ながれきの山です。
map_0164#61	奥深くまで足を踏み入れた者はめったに戻ってこないため、あまり多くのことはわかっていません……
map_0164#62	ですが、発見された遺跡や物品にまつわるうわさは、あの汚泥の下にかつて何か別のものがあったことを示唆しています……
map_0164#63	語り継がれず、忘れ去られた物語からの何か……あるいは、単なるうわさにすぎないのかもしれません……
map_0164#64	こんにちは! アベンチュリン地方について聞きたいですか?
map_0164#65	アベンチュリン地方は、ここからすぐ北、大門を抜けた先にあります!
map_0164#66	全体として、リボーンでも最も美しい場所のひとつで、豊かな森、豊かな山々、それに特別な結晶の谷まであります……
map_0164#67	他にも、セレスティナイン川、有名なアゲートサーカス、そして見た目以上に古い歴史を持つアゲートシティ……それに、謎めいた城もあります……
map_0164#68	こんにちは! トルマリン砂漠について聞きたいですか?
map_0164#69	トルマリン砂漠は、リボーン地方の北の果てに広がる、何マイルにも及ぶ砂漠です!
map_0164#70	多くの新参者が、遠方から列車で砂漠を横断してやってきます。そんなトレーナーたちが知らないのは、この砂漠の不思議な歴史です!
map_0164#71	数々の奇妙な事故のせいで、線路は何度も作り直されてきました……
map_0164#72	その結果、砂漠のど真ん中には、奇妙な列車部品の廃棄場が残されています……
map_0164#73	時にはそこに、巨大な塔の影が差すこともあります……でも瞬きした瞬間、その塔は消えてしまうんです! 何とも不思議な話ですね……
map_0164#74	こんにちは! カルネリア地方について聞きたいですか?
map_0164#75	カルネリア地方は、双子都市カルセノンとラブラドラの故郷です! リボーンでも屈指の高山に囲まれた谷間に位置しています!
map_0164#76	どの峰も氷に覆われた頂を持っていますが、その中でも群を抜いて大きいのがアメトリン山です! 最も重要なシャルース山さえも、その陰に隠れてしまうほどで……
map_0164#77	……そこには、リボーンリーグのチャンピオンが待っています……
map_0164#78	えっと……
map_0164#79	おお、そうそう、わたしはわざわすれ屋じゃ。
map_0164#80	ポケモンのわざを、わすれさせることができるんじゃよ。
map_0164#81	そうしてほしいかね?
map_0164#82	どのポケモンにわざをわすれさせる?
map_0164#83	わすれさせたいわざがあったら、また来るんじゃぞ。
map_0164#84	なんじゃ? タマゴはわざを覚えていないはずじゃが。
map_0164#85	なんじゃ? シャドウポケモンのわざは、わすれさせられんのう。
map_0164#86	\v[3]はわざをひとつしかおぼえていないようじゃ……
map_0164#87	どのわざをわすれさせる?
map_0164#88	ふむ! \v[3]の「\v[4]」じゃな? そのわざをわすれさせるんじゃな?
map_0164#89	みごと成功じゃ!
map_0164#90	\v[3]は「\v[4]」をきれいさっぱりわすれた。
map_0164#91	コーリー: ……
map_0164#92	……ゾル……
map_0164#93	ゾロア: ゾロァァァァァァ!
map_0164#94	アーク: ノックノック、父さん。
map_0164#95	お客さんだよ。
map_0164#96	パパ: おお、我が息子よ、会えてうれしいぞ!
map_0164#97	入れ、入れ!
map_0164#98	アーク: ……マジかよ、父さん。
map_0164#99	部屋、散らかりすぎだろ。
map_0164#100	パパ: ああ、最近忙しくてな、わかるだろう?
map_0164#101	アーク: わかるよ。
map_0164#102	もっとちゃんとしてくれよ。
map_0164#103	アーク: ごめん\PN、ちょっと待ってて。
map_0164#104	くつろいでて。
map_0164#105	パパ: お友達を紹介してくれないのか?
map_0164#106	アーク: そうだ、父さん、こちらは\PN。
map_0164#107	チャンピオンなんだ。
map_0164#108	チャンピオンなんだ。
map_0164#109	チャンピオンなんだ。
map_0164#110	パパ: チャンピオン?!
map_0164#111	ずいぶんと大した所に出入りしてるんだな!
map_0164#112	チャンピオンと会うなんて、聞いてなかったぞ!
map_0164#113	アーク: 話してないこと、たくさんあるからね。
map_0164#114	しばらく色々忙しかったんだ。
map_0164#115	でも、それもあって寄りたかったんだよ。
map_0164#116	母さんによろしくって、あと自分が無事だってことも伝えたくて……
map_0164#117	何もかも順調だから。
map_0164#118	パパ: それは何よりだ……
map_0164#119	アーク: それと、ジェイが、また父さんにお金を無心されたって言ってたよ。
map_0164#120	パパ: いやいやいや、そんな、お前の兄さんには、それでお前に迷惑をかけるなと言ったのに――
map_0164#121	アーク: 父さん、
map_0164#122	パパ: 心配しなくていい、お前にはもう十分してもらってるんだから――
map_0164#123	アーク: 父さん、聞いて。
map_0164#124	お金が必要なら、僕のところに来て。
map_0164#125	兄さんじゃなくて、
map_0164#126	僕に。
map_0164#127	わかった?
map_0164#128	パパ: ああ、ああ、わかった、ちょっとしたことだったんだが――
map_0164#129	アーク: ちょっとしたことでも、僕のところに来て。
map_0164#130	兄さんには、自分の足で立つ自由が必要なんだ。
map_0164#131	わかった?
map_0164#132	パパ: ああ、ああ、わかった……
map_0164#133	わかったとも。
map_0164#134	アーク: よし。
map_0164#135	アーク: 今月の分、これ。
map_0164#136	ちょっと多めに入れといた、母さんがシンクのこと何か言ってたから。
map_0164#137	パパ: ああ……そうか、そうか、ありがとう。
map_0164#138	お前がいなかったら、一体どうなっていたことか。
map_0164#139	アーク: わかってるよ。
map_0164#140	母さんの調子は?
map_0164#141	パパ: いつも通りだ……
map_0164#142	いつもと変わらない。
map_0164#143	今は眠っているが、お前が声をかけても嫌がらないだろう。
map_0164#144	アーク: そうするよ。
map_0164#145	アーク: ついてきて。
map_0164#146	さっきはごめん。
map_0164#147	アーク: 母さん、大変な時期を過ごしてるんだ。
map_0164#148	詳しい話で退屈させたくはないけど……
map_0164#149	これが、母さんの大半の時間の過ごし方なんだ。
map_0164#150	アーク: ただ、見ておいてほしかったんだ。
map_0164#151	前にも言ったけど、身近な人を大事にするには、頑張らなきゃいけないからね。
map_0164#152	アーク: ねえ、母さん。
map_0164#153	お客さんが来てるよ。
map_0164#154	アーク: それで……前に話してた件、片づいたんだ。
map_0164#155	というか、\PNがね。
map_0164#156	あとは後片づけをして、軌道に戻すだけだよ。
map_0164#157	最近、ある連中と一緒にやっててさ。
map_0164#158	昔はマグマ団って呼ばれてたけど、もうそれは過去のことにしようとしてるんだ。
map_0164#159	昔はアクア団って呼ばれてたけど、もうそれは過去のことにしようとしてるんだ。
map_0164#160	いい連中だよ。
map_0164#161	元気いっぱいさ。
map_0164#162	それで先日、路上で暮らしてる人に出くわしてさ、案の定、動こうとしなかったんだ。
map_0164#163	避難所についていつもの押し問答になったんだけど、そのとき仲間の一人が「そもそも、あいつがキャンプしてる場所って誰の土地なんだ?」って言い出して。
map_0164#164	「誰の許可が要るんだ?」
map_0164#165	それで色々調べてみたら、驚くようなことがわかったんだ……
map_0164#166	はい
map_0164#167	いいえ
map_0165#0	よお、ここはマグマ団の縄張りだぜ。とっとと消えな。
map_0165#1	よお、いい子だからここは通り過ぎな。この先はマグマ団専用だ。
map_0165#2	入りたいなら、俺たちのファミリーに加わるしかないぜ。
map_0165#3	興味あるか?
map_0165#4	よっしゃ! そう来なくちゃな! だが、そう簡単にはいかねえぜ。
map_0165#5	入りたきゃ、実力を証明しな。俺たちを倒して価値を示すんだ。わかったか? よし!
map_0165#6	なんてこった……
map_0165#7	……へえ。よし、お前は合格だ。
map_0165#8	ニヒル: へえ、やるじゃねえか。マグマ団への黄金チケットをやるよ。
map_0165#9	クリズ: え、チケットなんてあったのか?
map_0165#10	ニヒル: ああ、今はあるんだよ。お前のはこれだ。「皮肉タウン、一名様ご入場」
map_0165#11	お前限定だぜ、クリズ。有効期限はなし。
map_0165#12	いいから、どけよ。新入りをボスに会わせるんだから。
map_0165#13	クリズ: ああ、わかったよ。
map_0165#14	皮肉タウンってどこにあるんだ? オーレ地方か?
map_0165#15	ニヒル: もう知らん。
map_0165#16	さっさと消えろ!
map_0165#17	よお、ここはマグマ団の縄張りだぜ。とっとと消えな、アクアの間抜けが。
map_0165#18	クリズ: おい、作戦に出発しなくていいのか?
map_0165#19	動かないってのか? だったら動かせてやるよ!
map_0165#20	アーチャー: よくやった、\PN。お前の陽動のおかげで、入り込めたぞ。
map_0165#21	デファクトも一緒だ、片をつけるとしよう!
map_0165#22	よお、兄弟。ここがどこかわかってんのか? マグマ団の縄張りだぜ。
map_0165#23	お前がいるべき場所、わかるか? ここ以外のどこかだ。出てけ。
map_0165#24	消えろって言ったよな? いいか、ここに入れるのはマグマ団のメンバーだけだ。通さねえぞ。
map_0165#25	それとも……仲間に入りたいのか? どうする?
map_0165#26	おい……食いついてきたな。よし、話は早い。だが、それだけの器があるか見せてもらうぜ。
map_0165#27	位置について! 用意! ドン!
map_0165#28	だったら帰れ!
map_0165#29	ニヒル: いっそ撃ってくれ。
map_0165#30	ニヒル: お前らが面白いことしてる間、俺は一晩中クリズと二人きりだぜ。
map_0165#31	人生詰んでる。
map_0165#32	ニヒル: へえ、そうかい。まあ、悪くないんじゃねえの。
map_0165#33	お前がいるべき場所、わかるか? 息絶えた溝の中だ。アクア団は全員そこに行くべきなんだよ!
map_0165#34	行くのか? 行かない? いいね、それならぶちのめしてやるよ。
map_0165#35	ニヒル: 今のは何だよ?
map_0165#36	マクスウェル: よお、旅人!
map_0165#37	マグマ団へようこそ。
map_0165#38	見事な入団試験だったな。
map_0165#39	自己紹介させてもらおう!
map_0165#40	俺はマクスウェル、マグマ団のリーダーだ!
map_0165#41	クリズとニヒルにはもう会ってるな。
map_0165#42	他にはダームとブレークがいる。
map_0165#43	ブレークが何を言おうと、気にしなくていいぜ。
map_0165#44	ブレーク: へえ? つまんねえの。
map_0165#45	マクスウェル: お前は、俺たちにとってすごい戦力になるぜ。
map_0165#46	俺はまあ、いわば紳士的な盗賊ってやつでな。
map_0165#47	欲深い奴から奪って、貧しい者に与える――
map_0165#48	ちなみに、それが俺たちってわけだ――
map_0165#49	世界に釣り合いをもたらす……
map_0165#50	そういう素晴らしいことをな。
map_0165#51	残念ながら、それを難しくしてる別の組織がいてな。
map_0165#52	アクア団だ。
map_0165#53	あいつらは、ただの欲深い盗人にすぎねえ。
map_0165#54	だが!
map_0165#55	お前がいれば数で勝って、ついに俺たちの取り分を手にできるってわけだ!
map_0165#56	今夜、俺たちは最初の一手を打つ。
map_0165#57	ラピスにある空き小屋で落ち合おう。
map_0165#58	4番街とハイドランジア通りの辺りだ。
map_0165#59	栄光のために、ベイビー。
map_0165#60	マクスウェル: 今夜、俺たちは最初の一手を打つ。
map_0165#61	マクスウェル: 見事だったぜ、ベイビー。
map_0165#62	あれで、アクア団にもいい思い知らせになっただろうよ。
map_0165#63	見つけたポケモンは、お前が持ってていいぜ。
map_0165#64	どうせ俺たちは、みずタイプなんて使わねえからな。
map_0165#65	しばらく身を潜めて、次の一手を考えるとするさ。
map_0165#66	だが、またすぐ戻ってこいよ。
map_0165#67	お前が必要になるからな。
map_0165#68	マクスウェル: \PN! ちょうど探してた相手だ。
map_0165#69	よく聞け、今こそお前が必要なんだ。
map_0165#70	任務がある、こっちの準備はできてると思うが、簡単じゃねえぞ。
map_0165#71	やるか?
map_0165#72	もちろんやるよな!
map_0165#73	だってお前は、俺たちの仲間だからな! はっはっ!
map_0165#74	それじゃ、作戦はこうだ。
map_0165#75	アクア団の本部を乗っ取る。
map_0165#76	突入して、奴らを追い出す。
map_0165#77	完全にな。
map_0165#78	あっちで落ち合おう。
map_0165#79	奴らの痛いところを突いてやる。
map_0165#80	でかいことになるぜ、ベイビー。
map_0165#81	マクスウェル: 来やがったか、しかもこんな少人数で!
map_0165#82	お前だな?
map_0165#83	あいつらの新しいエースってわけか。
map_0165#84	俺を仕留める役目ってわけだ、そうだろ?
map_0165#85	それなら受けて立つぜ!
map_0165#86	だが、俺がお前を返り討ちにすりゃ、あいつらには何も残らねえ。
map_0165#87	アクアとマグマの争いも、もう十分すぎるほど繰り返されてきた!
map_0165#88	もう終わりにする!
map_0165#89	栄光のために、ベイビー!
map_0165#90	はっ。結局、こういうことになるのか。
map_0165#91	マクスウェル: うぐっ!
map_0165#92	マグマ団、退却するぞ!
map_0165#93	今はな……
map_0165#94	アーチャー: ようやくか。
map_0165#95	マグマのくだらない騒ぎも、これで片づいた。
map_0165#96	よくやった、デファクト。
map_0165#97	お前もな、\PN。
map_0165#98	これで俺たちも自分たちの縄張りに戻れる、あの悪党どもに邪魔されずに済むといいがな。
map_0165#99	また近いうちに顔を見せてくれ。
map_0165#100	マクスウェル: \PN、今日の主役だな!
map_0165#101	奴らを一掃しちまったな!
map_0165#102	それでよ、お前が入団したとき、ちゃんとした入団儀式をしてやってなかったなって気づいてさ。
map_0165#103	あるポケモンなんだが。
map_0165#104	俺たちの団のシンボルみたいなもんでな。
map_0165#105	ほら、受け取れ!
map_0165#106	お前はもう俺たちの仲間だ、ベイビー。
map_0165#107	一生な!
map_0165#108	マクスウェル: さて、アクア団もいなくなって、これからどうするかね……
map_0165#109	まあいいさ。
map_0165#110	何か必要なことがあれば、\PN、いつでも声をかけてくれ。
map_0165#111	俺たちは家族だ、お前の背後は任せとけ。
map_0165#112	マクスウェル: 何か必要なことがあれば、\PN、いつでも声をかけてくれ。
map_0165#113	7番街に入りたいのか?
map_0165#114	いいぜ。
map_0165#115	へっ、この辺をいくら見て回ったって見つからねえよ、そりゃ確かだ。
map_0165#116	実はな、リボーンの通りの番号には、ちょっと変なところがあるんだ。
map_0165#117	ペリドットには1番街、2番街、3番街、4番街がある。それでオパール大橋が5番街と6番街で……
map_0165#118	だが、オブシディアワードに入ると、次は8番街になる。
map_0165#119	それだけの話だ。
map_0165#120	7番街ってのは、ただの通りじゃねえのさ。
map_0165#121	7番街は、リボーン独自の闇市場ってわけだ。
map_0165#122	一般市民も市の役人も、その存在すら知らない。完全に隠されてるんだ。
map_0165#123	だから、俺たちなら手引きしてやれるってわけさ。
