map_0846#56	現時点では、50個すべてのZセルを集める必要性はないようです。
map_0846#134	ライフ・イン・プラスチック、イッツ・ファンタスティック\tts[ライフ・イン・プラスチック、イッツ・ファンタスティック]
map_0846#135	あ、違う
map_0846#136	とにかくあの時あいつにやられたわけだけど、今度はアタシがちゃんとやり返す番、わかる？
map_0846#137	リート・ハクサウルス起動中\tts[リート・ハクサウルス起動中]
map_0846#138	手伝いたい？それとも手伝いたい？
map_0846#139	テラ: よっしゃあああ、んじゃ汚れ仕事に取りかかるわよ
map_0846#140	見て、リトル・ミス・ロブロックスがハックできなかった理由、これがぜーんぶ？\tts[見て、リトル・ミス・ロブロックスがハックできなかった理由、これがぜーんぶ？]
map_0846#141	こいつ、機械に見えるだけで、\tts[こいつ、機械に見えるだけで、]
map_0846#142	実はマジで機械じゃない！\tts[実はマジで機械じゃない！]
map_0846#143	ニューワールドは、本物の機械を作れるほど賢くない！\tts[ニューワールドは、本物の機械を作れるほど賢くない！]
map_0846#144	本物の機械に見せかけるくらいしか賢くない。\tts[本物の機械に見せかけるくらいしか賢くない。]
map_0846#145	でも本物の機械じゃない!!!!!\tts[でも本物の機械じゃない!!!!!]
map_0846#146	ロブロックスは、ふつうのハッキング手法をつかった！\tts[ロブロックスは、ふつうのハッキング手法をつかった！]
map_0846#147	こうかは いまひとつのようだ…
map_0846#148	でもテラアアアアー――\tts[でもテラアアアアー――]
map_0846#149	テラ: テラアアアアーは、ハンマーをつかった。\tts[テラ: テラアアアアーは、ハンマーをつかった。]
map_0846#150	こうかは ばつぐんだ！
map_0846#151	テラ: …あ、まだこれやっちゃダメだったんだ。\tts[テラ: …あ、まだこれやっちゃダメだったんだ。]
map_0846#152	テラ: よし、つまりざっくり言うと、Zクレドが十分たまってれば、このドアはこう、開くって感じ。
map_0846#153	庶民的に言うとゼッド・クレドね、でもそっちの方がなんかカッコよく聞こえるから、まあ庶民でいたほうがいいかも、個人的にはマジで、そんな感じ
map_0846#154	でも50まで集まったら、あとはアタシに考えがあるから、汗かいて心配すんな。
map_0846#155	…んで、アタシのケイカクレーションによると、あんたもう\v[590]Zクレド持ってるじゃん。
map_0846#156	まあ、オッケー。
map_0846#157	レバーを引け、クランク。
map_0846#158	だから今、あんたは選択の決断をしなきゃいけない。
map_0846#159	十分なZクレドを集めて、このドアたちに自分でガアアアと開いてもらうか、
map_0846#160	それとも、アタシがハンマーで開くまでぶっ叩いて、その後起こる面倒な結果に大人として二人で向き合うか、
map_0846#161	男らしく戦い抜くってわけ
map_0846#162	だって
map_0846#163	( ´_>`) アタシたちは男( ´_>`) *
map_0846#164	*違うんだけどシー
map_0846#165	( ´_>`) アタシたちは男( ´_>`)
map_0846#166	アタシのケイカクレーションによると、あんたは\v[590]Zクレド持ってて、アタシのスパイダーセンスによると、外に70個ある。
map_0846#167	どうする？
map_0846#168	ぶっ叩き始めていい？
map_0846#169	テラ: ;)
map_0846#170	まあプレッシャーかけるとかじゃないんだけど、マジで大丈夫？\tts[まあプレッシャーかけるとかじゃないんだけど、マジで大丈夫？]
map_0846#171	ゼッドは後からでも集められるけど、まあ、ほら。必要なのは50だけだし。
map_0846#172	やる？
map_0846#173	覚悟しなさいよ、あんた
map_0846#174	ドカン、バコン、ありがとサンキュー
map_0846#175	テラ: ............オッケー。
map_0846#176	もっとゼッド集めてきていいよ。
map_0846#177	でもいつまでも叩かずにはいられないから、急いでね、いい？
map_0846#178	はい。
map_0846#179	テラ: お。
map_0846#180	やったじゃん。
map_0846#181	今日はぶっ叩かずに済みそうね.......................
map_0846#182	アタシの欲求不満のしるしとして、これ受け取ってちょうだい...................................
map_0846#183	さあ\PN、あんたに質問があるんだけど\tts[さあ\PN、あんたに質問があるんだけど]
map_0846#184	あんた、1歳から99歳の間？
map_0846#185	だってレゴだし
map_0846#186	5s5s5s5s5s
map_0846#187	hhhhhhhhGreg
map_0846#188	スキル・ノット・パウンド
map_0846#189	メモリアドレスを忘れた
map_0846#190	ミュウ!
map_0846#191	テラ: これにてラアアップ終了！\tts[テラ: これにてラップ終了！]
map_0846#192	*ビートボックスの音*
map_0846#193	残りはマジでらくしょ～に片付くから\tts[残りはマジでらくしょーに片付くから]
map_0846#194	シエルみたいにね\tts[シエルみたいにね]
map_0846#195	でも何がらくしょーか知ってる？\tts[でも何がらくしょーか知ってる？]
map_0846#196	お前のママ、ｗ
map_0846#197	でもついでにフロボットにも思い知らせてやる\tts[でもついでにフロボットにも思い知らせてやる]
map_0846#198	テラ: テラアアアアーは、ブレインセルをつかった\tts[テラ: テラアアアアーは、ブレインセルをつかった]
map_0846#199	見て、このドアたちは、Zクレドが十分あればこう、開くって感じ。
map_0846#200	とにかくさ、この門番ガールボスどもをガスライティングするだけでも、1000億のZクレドが要るってわけ\tts[とにかくさ、この門番ガールボスどもをガスライティングするだけでも、1000億のZクレドが要るってわけ]
map_0846#201	そんな暇、誰にもないっしょ。
map_0846#202	でも大丈夫。
map_0846#203	だってアタシは？
map_0846#204	計画がある。
map_0846#205	あんたがすることは、50%ジガルデをアタシに見せるだけ、あとはアタシがどうにかする。
map_0846#206	信じて。
map_0846#207	テラ: よし、フェーズ2。
map_0846#208	ここは簡単なパートよ。
map_0846#209	ビーダルみたいに
map_0846#210	ウリムーみたいに
map_0846#211	あんたがすべきことは、アタシに持ってくることだけ\tts[あんたがすべきことは、アタシに持ってくることだけ]
map_0846#212	低木
map_0846#213	あ、あとジガルデも。よろしくね
map_0846#214	あ、あと50%ジガルデも。よろしくね
map_0846#215	テラ: お前のジガルデは、すべてアタシたちのものだ!!!\tts[テラ: お前のジガルデは、すべてアタシたちのものだ!!!]
map_0846#216	テラ: いやー、アタシはジガルデ専門家じゃないけど、それ50%ジガルデじゃないの、かーなり確信してるんだけど。\tts[テラ: いやー、アタシはジガルデ専門家じゃないけど、それ50%ジガルデじゃないの、かーなり確信してるんだけど。]
map_0846#217	ちょっと待って待って待って、このネタ知ってるし――ポケットの中に手を突っ込んで何か探してたら、そこにあるはずのない変なものを5個くらい取り出しちゃうやつ！\tts[ちょっと待って待って待って、このネタ知ってるし――ポケットの中に手を突っ込んで何か探してたら、そこにあるはずのない変なものを5個くらい取り出しちゃうやつ！]]
map_0846#218	お決まりのクラウン芸ね。\tts[お決まりのクラウン芸ね。]
map_0846#219	いいネタ、いいネタ、もっとピエロっぽくやって、\PN！
map_0846#220	ガアアアアアア!
map_0846#221	テラ: いやー、アタシはジガルデ専門家じゃないけど、それジガルデじゃないの、かーなり確信してるんだけど。\tts[テラ: いやー、アタシはジガルデ専門家じゃないけど、それジガルデじゃないの、かーなり確信してるんだけど。]
map_0846#222	テラ: ナイス
map_0846#223	しゃーない、あんたのザイドンガーはしばらくアタシたちが育てとくわ。\tts[しゃーない、あんたのザイドンガーはしばらくアタシたちが育てとくわ。]
map_0846#224	後で取りに来てね、オッケー？
map_0846#225	テラ: そんじゃ次は、アタシの必殺技いくわよ！
map_0846#226	2本目のドンガー育てたい？!\tts[2本目のドンガー育てたい？!]
map_0846#227	>はい\n>はい
map_0846#228	ちゃんとした託児所と同じで、必要なのはグッチな愛のための、あまーいあまーいメタモン1匹（1こ）だけ\tts[ちゃんとした託児所と同じで、必要なのはグッチな愛のための、あまーいあまーいメタモン1匹（1こ）だけ]
map_0846#229	メタモン、キミにキメた（かむかむ）！\tts[メタモン、キミにキメた（かむかむ）！]
map_0846#230	テラ: であ、メタモン1匹っていうのは
map_0846#231	実は複数のメタモンがトレンチコートの中でひとつに押し込まれてるってこと
map_0846#232	「でも女王様！ ああ、お尻の女王様！」と人々は呼びかける、その瞳は憧れとメタモンの粉塵とで等しくきらめきながら、\tts[「でも女王様！ ああ、お尻の女王様！」と人々は呼びかける、その瞳は憧れとメタモンの粉塵とで等しくきらめきながら、]
map_0846#233	「このメタモンたち、一体どこで手に入れたんですか！?」
map_0846#234	それに対して、アタシに言えるのはただひとつ…
map_0846#235	知らない方がいいって ;)\tts[知らない方がいいって ;)]
map_0846#236	テラ: 「でも女王様！ ああ、お尻の女王様！」と人々は呼びかける、その瞳は憧れとメタモンの粉塵とで等しくきらめきながら、\tts[テラ: 「でも女王様！ ああ、お尻の女王様！」と人々は呼びかける、その瞳は憧れとメタモンの粉塵とで等しくきらめきながら、]
map_0846#237	「そのメタモン、どこで手に入れたんですか!?」
map_0846#238	そんなん、決まってるじゃん、イライアスから盗んだの。
map_0846#239	当然っしょ。
map_0846#240	メタモン、魔法少女変身シーケンス開始！
map_0846#241	ホップ、ステップ、ジャンプ！ ムーン・クリスタル・デュアル・スピリチュアル・レイジングハート・ハニーフラッシュ・メタモルフォーゼ・リリースの名において～!!!
map_0846#242	テラ: 分隊69、出撃するわよ!\tts[テラ: 分隊69、出撃するわよ!]
map_0846#243	テラ: アタシがビートを落とすみたいに、その壁も落としてやる
map_0846#244	ガアアアアアアアアアアア!!!!!
map_0846#245	テラ: ちょまちょまちょま待って、これマニュアルになかったんだけど\tts[テラ: ちょっと待って待って待って、これマニュアルになかったんだけど]
map_0846#246	誰かここで何がどうファンキーフレッシュに起こってんのか教えて!!!\tts[誰かここで何がどうファンキーフレッシュに起こってんのか教えて!!!]
map_0846#247	リン: 落ち着きなさい、テラ。
map_0846#248	ちょっとメガホンつけて『ありがとう』って言うだけだから。
map_0846#249	テラ: あ、よっす、調子どう
map_0846#250	タタス: ハクナ完了
map_0846#251	つーかメガホンって何
map_0846#252	リン: ほら、不気味なニューワールドのアルセウスパワーってやつ？
map_0846#253	テラ: いつものやつね
map_0846#254	リン: とにかく、\PNを通して喋ろうとするより楽だし。
map_0846#255	選択肢を通して細かい動きをコントロールするのに、どれだけ手間かかるか知ってる？
map_0846#256	マジで、あのエイビウムの女、色んな理由でぶん投げてやろうと思ってたんだから。
map_0846#257	テラ: ちょっと待って戻って
map_0846#258	『\PNを通して喋る』って、どういうことおおお\tts[『\PNを通して喋る』って、どういうことおおお]
map_0846#259	リン: あ、そうだ、言い忘れてたけど、\PNもあの人形と同じなの。
map_0846#260	サプラーイズ～!
map_0846#261	テラ: \PNがナニ
map_0846#262	リン: はいはい、マジで落ち着いて
map_0846#263	テラ: …
map_0846#264	リン: …
map_0846#265	リン: マジかんべんして。
map_0846#266	テラ: えー、やだなー、アタシのこと好きなくせに <333
map_0846#267	リン: そう思い込んでれば？
map_0846#268	まあ、ボロボロのピエロにしては、もっと酷くてもおかしくないし。
map_0846#269	テラ: それそれ、それが聞きたかったのよ B)
map_0846#270	リン: でもあんたのネタ、その言動と同じくらい古臭いし、あとひとつオーバークロックした『ガアア』で耳から血が出そう。
map_0846#271	B(
map_0846#272	リン: でも、あんたが全部ダメってわけでもないし。
map_0846#273	ってか、\PNがあんただっていうなら、アタシのバナナ狂騒には賛成済みってことじゃん\tts[ってか、\PNがあんただっていうなら、アタシのバナナ狂騒には賛成済みってことじゃん]
map_0846#274	撤回はナシ、じゃなきゃガアアアアアア!!!!
map_0846#275	リン: うわ。
map_0846#276	あの時あんたが落ち込んでてつまんなかったから、言っただけなんだけど。
map_0846#277	後悔させないでよね、いい？
map_0846#278	テラ: それはデキナイ\tts[テラ: それはデキナイ]
map_0846#279	この電車の停車駅はひとつだけ、リグレットヴィル駅よ\tts[この電車の停車駅はひとつだけ、リグレットヴィル駅よ]
map_0846#280	リン: もうそこ住んでるし、どうも。
map_0846#281	…とにかく、あんたが全部ダメってわけでもないから。
map_0846#282	あんたみたいな不細工で役立たずのオタクでも、このイカれた地方の他の連中の9割よりは、面白くて役に立ってるし。
map_0846#283	…うわ、なんであんたのことこき下ろさせるようなことさせるのよ？
map_0846#284	こっちはこう、素直な瞬間を作ろうとしてたんだけど？
map_0846#285	本当にアタシの味方をしてくれた唯一の人だってこと、感謝してるって言おうとしてたのに。
map_0846#286	しなくてもよかったのに、ジガルデのことまで手伝いに来てくれてるし。
map_0846#287	だから、その、
map_0846#288	ありがと
map_0846#289	とか、まあなんでもいいけど。
map_0846#290	テラ: ごめん、フォント切れて聞こえなかった。
map_0846#291	リン: …だから言おうとしてたのは、
map_0846#292	アタシのそばにいてくれてありがとう
map_0846#293	テラ: ごめん、また聞こえなかった
map_0846#294	リン: もう、マジで、だから言ったの
map_0846#295	アタシのそばにいてくれてありがとうって
map_0846#296	今度はそのバカなフォント、ちゃんと聞こえた？
map_0846#297	テラ: ごめん、無理
map_0846#298	リン: もう一回消去した方がいいかも
map_0846#299	テラ: そだね、多分。\tts[テラ: そだね、多分。]
map_0846#300	リン: もういい。
map_0846#301	ジガルデ、返してもらうから、どうも。
map_0846#302	登場して尖った台詞を言って、面白半分でアノーマライズするつもりだったんだけど、もうそんな気分かどうかも分かんなくなってきた。
map_0846#303	やる？
map_0846#304	リン: まあ、やっちゃったほうがいいか。
map_0846#305	他に何すんのよ、別のゲームでもやれって？
map_0846#306	テラ、あんたは口出さないでいいから。
map_0846#307	アタシには主人公としてやることがあるの。
map_0846#308	びっぴてぃ・ぼまりー、あんたは今アノマリーになった！
map_0846#309	リン: とにかく、メガホンの電池がまた切れそうだから、充電しに行くわ
map_0846#310	リン: …まあ、意味あるのかって話だけど。
map_0846#311	とにかく、メガホンの電池がまた切れそうだから、充電しに行くわ
map_0846#312	マジで、アルセウスって単三電池で動いてるらしいから。
map_0846#313	ゲームフリークの話じゃないから。
map_0846#314	でもちゃんと聞いてるから、陰口叩かないでよね!
map_0846#315	ばいばーい
map_0846#316	テラ: 陰口 陰口 陰口 陰口 陰口 陰口
map_0846#317	リン: はい、今なんて言ったばっかり？
map_0846#318	ジガルデ: ギャアアアア!!!!
map_0846#319	リン: うわ、ジガルデをそのまま放っておくわけにもいかないか
map_0846#320	しゃーない、今回は見逃してあげる。
map_0846#321	でも次はあんたを直接ポケモンピンボールにぶち込んでやるから。
map_0846#322	オリジナルの方よ！RSE版ですらない！
map_0846#323	はい、バイ
map_0846#324	ザアアアグ―
map_0846#325	ジガルデ: ザアアア!!!
map_0846#326	テラ: いや、無理
map_0846#327	アンタもういい加減にしなさいよ\tts[アンタもういい加減にしなさいよ]
map_0846#328	さっさとボールに戻りなさい、じゃなきゃ殺傷力全開でガアアアしなきゃいけなくなるから。\tts[さっさとボールに戻りなさい、じゃなきゃ殺傷力全開でガアアアしなきゃいけなくなるから。]
map_0846#329	ジガルデ: …ザル？
map_0846#330	テラ: アタシに『ザル』とか言わないで
map_0846#331	『アー』で終わる、微妙に怒ってる感じの声出していいのは、アタシたちのうちどっちか片方だけなの\tts[『アー』で終わる、微妙に怒ってる感じの声出していいのは、アタシたちのうちどっちか片方だけなの]
map_0846#332	それに、カロス砂漠の穴の中で素手でライオンと戦ってきたのは、あんたなんかに指図されるためじゃないんだから。\tts[それに、カロス砂漠の穴の中で素手でライオンと戦ってきたのは、あんたなんかに指図されるためじゃないんだから。]
map_0846#333	さっさとボールに入りなさい。\tts[さっさとボールに入りなさい。]
map_0846#334	ジガルデ: …
map_0846#335	ジガルデ: ザ???
map_0846#336	テラ: 行け。\tts[テラ: 行け。]
map_0846#337	ジガルデは、やがてパーティに戻った！
map_0846#338	テラ: ふぅ！
map_0846#339	うまくいってよかった、だってアタシ実はカロスなんて行ったことないし。\tts[うまくいってよかった、だってアタシ実はカロスなんて行ったことないし。]
map_0846#340	それに、アタシの手は熊なんかじゃ全然ないし！\tts[それに、アタシの手は熊なんかじゃ全然ないし！]
map_0846#341	ばかジガルデ。
map_0846#342	あのメタモンがどうなったかは、あんまり深く考えないでね\tts[あのメタモンがどうなったかは、あんまり深く考えないでね]
map_0846#343	よし、このストーリーにおけるアタシの役割を、全部見つめ直す時間よ、バイ!!!!!!\tts[よし、このストーリーにおけるアタシの役割を、全部見つめ直す時間よ、バイ!!!!!!]
map_0846#344	おねがいだからピンボールにいれないでえええええ～\tts[お願いだからピンボールに入れないでえええええ～]
map_0846#345	ヴェイパーウェイヴかけちゃう???????
map_0846#346	アンナ: サーカスが街にやってくるって、予想しとくべきだったわね!
map_0846#347	あんたたち二人、いつも仲良しだったもんね？
map_0846#348	もう隠す必要もないってことよね。
map_0846#349	本当にお似合いのカップルだわ!
map_0846#350	テラ: ナニ
map_0846#351	やめて
map_0846#352	\PNはアタシのこと、ギリギリ我慢してくれてるだけなんですけどおお\tts[\PNはアタシのこと、ギリギリ我慢してくれてるだけなんですけどおお]
map_0846#353	まあ、明らかに\PNはもう、内心アタシのおふざけを楽しんでるって認めてるけど
map_0846#354	まあ、明らかに\PNはもう、内心アタシのおふざけを楽しんでるって認めてるけど
map_0846#355	まあ、明らかに\PNはもう、内心アタシのおふざけを楽しんでるって認めてるけど
map_0846#356	つーかトムってやつが誰だか知らないけど、もういい加減わかってるはずでしょ、まあどうでもいいけど、アタシの問題じゃないし\tts[つーかトムってやつが誰だか知らないけど、もういい加減わかってるはずでしょ、まあどうでもいいけど、アタシの問題じゃないし]
map_0846#357	でもトムは絶対アタシたちの愛を認めてくれない\tts[でもトムは絶対アタシたちの愛を認めてくれない]
map_0846#358	アンナ: ふーん。
map_0846#359	誰かがとっくの昔に、あんたたち二人をお仕置き部屋に入れとくべきだったわね!
map_0846#360	でも大丈夫!
map_0846#361	まだ遅くないから。
map_0846#362	テラ: ナニ。
map_0846#363	待っ\tts[待って]
map_0846#364	それもうすでに\PNのポケモンテージじゃん!\tts[それもうすでに\PNのポケモンテージじゃん!]
map_0846#365	他人のポケットマンデーを勝手に白くしないでよね、カレン
map_0846#366	アンナ: できないの？
map_0846#367	テラ: 違う!!!!!
map_0846#368	アンナ: じゃあ今のは何をしたのかしら？
map_0846#369	テラ: はぁ？ハクサー
map_0846#370	アンナ: あんたたち二人とも、自分たちの楽しみのためだけに、無軌道で無謀な破壊をする癖があるのよね。
map_0846#371	そろそろ誰かが、それに終止符を打つ時よ。
map_0846#372	つーかなんでアンナ、あんたのことリンだと思ってんの、ｗ
map_0846#373	実は隠れリンだから？
map_0846#374	テラ: んー
map_0846#375	いや
map_0846#376	テラ: あやしい
map_0846#377	よし、アタシはもう行く時間、バイ、どういたしまして!!!!!!\tts[よし、アタシはもう行く時間、バイ、どういたしまして!!!!!!]
map_0846#378	ガアアアアアアアアアアアア～
map_0846#379	セキュリティ機構を起動中
map_0846#380	このタイルパズルをスキップしますか？
map_0846#381	最終セキュリティ解除
map_0846#384	助けて！
map_0846#385	助けて。
map_0846#386	助けて!?
map_0847#0	\PNは、柱を起動した！
map_0847#1	…また。
map_0847#2	\PNは柱を起動し、次に面白いことが起こるまで、あとどれだけ理不尽な障害を越えなきゃいけないんだろうと考えた。
map_0847#3	\PNが柱を起動する間、自分の行動がなぜこんな奇妙な形でナレーションされているのか、不思議に思った。
map_0847#4	しかし本当は、そもそもこのナレーションが普通だった時があったのか、それを疑うべきだった。
map_0847#5	そもそも、柱ってどうやって「起動」するものなのだろう？
map_0847#6	ただの柱なのに。
map_0847#7	\PNが柱を起動する間、自分がいったいどんな正義の体系のもとに行動する権限を持っているのか、疑念が心にしみ込み始めた。
map_0847#8	そもそも、ここで何を成し遂げようとしているのだろう？
map_0847#9	密猟は犯罪だが、「ポケモンの密猟」とは一体何を意味するのか？ それは捕獲と何が違うというのか？
map_0847#10	それはただ、「良い」捕獲と「悪い」捕獲の間の、恣意的な区別にすぎないのではないか？
map_0847#11	この者たちは、どのトレーナーもやっていることをしているだけだ。むしろここで成し遂げているのは、本当は自分に関係のないことへの干渉でしかない。
map_0847#12	…だが、この者たちが「悪」だというなら、自分を「善」たらしめているものは何なのか？
map_0847#13	「伝説の」ポケモンだからというだけの理由で、扉を通り抜けて捕まえられる限りのものを捕まえている。
map_0847#14	それの何が、彼らより優れているというのか？
map_0847#15	友情という概念、従順さ、そしてモンスターボールの製造会社が売り込む、その中がどういうわけか高級リゾートだという理想――そんなものだろうか？
map_0847#16	しかしその考えは、ただ自分自身の心を安らかにするためのものに過ぎない。
map_0847#17	そうでなければ、生き物を服従させるための製品を、平気な顔で買うことなどできないだろうから。
map_0847#18	どのみち、それらはただの道具でありデータであり、その有用性を正当化するために、自分の感情を恣意的に押し付けているだけなのだ。
map_0847#19	それに、パソコンのボックスの話なんて、もう始めないでおこう。
map_0847#20	そこに放置するためだけに、一体何匹のポケモンを捕まえてきたのか？
